Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,20.0,Athletic Club,esESP,1.La Liga,19.0,"1,313",1.0,1.0,4.0,317.0,1.0,0.0,2.0,121.0,1.0,0.0,25.0,"1,751",3.0,1.0,15.0,"1,313",14.6,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,,,,,,,,0.07,0.07,0.14,0.07,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,7.0,,,0.48,,0.14,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,313",69.0,38.4,14.6,15.0,,8.0,4.0,,3.0,1.68,20.0,12.0,8.0,0.55,0.85,,,,,,1.0,0.0,,18.0,,,,,,,,,,,,,"€ 1,538(£ 1,336, $1,686)","€ 80,000(£ 69,490, $87,678)",Estimación no verificada,https://fbref.com/es/jugadores/6a99e0b1/Inaki-Williams
2015-2016,21.0,Athletic Club,esESP,1.La Liga,25.0,"1,622",8.0,3.0,5.0,415.0,3.0,0.0,6.0,367.0,2.0,1.0,36.0,"2,404",13.0,4.0,21.0,"1,622",18.0,8.0,3.0,11.0,8.0,0.0,0.0,4.0,1.0,,,,,,,,0.44,0.17,0.61,0.44,0.61,,,,,,,17.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,42.0,15.0,35.7,2.33,0.83,0.19,0.53,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,622",65.0,47.4,18.0,21.0,73.0,1.0,4.0,24.0,1.0,1.64,29.0,18.0,11.0,0.61,0.51,,,,,,4.0,1.0,1.0,22.0,40.0,13.0,56.0,12.0,17.0,1.0,1.0,0.0,,,,,"€ 32,308(£ 28,063, $35,409)","€ 1,680,000(£ 1,459,289, $1,841,243)",Estimación no verificada,https://fbref.com/es/jugadores/6a99e0b1/Inaki-Williams
2016-2017,22.0,Athletic Club,esESP,1.La Liga,38.0,"2,789",5.0,6.0,3.0,263.0,2.0,0.0,8.0,558.0,1.0,0.0,49.0,"3,610",8.0,6.0,31.0,"2,789",31.0,5.0,6.0,11.0,5.0,0.0,0.0,4.0,0.0,,,,,,,,0.16,0.19,0.35,0.16,0.35,,,,,,,31.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,67.0,30.0,44.8,2.16,0.97,0.07,0.17,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,789",73.0,81.5,31.0,31.0,82.0,14.0,7.0,34.0,0.0,1.66,44.0,32.0,12.0,0.39,0.67,,,,,,4.0,0.0,0.0,32.0,55.0,18.0,113.0,16.0,31.0,1.0,0.0,0.0,,,,,"€ 67,885(£ 58,966, $74,400)","€ 3,530,000(£ 3,066,245, $3,868,803)",Estimación no verificada,https://fbref.com/es/jugadores/6a99e0b1/Inaki-Williams
2017-2018,23.0,Athletic Club,esESP,1.La Liga,38.0,"2,851",7.0,6.0,1.0,90.0,0.0,0.0,10.0,794.0,3.0,0.0,49.0,"3,735",10.0,6.0,31.0,"2,851",31.7,7.0,6.0,13.0,7.0,0.0,0.0,3.0,0.0,9.2,9.2,5.0,14.2,90.0,64.0,261.0,0.22,0.19,0.41,0.22,0.41,0.29,0.16,0.45,0.29,0.45,28.0,17.0,11.0,15.0,2.0,8.0,41.0,19.5,33.0,24.0,2.0,22.0,17.0,45.0,13.0,0.0,555.0,761.0,72.9,8171.0,1619.0,311.0,383.0,81.2,177.0,241.0,73.4,39.0,58.0,67.2,6.0,5.0,5.2,1.0,33.0,29.0,31.0,11.0,64.0,761.0,723.0,34.0,2.0,4.0,1.0,63.0,14.0,0.0,0.0,0.0,0.0,555.0,4.0,32.0,16.0,105.0,402.0,654.0,186.0,1140.0,121.0,61.0,50.4,60.0,49.6,772.0,5309.0,2294.0,90.0,61.0,54.0,89.0,63.0,853.0,261.0,7.0,74.0,26.0,35.1,2.34,0.82,0.09,0.27,14.1,0.0,0.0,0.0,9.2,9.2,0.12,-2.2,-2.2,73.0,2.3,52.0,0.0,7.0,8.0,5.0,1.0,10.0,0.32,7.0,0.0,2.0,1.0,0.0,0.0,"2,851",75.0,83.4,31.7,31.0,87.0,24.0,7.0,23.0,0.0,1.13,34.0,41.0,-7.0,-0.22,-0.06,41.0,39.6,1.4,0.04,0.36,3.0,0.0,0.0,31.0,41.0,26.0,63.0,17.0,17.0,0.0,0.0,0.0,110.0,38.0,47.0,44.7,"€ 65,192(£ 56,628, $71,449)","€ 3,390,000(£ 2,944,637, $3,715,366)",Estimación no verificada,https://fbref.com/es/jugadores/6a99e0b1/Inaki-Williams
2018-2019,24.0,Athletic Club,esESP,1.La Liga,38.0,"3,025",13.0,4.0,3.0,143.0,2.0,0.0,,,,,41.0,"3,168",15.0,4.0,36.0,"3,025",33.6,13.0,4.0,17.0,13.0,0.0,0.0,3.0,0.0,13.1,13.1,3.3,16.4,98.0,39.0,251.0,0.39,0.12,0.51,0.39,0.51,0.39,0.1,0.49,0.39,0.49,27.0,18.0,9.0,7.0,11.0,5.0,22.0,22.7,17.0,22.0,1.0,21.0,7.0,34.0,33.0,0.0,498.0,730.0,68.2,5920.0,967.0,337.0,428.0,78.7,105.0,161.0,65.2,11.0,25.0,44.0,4.0,3.3,4.0,0.7,29.0,18.0,17.0,5.0,39.0,730.0,691.0,35.0,0.0,8.0,2.0,31.0,8.0,1.0,0.0,0.0,0.0,498.0,4.0,39.0,38.0,96.0,410.0,617.0,181.0,1107.0,94.0,53.0,56.4,41.0,43.6,693.0,4755.0,2198.0,98.0,61.0,57.0,102.0,57.0,868.0,251.0,13.0,75.0,33.0,44.0,2.23,0.98,0.17,0.39,13.6,0.0,0.0,0.0,13.1,13.1,0.17,-0.1,-0.1,76.0,2.26,41.0,1.0,16.0,8.0,8.0,2.0,10.0,0.3,6.0,0.0,3.0,1.0,0.0,0.0,"3,025",80.0,88.5,33.6,36.0,83.0,19.0,2.0,22.0,0.0,1.39,38.0,39.0,-1.0,-0.03,0.65,39.0,38.7,0.3,0.01,0.58,3.0,0.0,0.0,40.0,52.0,21.0,31.0,7.0,18.0,0.0,0.0,0.0,82.0,77.0,92.0,45.6,"€ 70,192(£ 60,971, $76,929)","€ 3,650,000(£ 3,170,480, $4,000,320)",Estimación no verificada,https://fbref.com/es/jugadores/6a99e0b1/Inaki-Williams
2019-2020,25.0,Athletic Club,esESP,1.La Liga,38.0,"2,939",6.0,1.0,6.0,575.0,3.0,1.0,,,,,44.0,"3,514",9.0,2.0,34.0,"2,939",32.7,6.0,1.0,7.0,5.0,1.0,2.0,3.0,0.0,7.3,5.7,2.8,8.5,87.0,59.0,254.0,0.18,0.03,0.21,0.15,0.18,0.22,0.08,0.31,0.18,0.26,15.0,5.0,0.0,7.0,8.0,5.0,18.0,27.8,13.0,18.0,2.0,16.0,5.0,20.0,29.0,0.0,498.0,709.0,70.2,6993.0,1180.0,284.0,354.0,80.2,148.0,199.0,74.4,28.0,48.0,58.3,1.0,2.8,2.1,-1.8,25.0,20.0,27.0,8.0,59.0,709.0,687.0,18.0,3.0,1.0,7.0,55.0,3.0,0.0,0.0,0.0,0.0,498.0,4.0,32.0,34.0,88.0,398.0,569.0,111.0,1034.0,87.0,47.0,54.0,40.0,46.0,676.0,4499.0,2241.0,87.0,57.0,38.0,100.0,44.0,827.0,254.0,6.0,46.0,21.0,45.7,1.41,0.64,0.11,0.24,14.7,0.0,1.0,2.0,7.3,5.7,0.13,-1.3,-0.7,87.0,2.66,54.0,0.0,10.0,7.0,15.0,1.0,9.0,0.28,5.0,0.0,2.0,1.0,1.0,0.0,"2,939",77.0,85.9,32.7,34.0,82.0,11.0,4.0,37.0,0.0,1.34,35.0,30.0,5.0,0.15,0.53,34.8,39.6,-4.9,-0.15,0.31,3.0,0.0,0.0,30.0,47.0,29.0,55.0,5.0,5.0,1.0,0.0,0.0,82.0,63.0,74.0,46.0,"€ 65,577(£ 56,962, $71,871)","€ 3,410,000(£ 2,962,010, $3,737,286)",Estimación no verificada,https://fbref.com/es/jugadores/6a99e0b1/Inaki-Williams
2020-2021,26.0,Athletic Club,esESP,1.La Liga,38.0,"2,387",6.0,6.0,8.0,566.0,2.0,1.0,,,,,46.0,"2,953",8.0,7.0,27.0,"2,387",26.5,6.0,6.0,12.0,5.0,1.0,1.0,1.0,0.0,6.2,5.4,5.1,10.5,73.0,34.0,233.0,0.23,0.23,0.45,0.19,0.41,0.23,0.19,0.43,0.2,0.4,11.0,7.0,0.0,4.0,7.0,2.0,14.0,14.3,12.0,13.0,1.0,12.0,5.0,16.0,22.0,0.0,375.0,575.0,65.2,5236.0,956.0,220.0,289.0,76.1,100.0,147.0,68.0,22.0,36.0,61.1,6.0,5.1,3.2,0.9,30.0,12.0,17.0,9.0,34.0,575.0,546.0,23.0,1.0,1.0,5.0,46.0,7.0,0.0,0.0,0.0,0.0,375.0,6.0,34.0,24.0,52.0,311.0,479.0,132.0,836.0,59.0,33.0,55.9,26.0,44.1,477.0,3059.0,1551.0,73.0,26.0,41.0,67.0,53.0,682.0,233.0,6.0,52.0,16.0,30.8,1.96,0.6,0.1,0.31,15.2,0.0,1.0,1.0,6.2,5.4,0.1,-0.2,-0.4,62.0,2.34,42.0,1.0,11.0,2.0,6.0,0.0,9.0,0.34,8.0,0.0,1.0,0.0,0.0,0.0,"2,387",63.0,69.8,26.5,27.0,80.0,9.0,11.0,22.0,0.0,1.21,37.0,31.0,6.0,0.23,0.4,30.7,27.0,3.7,0.14,-0.01,1.0,0.0,0.0,17.0,36.0,12.0,46.0,5.0,7.0,0.0,0.0,0.0,56.0,39.0,57.0,40.6,"€ 114,808(£ 99,725, $125,827)","€ 5,970,000(£ 5,185,689, $6,542,990)",Estimación no verificada,https://fbref.com/es/jugadores/6a99e0b1/Inaki-Williams
2021-2022,27.0,Athletic Club,esESP,1.La Liga,38.0,"2,777",8.0,5.0,6.0,506.0,0.0,0.0,,,,,44.0,"3,283",8.0,5.0,32.0,"2,777",30.9,8.0,5.0,13.0,7.0,1.0,1.0,4.0,0.0,14.1,13.3,5.7,19.0,76.0,45.0,316.0,0.26,0.16,0.42,0.23,0.39,0.46,0.18,0.64,0.43,0.61,14.0,5.0,1.0,6.0,7.0,5.0,17.0,29.4,12.0,18.0,3.0,15.0,3.0,17.0,20.0,0.0,420.0,665.0,63.2,5590.0,1095.0,252.0,350.0,72.0,104.0,164.0,63.4,23.0,43.0,53.5,5.0,5.7,4.6,-0.7,33.0,25.0,23.0,3.0,45.0,665.0,640.0,19.0,0.0,5.0,5.0,48.0,4.0,0.0,0.0,0.0,0.0,420.0,6.0,26.0,28.0,56.0,367.0,591.0,190.0,1002.0,56.0,28.0,50.0,27.0,48.2,555.0,3354.0,1539.0,76.0,37.0,41.0,90.0,42.0,815.0,316.0,8.0,94.0,35.0,37.2,3.05,1.13,0.07,0.2,14.0,0.0,1.0,1.0,14.1,13.3,0.14,-6.1,-6.3,75.0,2.43,50.0,0.0,7.0,9.0,8.0,1.0,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,"2,777",73.0,81.2,30.9,32.0,82.0,18.0,6.0,26.0,0.0,1.45,33.0,25.0,8.0,0.26,0.4,40.7,31.3,9.4,0.3,0.04,4.0,0.0,0.0,24.0,40.0,29.0,48.0,3.0,5.0,0.0,0.0,0.0,58.0,49.0,56.0,46.7,"€ 114,808(£ 99,725, $125,827)","€ 5,970,000(£ 5,185,689, $6,542,990)",Estimación no verificada,https://fbref.com/es/jugadores/6a99e0b1/Inaki-Williams
2022-2023,28.0,Athletic Club,esESP,1.La Liga,36.0,"2,836",10.0,3.0,6.0,388.0,1.0,2.0,,,,,42.0,"3,224",11.0,5.0,34.0,"2,836",31.5,10.0,3.0,13.0,9.0,1.0,2.0,2.0,0.0,10.7,9.1,4.8,13.9,127.0,61.0,341.0,0.32,0.1,0.41,0.29,0.38,0.34,0.15,0.49,0.29,0.44,22.0,16.0,5.0,14.0,3.0,9.0,24.0,37.5,15.0,18.0,3.0,15.0,7.0,29.0,34.0,0.0,531.0,827.0,64.2,7395.0,1648.0,315.0,403.0,78.2,160.0,260.0,61.5,25.0,57.0,43.9,3.0,4.8,4.1,-1.8,38.0,24.0,27.0,9.0,61.0,827.0,773.0,50.0,1.0,3.0,6.0,98.0,15.0,0.0,0.0,0.0,0.0,531.0,4.0,49.0,38.0,103.0,389.0,707.0,181.0,1180.0,105.0,47.0,44.8,48.0,45.7,756.0,5180.0,2721.0,127.0,53.0,57.0,73.0,42.0,915.0,341.0,10.0,83.0,32.0,38.6,2.63,1.02,0.11,0.28,15.1,0.0,1.0,2.0,10.7,9.1,0.11,-0.7,-0.1,85.0,2.7,62.0,0.0,12.0,6.0,4.0,1.0,9.0,0.29,6.0,0.0,1.0,1.0,1.0,0.0,"2,836",79.0,82.9,31.5,34.0,82.0,15.0,2.0,25.0,0.0,1.33,37.0,35.0,2.0,0.06,-0.24,44.2,28.7,15.5,0.49,0.21,2.0,0.0,0.0,31.0,31.0,22.0,98.0,7.0,16.0,0.0,0.0,0.0,76.0,32.0,36.0,47.1,"€ 219,231(£ 188,607, $239,720)","€ 11,400,000(£ 9,807,538, $12,465,451)",,https://fbref.com/es/jugadores/6a99e0b1/Inaki-Williams
2023-2024,29.0,Athletic Club,esESP,1.La Liga,34.0,"2,844",12.0,3.0,5.0,332.0,2.0,2.0,,,,,39.0,"3,176",14.0,5.0,32.0,"2,844",31.6,12.0,3.0,15.0,12.0,0.0,0.0,4.0,0.0,9.4,9.4,6.3,15.8,114.0,78.0,333.0,0.38,0.09,0.47,0.38,0.47,0.3,0.2,0.5,0.3,0.5,24.0,17.0,6.0,8.0,10.0,13.0,34.0,38.2,21.0,42.0,8.0,34.0,14.0,38.0,29.0,0.0,668.0,995.0,67.1,8942.0,2406.0,444.0,557.0,79.7,191.0,285.0,67.0,18.0,55.0,32.7,3.0,6.3,5.8,-3.3,44.0,29.0,53.0,17.0,78.0,995.0,953.0,33.0,4.0,12.0,4.0,111.0,19.0,0.0,0.0,0.0,0.0,668.0,9.0,51.0,47.0,134.0,463.0,859.0,175.0,1435.0,120.0,49.0,40.8,60.0,50.0,907.0,5587.0,2913.0,114.0,66.0,51.0,86.0,48.0,1063.0,333.0,12.0,93.0,43.0,46.2,2.94,1.36,0.13,0.28,15.4,0.0,0.0,0.0,9.4,9.4,0.1,2.6,2.6,104.0,3.29,77.0,0.0,12.0,5.0,8.0,2.0,9.0,0.28,7.0,0.0,1.0,0.0,1.0,0.0,"2,844",84.0,83.2,31.6,32.0,87.0,19.0,2.0,37.0,0.0,1.74,52.0,31.0,21.0,0.66,0.2,45.7,32.7,13.0,0.41,0.65,4.0,0.0,0.0,32.0,45.0,25.0,111.0,14.0,17.0,0.0,0.0,1.0,119.0,32.0,23.0,58.2,"€ 219,231(£ 185,213, $235,595)","€ 11,400,000(£ 9,631,052, $12,250,950)",,https://fbref.com/es/jugadores/6a99e0b1/Inaki-Williams
