Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,19,Osasuna,esESP,2.La Liga 2,13.0,464,0.0,0.0,1.0,40.0,0.0,0.0,,,,,14,504,0,0,4.0,464,5.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.0,,,0.78,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,464,36.0,12.3,5.2,4.0,,1.0,9.0,,4.0,1.0,6.0,9.0,-3.0,-0.58,-0.15,,,,,,2.0,1.0,,,,,,,,,,,,,,,"€ 12,115(£ 10,524, $13,278)","€ 630,000(£ 547,234, $690,466)",Estimación no verificada,https://fbref.com/es/jugadores/dc1c2fce/Alex-Berenguer
2015-2016,20,Osasuna,esESP,2.La Liga 2,38.0,"1,839",3.0,4.0,,,,,,,,,38,"1,839",3,4,19.0,"1,839",20.4,3.0,4.0,7.0,3.0,0.0,0.0,9.0,1.0,,,,,,,,0.15,0.2,0.34,0.15,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,12.0,,,0.59,,0.25,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,839",48.0,48.7,20.4,19.0,,4.0,19.0,,1.0,1.56,24.0,17.0,7.0,0.34,0.34,,,,,,9.0,1.0,,49.0,,,,,,,,,,,,,"€ 24,615(£ 21,382, $26,978)","€ 1,280,000(£ 1,111,840, $1,402,852)",Estimación no verificada,https://fbref.com/es/jugadores/dc1c2fce/Alex-Berenguer
2016-2017,21,Osasuna,esESP,1.La Liga,29.0,"2,120",1.0,6.0,2.0,135.0,1.0,0.0,,,,,31,"2,255",2,6,22.0,"2,120",23.6,1.0,6.0,7.0,1.0,0.0,0.0,3.0,0.0,,,,,,,,0.04,0.25,0.3,0.04,0.3,,,,,,,52.0,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,16.0,5.0,31.3,0.68,0.21,0.06,0.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,120",73.0,62.0,23.6,22.0,86.0,18.0,7.0,32.0,1.0,0.62,27.0,55.0,-28.0,-1.19,0.61,,,,,,3.0,0.0,0.0,29.0,35.0,2.0,77.0,53.0,52.0,0.0,1.0,0.0,,,,,"€ 25,000(£ 21,716, $27,399)","€ 1,300,000(£ 1,129,212, $1,424,772)",Estimación no verificada,https://fbref.com/es/jugadores/dc1c2fce/Alex-Berenguer
2017-2018,22,Torino,itITA,1.Serie A,22.0,"1,043",1.0,3.0,3.0,199.0,1.0,1.0,,,,,25,"1,242",2,4,11.0,"1,043",11.6,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.2,3.2,44.0,41.0,109.0,0.09,0.26,0.35,0.09,0.35,0.08,0.19,0.27,0.08,0.27,18.0,15.0,7.0,8.0,3.0,5.0,17.0,29.4,12.0,22.0,3.0,19.0,10.0,28.0,13.0,0.0,349.0,479.0,72.9,4579.0,1497.0,216.0,252.0,85.7,80.0,113.0,70.8,19.0,49.0,38.8,3.0,2.2,1.9,0.8,24.0,29.0,13.0,2.0,41.0,479.0,417.0,60.0,23.0,1.0,4.0,47.0,8.0,27.0,11.0,8.0,1.0,349.0,2.0,21.0,10.0,89.0,268.0,302.0,36.0,642.0,58.0,35.0,60.3,23.0,39.7,408.0,3082.0,1436.0,44.0,32.0,13.0,35.0,39.0,446.0,109.0,1.0,14.0,9.0,64.3,1.21,0.78,0.07,0.11,21.0,0.0,0.0,0.0,1.0,1.0,0.07,0.0,0.0,46.0,3.97,28.0,11.0,2.0,2.0,2.0,1.0,5.0,0.43,4.0,1.0,0.0,0.0,0.0,0.0,"1,043",47.0,30.5,11.6,11.0,,6.0,11.0,,13.0,1.64,18.0,13.0,5.0,0.43,0.32,13.4,13.6,-0.2,-0.02,0.01,1.0,0.0,0.0,28.0,19.0,2.0,47.0,10.0,15.0,0.0,0.0,0.0,57.0,13.0,16.0,44.8,"€ 25,000(£ 21,716, $27,399)","€ 1,300,000(£ 1,129,212, $1,424,772)",,https://fbref.com/es/jugadores/dc1c2fce/Alex-Berenguer
2018-2019,23,Torino,itITA,1.Serie A,31.0,"1,486",2.0,3.0,3.0,182.0,0.0,1.0,,,,,34,"1,668",2,4,15.0,"1,486",16.5,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,1.0,1.0,3.7,4.7,63.0,45.0,166.0,0.12,0.18,0.3,0.12,0.3,0.06,0.23,0.28,0.06,0.28,31.0,20.0,12.0,17.0,2.0,14.0,34.0,41.2,20.0,20.0,1.0,19.0,8.0,39.0,14.0,0.0,535.0,764.0,70.0,8169.0,2104.0,294.0,350.0,84.0,152.0,222.0,68.5,51.0,109.0,46.8,3.0,3.7,3.4,-0.7,35.0,21.0,22.0,7.0,45.0,764.0,625.0,137.0,26.0,3.0,6.0,90.0,75.0,34.0,12.0,11.0,1.0,535.0,2.0,30.0,11.0,123.0,419.0,454.0,50.0,980.0,66.0,33.0,50.0,33.0,50.0,575.0,3939.0,2000.0,63.0,54.0,15.0,52.0,51.0,669.0,166.0,2.0,22.0,7.0,31.8,1.33,0.42,0.09,0.29,20.2,0.0,0.0,0.0,1.0,1.0,0.04,1.0,1.0,72.0,4.36,45.0,12.0,7.0,2.0,6.0,0.0,8.0,0.48,4.0,2.0,0.0,0.0,2.0,0.0,"1,486",48.0,43.5,16.5,15.0,82.0,7.0,16.0,16.0,7.0,1.68,25.0,16.0,9.0,0.55,0.27,22.5,19.9,2.6,0.16,0.33,4.0,0.0,0.0,27.0,33.0,3.0,90.0,8.0,20.0,1.0,0.0,0.0,72.0,17.0,42.0,28.8,"€ 54,808(£ 47,607, $60,068)","€ 2,850,000(£ 2,475,580, $3,123,538)",Estimación no verificada,https://fbref.com/es/jugadores/dc1c2fce/Alex-Berenguer
2019-2020,24,Torino,itITA,1.Serie A,29.0,"1,823",6.0,2.0,2.0,209.0,0.0,1.0,,,,,31,"2,032",6,3,21.0,"1,823",20.3,6.0,2.0,8.0,6.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,8.0,97.0,77.0,121.0,0.3,0.1,0.39,0.3,0.39,0.2,0.2,0.4,0.2,0.4,20.0,6.0,6.0,13.0,1.0,8.0,33.0,24.2,25.0,17.0,1.0,16.0,18.0,38.0,17.0,0.0,582.0,791.0,73.6,8736.0,2533.0,347.0,394.0,88.1,155.0,219.0,70.8,50.0,109.0,45.9,2.0,4.0,3.2,-2.0,35.0,42.0,30.0,5.0,77.0,791.0,685.0,104.0,29.0,4.0,4.0,69.0,42.0,30.0,8.0,8.0,0.0,582.0,2.0,21.0,21.0,153.0,452.0,481.0,67.0,1061.0,104.0,65.0,62.5,39.0,37.5,672.0,4983.0,2827.0,97.0,58.0,24.0,55.0,48.0,736.0,121.0,6.0,40.0,14.0,35.0,1.97,0.69,0.15,0.43,17.8,0.0,0.0,0.0,4.0,4.0,0.1,2.0,2.0,85.0,4.2,49.0,13.0,10.0,6.0,6.0,1.0,8.0,0.39,5.0,1.0,2.0,0.0,0.0,0.0,"1,823",63.0,53.3,20.3,21.0,79.0,8.0,8.0,21.0,7.0,1.1,28.0,36.0,-8.0,-0.39,0.39,24.6,30.3,-5.8,-0.29,0.29,4.0,0.0,0.0,28.0,40.0,8.0,69.0,18.0,6.0,0.0,0.0,0.0,106.0,15.0,43.0,25.9,"€ 54,808(£ 47,607, $60,068)","€ 2,850,000(£ 2,475,580, $3,123,538)",Estimación no verificada,https://fbref.com/es/jugadores/dc1c2fce/Alex-Berenguer
2019-2020,24,Athletic Club,esESP,1.La Liga,,,,,1.0,75.0,0.0,0.0,,,,,1,75,0,0,2.0,131,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,5.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.3,0.3,2.0,0.0,0.0,0.0,2.0,2.0,5.0,40.0,3.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,32.0,47.0,68.1,467.0,122.0,21.0,26.0,80.8,9.0,12.0,75.0,1.0,6.0,16.7,0.0,0.0,0.1,0.0,0.0,4.0,1.0,0.0,6.0,47.0,42.0,4.0,2.0,2.0,0.0,5.0,0.0,2.0,0.0,2.0,0.0,32.0,1.0,0.0,3.0,4.0,32.0,28.0,1.0,63.0,2.0,2.0,100.0,0.0,0.0,30.0,257.0,181.0,5.0,3.0,0.0,3.0,2.0,44.0,3.0,0.0,2.0,2.0,100.0,1.37,1.37,0.0,0.0,16.0,0.0,0.0,0.0,0.4,0.4,0.22,-0.4,-0.4,3.0,2.06,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.69,1.0,0.0,0.0,0.0,0.0,0.0,131,66.0,3.8,1.5,2.0,66.0,0.0,0.0,,0.0,0.0,2.0,4.0,-2.0,-1.37,-0.91,1.1,3.1,-2.0,-1.36,-1.09,0.0,0.0,0.0,2.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,50.0,"€ 32,692(£ 28,126, $35,748)","€ 1,700,000(£ 1,462,528, $1,858,883)",Estimación no verificada,https://fbref.com/es/jugadores/dc1c2fce/Alex-Berenguer
2020-2021,25,Torino,itITA,1.Serie A,2.0,131,0.0,0.0,,,,,,,,,2,131,0,0,27.0,"2,278",25.3,8.0,4.0,12.0,8.0,0.0,0.0,4.0,0.0,6.2,6.2,3.4,9.7,64.0,85.0,201.0,0.32,0.16,0.47,0.32,0.47,0.25,0.14,0.38,0.25,0.38,47.0,31.0,21.0,20.0,6.0,9.0,51.0,17.6,42.0,48.0,3.0,45.0,18.0,65.0,27.0,0.0,601.0,917.0,65.5,8373.0,2615.0,363.0,434.0,83.6,163.0,246.0,66.3,35.0,124.0,28.2,4.0,3.4,3.7,0.6,38.0,25.0,40.0,10.0,85.0,917.0,789.0,121.0,25.0,0.0,3.0,147.0,10.0,86.0,30.0,30.0,1.0,601.0,7.0,37.0,27.0,163.0,406.0,730.0,75.0,1276.0,73.0,35.0,47.9,38.0,52.1,640.0,4115.0,2105.0,64.0,52.0,21.0,55.0,39.0,821.0,201.0,8.0,48.0,15.0,31.3,1.9,0.59,0.17,0.53,17.4,4.0,0.0,0.0,6.2,6.2,0.13,1.8,1.8,87.0,3.44,61.0,14.0,6.0,1.0,4.0,1.0,12.0,0.47,9.0,1.0,1.0,0.0,1.0,0.0,"2,278",65.0,66.6,25.3,27.0,78.0,8.0,8.0,22.0,0.0,1.23,33.0,23.0,10.0,0.4,0.87,32.7,23.4,9.2,0.36,0.67,4.0,0.0,0.0,48.0,46.0,18.0,147.0,18.0,31.0,1.0,0.0,0.0,110.0,23.0,42.0,35.4,"€ 32,692(£ 27,619, $35,133)","€ 1,700,000(£ 1,436,209, $1,826,896)",Estimación no verificada,https://fbref.com/es/jugadores/dc1c2fce/Alex-Berenguer
2020-2021,25,Athletic Club,esESP,1.La Liga,35.0,"2,278",8.0,4.0,8.0,520.0,1.0,0.0,,,,,43,"2,798",9,4,24.0,"2,168",24.1,3.0,6.0,9.0,3.0,0.0,1.0,8.0,0.0,5.2,4.5,5.4,9.9,59.0,77.0,202.0,0.12,0.25,0.37,0.12,0.37,0.22,0.23,0.44,0.19,0.41,45.0,26.0,23.0,14.0,8.0,11.0,51.0,21.6,40.0,40.0,2.0,38.0,16.0,61.0,20.0,0.0,548.0,877.0,62.5,8138.0,2773.0,311.0,393.0,79.1,152.0,239.0,63.6,47.0,139.0,33.8,6.0,5.4,5.4,0.6,43.0,33.0,25.0,12.0,77.0,877.0,760.0,108.0,26.0,7.0,6.0,145.0,6.0,73.0,20.0,29.0,0.0,548.0,9.0,41.0,22.0,160.0,446.0,633.0,81.0,1224.0,71.0,33.0,46.5,38.0,53.5,633.0,3718.0,1831.0,59.0,39.0,16.0,70.0,36.0,795.0,202.0,3.0,45.0,14.0,31.1,1.87,0.58,0.07,0.21,18.0,1.0,0.0,1.0,5.2,4.5,0.1,-2.2,-1.5,77.0,3.2,47.0,16.0,6.0,3.0,4.0,1.0,10.0,0.41,6.0,2.0,0.0,1.0,0.0,1.0,"2,168",64.0,63.4,24.1,24.0,79.0,11.0,10.0,26.0,2.0,1.5,28.0,17.0,11.0,0.46,0.74,33.3,20.2,13.1,0.54,0.68,8.0,0.0,0.0,44.0,46.0,14.0,145.0,16.0,26.0,0.0,0.0,0.0,105.0,49.0,58.0,45.8,"€ 24,038(£ 20,663, $27,301)","€ 1,250,000(£ 1,074,480, $1,419,640)",Estimación no verificada,https://fbref.com/es/jugadores/dc1c2fce/Alex-Berenguer
2021-2022,26,Athletic Club,esESP,1.La Liga,34.0,"2,168",3.0,6.0,7.0,423.0,1.0,0.0,,,,,41,"2,591",4,6,26.0,"2,297",25.5,4.0,1.0,5.0,4.0,0.0,0.0,2.0,0.0,4.3,4.3,4.6,9.0,73.0,77.0,249.0,0.16,0.04,0.2,0.16,0.2,0.17,0.18,0.35,0.17,0.35,58.0,37.0,17.0,25.0,16.0,23.0,60.0,38.3,37.0,37.0,4.0,33.0,10.0,68.0,6.0,0.0,630.0,955.0,66.0,9379.0,2766.0,372.0,441.0,84.4,163.0,266.0,61.3,62.0,152.0,40.8,1.0,4.6,5.2,-3.6,52.0,25.0,41.0,16.0,77.0,955.0,792.0,151.0,35.0,0.0,2.0,162.0,15.0,100.0,36.0,32.0,1.0,630.0,12.0,31.0,22.0,135.0,390.0,794.0,117.0,1298.0,85.0,37.0,43.5,44.0,51.8,716.0,4451.0,2024.0,73.0,54.0,35.0,63.0,39.0,848.0,249.0,4.0,56.0,19.0,33.9,2.19,0.74,0.07,0.21,18.0,4.0,0.0,0.0,4.3,4.3,0.08,-0.3,-0.3,98.0,3.84,48.0,29.0,9.0,5.0,4.0,3.0,4.0,0.16,2.0,0.0,1.0,1.0,0.0,0.0,"2,297",62.0,67.2,25.5,26.0,78.0,10.0,11.0,25.0,1.0,1.3,30.0,33.0,-3.0,-0.12,-0.68,33.7,25.4,8.4,0.33,-0.39,2.0,0.0,0.0,48.0,25.0,19.0,162.0,10.0,37.0,0.0,0.0,0.0,114.0,35.0,42.0,45.5,"€ 24,038(£ 20,663, $27,301)","€ 1,250,000(£ 1,074,480, $1,419,640)",Estimación no verificada,https://fbref.com/es/jugadores/dc1c2fce/Alex-Berenguer
