Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,20,Valencia,esESP,1.La Liga,25,743,1,4,4,287,1,0,,,,,29,"1,030",2,4,6,743,8.3,1,4,5,1,0,0,3,1,,,,,,,,0.12,0.48,0.61,0.12,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,,,0.85,,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,,743,30,21.7,8.3,6,,0,19,,8,1.96,16,9,7,0.85,-0.19,,,,,,3,1,,15,,,,,,,,,,,,,"€ 22,885(£ 19,878, $25,081)","€ 1,190,000(£ 1,033,663, $1,304,214)",Estimación no verificada,https://fbref.com/es/jugadores/162efffd/Rodrigo-De-Paul
2015-2016,21,Valencia,esESP,1.La Liga,9,521,0,0,3,70,0,0,2.0,86.0,0.0,0.0,14,677,0,0,6,521,5.8,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,6.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10.0,2,20.0,1.73,0.35,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,521,58,15.2,5.8,6,78.0,2,3,19.0,9,0.78,3,8,-5,-0.86,-0.96,,,,,,3,0,0.0,9,10.0,1.0,35.0,4.0,6.0,0.0,0.0,0.0,,,,,"€ 14,615(£ 12,695, $16,018)","€ 760,000(£ 660,155, $832,943)",Estimación no verificada,https://fbref.com/es/jugadores/162efffd/Rodrigo-De-Paul
2016-2017,22,Udinese,itITA,1.Serie A,34,"2,337",4,1,1,90,1,0,,,,,35,"2,427",5,1,32,"2,337",26.0,4,1,5,4,0,0,7,1,,,,,,,,0.15,0.04,0.19,0.15,0.19,,,,,,,42.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,42.0,13,31.0,1.62,0.5,0.1,0.31,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,337",69,68.3,26.0,32,,10,2,,2,1.24,33,27,6,0.23,1.48,,,,,,7,1,0.0,38,50.0,1.0,176.0,16.0,42.0,0.0,1.0,0.0,,,,,"€ 15,962(£ 13,865, $17,494)","€ 830,000(£ 720,958, $909,662)",Estimación no verificada,https://fbref.com/es/jugadores/162efffd/Rodrigo-De-Paul
2017-2018,23,Udinese,itITA,1.Serie A,37,"2,319",4,8,2,135,0,0,,,,,39,"2,454",4,8,25,"2,319",25.8,4,8,12,0,4,4,4,0,6.3,3.2,7.6,10.8,108.0,145.0,211.0,0.16,0.31,0.47,0.0,0.31,0.24,0.29,0.54,0.12,0.42,31.0,18.0,10.0,17.0,4.0,4.0,32.0,12.5,28.0,34.0,1.0,33.0,16.0,47.0,8.0,0.0,778.0,1128.0,69.0,14674.0,4732.0,349.0,433.0,80.6,298.0,399.0,74.7,117.0,226.0,51.8,8,7.6,5.5,0.4,67.0,100.0,46.0,16.0,145.0,1128.0,970.0,148.0,45.0,12.0,14.0,165.0,17.0,77.0,34.0,28.0,0.0,778.0,10.0,50.0,11.0,108.0,708.0,647.0,48.0,1427.0,119.0,72.0,60.5,47.0,39.5,1020.0,7000.0,3471.0,108.0,93.0,15.0,57.0,61.0,1067.0,211.0,4,49.0,12,24.5,1.9,0.47,0.0,0.0,24.3,3.0,4,4,6.3,3.2,0.06,-2.3,-3.2,121.0,4.69,76.0,25.0,6.0,6.0,7.0,1.0,12.0,0.47,8.0,3.0,0.0,1.0,0.0,0.0,"2,319",63,67.8,25.8,25,,14,12,,1,1.08,27,44,-17,-0.66,-0.82,29.8,35.2,-5.4,-0.21,-0.15,4,0,0.0,33,63.0,2.0,165.0,16.0,18.0,0.0,0.0,0.0,123.0,4.0,18.0,18.2,"€ 15,962(£ 13,865, $17,494)","€ 830,000(£ 720,958, $909,662)",Estimación no verificada,https://fbref.com/es/jugadores/162efffd/Rodrigo-De-Paul
2018-2019,24,Udinese,itITA,1.Serie A,36,"3,189",9,9,1,120,0,0,,,,,37,"3,309",9,9,36,"3,189",35.4,9,9,18,6,3,6,7,0,9.7,5.0,8.1,13.1,186.0,247.0,132.0,0.25,0.25,0.51,0.17,0.42,0.27,0.23,0.5,0.14,0.37,53.0,33.0,21.0,27.0,5.0,13.0,42.0,31.0,29.0,35.0,2.0,33.0,32.0,85.0,28.0,0.0,1289.0,1825.0,70.6,25826.0,8511.0,527.0,619.0,85.1,446.0,623.0,71.6,263.0,436.0,60.3,9,8.1,8.6,0.9,97.0,188.0,79.0,17.0,247.0,1825.0,1569.0,243.0,110.0,15.0,51.0,205.0,24.0,107.0,38.0,52.0,0.0,1289.0,13.0,52.0,19.0,293.0,1211.0,844.0,51.0,2288.0,139.0,81.0,58.3,58.0,41.7,1569.0,12097.0,6533.0,186.0,144.0,21.0,87.0,65.0,1617.0,132.0,9,82.0,26,31.7,2.31,0.73,0.07,0.23,26.0,7.0,3,6,9.7,5.0,0.06,-0.7,1.0,184.0,5.19,124.0,37.0,12.0,6.0,5.0,0.0,14.0,0.4,8.0,4.0,1.0,1.0,0.0,0.0,"3,189",89,93.2,35.4,36,89.0,31,0,,0,1.03,35,51,-16,-0.45,-1.23,38.7,55.2,-16.5,-0.46,-0.17,7,0,0.0,30,94.0,0.0,205.0,32.0,33.0,0.0,1.0,0.0,248.0,3.0,21.0,12.5,"€ 35,577(£ 30,903, $38,992)","€ 1,850,000(£ 1,606,956, $2,027,560)",,https://fbref.com/es/jugadores/162efffd/Rodrigo-De-Paul
2019-2020,25,Udinese,itITA,1.Serie A,34,"2,822",7,6,1,87,0,0,,,,,35,"2,909",7,6,33,"2,822",31.4,7,6,13,7,0,0,5,1,5.1,5.1,9.4,14.6,176.0,227.0,183.0,0.22,0.19,0.41,0.22,0.41,0.16,0.3,0.46,0.16,0.46,61.0,31.0,31.0,26.0,4.0,27.0,65.0,41.5,38.0,38.0,3.0,35.0,29.0,90.0,8.0,1.0,1357.0,1837.0,73.9,25313.0,7196.0,589.0,685.0,86.0,505.0,653.0,77.3,208.0,367.0,56.7,6,9.4,7.2,-3.4,77.0,142.0,63.0,20.0,227.0,1837.0,1596.0,231.0,90.0,7.0,41.0,240.0,23.0,117.0,39.0,39.0,0.0,1357.0,10.0,44.0,20.0,314.0,1084.0,892.0,89.0,2241.0,92.0,62.0,67.4,30.0,32.6,1459.0,10499.0,6029.0,176.0,132.0,32.0,70.0,48.0,1562.0,183.0,7,85.0,29,34.1,2.71,0.92,0.08,0.24,22.1,3.0,0,0,5.1,5.1,0.06,1.9,1.9,165.0,5.26,104.0,33.0,9.0,7.0,6.0,6.0,17.0,0.54,6.0,4.0,2.0,2.0,1.0,2.0,"2,822",83,82.5,31.4,33,85.0,26,1,20.0,0,1.21,32,43,-11,-0.35,0.1,35.3,44.9,-9.6,-0.31,0.03,5,1,0.0,33,76.0,2.0,240.0,29.0,31.0,0.0,0.0,0.0,220.0,1.0,9.0,10.0,"€ 35,577(£ 30,903, $38,992)","€ 1,850,000(£ 1,606,956, $2,027,560)",,https://fbref.com/es/jugadores/162efffd/Rodrigo-De-Paul
2020-2021,26,Udinese,itITA,1.Serie A,36,"3,201",9,9,2,196,0,0,,,,,38,"3,397",9,9,36,"3,201",35.6,9,9,18,6,3,3,5,2,6.2,3.8,11.2,15.1,167.0,308.0,135.0,0.25,0.25,0.51,0.17,0.42,0.17,0.32,0.49,0.11,0.42,41.0,24.0,17.0,22.0,2.0,15.0,60.0,25.0,45.0,32.0,1.0,31.0,17.0,58.0,20.0,1.0,1549.0,2134.0,72.6,30867.0,10628.0,597.0,707.0,84.4,639.0,817.0,78.2,267.0,475.0,56.2,9,11.2,10.3,-2.2,82.0,210.0,86.0,24.0,308.0,2134.0,1813.0,300.0,176.0,12.0,38.0,262.0,13.0,111.0,31.0,65.0,0.0,1549.0,21.0,38.0,21.0,351.0,1257.0,996.0,59.0,2545.0,182.0,122.0,67.0,60.0,33.0,1675.0,12061.0,6259.0,167.0,142.0,21.0,93.0,56.0,1855.0,135.0,9,79.0,19,24.1,2.22,0.53,0.08,0.32,25.5,10.0,3,3,6.2,3.8,0.05,2.8,2.2,180.0,5.06,104.0,37.0,15.0,9.0,13.0,2.0,18.0,0.51,12.0,1.0,2.0,2.0,1.0,0.0,"3,201",89,93.6,35.6,36,89.0,33,0,,0,1.03,39,56,-17,-0.48,-0.89,41.8,48.9,-7.0,-0.2,-0.28,5,2,1.0,33,125.0,1.0,262.0,17.0,24.0,0.0,1.0,0.0,208.0,5.0,11.0,31.3,"€ 128,269(£ 111,418, $140,580)","€ 6,670,000(£ 5,793,726, $7,310,175)",,https://fbref.com/es/jugadores/162efffd/Rodrigo-De-Paul
2021-2022,27,Atlético Madrid,esESP,1.La Liga,36,"2,151",3,1,3,207,0,0,9.0,578.0,1.0,0.0,48,"2,936",4,1,24,"2,151",23.9,3,1,4,3,0,0,7,0,1.6,1.6,4.6,6.2,65.0,162.0,53.0,0.13,0.04,0.17,0.13,0.17,0.07,0.19,0.26,0.07,0.26,55.0,30.0,22.0,25.0,8.0,30.0,60.0,50.0,30.0,24.0,3.0,21.0,21.0,76.0,17.0,2.0,1106.0,1407.0,78.6,20406.0,6700.0,495.0,551.0,89.8,379.0,454.0,83.5,177.0,290.0,61.0,1,4.6,4.8,-3.6,49.0,132.0,40.0,10.0,162.0,1407.0,1265.0,134.0,68.0,21.0,31.0,92.0,17.0,46.0,9.0,32.0,0.0,1106.0,8.0,24.0,29.0,279.0,984.0,415.0,20.0,1659.0,38.0,25.0,65.8,13.0,34.2,973.0,5519.0,2768.0,65.0,59.0,5.0,35.0,31.0,1161.0,53.0,3,24.0,9,37.5,1.0,0.38,0.13,0.33,22.8,0.0,0,0,1.6,1.6,0.07,1.4,1.4,95.0,3.97,68.0,21.0,2.0,1.0,2.0,1.0,6.0,0.25,5.0,1.0,0.0,0.0,0.0,0.0,"2,151",60,62.9,23.9,24,77.0,9,12,26.0,1,1.81,43,24,19,0.79,0.58,37.0,20.0,17.0,0.71,0.42,7,0,0.0,45,59.0,1.0,92.0,21.0,30.0,0.0,0.0,0.0,159.0,17.0,21.0,44.7,"€ 128,269(£ 110,351, $140,257)","€ 6,670,000(£ 5,738,270, $7,293,382)",,https://fbref.com/es/jugadores/162efffd/Rodrigo-De-Paul
2022-2023,28,Atlético Madrid,esESP,1.La Liga,30,"1,923",2,7,3,205,0,1,5.0,256.0,1.0,0.0,38,"2,384",3,8,24,"1,923",21.4,2,7,9,2,0,0,5,0,1.6,1.6,5.5,7.1,55.0,182.0,68.0,0.09,0.33,0.42,0.09,0.42,0.07,0.26,0.33,0.07,0.33,35.0,21.0,11.0,18.0,6.0,18.0,35.0,51.4,17.0,20.0,3.0,17.0,8.0,43.0,7.0,0.0,1160.0,1421.0,81.6,19936.0,6409.0,593.0,655.0,90.5,383.0,455.0,84.2,144.0,223.0,64.6,7,5.5,3.8,1.5,48.0,145.0,47.0,7.0,182.0,1421.0,1335.0,74.0,47.0,17.0,32.0,47.0,15.0,8.0,2.0,4.0,0.0,1160.0,12.0,27.0,14.0,261.0,923.0,425.0,18.0,1598.0,32.0,16.0,50.0,11.0,34.4,1026.0,5240.0,2897.0,55.0,41.0,3.0,32.0,15.0,1280.0,68.0,2,21.0,5,23.8,0.98,0.23,0.1,0.4,24.5,1.0,0,0,1.6,1.6,0.07,0.4,0.4,88.0,4.12,77.0,7.0,1.0,0.0,3.0,0.0,11.0,0.52,10.0,0.0,0.0,0.0,1.0,0.0,"1,923",64,56.2,21.4,24,74.0,5,6,27.0,3,2.07,40,20,20,0.94,-0.09,33.1,23.3,9.8,0.46,-0.2,5,0,0.0,33,49.0,0.0,47.0,8.0,21.0,0.0,0.0,0.0,127.0,6.0,8.0,42.9,"€ 128,269(£ 108,366, $137,844)","€ 6,670,000(£ 5,635,010, $7,167,880)",,https://fbref.com/es/jugadores/162efffd/Rodrigo-De-Paul
2023-2024,29,Atlético Madrid,esESP,1.La Liga,34,"2,075",3,5,6,508,0,1,8.0,611.0,1.0,0.0,48,"3,194",4,6,25,"2,075",23.1,3,5,8,3,0,0,7,0,1.8,1.8,5.0,6.8,73.0,202.0,55.0,0.13,0.22,0.35,0.13,0.35,0.08,0.22,0.3,0.08,0.3,31.0,21.0,11.0,14.0,6.0,15.0,38.0,39.5,23.0,28.0,1.0,27.0,11.0,42.0,15.0,2.0,1291.0,1553.0,83.1,21996.0,6879.0,635.0,688.0,92.3,463.0,548.0,84.5,148.0,218.0,67.9,5,5.0,6.2,0.0,39.0,146.0,63.0,7.0,202.0,1553.0,1461.0,75.0,51.0,23.0,16.0,46.0,12.0,12.0,3.0,4.0,0.0,1291.0,17.0,23.0,27.0,274.0,1054.0,460.0,40.0,1768.0,55.0,28.0,50.9,20.0,36.4,1188.0,7372.0,3718.0,73.0,60.0,11.0,33.0,13.0,1395.0,55.0,3,30.0,12,40.0,1.3,0.52,0.1,0.25,19.8,1.0,0,0,1.8,1.8,0.06,1.2,1.2,82.0,3.55,71.0,3.0,2.0,3.0,3.0,0.0,12.0,0.52,10.0,0.0,0.0,2.0,0.0,0.0,"2,075",61,60.7,23.1,25,71.0,5,9,32.0,0,1.97,41,26,15,0.65,-0.15,37.0,25.0,12.0,0.52,-0.21,7,0,0.0,27,59.0,1.0,46.0,11.0,21.0,0.0,0.0,0.0,145.0,5.0,4.0,55.6,"€ 128,269(£ 110,258, $145,677)","€ 6,670,000(£ 5,733,425, $7,575,198)",,https://fbref.com/es/jugadores/162efffd/Rodrigo-De-Paul
