Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,20,Atlético Madrid,esESP,1.La Liga,26,958,5,4,5,303,2,0,5,125,1,0,36,"1,386",8,4,8,958,10.6,5,4,9,5,0,0,7,0,,,,,,,,0.47,0.38,0.85,0.47,0.85,,,,,,,18,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,31,14,45.2,2.91,1.32,0.16,0.36,,,0,0,,,,,,,,,,,,,,,,,,,,,,958,37,28.0,10.6,8,62,1,18,26,10,2.35,20,5,15,1.41,0.31,,,,,,7,0,0,22,20,3,16,11,18,0,0,0,,,,,"€ 23,269(£ 20,212, $25,503)","€ 1,210,000(£ 1,051,036, $1,326,134)",Estimación no verificada,https://fbref.com/es/jugadores/01eb744d/Angel-Correa
2016-2017,21,Atlético Madrid,esESP,1.La Liga,31,"1,229",4,8,7,453,4,0,9,251,0,0,47,"1,933",8,8,10,"1,229",13.7,4,8,12,4,0,0,6,0,,,,,,,,0.29,0.59,0.88,0.29,0.88,,,,,,,25,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,37,16,43.2,2.71,1.17,0.11,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,229",40,35.9,13.7,10,68,3,21,26,6,1.97,34,12,22,1.61,0.75,,,,,,6,0,0,21,16,4,27,13,25,2,1,0,,,,,"€ 34,808(£ 30,235, $38,148)","€ 1,810,000(£ 1,572,211, $1,983,721)",Estimación no verificada,https://fbref.com/es/jugadores/01eb744d/Angel-Correa
2017-2018,22,Atlético Madrid,esESP,1.La Liga,37,"2,253",8,4,4,197,0,1,15,800,1,4,56,"3,250",9,9,27,"2,253",25.0,8,4,12,8,0,0,4,1,5.9,5.9,2.7,8.5,91.0,85.0,163.0,0.32,0.16,0.48,0.32,0.48,0.23,0.11,0.34,0.23,0.34,41.0,29,12.0,16.0,13.0,8.0,57.0,14.0,49.0,30.0,1.0,29.0,25,66.0,17.0,0.0,633.0,891.0,71.0,8092.0,2206.0,411.0,499.0,82.4,148.0,212.0,69.8,27.0,63.0,42.9,4,2.7,2.4,1.3,29.0,44.0,26.0,4.0,85.0,891.0,873.0,8.0,0.0,10.0,8.0,30,1.0,3.0,0.0,0.0,0.0,633.0,10.0,34.0,29.0,178.0,508.0,612.0,129.0,1270.0,127.0,69.0,54.3,58.0,45.7,868.0,4970.0,2467.0,91.0,48.0,42.0,95.0,90.0,950.0,163.0,8,47,26,55.3,1.88,1.04,0.17,0.31,18.2,0.0,0,0,5.9,5.9,0.13,2.1,2.1,86.0,3.43,47.0,0.0,20.0,5.0,13.0,1.0,15.0,0.6,7.0,0.0,5.0,2.0,1.0,0.0,"2,253",61,65.9,25.0,27,72,6,10,32,0,2.14,40,9,31,1.24,0.85,35.4,20.8,14.5,0.58,0.59,4,1,1,47,49,6,30,25,29,0,0,0,168.0,6.0,30.0,16.7,"€ 35,962(£ 31,237, $39,413)","€ 1,870,000(£ 1,624,328, $2,049,479)",Estimación no verificada,https://fbref.com/es/jugadores/01eb744d/Angel-Correa
2018-2019,23,Atlético Madrid,esESP,1.La Liga,36,"1,919",3,2,4,256,2,0,9,419,0,1,49,"2,594",5,3,20,"1,919",21.3,3,2,5,3,0,0,7,1,2.2,2.2,4.6,6.8,71.0,77.0,151.0,0.14,0.09,0.23,0.14,0.23,0.1,0.22,0.32,0.1,0.32,38.0,19,19.0,12.0,7.0,10.0,53.0,18.9,43.0,28.0,5.0,23.0,17,55.0,20.0,0.0,547.0,753.0,72.6,7219.0,1909.0,323.0,390.0,82.8,149.0,207.0,72.0,22.0,42.0,52.4,2,4.6,3.5,-2.6,37.0,51.0,22.0,2.0,77.0,753.0,743.0,7.0,2.0,13.0,5.0,34,2.0,2.0,1.0,1.0,0.0,547.0,3.0,34.0,25.0,146.0,437.0,493.0,100.0,1051.0,101.0,63.0,62.4,38.0,37.6,690.0,4190.0,2077.0,71.0,55.0,26.0,64.0,61.0,760.0,151.0,3,32,11,34.4,1.5,0.52,0.09,0.27,21.4,0.0,0,0,2.2,2.2,0.07,0.8,0.8,85.0,3.99,62.0,0.0,7.0,5.0,8.0,3.0,11.0,0.52,9.0,0.0,0.0,1.0,0.0,1.0,"1,919",53,56.1,21.3,20,73,5,16,28,1,1.94,32,22,10,0.47,-0.49,27.8,25.9,1.9,0.09,-0.12,7,1,0,38,36,11,34,17,19,1,0,0,123.0,10.0,25.0,28.6,"€ 67,115(£ 58,298, $73,557)","€ 3,490,000(£ 3,031,500, $3,824,964)",Estimación no verificada,https://fbref.com/es/jugadores/01eb744d/Angel-Correa
2019-2020,24,Atlético Madrid,esESP,1.La Liga,33,"2,061",5,6,3,311,2,1,8,444,0,0,44,"2,816",7,7,22,"2,061",22.9,5,6,11,5,0,0,5,0,6.4,6.4,4.6,11.1,54.0,53.0,141.0,0.22,0.26,0.48,0.22,0.48,0.28,0.2,0.48,0.28,0.48,25.0,9,7.0,9.0,9.0,9.0,36.0,25.0,27.0,23.0,5.0,18.0,14,39.0,21.0,0.0,431.0,591.0,72.9,5165.0,1280.0,278.0,333.0,83.5,87.0,127.0,68.5,11.0,29.0,37.9,6,4.6,4.3,1.4,27.0,26.0,18.0,3.0,53.0,591.0,572.0,11.0,1.0,7.0,0.0,34,0.0,8.0,2.0,4.0,0.0,431.0,8.0,16.0,22.0,127.0,342.0,447.0,134.0,908.0,68.0,37.0,54.4,31.0,45.6,576.0,2847.0,1381.0,54.0,35.0,33.0,82.0,55.0,638.0,141.0,5,43,16,37.2,1.88,0.7,0.12,0.31,15.7,1.0,0,0,6.4,6.4,0.15,-1.4,-1.4,70.0,3.06,53.0,1.0,8.0,4.0,4.0,0.0,11.0,0.48,9.0,0.0,2.0,0.0,0.0,0.0,"2,061",62,60.3,22.9,22,77,9,11,33,1,1.79,31,20,11,0.48,-0.38,33.2,21.0,12.2,0.53,-0.27,5,0,0,26,41,9,34,14,9,0,0,0,105.0,11.0,39.0,22.0,"€ 67,115(£ 58,298, $73,557)","€ 3,490,000(£ 3,031,500, $3,824,964)",Estimación no verificada,https://fbref.com/es/jugadores/01eb744d/Angel-Correa
2020-2021,25,Atlético Madrid,esESP,1.La Liga,38,"2,393",9,8,2,173,0,1,8,482,0,2,48,"3,048",9,11,29,"2,393",26.6,9,8,17,9,0,0,3,0,7.8,7.7,5.7,13.4,64.0,84.0,186.0,0.34,0.3,0.64,0.34,0.64,0.29,0.21,0.51,0.29,0.51,38.0,21,10.0,23.0,5.0,15.0,45.0,33.3,30.0,18.0,1.0,17.0,22,60.0,16.0,0.0,690.0,898.0,76.8,8438.0,1861.0,407.0,480.0,84.8,168.0,222.0,75.7,28.0,56.0,50.0,8,5.7,4.8,2.3,38.0,46.0,32.0,2.0,84.0,898.0,859.0,31.0,4.0,5.0,3.0,35,0.0,9.0,1.0,4.0,0.0,690.0,8.0,19.0,16.0,157.0,489.0,585.0,147.0,1218.0,90.0,53.0,58.9,37.0,41.1,721.0,3199.0,1546.0,64.0,32.0,33.0,77.0,57.0,884.0,186.0,9,52,23,44.2,1.96,0.87,0.17,0.39,17.4,0.0,0,0,7.8,7.7,0.15,1.2,1.3,86.0,3.24,65.0,3.0,11.0,5.0,1.0,1.0,15.0,0.56,10.0,0.0,5.0,0.0,0.0,0.0,"2,393",63,70.0,26.6,29,72,3,9,35,0,2.26,39,14,25,0.94,-0.55,37.5,23.0,14.5,0.55,0.44,3,0,0,37,30,13,35,22,21,0,0,0,118.0,10.0,34.0,22.7,"€ 67,308(£ 58,465, $73,768)","€ 3,500,000(£ 3,040,186, $3,835,924)",,https://fbref.com/es/jugadores/01eb744d/Angel-Correa
2021-2022,26,Atlético Madrid,esESP,1.La Liga,36,"1,856",12,5,3,169,0,0,10,405,1,0,49,"2,430",13,5,21,"1,856",20.6,12,5,17,12,0,0,3,1,7.3,7.3,3.7,11.0,38.0,65.0,149.0,0.58,0.24,0.82,0.58,0.82,0.35,0.18,0.53,0.35,0.53,16.0,8,5.0,10.0,1.0,7.0,29.0,24.1,22.0,25.0,2.0,23.0,10,26.0,4.0,0.0,465.0,638.0,72.9,5631.0,1250.0,300.0,353.0,85.0,97.0,146.0,66.4,17.0,42.0,40.5,5,3.7,3.7,1.3,25.0,29.0,15.0,1.0,65.0,638.0,608.0,27.0,2.0,6.0,1.0,34,2.0,15.0,5.0,5.0,0.0,465.0,3.0,21.0,6.0,87.0,342.0,483.0,130.0,901.0,55.0,32.0,58.2,23.0,41.8,543.0,2392.0,1138.0,38.0,24.0,20.0,73.0,48.0,682.0,149.0,12,50,23,46.0,2.42,1.12,0.24,0.52,17.0,0.0,0,0,7.3,7.3,0.15,4.7,4.7,67.0,3.25,47.0,3.0,8.0,4.0,4.0,1.0,11.0,0.53,8.0,0.0,0.0,2.0,0.0,1.0,"1,856",52,54.3,20.6,21,69,5,15,27,0,1.89,39,21,18,0.87,0.64,31.3,16.2,15.1,0.73,0.39,3,1,0,24,27,10,34,10,8,0,0,0,78.0,5.0,16.0,23.8,"€ 67,308(£ 58,465, $73,768)","€ 3,500,000(£ 3,040,186, $3,835,924)",,https://fbref.com/es/jugadores/01eb744d/Angel-Correa
2022-2023,27,Atlético Madrid,esESP,1.La Liga,35,"1,455",9,1,4,199,1,1,6,315,0,0,45,"1,969",10,2,13,"1,455",16.2,9,1,10,9,0,0,3,1,7.1,7.1,3.5,10.7,44.0,58.0,142.0,0.56,0.06,0.62,0.56,0.62,0.44,0.22,0.66,0.44,0.66,12.0,6,6.0,3.0,3.0,5.0,16.0,31.3,11.0,17.0,0.0,17.0,10,22.0,6.0,1.0,406.0,520.0,78.1,5237.0,1201.0,270.0,310.0,87.1,93.0,118.0,78.8,16.0,37.0,43.2,1,3.5,3.6,-2.5,23.0,27.0,19.0,3.0,58.0,520.0,493.0,23.0,2.0,2.0,5.0,22,2.0,9.0,1.0,5.0,0.0,406.0,4.0,16.0,11.0,84.0,283.0,379.0,119.0,738.0,59.0,23.0,39.0,33.0,55.9,472.0,2244.0,971.0,44.0,20.0,24.0,58.0,31.0,568.0,142.0,9,43,18,41.9,2.66,1.11,0.21,0.5,15.3,0.0,0,0,7.1,7.1,0.17,1.9,1.9,61.0,3.78,45.0,3.0,5.0,6.0,1.0,1.0,11.0,0.68,5.0,0.0,2.0,3.0,0.0,1.0,"1,455",42,42.5,16.2,13,69,1,22,25,1,1.94,29,15,14,0.87,-0.19,30.9,19.4,11.5,0.71,0.29,3,1,0,19,20,14,22,10,6,0,0,0,63.0,5.0,16.0,23.8,"€ 67,308(£ 57,906, $73,598)","€ 3,500,000(£ 3,011,086, $3,827,112)",,https://fbref.com/es/jugadores/01eb744d/Angel-Correa
2023-2024,28,Atlético Madrid,esESP,1.La Liga,32,"1,528",9,2,5,171,1,1,10,324,1,0,47,"2,023",11,3,14,"1,528",17.0,9,2,11,8,1,1,3,0,7.9,7.1,3.6,10.8,40.0,61.0,128.0,0.53,0.12,0.65,0.47,0.59,0.47,0.21,0.68,0.42,0.63,22.0,15,3.0,11.0,8.0,5.0,17.0,29.4,12.0,13.0,0.0,13.0,2,24.0,6.0,0.0,379.0,516.0,73.4,4856.0,1162.0,249.0,301.0,82.7,85.0,110.0,77.3,18.0,46.0,39.1,2,3.6,3.8,-1.6,32.0,29.0,23.0,2.0,61.0,516.0,471.0,37.0,3.0,1.0,2.0,40,0.0,21.0,11.0,8.0,0.0,379.0,8.0,11.0,7.0,53.0,268.0,405.0,129.0,718.0,56.0,28.0,50.0,27.0,48.2,473.0,2206.0,1026.0,40.0,16.0,26.0,52.0,33.0,531.0,128.0,9,42,19,45.2,2.47,1.12,0.19,0.42,17.0,1.0,1,1,7.9,7.1,0.17,1.1,0.9,68.0,4.0,48.0,2.0,11.0,3.0,2.0,2.0,11.0,0.65,8.0,0.0,2.0,0.0,0.0,1.0,"1,528",48,44.7,17.0,14,73,4,18,28,3,1.94,36,19,17,1.0,0.53,29.9,14.0,15.9,0.93,0.6,3,0,0,24,32,17,40,2,15,0,0,0,63.0,5.0,13.0,27.8,"€ 67,308(£ 56,864, $72,332)","€ 3,500,000(£ 2,956,902, $3,761,256)",,https://fbref.com/es/jugadores/01eb744d/Angel-Correa
2024-2025,29,Atlético Madrid,esESP,1.La Liga,26,710,3,1,6,313,1,3,8,269,3,1,40,"1,292",7,5,3,710,7.9,3,1,4,3,0,0,3,1,4.2,4.2,1.2,5.4,22.0,21.0,68.0,0.38,0.13,0.51,0.38,0.51,0.54,0.15,0.68,0.54,0.68,7.0,1,3.0,1.0,3.0,3.0,13.0,23.1,10.0,8.0,0.0,8.0,4,11.0,7.0,0.0,177.0,241.0,73.4,2344.0,640.0,111.0,136.0,81.6,44.0,59.0,74.6,8.0,17.0,47.1,1,1.2,1.6,-0.2,8.0,18.0,8.0,1.0,21.0,241.0,229.0,10.0,0.0,1.0,2.0,18,1.0,6.0,1.0,1.0,0.0,177.0,2.0,12.0,4.0,46.0,113.0,209.0,67.0,362.0,32.0,12.0,37.5,19.0,59.4,236.0,1150.0,572.0,22.0,14.0,9.0,25.0,14.0,261.0,68.0,3,30,12,40.0,3.8,1.52,0.1,0.25,13.6,0.0,0,0,4.2,4.2,0.14,-1.2,-1.2,26.0,3.3,14.0,1.0,3.0,4.0,2.0,2.0,3.0,0.38,2.0,0.0,1.0,0.0,0.0,0.0,710,27,23.9,7.9,3,57,0,23,23,3,2.0,17,4,13,1.65,1.01,15.1,5.8,9.3,1.18,0.63,3,1,0,14,10,4,18,4,1,0,0,0,34.0,1.0,8.0,11.1,"€ 67,308(£ 57,857, $76,442)","€ 3,500,000(£ 3,008,544, $3,974,991)",,https://fbref.com/es/jugadores/01eb744d/Angel-Correa
