Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,20,Valladolid,esESP,2.La Liga 2,,,,,1,71,0,0,,,,,1,71,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,3.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 8,462(£ 7,350, $9,274)","€ 440,000(£ 382,195, $482,230)",Estimación no verificada,https://fbref.com/es/jugadores/a3e4bf46/Brian-Olivan
2016-2017,22,Cádiz,esESP,2.La Liga 2,,,,,1,120,0,0,,,,,1,120,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,0.0,0.8,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,1.0,1.0,0.0,12.0,3.0,2.0,45.0,7.0,9.0,,,0.0,,,,,"€ 10,385(£ 8,934, $11,355)","€ 540,000(£ 464,568, $590,469)",Estimación no verificada,https://fbref.com/es/jugadores/a3e4bf46/Brian-Olivan
2017-2018,23,Cádiz,esESP,2.La Liga 2,,,,,3,270,0,0,,,,,3,270,0,0,15.0,"1,271",14.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,25.0,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,15.0,4.0,26.7,0.6,0.16,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,271",85.0,34.4,14.1,15.0,85.0,12.0,0.0,,0.0,1.87,23.0,10.0,13.0,0.92,0.77,,,,,,6.0,0.0,0.0,32.0,13.0,6.0,151.0,20.0,25.0,,,0.0,,,,,"€ 10,385(£ 8,926, $11,794)","€ 540,000(£ 464,175, $613,284)",Estimación no verificada,https://fbref.com/es/jugadores/a3e4bf46/Brian-Olivan
2018-2019,24,Cádiz,esESP,2.La Liga 2,15.0,"1,271",0.0,0.0,2,180,0,0,,,,,17,"1,451",0,0,7.0,678,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,33.0,20.0,22.0,9.0,2.0,12.0,23.0,52.2,11.0,17.0,7.0,10.0,28.0,61.0,63.0,0.0,654.0,1025.0,63.8,11350.0,5327.0,291.0,339.0,85.8,281.0,405.0,69.4,60.0,206.0,29.1,0.0,2.2,2.5,-2.2,19.0,43.0,16.0,9.0,65.0,1025.0,796.0,222.0,23.0,1.0,12.0,73.0,188.0,9.0,3.0,2.0,0.0,654.0,7.0,24.0,89.0,446.0,477.0,311.0,30.0,1227.0,10.0,7.0,70.0,3.0,30.0,577.0,2991.0,1538.0,31.0,33.0,4.0,16.0,7.0,614.0,91.0,1.0,19.0,7.0,36.8,0.78,0.29,0.05,0.14,22.1,1.0,0.0,1.0,1.8,1.0,0.05,-0.8,0.0,45.0,1.85,28.0,14.0,1.0,1.0,1.0,0.0,3.0,0.12,1.0,1.0,0.0,0.0,1.0,0.0,678,68.0,17.9,7.5,7.0,89.0,6.0,3.0,19.0,12.0,1.09,9.0,12.0,-3.0,-0.4,-0.63,,,,,,7.0,0.0,0.0,31.0,7.0,4.0,73.0,28.0,20.0,1.0,1.0,0.0,113.0,21.0,36.0,36.8,,,,
2019-2020,25,Girona,esESP,2.La Liga 2,10.0,678,0.0,0.0,1,90,0,0,,,,,11,768,0,0,26.0,"2,239",24.9,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,,,,,,,,0.0,0.08,0.08,0.0,0.08,,,,,,47.0,27.0,30.0,12.0,5.0,17.0,26.0,65.4,9.0,26.0,6.0,20.0,22.0,69.0,67.0,0.0,688.0,1106.0,62.2,12987.0,6417.0,305.0,370.0,82.4,260.0,410.0,63.4,105.0,261.0,40.2,7.0,4.3,3.9,2.7,34.0,69.0,31.0,24.0,80.0,1106.0,859.0,242.0,18.0,0.0,12.0,140.0,211.0,13.0,6.0,4.0,0.0,688.0,5.0,34.0,86.0,391.0,541.0,402.0,36.0,1327.0,11.0,4.0,36.4,6.0,54.5,611.0,2881.0,1518.0,48.0,19.0,9.0,23.0,6.0,682.0,139.0,1.0,15.0,4.0,26.7,0.56,0.15,0.07,0.25,24.5,1.0,0.0,0.0,0.6,0.6,0.04,0.4,0.4,53.0,1.99,42.0,6.0,1.0,1.0,1.0,2.0,9.0,0.34,9.0,0.0,0.0,0.0,0.0,0.0,"2,239",75.0,59.2,24.9,26.0,81.0,18.0,4.0,31.0,9.0,1.97,31.0,16.0,15.0,0.6,-0.04,,,,,,7.0,0.0,0.0,32.0,15.0,3.0,140.0,22.0,27.0,0.0,0.0,0.0,147.0,17.0,37.0,31.5,,,,
2020-2021,26,Mallorca,esESP,2.La Liga 2,30.0,"2,239",0.0,2.0,1,90,0,0,,,,,31,"2,329",0,2,24.0,"2,189",24.3,1.0,0.0,1.0,1.0,0.0,1.0,7.0,0.0,1.8,1.0,2.2,3.2,31.0,65.0,91.0,0.04,0.0,0.04,0.04,0.04,0.07,0.09,0.16,0.04,0.13,,27.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,16.0,3.0,18.8,0.57,0.11,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,189",78.0,64.0,24.3,24.0,89.0,22.0,4.0,13.0,8.0,1.18,24.0,39.0,-15.0,-0.62,0.26,25.4,30.7,-5.3,-0.22,0.16,8.0,0.0,0.0,48.0,17.0,1.0,154.0,16.0,27.0,,,0.0,,,,,,,,
2021-2022,27,Mallorca,esESP,1.La Liga,28.0,"2,189",1.0,0.0,4,345,0,1,,,,,32,"2,534",1,1,29.0,"2,403",26.7,1.0,7.0,8.0,1.0,0.0,0.0,7.0,0.0,0.6,0.6,4.3,4.9,48.0,80.0,139.0,0.04,0.26,0.3,0.04,0.3,0.02,0.16,0.18,0.02,0.18,13.0,10.0,7.0,6.0,0.0,4.0,13.0,30.8,9.0,6.0,2.0,4.0,10.0,23.0,23.0,0.0,317.0,458.0,69.2,5671.0,2788.0,145.0,156.0,92.9,134.0,192.0,69.8,34.0,87.0,39.1,1.0,1.1,0.8,-0.1,15.0,44.0,12.0,9.0,40.0,458.0,362.0,95.0,13.0,0.0,3.0,55.0,73.0,9.0,1.0,6.0,0.0,317.0,1.0,13.0,27.0,157.0,233.0,151.0,8.0,540.0,4.0,1.0,25.0,3.0,75.0,248.0,1152.0,723.0,21.0,10.0,0.0,10.0,1.0,299.0,57.0,0.0,6.0,1.0,16.7,0.53,0.09,0.0,0.0,23.8,2.0,0.0,0.0,0.4,0.4,0.06,-0.4,-0.4,24.0,2.09,16.0,8.0,0.0,0.0,0.0,0.0,1.0,0.09,0.0,1.0,0.0,0.0,0.0,0.0,"2,403",80.0,70.3,26.7,29.0,82.0,18.0,1.0,17.0,1.0,1.1,37.0,44.0,-7.0,-0.26,0.62,34.2,39.6,-5.5,-0.21,0.32,2.0,0.0,0.0,13.0,6.0,3.0,55.0,10.0,10.0,0.0,0.0,0.0,28.0,3.0,10.0,23.1,,,,
2022-2023,28,Espanyol,esESP,1.La Liga,30.0,"2,403",1.0,7.0,3,300,0,1,,,,,33,"2,703",1,8,30.0,"2,529",28.1,0.0,3.0,3.0,0.0,0.0,0.0,8.0,0.0,,,,,,,,0.0,0.11,0.11,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,529",77.0,66.9,28.1,30.0,82.0,21.0,3.0,28.0,4.0,1.57,33.0,23.0,10.0,0.36,-0.29,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,29,Espanyol,esESP,2.La Liga 2,33.0,"2,529",0.0,3.0,1,2,0,0,,,,,34,"2,531",0,3,12.0,"1,017",11.3,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,1.1,1.5,21.0,40.0,57.0,0.0,0.09,0.09,0.0,0.09,0.03,0.1,0.13,0.03,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,017",60.0,34.2,11.3,12.0,75.0,7.0,5.0,23.0,8.0,1.0,12.0,16.0,-4.0,-0.35,-0.22,9.5,14.2,-4.7,-0.41,0.34,,,,,,,,,,,,,,,,,,,,
2024-2025,30,Espanyol,esESP,1.La Liga,17.0,"1,017",0.0,1.0,1,90,0,0,,,,,18,"1,107",0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
