Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,21,Sevilla,esESP,1.La Liga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,9,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 385(£ 334, $422)","€ 20,000(£ 17,372, $21,920)",Estimación no verificada,https://fbref.com/es/jugadores/8f8c6934/David-Soria
2015-2016,22,Sevilla,esESP,1.La Liga,,,,,4.0,360.0,0.0,0.0,9.0,840.0,0.0,0.0,13.0,"1,200",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,3.0,13.0,2.0,273.0,377.0,72.4,8315.0,6742.0,29.0,29.0,100.0,132.0,137.0,96.4,111.0,210.0,52.9,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,377.0,247.0,130.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,0.0,381.0,424.0,1.0,0.0,0.0,424.0,0.0,0.0,,0.0,,184.0,974.0,742.0,0.0,1.0,1.0,0.0,0.0,139.0,0.0,,,,,,,,,,,,,,,,,,2.0,0.14,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,32,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,18.0,5.0,1.0,83.3,"€ 577(£ 501, $632)","€ 30,000(£ 26,059, $32,879)",Estimación no verificada,https://fbref.com/es/jugadores/8f8c6934/David-Soria
2016-2017,23,Sevilla,esESP,1.La Liga,1.0,90,0.0,0.0,2.0,180.0,0.0,0.0,,,,,3.0,270,0,0,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,2.0,0.0,2.0,1.0,2.0,15.0,6.0,466.0,1095.0,42.6,22842.0,20920.0,10.0,11.0,90.9,64.0,68.0,94.1,392.0,1008.0,38.9,0.0,0.1,0.2,-0.1,2.0,65.0,4.0,0.0,0.0,1095.0,621.0,466.0,186.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,466.0,8.0,0.0,895.0,1174.0,11.0,0.0,0.0,1184.0,1.0,1.0,100.0,0.0,0.0,479.0,4200.0,3219.0,0.0,0.0,0.0,2.0,0.0,274.0,0.0,,,,,,,,,,,,,,,,,,4.0,0.11,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,90.0,2.6,1.0,1,90.0,1,0,,20,3.0,5.0,0.0,5.0,5.0,4.59,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,33.0,10.0,2.0,83.3,"€ 20,962(£ 18,208, $22,973)","€ 1,090,000(£ 946,801, $1,194,616)",Estimación no verificada,https://fbref.com/es/jugadores/8f8c6934/David-Soria
2017-2018,24,Sevilla,esESP,1.La Liga,15.0,"1,264",0.0,0.0,3.0,270.0,0.0,0.0,2.0,180.0,0.0,0.0,20.0,"1,714",0,0,15,"1,264",14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,4.0,50.0,2.0,0.0,0.0,0.0,3.0,5.0,17.0,5.0,505.0,1149.0,44.0,24129.0,21730.0,15.0,16.0,93.8,86.0,91.0,94.5,404.0,1032.0,39.1,0.0,0.0,0.1,0.0,0.0,60.0,1.0,0.0,0.0,1149.0,641.0,498.0,239.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,10.0,0.0,809.0,1206.0,18.0,0.0,0.0,1223.0,0.0,0.0,,0.0,,493.0,3804.0,2953.0,0.0,1.0,1.0,1.0,0.0,288.0,0.0,,,,,,,,,,,,,,,,,,8.0,0.21,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,264",84.0,37.0,14.0,15,84.0,14,0,,21,1.67,20.0,19.0,1.0,0.07,0.49,21.6,21.3,0.4,0.03,-0.17,2.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,46.0,6.0,1.0,85.7,"€ 20,385(£ 17,707, $22,341)","€ 1,060,000(£ 920,742, $1,161,737)",Estimación no verificada,https://fbref.com/es/jugadores/8f8c6934/David-Soria
2018-2019,25,Getafe,esESP,1.La Liga,37.0,"3,330",0.0,0.0,,,,,,,,,37.0,"3,330",0,0,37,"3,330",37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,1.0,3.0,12.0,0.0,399.0,860.0,46.4,18729.0,17094.0,17.0,17.0,100.0,71.0,75.0,94.7,311.0,762.0,40.8,0.0,0.0,0.1,0.0,0.0,57.0,2.0,0.0,0.0,860.0,517.0,338.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399.0,5.0,1.0,642.0,896.0,17.0,0.0,0.0,913.0,0.0,0.0,,0.0,,419.0,3086.0,2193.0,0.0,0.0,0.0,0.0,0.0,249.0,0.0,,,,,,,,,,,,,,,,,,7.0,0.25,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,"3,330",90.0,97.4,37.0,37,90.0,37,0,,0,1.51,46.0,34.0,12.0,0.32,-0.68,44.8,42.7,2.1,0.06,-0.42,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,37.0,8.0,3.0,72.7,"€ 17,500(£ 15,201, $19,180)","€ 910,000(£ 790,448, $997,340)",Estimación no verificada,https://fbref.com/es/jugadores/8f8c6934/David-Soria
2019-2020,26,Getafe,esESP,1.La Liga,38.0,"3,420",0.0,0.0,,,,,4.0,360.0,0.0,0.0,42.0,"3,780",0,0,38,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,2.0,647.0,1185.0,54.6,27061.0,23563.0,42.0,42.0,100.0,163.0,169.0,96.4,442.0,968.0,45.7,0.0,0.0,0.1,0.0,0.0,34.0,0.0,0.0,0.0,1185.0,716.0,464.0,172.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,647.0,5.0,0.0,1017.0,1252.0,5.0,0.0,0.0,1257.0,0.0,0.0,,0.0,,606.0,3471.0,2311.0,0.0,0.0,0.0,2.0,0.0,398.0,0.0,,,,,,,,,,,,,,,,,,4.0,0.11,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,420",90.0,100.0,38.0,38,90.0,38,0,,0,1.42,43.0,37.0,6.0,0.16,,41.6,41.4,0.2,0.0,,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,45.0,14.0,0.0,100.0,"€ 22,115(£ 19,210, $24,238)","€ 1,150,000(£ 998,918, $1,260,375)",Estimación no verificada,https://fbref.com/es/jugadores/8f8c6934/David-Soria
2020-2021,27,Getafe,esESP,1.La Liga,28.0,"2,520",0.0,0.0,1.0,90.0,0.0,0.0,,,,,29.0,"2,610",0,0,28,"2,520",28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,20.0,4.0,610.0,1136.0,53.7,28998.0,25913.0,28.0,30.0,93.3,119.0,126.0,94.4,463.0,972.0,47.6,0.0,0.2,0.2,-0.2,4.0,57.0,3.0,0.0,1.0,1136.0,620.0,509.0,162.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,7.0,1.0,1011.0,1216.0,11.0,0.0,0.0,1224.0,0.0,0.0,,0.0,,541.0,3493.0,2322.0,0.0,0.0,0.0,0.0,0.0,291.0,0.0,,,,,,,,,,,,,,,,,,7.0,0.18,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,520",90.0,73.7,28.0,28,90.0,28,0,,10,0.93,20.0,31.0,-11.0,-0.39,0.01,25.2,30.0,-4.8,-0.17,-0.07,2.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,39.0,4.0,0.0,100.0,"€ 29,038(£ 25,224, $31,826)","€ 1,510,000(£ 1,311,623, $1,654,927)",Estimación no verificada,https://fbref.com/es/jugadores/8f8c6934/David-Soria
2021-2022,28,Getafe,esESP,1.La Liga,38.0,"3,414",0.0,0.0,,,,,,,,,38.0,"3,414",0,0,38,"3,414",37.9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,687.0,1295.0,53.1,27570.0,24122.0,41.0,42.0,97.6,233.0,242.0,96.3,412.0,1004.0,41.0,0.0,0.0,0.1,0.0,0.0,44.0,1.0,0.0,0.0,1295.0,781.0,508.0,198.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0,6.0,0.0,1099.0,1386.0,7.0,0.0,0.0,1393.0,0.0,0.0,,0.0,,636.0,3979.0,2528.0,0.0,1.0,1.0,4.0,0.0,418.0,0.0,,,,,,,,,,,,,,,,,,10.0,0.26,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,414",90.0,99.8,37.9,38,90.0,37,0,,0,1.03,32.0,41.0,-9.0,-0.24,-15.24,29.1,38.5,-9.4,-0.25,-0.79,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,52.0,3.0,0.0,100.0,"€ 29,038(£ 25,224, $31,826)","€ 1,510,000(£ 1,311,623, $1,654,927)",Estimación no verificada,https://fbref.com/es/jugadores/8f8c6934/David-Soria
2022-2023,29,Getafe,esESP,1.La Liga,38.0,"3,420",0.0,0.0,1.0,90.0,0.0,0.0,,,,,39.0,"3,510",0,0,38,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,4.0,4.0,4.0,0.0,0.0,4.0,5.0,80.0,1.0,0.0,0.0,0.0,1.0,5.0,17.0,2.0,452.0,893.0,50.6,19328.0,17104.0,28.0,28.0,100.0,131.0,133.0,98.5,293.0,727.0,40.3,0.0,0.0,0.1,0.0,0.0,46.0,1.0,0.0,1.0,893.0,485.0,403.0,141.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,452.0,5.0,0.0,762.0,952.0,17.0,0.0,0.0,969.0,0.0,0.0,,0.0,,388.0,2455.0,1673.0,0.0,0.0,0.0,3.0,0.0,251.0,0.0,,,,,,,,,,,,,,,,,,7.0,0.21,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,420",90.0,100.0,38.0,38,90.0,38,0,,0,1.11,34.0,45.0,-11.0,-0.29,,36.7,46.0,-9.4,-0.25,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,26.0,6.0,0.0,100.0,"€ 29,038(£ 24,982, $31,752)","€ 1,510,000(£ 1,299,069, $1,651,126)",Estimación no verificada,https://fbref.com/es/jugadores/8f8c6934/David-Soria
2023-2024,30,Getafe,esESP,1.La Liga,38.0,"3,413",0.0,0.0,2.0,180.0,0.0,0.0,,,,,40.0,"3,593",0,0,38,"3,413",37.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,413",90.0,99.8,37.9,38,90.0,37,0,,0,1.13,42.0,52.0,-10.0,-0.26,25.45,45.7,52.5,-6.9,-0.18,15.73,,,,,,,,,,,,,,,,,"€ 29,038(£ 24,533, $31,206)","€ 1,510,000(£ 1,275,692, $1,622,713)",Estimación no verificada,https://fbref.com/es/jugadores/8f8c6934/David-Soria
