Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,21,Las Palmas,esESP,1.La Liga,2.0,17,0.0,0.0,,,,,,,,,2.0,17,0,0,0,17,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,17,9.0,0.5,0.2,0,,0,2,9.0,1,1.0,0.0,0.0,0.0,0.0,0.56,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,"€ 7,308(£ 6,174, $7,853)","€ 380,000(£ 321,035, $408,365)",Estimación no verificada,https://fbref.com/es/jugadores/db714daf/Benito-Ramirez
2017-2018,22,Las Palmas,esESP,1.La Liga,4.0,166,0.0,0.0,,,,,,,,,4.0,166,0,0,1,166,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,8.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,6.0,3.0,2.0,3.0,1.0,1.0,5.0,20.0,4.0,0.0,0.0,0.0,2.0,8.0,3.0,0.0,41.0,73.0,56.2,498.0,86.0,26.0,33.0,78.8,7.0,15.0,46.7,2.0,10.0,20.0,0.0,0.1,0.2,-0.1,3.0,2.0,1.0,1.0,0.0,73.0,68.0,5.0,0.0,0.0,0.0,16.0,2.0,3.0,0.0,2.0,0.0,41.0,0.0,7.0,1.0,8.0,42.0,44.0,2.0,91.0,5.0,4.0,80.0,1.0,20.0,55.0,380.0,194.0,8.0,6.0,0.0,4.0,3.0,66.0,17.0,0.0,1.0,1.0,100.0,0.54,0.54,0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,8.0,4.34,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166,42.0,4.9,1.8,1,90.0,1,3,25.0,3,0.0,1.0,6.0,-5.0,-2.71,-1.47,3.1,4.4,-1.3,-0.7,0.15,0.0,0.0,0.0,2.0,1.0,0.0,16.0,2.0,3.0,0.0,0.0,0.0,7.0,1.0,3.0,25.0,"€ 7,308(£ 6,282, $8,299)","€ 380,000(£ 326,642, $431,570)",Estimación no verificada,https://fbref.com/es/jugadores/db714daf/Benito-Ramirez
2018-2019,23,Majadahonda,esESP,2.La Liga 2,28.0,"2,054",1.0,1.0,2.0,210.0,0.0,0.0,,,,,30.0,"2,264",1,1,23,"2,054",22.8,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,,,,,,,,0.04,0.04,0.09,0.04,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,054",73.0,55.7,22.8,23,85.0,18,5,22.0,7,1.0,29.0,37.0,-8.0,-0.35,0.03,,,,,,5.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2018-2019,23,Las Palmas,esESP,2.La Liga 2,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,43.0,16.0,37.2,2.04,0.76,0.05,0.13,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,2,,,,,,,,,,,,8.0,0.0,0.0,26.0,23.0,4.0,128.0,15.0,19.0,,,0.0,,,,,,,,
2019-2020,24,Las Palmas,esESP,2.La Liga 2,25.0,"1,900",2.0,2.0,,,,,,,,,25.0,"1,900",2,2,22,"1,900",21.1,2.0,2.0,4.0,2.0,0.0,0.0,8.0,0.0,,,,,,,,0.09,0.09,0.19,0.09,0.19,,,,,,,29.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,34.0,6.0,17.6,1.57,0.28,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,900",76.0,50.3,21.1,22,83.0,14,3,22.0,2,1.4,25.0,20.0,5.0,0.24,0.33,,,,,,2.0,0.0,0.0,20.0,37.0,5.0,86.0,14.0,29.0,,,0.0,,,,,,,,
2020-2021,25,Las Palmas,esESP,2.La Liga 2,35.0,"1,952",0.0,2.0,2.0,12.0,0.0,0.0,,,,,37.0,"1,964",0,2,22,"1,952",21.7,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.09,0.09,0.0,0.09,,,,,,,15.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,24.0,9.0,37.5,1.49,0.56,0.13,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,952",56.0,51.6,21.7,22,77.0,9,13,20.0,1,1.29,23.0,28.0,-5.0,-0.23,-0.13,,,,,,3.0,1.0,0.0,18.0,23.0,4.0,67.0,8.0,15.0,,,0.0,,,,,,,,
2021-2022,26,Las Palmas,esESP,2.La Liga 2,30.0,"1,446",3.0,3.0,2.0,154.0,1.0,0.0,,,,,32.0,"1,600",4,3,14,"1,446",16.1,3.0,3.0,6.0,3.0,0.0,0.0,3.0,1.0,,,,,,,,0.19,0.19,0.37,0.19,0.37,,,,,,,6.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,10.0,1.0,10.0,2.05,0.2,0.1,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,446",48.0,38.3,16.1,14,76.0,5,16,24.0,9,1.94,26.0,20.0,6.0,0.37,0.22,,,,,,0.0,0.0,0.0,5.0,3.0,2.0,37.0,2.0,6.0,,,0.0,,,,,,,,
2022-2023,27,Las Palmas,esESP,2.La Liga 2,14.0,440,1.0,1.0,,,,,,,,,14.0,440,1,1,2,440,4.9,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.2,0.2,0.41,0.2,0.41,,,,,,5.0,3.0,2.0,3.0,0.0,3.0,6.0,50.0,3.0,7.0,1.0,6.0,3.0,8.0,0.0,0.0,136.0,196.0,69.4,1861.0,488.0,99.0,109.0,90.8,23.0,37.0,62.2,8.0,29.0,27.6,1.0,0.5,0.4,0.5,2.0,8.0,5.0,3.0,5.0,196.0,170.0,26.0,6.0,1.0,0.0,33.0,12.0,8.0,3.0,4.0,0.0,136.0,0.0,12.0,6.0,32.0,106.0,112.0,10.0,245.0,11.0,2.0,18.2,9.0,81.8,150.0,963.0,471.0,13.0,8.0,5.0,10.0,3.0,168.0,46.0,1.0,10.0,3.0,30.0,2.34,0.7,0.1,0.33,22.5,1.0,0.0,0.0,0.4,0.4,0.04,0.6,0.6,8.0,1.87,5.0,0.0,1.0,1.0,1.0,0.0,2.0,0.47,1.0,0.0,0.0,1.0,0.0,0.0,440,31.0,11.6,4.9,2,90.0,2,12,22.0,2,1.86,8.0,4.0,4.0,0.82,0.39,,,,,,0.0,0.0,0.0,4.0,4.0,2.0,33.0,3.0,3.0,0.0,0.0,0.0,22.0,2.0,11.0,15.4,,,,
2023-2024,28,Las Palmas,esESP,1.La Liga,20.0,384,1.0,1.0,3.0,255.0,0.0,0.0,,,,,23.0,639,1,1,2,384,4.3,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.5,0.9,13.0,5.0,46.0,0.23,0.23,0.47,0.23,0.47,0.09,0.13,0.22,0.09,0.22,10.0,5.0,4.0,6.0,0.0,9.0,16.0,56.3,7.0,6.0,3.0,3.0,1.0,11.0,14.0,1.0,214.0,268.0,79.9,3351.0,879.0,119.0,127.0,93.7,77.0,88.0,87.5,14.0,33.0,42.4,0.0,0.8,0.8,-0.8,10.0,8.0,8.0,6.0,13.0,268.0,231.0,36.0,5.0,0.0,0.0,30.0,29.0,2.0,0.0,1.0,0.0,214.0,1.0,10.0,16.0,80.0,127.0,128.0,9.0,331.0,8.0,2.0,25.0,5.0,62.5,172.0,950.0,481.0,14.0,15.0,1.0,9.0,5.0,204.0,52.0,0.0,7.0,1.0,14.3,1.62,0.23,0.0,0.0,21.3,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,21.0,4.9,18.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384,19.0,11.2,4.3,2,60.0,0,18,15.0,10,1.0,3.0,7.0,-4.0,-0.94,-0.64,3.9,5.9,-1.9,-0.45,0.19,2.0,1.0,0.0,4.0,6.0,0.0,30.0,1.0,5.0,0.0,0.0,0.0,27.0,3.0,9.0,25.0,,,,
2024-2025,29,Las Palmas,esESP,1.La Liga,17.0,388,0.0,0.0,2.0,142.0,0.0,0.0,,,,,19.0,530,0,0,1,388,4.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.2,0.2,0.8,1.0,14.0,13.0,52.0,0.0,0.0,0.0,0.0,0.0,0.05,0.18,0.23,0.05,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388,23.0,13.1,4.3,1,77.0,0,16,19.0,8,0.94,7.0,8.0,-1.0,-0.23,0.26,5.9,9.3,-3.3,-0.78,0.05,,,,,,,,,,,,,,,,,,,,
