Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Alberto Moleiro,esESP,"DL,CC",21-211,31,28,"2,373",26.4,6,1,7,6,0,0,5,0,5.3,5.3,2.9,8.2,82,102,161,0.23,0.04,0.27,0.23,0.27,0.20,0.11,0.31,0.20,0.31,Partidos,90,3.41,66,0,13,5,5,1,6,0.23,3,0,1,1,1,0,25,11,10,14,1,18,48,37.5,30,23,0,23,16,41,8,0,735,900,81.7,10369,2371,450,513,87.7,232,278,83.5,29,49,59.2,2.9,-1.9,35,67,24,3,875,22,11,9,1,24,5,2,0,1,0,3,23,37.7,2.31,0.87,0.10,0.26,18.8,0.09,+0.7,+0.7,1238,88,55,42.0,69,52.7,828,22,68,40,960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,79.9,80,14,3,40,1,0.94,33,42,-9,-0.34,+0.56,27.9,45.3,-17.4,-0.66,+0.79,0,28,37,11,0,0,118,20.8,/es/jugadores/c2c8897d/Alberto-Moleiro
Jasper Cillessen,nlNED,PO,36-007,27,27,"2,335",25.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,0,1,0,0,1,4,25.0,3,0,0,0,0,1,11,2,683,1002,68.2,18003,13417,147,149,98.7,340,347,98.0,194,501,38.7,0.0,0.0,0,15,0,0,727,272,93,0,0,0,0,0,0,0,0,3,0,,0.00,0.00,,,,,0.0,0.0,1079,0,0,,0,,609,0,4,0,514,42.0,1.62,128.0,85.0,70.3,6.0,8.0,13.0,3.0,11.1,4.0,4.0,4.0,4.0,42.9,0.0,4.0,44.3,0.3,4.3,0.16,820.0,142.0,39.5,34.5,47.5,43.1,413.0,13.0,3.1,20.0,0.77,14.5,86,78.6,86,25,0,,0,0.96,31,42,-11,-0.42,+0.14,25.0,47.9,-22.9,-0.88,-0.29,0,0,5,0,0,0,20,50.0,/es/jugadores/04ac8285/Jasper-Cillessen
Álex Suárez,esESP,DF,32-042,27,27,"2,232",24.8,0,0,0,0,0,0,12,0,0.4,0.4,0.1,0.5,5,48,2,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos,13,0.52,12,0,0,1,0,0,2,0.08,2,0,0,0,0,0,38,21,29,8,1,19,26,73.1,7,35,21,14,11,49,97,1,1078,1251,86.2,20007,7431,389,408,95.3,591,642,92.1,82,164,50.0,0.2,-0.1,3,45,3,0,1117,133,62,1,8,0,34,0,0,0,0,1,3,75.0,0.16,0.12,0.00,0.00,11.3,0.10,-0.4,-0.4,1473,15,0,0.0,2,100.0,756,0,7,1,948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,75.2,83,17,0,,3,1.04,26,40,-14,-0.56,-0.44,22.7,43.7,-21.0,-0.85,-0.11,0,25,21,21,0,1,59,34.3,/es/jugadores/9c137b36/Alex-Suarez
Javier Muñoz,esESP,"CC,DF",30-060,32,26,"2,420",26.9,1,3,4,1,0,0,4,0,1.2,1.2,2.5,3.6,35,105,84,0.04,0.11,0.15,0.04,0.15,0.04,0.09,0.14,0.04,0.14,Partidos,57,2.12,43,4,5,0,3,2,8,0.30,7,1,0,0,0,0,43,34,18,15,10,15,43,34.9,28,24,4,20,29,72,36,3,880,1125,78.2,15240,4482,423,487,86.9,334,414,80.7,94,158,59.5,2.2,+0.5,29,108,31,12,1038,84,21,3,17,48,49,3,0,1,1,3,6,26.1,0.86,0.22,0.04,0.17,21.5,0.05,-0.2,-0.2,1340,29,21,60.0,12,34.3,677,7,27,14,895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,81.5,87,20,6,28,0,1.00,31,45,-14,-0.52,-0.36,26.3,48.3,-22.1,-0.82,0.00,0,27,24,34,0,0,105,34.2,/es/jugadores/ec7c84c2/Javier-Munoz
Scott McKenna,sctSCO,DF,28-168,27,26,"2,286",25.4,0,0,0,0,0,0,5,1,0.8,0.8,0.7,1.5,8,41,3,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Partidos,11,0.43,8,1,1,1,0,0,0,0.00,0,0,0,0,0,0,18,12,13,5,0,9,12,75.0,3,34,26,8,9,27,146,2,1165,1344,86.7,21442,7071,407,440,92.5,665,730,91.1,78,142,54.9,0.4,-0.7,3,47,1,0,1285,57,35,0,4,2,5,0,0,0,0,2,0,0.0,0.24,0.00,0.00,,11.2,0.13,-0.8,-0.8,1589,17,3,100.0,0,0.0,829,2,8,4,1029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,77.0,87,24,1,22,0,1.15,33,40,-7,-0.28,+0.78,25.5,45.8,-20.2,-0.80,+0.10,0,12,8,12,0,1,66,64.4,/es/jugadores/4e5a4cbc/Scott-McKenna
Mika Mármol,esESP,DF,23-302,26,23,"2,039",22.7,0,1,1,0,0,0,4,0,0.4,0.4,1.3,1.7,22,85,47,0.00,0.04,0.04,0.00,0.04,0.02,0.06,0.07,0.02,0.07,Partidos,33,1.46,28,4,0,1,0,0,4,0.18,4,0,0,0,0,0,50,21,29,19,2,28,42,66.7,14,40,13,27,36,86,94,2,955,1256,76.0,17236,7727,420,472,89.0,412,499,82.6,107,235,45.5,1.8,-0.3,12,99,13,7,1073,180,24,0,7,45,151,0,0,0,0,3,0,0.0,0.40,0.00,0.00,,16.8,0.04,-0.4,-0.4,1518,15,5,45.5,6,54.5,676,1,13,3,904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,68.7,86,20,3,20,3,0.96,27,37,-10,-0.44,+0.04,23.4,40.8,-17.3,-0.77,+0.17,0,27,6,21,0,1,64,52.9,/es/jugadores/e7630876/Mika-Marmol
Sandro Ramírez,esESP,"DL,CC",29-294,28,23,"1,866",20.7,8,3,11,8,0,0,6,0,3.1,3.1,3.1,6.3,48,46,111,0.39,0.14,0.53,0.39,0.53,0.15,0.15,0.30,0.15,0.30,Partidos,51,2.46,27,15,0,2,7,0,6,0.29,3,1,0,0,2,0,24,15,9,11,4,13,29,44.8,16,17,0,17,16,40,21,2,398,615,64.7,6630,2084,193,254,76.0,154,206,74.8,36,96,37.5,3.1,-0.1,23,30,9,3,526,82,26,2,3,109,4,52,13,32,0,7,20,44.4,2.17,0.96,0.18,0.40,23.5,0.07,+4.9,+4.9,838,60,14,33.3,23,54.8,423,22,42,25,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,62.8,75,5,5,29,0,1.04,25,31,-6,-0.29,+0.44,19.9,37.6,-17.8,-0.86,-0.10,0,23,39,15,1,1,81,44.4,/es/jugadores/833fb62e/Sandro-Ramirez
Fábio Silva,ptPOR,DL,22-284,24,22,"1,866",20.7,10,3,13,8,2,3,7,0,8.8,6.4,2.0,8.4,30,26,119,0.48,0.14,0.63,0.39,0.53,0.42,0.10,0.52,0.31,0.41,Partidos,43,2.08,30,0,4,3,5,1,5,0.24,3,0,1,1,0,0,12,7,4,5,3,4,14,28.6,10,12,0,12,4,16,27,0,309,466,66.3,4149,710,181,250,72.4,83,125,66.4,16,29,55.2,1.8,+1.0,16,13,14,3,421,44,1,3,3,21,5,0,0,0,0,1,20,43.5,2.22,0.96,0.17,0.40,14.8,0.14,+1.2,+1.6,706,101,21,39.6,29,54.7,330,21,58,30,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,62.8,82,9,2,37,0,1.21,27,33,-6,-0.29,+0.44,19.2,39.8,-20.6,-0.99,-0.46,0,39,43,7,0,0,48,49.5,/es/jugadores/e7aa9d7c/Fabio-Silva
Kirian Rodríguez,esESP,CC,29-055,21,21,"1,758",19.5,0,3,3,0,0,0,2,0,1.6,1.6,1.5,3.0,25,128,39,0.00,0.15,0.15,0.00,0.15,0.08,0.07,0.16,0.08,0.16,Partidos,49,2.51,43,2,1,0,2,1,7,0.36,7,0,0,0,0,0,33,17,12,18,3,22,43,51.2,21,22,4,18,10,43,21,0,1026,1204,85.2,16191,4876,546,597,91.5,379,429,88.3,75,120,62.5,1.4,+1.5,16,106,14,1,1154,43,34,8,4,18,2,6,2,3,0,7,8,38.1,1.08,0.41,0.00,0.00,21.8,0.08,-1.6,-1.6,1357,15,11,68.8,5,31.3,763,0,20,14,1027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,59.2,84,9,0,,0,1.10,22,29,-7,-0.36,+0.24,17.1,36.7,-19.7,-1.01,-0.46,0,9,18,17,0,0,100,43.3,/es/jugadores/9b130479/Kirian-Rodriguez
Dario Essugo,ptPOR,CC,20-046,22,21,"1,645",18.3,1,0,1,1,0,0,10,2,0.6,0.6,0.3,0.9,14,65,8,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Partidos,31,1.70,21,0,3,3,2,2,1,0.05,1,0,0,0,0,0,52,41,26,21,5,25,41,61.0,16,24,9,15,41,93,42,7,684,809,84.5,11765,3213,313,354,88.4,296,335,88.4,62,88,70.5,0.6,-0.3,11,66,8,0,795,12,9,4,8,1,1,0,0,0,0,2,4,19.0,1.15,0.22,0.05,0.25,24.8,0.03,+0.4,+0.4,1052,9,11,68.8,4,25.0,503,2,32,20,654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,55.4,76,8,1,45,1,1.18,16,23,-7,-0.38,+0.16,15.8,30.1,-14.4,-0.79,+0.08,2,30,29,41,0,0,99,48.1,/es/jugadores/1e4319ac/Dario-Essugo
