Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,20,Osijek,hrCRO,1.1. HNL,23,"1,663",2,5,,,,,23,"1,663",2,5,,https://fbref.com/es/jugadores/712dd708/Borna-Barisic,,,19,"1,663",18.5,2,5,7,2,0,0,2,0,,,,,,,,0.11,0.27,0.38,0.11,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,13.0,,,0.7,,0.15,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,663",72,51.3,18.5,19,,,4,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,"€ 24,038(£ 20,663, $27,301)","€ 1,250,000(£ 1,074,480, $1,419,640)",,https://fbref.com/es/jugadores/712dd708/Borna-Barisic
2014-2015,21,Osijek,hrCRO,1.1. HNL,28,"2,520",1,2,,,,,28,"2,520",1,2,Partidos,https://fbref.com/es/jugadores/712dd708/Borna-Barisic,,,28,"2,520",28.0,1,2,3,0,1,1,6,0,,,,,,,,0.04,0.07,0.11,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6.0,,,0.21,,0.0,,,1,1,,,,,,,,,,,,,,,,,,,,,,"2,520",90,77.8,28.0,28,,28.0,0,,0.0,1.14,35.0,40.0,-5.0,-0.18,1.32,,,,,,6,0,,,,,,,,,,,,,,,,,,
2015-2016,22,Lokomotiva,hrCRO,1.1. HNL,19,"1,597",0,2,,,,,19,"1,597",0,2,Partidos,https://fbref.com/es/jugadores/712dd708/Borna-Barisic,,,17,"1,597",17.7,0,2,2,0,0,0,6,0,,,,,,,,0.0,0.11,0.11,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2.0,,,0.11,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,597",84,49.3,17.7,17,,16.0,2,,4.0,1.37,24.0,30.0,-6.0,-0.34,-0.83,,,,,,6,0,,,,,,,,,,,,,,,,,,
2015-2016,22,Dinamo Zagreb,hrCRO,1.1. HNL,1,71,0,0,,,,,1,71,0,0,Partidos,https://fbref.com/es/jugadores/712dd708/Borna-Barisic,,,1,71,0.8,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,71,71,2.2,0.8,1,,0.0,0,,1.0,1.0,1.0,1.0,0.0,0.0,-1.36,,,,,,0,0,,,,,,,,,,,,,,,,,,
2016-2017,23,Osijek,hrCRO,1.1. HNL,32,"2,880",1,6,,,,,32,"2,880",1,6,Partidos,https://fbref.com/es/jugadores/712dd708/Borna-Barisic,,,32,"2,880",32.0,1,6,7,1,0,0,3,0,,,,,,,,0.03,0.19,0.22,0.03,0.22,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,8.0,,0.0,0.25,,0.13,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,880",90,88.9,32.0,32,,32.0,0,,0.0,1.78,49.0,36.0,13.0,0.41,-0.09,,,,,,3,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,24,Osijek,hrCRO,1.1. HNL,22,"1,821",1,3,,,,,22,"1,821",1,3,Partidos,https://fbref.com/es/jugadores/712dd708/Borna-Barisic,,,21,"1,821",20.2,1,3,4,0,1,2,3,0,,,,,,,,0.05,0.15,0.2,0.0,0.15,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.0,6.0,,0.0,0.3,,0.0,,,1,2,,,,,,,,,,,,,,,,,,,,,,"1,821",83,56.2,20.2,21,,17.0,1,,2.0,1.59,29.0,17.0,12.0,0.59,0.4,,,,,,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2018-2019,25,Osijek,hrCRO,1.1. HNL,1,90,0,0,,,,,1,90,0,0,Partidos,https://fbref.com/es/jugadores/712dd708/Borna-Barisic,,,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,2.8,1.0,1,90.0,1.0,0,,0.0,3.0,4.0,1.0,3.0,3.0,2.37,,,,,,0,0,0.0,,,,,,,,,0.0,,,,,,,,
2018-2019,25,Rangers,sctSCO,1.Premiership,16,"1,238",0,2,2.0,174,0.0,1.0,18,"1,412",0,3,Partidos,https://fbref.com/es/jugadores/712dd708/Borna-Barisic,,,14,"1,238",13.8,0,2,2,0,0,0,4,0,,,,,,,,0.0,0.15,0.15,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,238",77,36.2,13.8,14,83.0,10.0,2,39.0,3.0,1.81,27.0,8.0,19.0,1.38,-0.1,,,,,,4,0,0.0,,,,,,,,,0.0,,,,,,,,
2019-2020,26,Rangers,sctSCO,1.Premiership,22,"1,944",2,7,10.0,882,0.0,4.0,32,"2,826",2,11,Partidos,https://fbref.com/es/jugadores/712dd708/Borna-Barisic,,,22,"1,944",21.6,2,7,9,2,0,0,3,0,,,,,,,,0.09,0.32,0.42,0.09,0.42,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,18.0,7.0,38.9,0.83,0.32,0.11,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,944",88,74.5,21.6,22,88.0,21.0,0,,2.0,2.55,48.0,9.0,39.0,1.81,0.99,,,,,,3,0,0.0,15.0,17.0,1.0,211.0,0.0,0.0,,,0.0,,,,,,,,
2020-2021,27,Rangers,sctSCO,1.Premiership,33,"2,830",1,6,10.0,849,3.0,3.0,43,"3,679",4,9,Partidos,https://fbref.com/es/jugadores/712dd708/Borna-Barisic,,,33,"2,830",31.4,1,6,7,1,0,1,4,0,,,,,,,,0.03,0.19,0.22,0.03,0.22,,,,,,,25.0,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,23.0,5.0,21.7,0.73,0.16,0.04,0.2,,,0,1,,,,,,,,,,,,,,,,,,,,,,"2,830",86,82.7,31.4,33,86.0,27.0,0,,3.0,2.64,66.0,11.0,55.0,1.75,-1.91,,,,,,4,0,0.0,26.0,27.0,1.0,320.0,38.0,25.0,,,0.0,,,,,,,,
