Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,19,Barcelona B,esESP,2.La Liga 2,38.0,"2,754",3.0,1.0,,,,,,,,,38,"2,754",3,1,29.0,"2,754",30.6,3.0,1.0,4.0,3.0,0.0,0.0,13.0,1.0,,,,,,,,0.1,0.03,0.13,0.1,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,15.0,,,0.49,,0.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,754",72.0,72.9,30.6,29.0,,23.0,9.0,,1.0,0.82,43.0,67.0,-24.0,-0.78,-0.43,,,,,,13.0,1.0,,,,,,,,,,,,,,,"€ 3,077(£ 2,673, $3,372)","€ 160,000(£ 138,980, $175,357)",Estimación no verificada,https://fbref.com/es/jugadores/ac454a4f/Gerard-Gumbau
2014-2015,19,Barcelona,esESP,1.La Liga,,,,,1.0,90.0,0.0,0.0,,,,,1,90,0,0,0.0,45,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,45,15.0,1.3,0.5,0.0,,0.0,3.0,15.0,7.0,3.0,2.0,2.0,0.0,0.0,-2.21,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,,,,"€ 13,077(£ 11,359, $14,332)","€ 680,000(£ 590,665, $745,265)",Estimación no verificada,https://fbref.com/es/jugadores/ac454a4f/Gerard-Gumbau
2015-2016,20,Barcelona,esESP,1.La Liga,3.0,45,0.0,0.0,2.0,135.0,0.0,0.0,3.0,60.0,0.0,0.0,8,240,0,0,16.0,"1,434",15.9,1.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.7,0.7,0.5,1.2,6.0,49.0,5.0,0.06,0.0,0.06,0.06,0.06,0.04,0.03,0.07,0.04,0.07,35.0,26.0,13.0,21.0,1.0,12.0,37.0,32.4,25.0,12.0,4.0,8.0,14.0,49.0,27.0,0.0,412.0,529.0,77.9,8119.0,2579.0,188.0,228.0,82.5,147.0,173.0,85.0,70.0,103.0,68.0,0.0,0.5,0.2,-0.5,5.0,62.0,2.0,0.0,49.0,529.0,511.0,13.0,12.0,2.0,22.0,2.0,0.0,1.0,1.0,0.0,0.0,412.0,5.0,11.0,34.0,172.0,414.0,66.0,6.0,647.0,7.0,6.0,85.7,1.0,14.3,329.0,1345.0,620.0,6.0,6.0,1.0,10.0,7.0,384.0,5.0,1.0,17.0,6.0,35.3,1.07,0.38,0.06,0.17,28.5,0.0,0.0,0.0,0.7,0.7,0.04,0.3,0.3,18.0,1.13,14.0,0.0,0.0,3.0,0.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,"1,434",57.0,41.9,15.9,16.0,80.0,11.0,9.0,17.0,7.0,1.12,14.0,30.0,-16.0,-1.0,-0.96,13.6,24.6,-11.1,-0.7,-0.85,8.0,0.0,0.0,40.0,6.0,1.0,2.0,14.0,26.0,0.0,0.0,0.0,89.0,20.0,20.0,50.0,"€ 4,038(£ 3,508, $4,426)","€ 210,000(£ 182,411, $230,155)",Estimación no verificada,https://fbref.com/es/jugadores/ac454a4f/Gerard-Gumbau
2017-2018,22,Leganés,esESP,1.La Liga,25.0,"1,434",1.0,0.0,6.0,458.0,0.0,0.0,,,,,31,"1,892",1,0,13.0,"1,199",13.3,1.0,1.0,2.0,0.0,1.0,1.0,6.0,1.0,2.0,1.2,0.4,1.6,11.0,41.0,23.0,0.08,0.08,0.15,0.0,0.08,0.15,0.03,0.18,0.09,0.12,22.0,16.0,9.0,13.0,0.0,6.0,25.0,24.0,19.0,15.0,2.0,13.0,13.0,35.0,13.0,0.0,320.0,450.0,71.1,5959.0,1712.0,143.0,166.0,86.1,131.0,168.0,78.0,42.0,94.0,44.7,1.0,0.4,0.6,0.6,7.0,22.0,5.0,3.0,41.0,450.0,400.0,48.0,18.0,0.0,16.0,37.0,12.0,12.0,3.0,8.0,0.0,320.0,2.0,13.0,16.0,109.0,304.0,147.0,12.0,554.0,5.0,5.0,100.0,0.0,0.0,265.0,943.0,411.0,11.0,10.0,1.0,10.0,3.0,316.0,23.0,1.0,18.0,5.0,27.8,1.35,0.38,0.0,0.0,25.3,3.0,1.0,1.0,2.0,1.2,0.07,-1.0,-1.2,19.0,1.43,9.0,2.0,0.0,2.0,4.0,2.0,2.0,0.15,1.0,0.0,0.0,1.0,0.0,0.0,"1,199",75.0,35.1,13.3,13.0,90.0,12.0,3.0,9.0,11.0,0.88,8.0,19.0,-11.0,-0.83,-1.03,12.7,17.7,-4.9,-0.37,-0.55,6.0,1.0,1.0,28.0,11.0,0.0,37.0,13.0,16.0,0.0,0.0,0.0,61.0,15.0,16.0,48.4,"€ 4,038(£ 3,474, $4,416)","€ 210,000(£ 180,665, $229,627)",Estimación no verificada,https://fbref.com/es/jugadores/ac454a4f/Gerard-Gumbau
2018-2019,23,Leganés,esESP,1.La Liga,16.0,"1,199",1.0,1.0,4.0,287.0,0.0,0.0,,,,,20,"1,486",1,1,32.0,"2,750",30.6,1.0,1.0,2.0,1.0,0.0,0.0,13.0,0.0,,,,,,,,0.03,0.03,0.07,0.03,0.07,,,,,,,36.0,,,,,,,,,,,36.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,35.0,9.0,25.7,1.15,0.29,0.03,0.11,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,750",72.0,72.8,30.6,32.0,83.0,20.0,6.0,17.0,2.0,1.59,36.0,29.0,7.0,0.23,0.4,,,,,,13.0,0.0,0.0,80.0,29.0,1.0,24.0,36.0,36.0,,,0.0,,,,,"€ 12,500(£ 10,560, $13,433)","€ 650,000(£ 549,139, $698,519)",Estimación no verificada,https://fbref.com/es/jugadores/ac454a4f/Gerard-Gumbau
2019-2020,24,Girona,esESP,2.La Liga 2,38.0,"2,750",1.0,1.0,1.0,10.0,0.0,0.0,,,,,39,"2,760",1,1,33.0,"2,715",30.2,1.0,6.0,7.0,1.0,0.0,0.0,11.0,0.0,,,,,,,,0.03,0.2,0.23,0.03,0.23,,,,,,,26.0,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,47.0,11.0,23.4,1.56,0.36,0.02,0.09,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,715",71.0,71.8,30.2,33.0,80.0,12.0,5.0,18.0,2.0,1.71,34.0,22.0,12.0,0.4,0.48,,,,,,11.0,0.0,0.0,69.0,30.0,1.0,93.0,23.0,26.0,,,0.0,,,,,"€ 12,500(£ 10,745, $14,196)","€ 650,000(£ 558,730, $738,213)",Estimación no verificada,https://fbref.com/es/jugadores/ac454a4f/Gerard-Gumbau
2020-2021,25,Girona,esESP,2.La Liga 2,38.0,"2,715",1.0,6.0,1.0,81.0,0.0,0.0,,,,,39,"2,796",1,6,2.0,109,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,2.48,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,109,55.0,2.9,1.2,2.0,55.0,0.0,0.0,,1.0,2.0,1.0,0.0,1.0,0.83,0.48,,,,,,0.0,0.0,0.0,4.0,3.0,0.0,6.0,1.0,1.0,,,0.0,,,,,,,,
2021-2022,26,Girona,esESP,2.La Liga 2,2.0,109,0.0,0.0,,,,,,,,,2,109,0,0,20.0,"1,890",21.0,0.0,4.0,4.0,0.0,0.0,0.0,8.0,1.0,0.7,0.7,2.8,3.5,17.0,85.0,16.0,0.0,0.19,0.19,0.0,0.19,0.04,0.13,0.17,0.04,0.17,46.0,19.0,22.0,19.0,5.0,22.0,51.0,43.1,29.0,18.0,4.0,14.0,23.0,69.0,25.0,0.0,836.0,1064.0,78.6,15799.0,4666.0,364.0,400.0,91.0,319.0,375.0,85.1,129.0,231.0,55.8,4.0,2.8,2.0,1.2,28.0,92.0,8.0,2.0,85.0,1064.0,931.0,125.0,67.0,2.0,27.0,93.0,1.0,57.0,23.0,25.0,0.0,836.0,8.0,13.0,41.0,295.0,715.0,265.0,7.0,1261.0,13.0,7.0,53.8,6.0,46.2,615.0,2699.0,1262.0,17.0,17.0,0.0,23.0,6.0,795.0,16.0,0.0,21.0,3.0,14.3,1.0,0.14,0.0,0.0,29.1,3.0,0.0,0.0,0.7,0.7,0.04,-0.7,-0.7,48.0,2.29,25.0,21.0,1.0,1.0,0.0,0.0,7.0,0.33,6.0,1.0,0.0,0.0,0.0,0.0,"1,890",61.0,55.3,21.0,20.0,79.0,10.0,11.0,28.0,2.0,1.06,26.0,34.0,-8.0,-0.38,-0.15,16.0,35.1,-19.1,-0.91,-0.54,8.0,1.0,0.0,50.0,22.0,0.0,93.0,23.0,19.0,0.0,0.0,0.0,104.0,15.0,22.0,40.5,,,,
2021-2022,26,Elche,esESP,1.La Liga,31.0,"1,890",0.0,4.0,4.0,309.0,0.0,2.0,,,,,35,"2,199",0,6,31.0,"2,737",30.4,1.0,6.0,7.0,1.0,0.0,0.0,11.0,0.0,2.3,2.3,6.2,8.5,18.0,145.0,52.0,0.03,0.2,0.23,0.03,0.23,0.08,0.2,0.28,0.08,0.28,44.0,25.0,17.0,23.0,4.0,18.0,51.0,35.3,33.0,32.0,8.0,24.0,28.0,72.0,40.0,0.0,1112.0,1446.0,76.9,22189.0,7192.0,458.0,523.0,87.6,414.0,484.0,85.5,204.0,337.0,60.5,6.0,6.2,6.1,-0.2,73.0,124.0,24.0,12.0,145.0,1446.0,1239.0,196.0,76.0,3.0,42.0,164.0,2.0,114.0,44.0,48.0,4.0,1112.0,11.0,37.0,60.0,336.0,955.0,433.0,28.0,1709.0,20.0,7.0,35.0,9.0,45.0,916.0,3944.0,1874.0,18.0,21.0,2.0,27.0,12.0,1050.0,52.0,1.0,47.0,18.0,38.3,1.55,0.59,0.02,0.06,25.5,6.0,0.0,0.0,2.3,2.3,0.05,-1.3,-1.3,121.0,3.98,56.0,57.0,2.0,5.0,1.0,0.0,7.0,0.23,3.0,4.0,0.0,0.0,0.0,0.0,"2,737",78.0,80.0,30.4,31.0,84.0,20.0,4.0,36.0,0.0,0.69,24.0,54.0,-30.0,-0.99,-0.06,31.4,56.7,-25.3,-0.83,0.13,11.0,0.0,0.0,51.0,21.0,2.0,164.0,28.0,25.0,0.0,0.0,0.0,165.0,22.0,30.0,42.3,,,,
2022-2023,27,Elche,esESP,1.La Liga,35.0,"2,737",1.0,6.0,3.0,248.0,0.0,1.0,,,,,38,"2,985",1,7,31.0,"2,674",29.7,0.0,3.0,3.0,0.0,0.0,0.0,12.0,0.0,1.8,1.8,4.0,5.8,20.0,135.0,29.0,0.0,0.1,0.1,0.0,0.1,0.06,0.14,0.19,0.06,0.19,55.0,34.0,21.0,30.0,4.0,23.0,62.0,37.1,39.0,24.0,5.0,19.0,25.0,80.0,30.0,2.0,1079.0,1504.0,71.7,21503.0,7250.0,450.0,525.0,85.7,426.0,524.0,81.3,187.0,371.0,50.4,3.0,4.0,4.0,-1.0,41.0,132.0,22.0,5.0,135.0,1504.0,1289.0,201.0,112.0,7.0,24.0,150.0,3.0,86.0,30.0,36.0,1.0,1079.0,14.0,29.0,44.0,396.0,1016.0,351.0,13.0,1745.0,18.0,10.0,55.6,5.0,27.8,878.0,3456.0,1609.0,20.0,13.0,2.0,18.0,15.0,1100.0,29.0,0.0,45.0,9.0,20.0,1.51,0.3,0.0,0.0,28.3,8.0,0.0,0.0,1.8,1.8,0.04,-1.8,-1.8,83.0,2.79,38.0,35.0,1.0,5.0,2.0,2.0,11.0,0.37,8.0,1.0,0.0,2.0,0.0,0.0,"2,674",76.0,78.2,29.7,31.0,83.0,18.0,4.0,24.0,0.0,0.51,30.0,65.0,-35.0,-1.18,-0.45,31.8,50.7,-18.9,-0.64,-0.31,12.0,0.0,0.0,62.0,26.0,0.0,150.0,25.0,34.0,0.0,0.0,0.0,126.0,23.0,24.0,48.9,,,,
