Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,20,Real Murcia,esESP,Copa del Rey,,,,,1.0,30.0,0.0,0.0,,,,,1,30,0,0,19.0,"1,756",19.5,2.0,4.0,6.0,2.0,0.0,0.0,8.0,1.0,,,,,,,,0.1,0.21,0.31,0.1,0.31,,,,,,,22.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,55.0,16.0,29.1,2.82,0.82,0.04,0.13,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,756",84.0,46.5,19.5,19.0,88.0,16.0,2.0,39.0,1.0,1.29,26.0,19.0,7.0,0.36,0.89,,,,,,8.0,1.0,1.0,32.0,54.0,5.0,43.0,13.0,22.0,,,0.0,,,,,"€ 9,615(£ 8,352, $10,538)","€ 500,000(£ 434,312, $547,989)",Estimación no verificada,https://fbref.com/es/jugadores/49dbab27/Isaac-Palazon-Camacho
2016-2017,21,Real Murcia,esESP,Copa del Rey,,,,,1.0,72.0,0.0,0.0,,,,,1,72,0,0,9.0,754,8.4,1.0,2.0,3.0,1.0,0.0,0.0,2.0,1.0,,,,,,,,0.12,0.24,0.36,0.12,0.36,,,,,,,10.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,16.0,7.0,43.8,1.91,0.84,0.06,0.14,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,754,54.0,19.9,8.4,9.0,73.0,2.0,5.0,20.0,2.0,1.43,14.0,8.0,6.0,0.72,0.6,,,,,,2.0,1.0,0.0,10.0,16.0,1.0,19.0,1.0,10.0,,,0.0,,,,,"€ 23,077(£ 19,853, $25,234)","€ 1,200,000(£ 1,032,372, $1,312,153)",Estimación no verificada,https://fbref.com/es/jugadores/49dbab27/Isaac-Palazon-Camacho
2017-2018,22,Ponferradina,esESP,Copa del Rey,,,,,3.0,92.0,0.0,0.0,,,,,3,92,0,0,28.0,"2,420",26.9,9.0,3.0,12.0,7.0,2.0,2.0,6.0,0.0,,,,,,,,0.33,0.11,0.45,0.26,0.37,,,,,,,24.0,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,66.0,28.0,42.4,2.45,1.04,0.11,0.25,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,"2,420",62.0,64.0,26.9,28.0,79.0,5.0,11.0,20.0,0.0,1.74,37.0,24.0,13.0,0.48,0.55,,,,,,6.0,0.0,0.0,33.0,77.0,6.0,44.0,17.0,24.0,,,0.0,,,,,"€ 23,077(£ 19,496, $24,800)","€ 1,200,000(£ 1,013,795, $1,289,574)",Estimación no verificada,https://fbref.com/es/jugadores/49dbab27/Isaac-Palazon-Camacho
2019-2020,24,Ponferradina,esESP,2.La Liga 2,21.0,"1,756",2.0,4.0,,,,,,,,,21,"1,756",2,4,27.0,"2,288",25.4,2.0,4.0,6.0,2.0,0.0,0.0,7.0,0.0,3.1,3.1,3.1,6.2,41.0,94.0,148.0,0.08,0.16,0.24,0.08,0.24,0.12,0.12,0.24,0.12,0.24,42.0,28.0,20.0,19.0,3.0,18.0,59.0,30.5,41.0,31.0,3.0,28.0,13.0,55.0,22.0,0.0,623.0,895.0,69.6,10490.0,2954.0,321.0,402.0,79.9,202.0,272.0,74.3,76.0,149.0,51.0,4.0,3.1,2.9,0.9,34.0,76.0,22.0,3.0,94.0,895.0,821.0,65.0,22.0,9.0,15.0,70.0,3.0,40.0,10.0,19.0,0.0,623.0,9.0,21.0,27.0,158.0,572.0,557.0,50.0,1266.0,81.0,36.0,44.4,45.0,55.6,712.0,3678.0,1332.0,41.0,33.0,8.0,85.0,55.0,855.0,148.0,2.0,58.0,12.0,20.7,2.28,0.47,0.03,0.17,21.8,6.0,0.0,0.0,3.1,3.1,0.05,-1.1,-1.1,79.0,3.11,53.0,11.0,3.0,5.0,7.0,0.0,7.0,0.28,4.0,1.0,2.0,0.0,0.0,0.0,"2,288",67.0,66.9,25.4,27.0,76.0,7.0,7.0,35.0,1.0,1.21,25.0,26.0,-1.0,-0.04,0.76,24.5,28.9,-4.4,-0.17,-0.08,7.0,0.0,0.0,32.0,69.0,5.0,70.0,13.0,28.0,0.0,0.0,0.0,161.0,46.0,72.0,39.0,"€ 23,077(£ 19,837, $26,209)","€ 1,200,000(£ 1,031,501, $1,362,854)",Estimación no verificada,https://fbref.com/es/jugadores/49dbab27/Isaac-Palazon-Camacho
2019-2020,24,Rayo Vallecano,esESP,2.La Liga 2,14.0,754,1.0,2.0,1.0,90.0,0.0,0.0,,,,,15,844,1,2,36.0,"2,965",32.9,9.0,5.0,14.0,8.0,1.0,3.0,4.0,0.0,7.7,5.3,5.2,10.5,49.0,127.0,181.0,0.27,0.15,0.42,0.24,0.39,0.23,0.16,0.39,0.16,0.32,45.0,30.0,11.0,23.0,11.0,24.0,66.0,36.4,42.0,42.0,3.0,39.0,17.0,62.0,30.0,0.0,979.0,1376.0,71.1,16672.0,4781.0,492.0,563.0,87.4,340.0,447.0,76.1,111.0,264.0,42.0,5.0,5.2,5.9,-0.2,66.0,84.0,47.0,11.0,127.0,1376.0,1153.0,208.0,75.0,6.0,14.0,192.0,7.0,126.0,48.0,57.0,0.0,979.0,15.0,31.0,40.0,196.0,726.0,936.0,65.0,1827.0,112.0,50.0,44.6,51.0,45.5,1111.0,5863.0,2134.0,49.0,65.0,9.0,78.0,65.0,1235.0,181.0,9.0,91.0,22.0,24.2,2.76,0.67,0.09,0.36,24.6,3.0,1.0,3.0,7.7,5.3,0.06,1.3,2.7,128.0,3.89,67.0,32.0,8.0,8.0,11.0,2.0,10.0,0.3,6.0,3.0,1.0,0.0,0.0,0.0,"2,965",80.0,86.7,32.9,36.0,81.0,11.0,1.0,45.0,0.0,1.32,40.0,45.0,-5.0,-0.15,0.44,36.8,40.1,-3.3,-0.1,0.52,4.0,0.0,0.0,37.0,104.0,9.0,192.0,17.0,30.0,0.0,0.0,0.0,210.0,30.0,83.0,26.5,"€ 23,077(£ 19,837, $26,209)","€ 1,200,000(£ 1,031,501, $1,362,854)",Estimación no verificada,https://fbref.com/es/jugadores/49dbab27/Isaac-Palazon-Camacho
2020-2021,25,Rayo Vallecano,esESP,2.La Liga 2,39.0,"2,420",9.0,3.0,4.0,170.0,0.0,0.0,,,,,43,"2,590",9,3,34.0,"2,791",31.0,4.0,1.0,5.0,2.0,2.0,2.0,8.0,0.0,5.9,4.4,1.9,6.3,40.0,128.0,152.0,0.13,0.03,0.16,0.06,0.1,0.19,0.06,0.25,0.14,0.2,46.0,25.0,16.0,21.0,9.0,20.0,58.0,34.5,38.0,29.0,2.0,27.0,16.0,62.0,41.0,0.0,825.0,1203.0,68.6,13401.0,3997.0,438.0,525.0,83.4,270.0,372.0,72.6,82.0,209.0,39.2,1.0,1.9,2.2,-0.9,36.0,94.0,17.0,3.0,128.0,1203.0,1046.0,146.0,50.0,8.0,12.0,131.0,6.0,83.0,37.0,28.0,1.0,825.0,11.0,31.0,43.0,232.0,725.0,705.0,55.0,1636.0,87.0,35.0,40.2,45.0,51.7,875.0,4561.0,1717.0,40.0,54.0,7.0,93.0,65.0,1087.0,152.0,4.0,70.0,31.0,44.3,2.26,1.0,0.03,0.06,22.5,5.0,2.0,2.0,5.9,4.4,0.06,-1.9,-2.4,112.0,3.61,58.0,24.0,2.0,9.0,19.0,0.0,5.0,0.16,2.0,1.0,0.0,1.0,1.0,0.0,"2,791",75.0,81.6,31.0,34.0,79.0,12.0,3.0,31.0,0.0,1.03,27.0,32.0,-5.0,-0.16,1.84,34.7,33.6,1.0,0.03,0.51,8.0,0.0,0.0,32.0,76.0,10.0,131.0,16.0,25.0,0.0,0.0,0.0,156.0,40.0,69.0,36.7,"€ 23,077(£ 19,837, $26,209)","€ 1,200,000(£ 1,031,501, $1,362,854)",Estimación no verificada,https://fbref.com/es/jugadores/49dbab27/Isaac-Palazon-Camacho
2021-2022,26,Rayo Vallecano,esESP,1.La Liga,34.0,"2,288",2.0,4.0,6.0,365.0,0.0,0.0,,,,,40,"2,653",2,4,20.0,"1,714",19.0,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,3.5,3.5,2.7,6.2,26.0,98.0,97.0,0.16,0.16,0.32,0.16,0.32,0.18,0.14,0.32,0.18,0.32,22.0,17.0,10.0,6.0,6.0,8.0,30.0,26.7,22.0,18.0,1.0,17.0,8.0,30.0,11.0,1.0,619.0,797.0,77.7,10151.0,2984.0,335.0,378.0,88.6,206.0,248.0,83.1,63.0,119.0,52.9,3.0,2.7,3.0,0.3,33.0,65.0,14.0,3.0,98.0,797.0,692.0,97.0,14.0,9.0,5.0,76.0,3.0,62.0,32.0,18.0,0.0,619.0,8.0,20.0,10.0,101.0,453.0,469.0,34.0,1014.0,57.0,21.0,36.8,30.0,52.6,564.0,2868.0,1100.0,26.0,25.0,7.0,33.0,36.0,716.0,97.0,3.0,46.0,12.0,26.1,2.42,0.63,0.07,0.25,22.8,1.0,0.0,0.0,3.5,3.5,0.08,-0.5,-0.5,83.0,4.35,49.0,17.0,5.0,4.0,8.0,0.0,4.0,0.21,2.0,2.0,0.0,0.0,0.0,0.0,"1,714",57.0,57.7,19.0,20.0,75.0,6.0,10.0,21.0,0.0,1.3,20.0,24.0,-4.0,-0.21,0.0,22.2,23.9,-1.7,-0.09,0.13,4.0,0.0,0.0,35.0,40.0,3.0,76.0,8.0,17.0,0.0,0.0,0.0,88.0,13.0,29.0,31.0,"€ 23,077(£ 19,837, $26,209)","€ 1,200,000(£ 1,031,501, $1,362,854)",Estimación no verificada,https://fbref.com/es/jugadores/49dbab27/Isaac-Palazon-Camacho
2022-2023,27,Rayo Vallecano,esESP,1.La Liga,37.0,"2,965",9.0,5.0,3.0,111.0,0.0,0.0,,,,,40,"3,076",9,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,28,Rayo Vallecano,esESP,1.La Liga,37.0,"2,791",4.0,1.0,2.0,124.0,1.0,0.0,,,,,39,"2,915",5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-2025,29,Rayo Vallecano,esESP,1.La Liga,30.0,"1,714",3.0,3.0,3.0,64.0,0.0,1.0,,,,,33,"1,778",3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
