Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,23,CD Eldense,esESP,Copa del Rey,,,,,2.0,195.0,0.0,0.0,,,,,2.0,195,0,0,0.0,65,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,65,16.0,1.7,0.7,0.0,,0.0,4.0,,2.0,0.75,0.0,2.0,-2.0,-2.77,-2.91,,,,,,0.0,0.0,,2.0,,,,,,,,,,,,,"€ 11,731(£ 10,190, $12,857)","€ 610,000(£ 529,861, $668,547)",Estimación no verificada,https://fbref.com/es/jugadores/32974271/Sergi-Guardiola
2015-2016,24,Alcorcón,esESP,2.La Liga 2,4.0,65,0.0,0.0,1.0,45.0,0.0,0.0,,,,,5.0,110,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,37.0,11.0,29.7,2.73,0.81,0.05,0.18,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,2.0,0.0,0.0,9.0,33.0,16.0,8.0,4.0,11.0,1.0,1.0,0.0,,,,,"€ 11,731(£ 10,190, $12,857)","€ 610,000(£ 529,861, $668,547)",Estimación no verificada,https://fbref.com/es/jugadores/32974271/Sergi-Guardiola
2016-2017,25,Granada,esESP,1.La Liga,,,,,,,,,,,,,,,0,0,14.0,"1,219",13.5,3.0,1.0,4.0,2.0,1.0,1.0,2.0,0.0,,,,,,,,0.22,0.07,0.3,0.15,0.22,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0.0,52.0,,0.0,1.39,,0.38,,,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,"1,219",76.0,50.2,13.5,14.0,,10.0,2.0,,0.0,0.63,11.0,22.0,-11.0,-0.81,-0.07,,,,,,10.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,"€ 16,346(£ 14,199, $17,915)","€ 850,000(£ 738,331, $931,581)",Estimación no verificada,https://fbref.com/es/jugadores/32974271/Sergi-Guardiola
2016-2017,25,Adelaide,auAUS,1.A-League,16.0,"1,219",3.0,1.0,,,,,,,,,16.0,"1,219",3,1,37.0,"3,368",37.4,22.0,8.0,30.0,20.0,2.0,5.0,10.0,0.0,,,,,,,,0.59,0.21,0.8,0.53,0.75,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,14.0,42.9,51.0,13.0,6.0,8.0,75.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,4.0,20.0,4.0,24.0,4.0,0.0,0.0,4.0,100.0,16.0,129.0,64.0,7.0,3.0,2.0,2.0,0.0,17.0,4.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,,23.7,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,368",84.0,89.1,37.4,37.0,,32.0,3.0,,1.0,1.18,50.0,54.0,-4.0,-0.11,0.77,,,,,,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,"€ 28,846(£ 25,056, $31,615)","€ 1,500,000(£ 1,302,937, $1,643,967)",Estimación no verificada,https://fbref.com/es/jugadores/32974271/Sergi-Guardiola
2017-2018,26,Córdoba,esESP,2.La Liga 2,40.0,"3,368",22.0,8.0,2.0,98.0,2.0,0.0,,,,,42.0,"3,466",24,8,0.0,30,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.22,0.22,0.22,19.0,11.0,1.0,10.0,8.0,2.0,13.0,15.4,11.0,12.0,0.0,12.0,5.0,24.0,17.0,0.0,228.0,367.0,62.1,3482.0,698.0,133.0,183.0,72.7,62.0,90.0,68.9,22.0,40.0,55.0,1.0,2.2,1.7,-1.2,9.0,17.0,9.0,1.0,28.0,367.0,323.0,41.0,1.0,2.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,228.0,3.0,20.0,17.0,34.0,271.0,278.0,71.0,577.0,35.0,19.0,54.3,16.0,45.7,316.0,1769.0,739.0,36.0,21.0,26.0,46.0,32.0,420.0,108.0,3.0,45.0,15.0,33.3,2.68,0.89,0.07,0.2,16.2,0.0,0.0,1.0,5.4,4.6,0.1,-2.4,-1.6,40.0,2.38,21.0,0.0,6.0,4.0,9.0,0.0,3.0,0.18,1.0,0.0,0.0,0.0,2.0,0.0,30,10.0,0.9,0.3,0.0,,0.0,3.0,9.0,6.0,0.33,0.0,0.0,0.0,0.0,-0.35,0.1,0.8,-0.6,-1.87,-1.95,0.0,0.0,0.0,37.0,31.0,14.0,18.0,5.0,11.0,3.0,0.0,0.0,38.0,44.0,82.0,34.9,"€ 7,500(£ 6,515, $8,220)","€ 390,000(£ 338,764, $427,431)",Estimación no verificada,https://fbref.com/es/jugadores/32974271/Sergi-Guardiola
2018-2019,27,Getafe,esESP,1.La Liga,3.0,30,0.0,0.0,2.0,136.0,0.0,0.0,,,,,5.0,166,0,0,17.0,"1,514",16.8,3.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,5.4,4.6,2.2,6.8,36.0,28.0,108.0,0.18,0.06,0.24,0.18,0.24,0.32,0.13,0.45,0.27,0.4,14.0,6.0,3.0,7.0,4.0,4.0,24.0,16.7,20.0,23.0,0.0,23.0,6.0,20.0,18.0,1.0,458.0,678.0,67.6,6335.0,1399.0,278.0,337.0,82.5,110.0,174.0,63.2,32.0,57.0,56.1,2.0,2.4,1.9,-0.4,17.0,31.0,10.0,0.0,49.0,678.0,635.0,41.0,1.0,2.0,7.0,35.0,1.0,0.0,0.0,0.0,0.0,458.0,2.0,24.0,23.0,87.0,482.0,433.0,75.0,982.0,66.0,41.0,62.1,25.0,37.9,626.0,3573.0,1405.0,53.0,57.0,18.0,88.0,46.0,771.0,164.0,8.0,56.0,19.0,33.9,1.9,0.64,0.14,0.42,18.8,3.0,0.0,1.0,6.3,5.4,0.1,1.7,2.6,55.0,1.86,38.0,0.0,6.0,3.0,8.0,0.0,6.0,0.2,3.0,0.0,2.0,1.0,0.0,0.0,"1,514",89.0,44.3,16.8,17.0,89.0,15.0,0.0,,0.0,1.12,15.0,26.0,-11.0,-0.65,-0.28,21.6,28.2,-6.6,-0.39,0.12,6.0,0.0,0.0,52.0,65.0,20.0,35.0,6.0,6.0,1.0,0.0,0.0,66.0,30.0,92.0,24.6,"€ 7,500(£ 6,452, $8,201)","€ 390,000(£ 335,521, $426,450)",Estimación no verificada,https://fbref.com/es/jugadores/32974271/Sergi-Guardiola
2018-2019,27,Valladolid,esESP,1.La Liga,17.0,"1,514",3.0,1.0,,,,,,,,,17.0,"1,514",3,1,31.0,"2,655",29.5,8.0,2.0,10.0,8.0,0.0,1.0,6.0,0.0,6.3,5.4,2.4,7.8,53.0,49.0,164.0,0.27,0.07,0.34,0.27,0.34,0.21,0.08,0.3,0.18,0.27,11.0,5.0,1.0,5.0,5.0,2.0,27.0,7.4,25.0,12.0,1.0,11.0,7.0,18.0,16.0,3.0,343.0,532.0,64.5,4691.0,1003.0,219.0,303.0,72.3,66.0,101.0,65.3,28.0,47.0,59.6,2.0,2.0,1.8,0.0,11.0,19.0,9.0,3.0,34.0,532.0,518.0,12.0,1.0,3.0,9.0,29.0,1.0,0.0,0.0,0.0,0.0,343.0,2.0,25.0,20.0,61.0,305.0,392.0,66.0,749.0,46.0,25.0,54.3,21.0,45.7,420.0,2020.0,790.0,37.0,21.0,13.0,61.0,41.0,586.0,126.0,1.0,34.0,8.0,23.5,1.7,0.4,0.0,0.0,16.9,1.0,1.0,2.0,4.6,3.1,0.09,-3.6,-3.1,30.0,1.5,22.0,0.0,2.0,2.0,3.0,1.0,5.0,0.25,3.0,0.0,1.0,0.0,1.0,0.0,"2,655",76.0,77.6,29.5,31.0,82.0,18.0,4.0,32.0,0.0,1.14,26.0,29.0,-3.0,-0.1,0.84,29.7,42.2,-12.5,-0.42,0.22,5.0,0.0,0.0,39.0,40.0,12.0,29.0,7.0,5.0,1.0,0.0,0.0,59.0,57.0,95.0,37.5,"€ 7,500(£ 6,452, $8,201)","€ 390,000(£ 335,521, $426,450)",Estimación no verificada,https://fbref.com/es/jugadores/32974271/Sergi-Guardiola
2019-2020,28,Valladolid,esESP,1.La Liga,35.0,"2,655",8.0,2.0,,,,,,,,,35.0,"2,655",8,2,19.0,"1,795",19.9,1.0,2.0,3.0,0.0,1.0,2.0,5.0,0.0,4.6,3.1,2.0,5.1,37.0,34.0,126.0,0.05,0.1,0.15,0.0,0.1,0.23,0.1,0.33,0.15,0.25,10.0,9.0,3.0,5.0,2.0,1.0,21.0,4.8,20.0,14.0,2.0,12.0,4.0,14.0,17.0,0.0,270.0,403.0,67.0,3792.0,824.0,168.0,223.0,75.3,67.0,97.0,69.1,16.0,24.0,66.7,2.0,2.0,1.9,0.0,15.0,10.0,12.0,2.0,32.0,403.0,381.0,21.0,2.0,2.0,5.0,16.0,2.0,0.0,0.0,0.0,0.0,270.0,1.0,16.0,19.0,51.0,245.0,322.0,85.0,609.0,20.0,13.0,65.0,7.0,35.0,345.0,1626.0,575.0,23.0,17.0,14.0,58.0,32.0,460.0,114.0,8.0,50.0,16.0,32.0,2.63,0.84,0.14,0.44,14.5,0.0,1.0,1.0,7.1,6.3,0.13,0.9,0.7,40.0,2.11,25.0,1.0,4.0,5.0,4.0,1.0,6.0,0.32,3.0,0.0,0.0,1.0,1.0,1.0,"1,795",62.0,52.5,19.9,19.0,84.0,12.0,10.0,21.0,4.0,0.86,21.0,22.0,-1.0,-0.05,1.17,21.7,24.4,-2.7,-0.13,0.43,3.0,0.0,0.0,29.0,29.0,14.0,16.0,4.0,9.0,1.0,0.0,0.0,47.0,23.0,45.0,33.8,"€ 7,500(£ 6,336, $8,060)","€ 390,000(£ 329,483, $419,111)",Estimación no verificada,https://fbref.com/es/jugadores/32974271/Sergi-Guardiola
2020-2021,29,Valladolid,esESP,1.La Liga,29.0,"1,795",1.0,2.0,2.0,88.0,0.0,0.0,,,,,31.0,"1,883",1,2,20.0,"1,710",19.0,8.0,2.0,10.0,7.0,1.0,1.0,3.0,0.0,7.1,6.3,2.0,8.3,23.0,32.0,114.0,0.42,0.11,0.53,0.37,0.47,0.37,0.1,0.48,0.33,0.44,12.0,7.0,6.0,5.0,1.0,2.0,4.0,50.0,2.0,6.0,0.0,6.0,2.0,14.0,7.0,0.0,74.0,117.0,63.2,948.0,149.0,47.0,65.0,72.3,18.0,26.0,69.2,3.0,5.0,60.0,0.0,0.1,0.2,-0.1,2.0,1.0,1.0,1.0,3.0,117.0,108.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,74.0,1.0,6.0,7.0,27.0,91.0,74.0,17.0,191.0,7.0,0.0,0.0,6.0,85.7,99.0,373.0,144.0,7.0,6.0,2.0,18.0,4.0,125.0,20.0,0.0,11.0,3.0,27.3,1.97,0.54,0.0,0.0,17.7,0.0,0.0,0.0,1.0,1.0,0.09,-1.0,-1.0,8.0,1.43,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,710",53.0,50.0,19.0,20.0,74.0,3.0,12.0,19.0,3.0,1.09,21.0,25.0,-4.0,-0.21,0.16,21.5,18.6,3.0,0.16,0.61,1.0,0.0,0.0,14.0,9.0,4.0,3.0,2.0,7.0,0.0,0.0,0.0,14.0,9.0,14.0,39.1,"€ 9,615(£ 8,265, $10,920)","€ 500,000(£ 429,792, $567,856)",Estimación no verificada,https://fbref.com/es/jugadores/32974271/Sergi-Guardiola
2021-2022,30,Rayo Vallecano,esESP,1.La Liga,32.0,"1,710",8.0,2.0,6.0,351.0,2.0,0.0,,,,,38.0,"2,061",10,2,8.0,502,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.1,1.2,7.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.18,0.03,0.21,0.18,0.21,9.0,7.0,0.0,6.0,3.0,3.0,12.0,25.0,9.0,5.0,0.0,5.0,3.0,12.0,7.0,0.0,203.0,294.0,69.0,2803.0,548.0,121.0,152.0,79.6,60.0,88.0,68.2,10.0,15.0,66.7,0.0,0.5,0.3,-0.5,9.0,11.0,3.0,1.0,28.0,294.0,278.0,15.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,203.0,1.0,12.0,8.0,34.0,174.0,208.0,41.0,413.0,24.0,12.0,50.0,10.0,41.7,241.0,1015.0,344.0,12.0,10.0,5.0,27.0,24.0,303.0,55.0,3.0,27.0,13.0,48.1,2.09,1.0,0.11,0.23,15.5,0.0,0.0,0.0,3.4,3.4,0.12,-0.4,-0.4,31.0,2.39,21.0,0.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502,36.0,14.7,5.6,8.0,54.0,0.0,6.0,12.0,2.0,0.79,1.0,6.0,-5.0,-0.9,-0.13,3.1,10.0,-6.9,-1.23,-0.62,2.0,0.0,0.0,7.0,21.0,11.0,14.0,3.0,7.0,0.0,0.0,0.0,39.0,11.0,31.0,26.2,,,,
