Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,18,Watford,engENG,2.Championship,8.0,518,0.0,1.0,,,,,,,,,8.0,518,0,1,6,518,5.8,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.17,0.17,0.0,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,0.17,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,518,65.0,12.5,5.8,6,,,2,,,,,,,,,,,,,,1.0,0.0,,7.0,,,,,,,,,,,,,"£ 12,000(€ 13,814, $15,142)","£ 624,000(€ 718,308, $787,366)",Estimación no verificada,https://fbref.com/es/jugadores/f874dd44/Hector-Bellerin
2014-2015,19,Arsenal,engENG,1.Premier League,20.0,"1,563",2.0,1.0,4.0,329.0,0.0,0.0,4.0,360.0,0.0,0.0,28.0,"2,252",2,1,17,"1,563",17.4,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,,,,,,,,0.12,0.06,0.17,0.12,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,,0.23,,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,563",78.0,45.7,17.4,17,,15.0,3,,10.0,2.15,35.0,15.0,20.0,1.15,0.42,,,,,,5.0,0.0,,17.0,,,,,,,,,,,,,"£ 45,000(€ 51,801, $56,781)","£ 2,340,000(€ 2,693,653, $2,952,622)",Estimación no verificada,https://fbref.com/es/jugadores/f874dd44/Hector-Bellerin
2015-2016,20,Arsenal,engENG,1.Premier League,36.0,"3,240",1.0,5.0,2.0,180.0,0.0,2.0,6.0,528.0,0.0,1.0,44.0,"3,948",1,8,36,"3,240",36.0,1.0,5.0,6.0,1.0,0.0,0.0,3.0,0.0,,,,,,,,0.03,0.14,0.17,0.03,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,0.08,,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"3,240",90.0,94.7,36.0,36,,36.0,0,,0.0,1.94,64.0,33.0,31.0,0.86,1.86,,,,,,3.0,0.0,,19.0,,,,,,,,,,,,,"£ 45,000(€ 51,801, $56,781)","£ 2,340,000(€ 2,693,653, $2,952,622)",Estimación no verificada,https://fbref.com/es/jugadores/f874dd44/Hector-Bellerin
2016-2017,21,Arsenal,engENG,1.Premier League,33.0,"2,503",1.0,4.0,4.0,286.0,0.0,1.0,5.0,450.0,0.0,0.0,42.0,"3,239",1,5,27,"2,503",27.8,1.0,4.0,5.0,1.0,0.0,0.0,4.0,0.0,,,,,,,,0.04,0.14,0.18,0.04,0.18,,,,,,,22.0,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,22.0,5.0,22.7,0.79,0.18,0.05,0.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,503",76.0,73.2,27.8,27,,26.0,6,,1.0,1.97,57.0,34.0,23.0,0.83,-0.15,,,,,,4.0,0.0,0.0,20.0,15.0,0.0,69.0,39.0,22.0,0.0,0.0,0.0,,,,,"£ 110,000(€ 126,625, $138,798)","£ 5,720,000(€ 6,584,486, $7,217,520)",Estimación no verificada,https://fbref.com/es/jugadores/f874dd44/Hector-Bellerin
2017-2018,22,Arsenal,engENG,1.Premier League,35.0,"3,051",2.0,3.0,4.0,390.0,0.0,0.0,8.0,720.0,1.0,2.0,47.0,"4,161",3,5,34,"3,051",33.9,2.0,3.0,5.0,2.0,0.0,0.0,5.0,0.0,2.2,2.2,3.9,6.2,84.0,134.0,333.0,0.06,0.09,0.15,0.06,0.15,0.07,0.12,0.18,0.07,0.18,57.0,43.0,36.0,12.0,9.0,25.0,52.0,48.1,27.0,42.0,8.0,34.0,23.0,80.0,89.0,4.0,1833.0,2193.0,83.6,27194.0,7214.0,1018.0,1118.0,91.1,705.0,814.0,86.6,61.0,116.0,52.6,3.0,3.9,5.1,-0.9,32.0,82.0,53.0,10.0,134.0,2193.0,1902.0,285.0,4.0,7.0,4.0,64.0,281.0,0.0,0.0,0.0,0.0,1833.0,6.0,61.0,119.0,578.0,1082.0,877.0,103.0,2523.0,46.0,25.0,54.3,21.0,45.7,1446.0,7149.0,3993.0,84.0,62.0,19.0,40.0,31.0,1651.0,333.0,2.0,29.0,8.0,27.6,0.86,0.24,0.07,0.25,17.3,0.0,0.0,0.0,2.2,2.2,0.08,-0.2,-0.2,85.0,2.51,76.0,2.0,1.0,2.0,3.0,1.0,8.0,0.24,7.0,0.0,0.0,1.0,0.0,0.0,"3,051",87.0,89.2,33.9,34,,33.0,1,,0.0,1.71,67.0,44.0,23.0,0.68,0.68,61.4,41.9,19.5,0.57,0.33,5.0,0.0,0.0,36.0,7.0,4.0,64.0,23.0,43.0,0.0,2.0,0.0,175.0,35.0,57.0,38.0,"£ 110,000(€ 126,625, $138,798)","£ 5,720,000(€ 6,584,486, $7,217,520)",Estimación no verificada,https://fbref.com/es/jugadores/f874dd44/Hector-Bellerin
2018-2019,23,Arsenal,engENG,1.Premier League,19.0,"1,533",0.0,5.0,,,,,,,,,19.0,"1,533",0,5,18,"1,533",17.0,0.0,5.0,5.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,2.2,3.1,48.0,88.0,121.0,0.0,0.29,0.29,0.0,0.29,0.05,0.13,0.18,0.05,0.18,15.0,12.0,8.0,4.0,3.0,6.0,13.0,46.2,7.0,17.0,5.0,12.0,20.0,35.0,37.0,3.0,794.0,958.0,82.9,11966.0,3670.0,425.0,474.0,89.7,299.0,357.0,83.8,43.0,62.0,69.4,5.0,2.2,2.5,2.8,8.0,38.0,25.0,7.0,88.0,958.0,815.0,141.0,9.0,6.0,0.0,39.0,132.0,0.0,0.0,0.0,0.0,794.0,2.0,26.0,48.0,300.0,459.0,364.0,52.0,1117.0,23.0,15.0,65.2,8.0,34.8,577.0,3433.0,1794.0,48.0,28.0,9.0,20.0,15.0,702.0,121.0,0.0,18.0,4.0,22.2,1.06,0.23,0.0,0.0,18.5,0.0,0.0,0.0,0.9,0.9,0.05,-0.9,-0.9,37.0,2.17,32.0,0.0,2.0,3.0,0.0,0.0,9.0,0.53,8.0,0.0,0.0,1.0,0.0,0.0,"1,533",81.0,44.8,17.0,18,84.0,15.0,1,21.0,0.0,1.95,36.0,21.0,15.0,0.88,0.55,24.7,20.4,4.3,0.25,0.18,3.0,0.0,0.0,16.0,6.0,1.0,39.0,20.0,12.0,0.0,0.0,1.0,79.0,21.0,24.0,46.7,"£ 110,000(€ 126,625, $138,798)","£ 5,720,000(€ 6,584,486, $7,217,520)",Estimación no verificada,https://fbref.com/es/jugadores/f874dd44/Hector-Bellerin
2019-2020,24,Arsenal,engENG,Jr.PL2 — Div. 1,2.0,152,0.0,1.0,,,,,,,,,2.0,152,0,1,2,152,1.7,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.59,0.59,0.0,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,152,76.0,9.4,1.7,2,76.0,1.0,0,,0.0,1.0,3.0,3.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"£ 110,000(€ 126,625, $138,798)","£ 5,720,000(€ 6,584,486, $7,217,520)",,https://fbref.com/es/jugadores/f874dd44/Hector-Bellerin
2019-2020,24,Arsenal,engENG,1.Premier League,15.0,"1,158",1.0,0.0,5.0,404.0,0.0,1.0,3.0,263.0,0.0,0.0,23.0,"1,825",1,1,13,"1,158",12.9,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.4,0.8,34.0,58.0,70.0,0.08,0.0,0.08,0.08,0.08,0.03,0.03,0.06,0.03,0.06,20.0,13.0,7.0,11.0,2.0,11.0,29.0,37.9,18.0,20.0,4.0,16.0,19.0,39.0,27.0,1.0,575.0,711.0,80.9,8755.0,2624.0,294.0,327.0,89.9,251.0,299.0,83.9,14.0,28.0,50.0,0.0,0.4,0.8,-0.4,3.0,39.0,7.0,2.0,58.0,711.0,583.0,126.0,14.0,0.0,3.0,27.0,112.0,0.0,0.0,0.0,0.0,575.0,2.0,30.0,34.0,251.0,388.0,211.0,22.0,846.0,31.0,18.0,58.1,13.0,41.9,435.0,2426.0,1446.0,34.0,24.0,5.0,14.0,12.0,505.0,70.0,1.0,7.0,2.0,28.6,0.54,0.16,0.14,0.5,16.9,0.0,0.0,0.0,0.4,0.4,0.05,0.6,0.6,16.0,1.24,14.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,158",77.0,33.9,12.9,13,88.0,10.0,2,9.0,5.0,1.47,20.0,18.0,2.0,0.16,-0.08,15.5,20.4,-4.9,-0.38,-0.25,2.0,0.0,0.0,15.0,3.0,1.0,27.0,19.0,13.0,0.0,0.0,0.0,54.0,13.0,16.0,44.8,"€ 128,269(£ 111,418, $140,580)","€ 6,670,000(£ 5,793,726, $7,310,175)",,https://fbref.com/es/jugadores/f874dd44/Hector-Bellerin
2020-2021,25,Arsenal,engENG,1.Premier League,25.0,"2,089",1.0,2.0,3.0,132.0,0.0,0.0,7.0,546.0,0.0,1.0,35.0,"2,767",1,3,24,"2,089",23.2,1.0,2.0,3.0,1.0,0.0,0.0,8.0,0.0,0.8,0.8,2.4,3.2,46.0,108.0,142.0,0.04,0.09,0.13,0.04,0.13,0.03,0.1,0.14,0.03,0.14,29.0,19.0,14.0,12.0,3.0,12.0,41.0,29.3,29.0,26.0,8.0,18.0,33.0,62.0,33.0,0.0,1080.0,1324.0,81.6,15904.0,4280.0,603.0,676.0,89.2,416.0,497.0,83.7,31.0,54.0,57.4,2.0,2.4,2.6,-0.4,20.0,69.0,26.0,9.0,108.0,1324.0,1158.0,163.0,10.0,2.0,5.0,54.0,153.0,0.0,0.0,0.0,0.0,1080.0,3.0,32.0,55.0,394.0,658.0,482.0,47.0,1527.0,25.0,12.0,48.0,13.0,52.0,810.0,3777.0,2176.0,46.0,32.0,9.0,24.0,5.0,961.0,142.0,1.0,15.0,5.0,33.3,0.65,0.22,0.07,0.2,20.3,0.0,0.0,0.0,0.8,0.8,0.05,0.2,0.2,46.0,1.98,43.0,0.0,0.0,2.0,1.0,0.0,7.0,0.3,6.0,0.0,0.0,0.0,1.0,0.0,"2,089",84.0,61.1,23.2,24,86.0,20.0,1,22.0,9.0,1.48,26.0,24.0,2.0,0.09,-0.86,28.5,28.0,0.6,0.03,-0.53,8.0,0.0,0.0,21.0,7.0,1.0,54.0,33.0,19.0,1.0,0.0,0.0,91.0,31.0,30.0,50.8,"€ 48,077(£ 41,361, $52,570)","€ 2,500,000(£ 2,150,776, $2,733,652)",Estimación no verificada,https://fbref.com/es/jugadores/f874dd44/Hector-Bellerin
2021-2022,26,Arsenal,engENG,1.Premier League,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,32.0,29.0,20.0,3.0,31.0,44.0,70.5,13.0,11.0,2.0,9.0,23.0,75.0,57.0,1.0,804.0,1048.0,76.7,12134.0,4764.0,433.0,509.0,85.1,300.0,383.0,78.3,44.0,89.0,49.4,2.0,2.1,3.0,-0.1,26.0,49.0,20.0,7.0,75.0,1048.0,845.0,200.0,18.0,1.0,4.0,42.0,182.0,0.0,0.0,0.0,0.0,804.0,3.0,27.0,68.0,365.0,573.0,357.0,41.0,1285.0,42.0,22.0,52.4,20.0,47.6,596.0,3170.0,1755.0,43.0,32.0,7.0,26.0,8.0,726.0,103.0,0.0,10.0,2.0,20.0,0.45,0.09,0.0,0.0,21.0,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5,47.0,2.14,39.0,6.0,2.0,0.0,0.0,0.0,7.0,0.32,6.0,0.0,1.0,0.0,0.0,0.0,,,,,0,,0.0,0,,1.0,,,,,,,,,,,,2.0,1.0,0.0,23.0,14.0,2.0,42.0,23.0,32.0,0.0,0.0,1.0,95.0,27.0,19.0,58.7,"€ 60,000(£ 50,690, $64,479)","€ 3,120,000(£ 2,635,867, $3,352,891)",,https://fbref.com/es/jugadores/f874dd44/Hector-Bellerin
