Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,16,Betis,esESP,1.La Liga,1,11,0,0,,,,,,,,,1,11,0,0,0,11,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,11,11,0.3,0.1,0,,,1,,,,,,,,,,,,,,0,0,,0.0,,,,,,,,,,,,,"€ 3,654(£ 3,174, $4,005)","€ 190,000(£ 165,039, $208,236)",Estimación no verificada,https://fbref.com/es/jugadores/c0617e2b/Dani-Ceballos
2014-2015,17,Betis,esESP,2.La Liga 2,33,"2,280",5,3,2.0,176.0,0.0,0.0,,,,,35,"2,456",5,3,24,"2,280",25.3,5,3,8,5,0,0,4,0,,,,,,,,0.2,0.12,0.32,0.2,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,8,,,0.32,,0.63,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,280",69,60.3,25.3,24,,11.0,9,,1.0,2.12,51.0,25.0,26.0,1.03,0.61,,,,,,4,0,,,,,,,,,,,,,,,"€ 21,346(£ 18,542, $23,395)","€ 1,110,000(£ 964,173, $1,216,536)",Estimación no verificada,https://fbref.com/es/jugadores/c0617e2b/Dani-Ceballos
2015-2016,18,Betis,esESP,1.La Liga,34,"2,132",0,2,4.0,104.0,0.0,0.0,,,,,38,"2,236",0,2,22,"2,132",23.7,0,2,2,0,0,0,11,1,,,,,,,,0.0,0.08,0.08,0.0,0.08,,,,,,,55.0,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17.0,3,17.6,0.72,0.13,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,132",63,62.3,23.7,22,78.0,9.0,12,34.0,1.0,1.18,21.0,33.0,-12.0,-0.51,-0.09,,,,,,11,1,1.0,37.0,77.0,0.0,19.0,38.0,55.0,0.0,0.0,0.0,,,,,"€ 60,192(£ 52,285, $65,969)","€ 3,130,000(£ 2,718,795, $3,430,412)",Estimación no verificada,https://fbref.com/es/jugadores/c0617e2b/Dani-Ceballos
2016-2017,19,Betis,esESP,1.La Liga,30,"2,339",2,2,1.0,90.0,0.0,0.0,,,,,31,"2,429",2,2,24,"2,339",26.0,2,2,4,2,0,0,8,0,,,,,,,,0.08,0.08,0.15,0.08,0.15,,,,,,,66.0,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,37.0,16,43.2,1.42,0.62,0.05,0.13,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,339",78,68.4,26.0,24,90.0,22.0,6,32.0,3.0,0.97,29.0,40.0,-11.0,-0.42,0.58,,,,,,8,0,0.0,50.0,116.0,0.0,37.0,53.0,66.0,0.0,0.0,0.0,,,,,"€ 60,192(£ 52,285, $65,969)","€ 3,130,000(£ 2,718,795, $3,430,412)",Estimación no verificada,https://fbref.com/es/jugadores/c0617e2b/Dani-Ceballos
2017-2018,20,Real Madrid,esESP,1.La Liga,12,401,2,0,6.0,420.0,0.0,0.0,4.0,82.0,0.0,0.0,22,903,2,0,4,401,4.5,2,0,2,2,0,0,0,0,0.4,0.4,0.2,0.6,13.0,38.0,17.0,0.45,0.0,0.45,0.45,0.45,0.09,0.04,0.13,0.09,0.13,8.0,7.0,3.0,2.0,3.0,4.0,16.0,25.0,12.0,6.0,0.0,6.0,5.0,13.0,1.0,0.0,353.0,380.0,92.9,5443.0,1220.0,195.0,205.0,95.1,102.0,107.0,95.3,36.0,42.0,85.7,0,0.2,0.5,-0.2,4.0,33.0,2.0,0.0,38.0,380.0,362.0,17.0,8.0,1.0,3.0,2.0,4.0,3.0,0.0,1.0,0.0,353.0,1.0,4.0,6.0,57.0,242.0,131.0,9.0,425.0,20.0,11.0,55.0,9.0,45.0,340.0,2009.0,927.0,13.0,14.0,1.0,6.0,4.0,357.0,17.0,2,7.0,4,57.1,1.57,0.9,0.29,0.5,21.6,0.0,0,0,0.4,0.4,0.06,1.6,1.6,20.0,4.49,14.0,1.0,1.0,0.0,4.0,0.0,3.0,0.67,1.0,1.0,1.0,0.0,0.0,0.0,401,33,11.7,4.5,4,75.0,1.0,8,13.0,11.0,2.5,7.0,6.0,1.0,0.22,-1.24,8.3,6.2,2.2,0.48,-0.71,0,0,0.0,7.0,15.0,0.0,2.0,5.0,7.0,0.0,0.0,0.0,26.0,0.0,1.0,0.0,"£ 51,923(€ 59,770, $65,517)","£ 2,700,000(€ 3,108,062, $3,406,871)",Estimación no verificada,https://fbref.com/es/jugadores/c0617e2b/Dani-Ceballos
2018-2019,21,Real Madrid,esESP,1.La Liga,23,"1,248",3,0,6.0,429.0,0.0,2.0,4.0,231.0,0.0,0.0,33,"1,908",3,2,13,"1,248",13.9,3,0,3,3,0,0,3,0,2.3,2.3,1.2,3.5,38.0,140.0,70.0,0.22,0.0,0.22,0.22,0.22,0.16,0.09,0.25,0.16,0.25,32.0,21.0,9.0,16.0,7.0,11.0,31.0,35.5,20.0,26.0,1.0,25.0,15.0,47.0,6.0,0.0,953.0,1037.0,91.9,15425.0,3344.0,520.0,551.0,94.4,346.0,362.0,95.6,74.0,84.0,88.1,0,1.2,1.2,-1.2,24.0,93.0,14.0,2.0,140.0,1037.0,995.0,39.0,26.0,2.0,12.0,8.0,11.0,2.0,0.0,0.0,0.0,953.0,3.0,21.0,13.0,141.0,675.0,409.0,29.0,1206.0,32.0,14.0,43.8,18.0,56.3,879.0,4653.0,2097.0,38.0,46.0,6.0,23.0,28.0,944.0,70.0,3,22.0,5,22.7,1.59,0.36,0.14,0.6,18.9,1.0,0,0,2.3,2.3,0.1,0.7,0.7,57.0,4.11,48.0,0.0,1.0,3.0,4.0,1.0,2.0,0.14,1.0,0.0,0.0,1.0,0.0,0.0,"1,248",54,36.5,13.9,13,76.0,5.0,10,26.0,10.0,1.91,24.0,13.0,11.0,0.79,0.54,22.7,18.5,4.1,0.3,-0.34,3,0,0.0,16.0,40.0,1.0,8.0,15.0,21.0,0.0,0.0,0.0,102.0,9.0,18.0,33.3,"£ 51,923(€ 59,770, $65,517)","£ 2,700,000(€ 3,108,062, $3,406,871)",,https://fbref.com/es/jugadores/c0617e2b/Dani-Ceballos
2019-2020,22,Arsenal,engENG,1.Premier League,24,"1,692",0,2,7.0,367.0,1.0,0.0,6.0,311.0,1.0,0.0,37,"2,370",2,2,18,"1,692",18.8,0,2,2,0,0,0,1,0,0.6,0.6,1.8,2.3,60.0,174.0,38.0,0.0,0.11,0.11,0.0,0.11,0.03,0.09,0.12,0.03,0.12,45.0,23.0,26.0,14.0,5.0,18.0,61.0,29.5,43.0,14.0,3.0,11.0,32.0,77.0,16.0,1.0,1114.0,1329.0,83.8,19951.0,5446.0,482.0,523.0,92.2,479.0,531.0,90.2,121.0,202.0,59.9,2,1.8,2.0,0.2,28.0,120.0,29.0,2.0,174.0,1329.0,1220.0,106.0,38.0,6.0,20.0,70.0,5.0,63.0,23.0,12.0,2.0,1114.0,3.0,20.0,50.0,320.0,807.0,403.0,21.0,1510.0,36.0,27.0,75.0,9.0,25.0,1012.0,6703.0,3681.0,60.0,52.0,8.0,25.0,30.0,1089.0,38.0,0,13.0,3,23.1,0.69,0.16,0.0,0.0,22.8,0.0,0,0,0.6,0.6,0.04,-0.6,-0.6,56.0,2.98,38.0,10.0,2.0,1.0,3.0,2.0,7.0,0.37,5.0,1.0,0.0,0.0,0.0,1.0,"1,692",71,49.5,18.8,18,80.0,6.0,6,42.0,4.0,1.75,29.0,21.0,8.0,0.43,0.43,21.6,27.4,-5.7,-0.3,-0.17,1,0,0.0,19.0,35.0,0.0,70.0,32.0,23.0,0.0,0.0,0.0,153.0,9.0,24.0,27.3,"€ 60,192(£ 52,285, $65,969)","€ 3,130,000(£ 2,718,795, $3,430,412)",,https://fbref.com/es/jugadores/c0617e2b/Dani-Ceballos
2020-2021,23,Arsenal,engENG,1.Premier League,25,"1,615",0,3,3.0,170.0,0.0,0.0,12.0,586.0,0.0,0.0,40,"2,371",0,3,17,"1,615",17.9,0,3,3,0,0,0,4,0,0.6,0.6,2.6,3.3,54.0,150.0,52.0,0.0,0.17,0.17,0.0,0.17,0.04,0.15,0.18,0.04,0.18,37.0,22.0,20.0,11.0,6.0,21.0,51.0,41.2,30.0,23.0,6.0,17.0,35.0,72.0,14.0,1.0,1126.0,1310.0,86.0,19849.0,5172.0,504.0,559.0,90.2,476.0,521.0,91.4,118.0,165.0,71.5,3,2.6,2.1,0.4,27.0,125.0,18.0,4.0,150.0,1310.0,1258.0,51.0,26.0,7.0,11.0,29.0,8.0,17.0,8.0,6.0,0.0,1126.0,1.0,24.0,61.0,320.0,845.0,331.0,23.0,1482.0,38.0,26.0,68.4,12.0,31.6,964.0,6293.0,3308.0,54.0,49.0,3.0,23.0,15.0,1090.0,52.0,0,13.0,2,15.4,0.72,0.11,0.0,0.0,21.7,1.0,0,0,0.6,0.6,0.05,-0.6,-0.6,68.0,3.79,60.0,3.0,1.0,1.0,2.0,1.0,5.0,0.28,4.0,0.0,0.0,1.0,0.0,0.0,"1,615",65,47.2,17.9,17,84.0,11.0,8,24.0,10.0,1.28,23.0,17.0,6.0,0.33,-0.16,24.5,18.5,6.0,0.34,0.2,4,0,0.0,23.0,24.0,0.0,29.0,35.0,22.0,0.0,0.0,0.0,136.0,8.0,13.0,38.1,"€ 60,192(£ 51,784, $65,818)","€ 3,130,000(£ 2,692,771, $3,422,532)",,https://fbref.com/es/jugadores/c0617e2b/Dani-Ceballos
2021-2022,24,Real Madrid,esESP,1.La Liga,11,276,0,0,2.0,35.0,0.0,1.0,5.0,41.0,0.0,0.0,18,352,0,1,2,276,3.1,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,6.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.23,0.05,0.28,0.22,0.28,7.0,5.0,4.0,3.0,0.0,1.0,5.0,20.0,4.0,8.0,2.0,6.0,4.0,11.0,2.0,0.0,240.0,262.0,91.6,3954.0,1124.0,120.0,127.0,94.5,89.0,95.0,93.7,23.0,28.0,82.1,0,0.2,0.3,-0.2,3.0,22.0,6.0,0.0,20.0,262.0,257.0,5.0,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,240.0,0.0,2.0,7.0,69.0,172.0,76.0,9.0,313.0,11.0,5.0,45.5,6.0,54.5,217.0,1228.0,578.0,6.0,8.0,1.0,10.0,1.0,248.0,8.0,0,10.0,4,40.0,3.26,1.3,0.0,0.0,20.1,1.0,0,0,0.7,0.7,0.07,-0.7,-0.7,12.0,3.93,9.0,0.0,0.0,3.0,0.0,0.0,1.0,0.33,0.0,0.0,0.0,1.0,0.0,0.0,276,25,8.1,3.1,2,80.0,1.0,9,13.0,6.0,2.64,8.0,2.0,6.0,1.96,0.73,8.0,4.7,3.3,1.08,0.38,1,0,0.0,3.0,7.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0,,"€ 200,385(£ 169,291, $215,342)","€ 10,420,000(£ 8,803,119, $11,197,798)",Estimación no verificada,https://fbref.com/es/jugadores/c0617e2b/Dani-Ceballos
2022-2023,25,Real Madrid,esESP,1.La Liga,30,"1,564",0,4,6.0,249.0,1.0,3.0,8.0,92.0,0.0,0.0,44,"1,905",1,7,19,"1,564",17.4,0,4,4,0,0,0,8,0,0.9,0.9,2.1,3.0,60.0,204.0,60.0,0.0,0.23,0.23,0.0,0.23,0.05,0.12,0.17,0.05,0.17,43.0,29.0,13.0,15.0,15.0,25.0,64.0,39.1,39.0,23.0,2.0,21.0,25.0,68.0,6.0,1.0,1362.0,1504.0,90.6,21362.0,6610.0,745.0,785.0,94.9,445.0,475.0,93.7,117.0,146.0,80.1,4,2.1,2.0,1.9,30.0,198.0,18.0,1.0,204.0,1504.0,1437.0,57.0,26.0,6.0,26.0,16.0,20.0,9.0,2.0,2.0,0.0,1362.0,10.0,25.0,29.0,258.0,986.0,465.0,34.0,1690.0,66.0,40.0,60.6,22.0,33.3,1243.0,6885.0,3318.0,60.0,52.0,7.0,19.0,26.0,1366.0,60.0,0,18.0,5,27.8,1.04,0.29,0.0,0.0,21.0,0.0,0,0,0.9,0.9,0.05,-0.9,-0.9,81.0,4.66,60.0,8.0,5.0,2.0,5.0,1.0,9.0,0.52,8.0,0.0,0.0,0.0,1.0,0.0,"1,564",52,45.7,17.4,19,74.0,5.0,11,15.0,3.0,2.17,26.0,14.0,12.0,0.69,-0.62,30.8,16.6,14.1,0.81,-0.28,8,0,0.0,17.0,41.0,1.0,16.0,25.0,29.0,0.0,0.0,0.0,132.0,4.0,8.0,33.3,"€ 200,385(£ 172,247, $227,579)","€ 10,420,000(£ 8,956,865, $11,834,117)",Estimación no verificada,https://fbref.com/es/jugadores/c0617e2b/Dani-Ceballos
