Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2018-2019,15.0,Rennes,frFRA,1.Ligue 1,7.0,364,0.0,0.0,,,,,,,,,7.0,364,0.0,0.0,4.0,364,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,9.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09,23.0,15.0,8.0,12.0,3.0,8.0,18.0,44.4,10.0,13.0,2.0,11.0,4.0,27.0,4.0,0.0,121.0,144.0,84.0,2319.0,586.0,46.0,53.0,86.8,58.0,64.0,90.6,16.0,19.0,84.2,0.0,0.3,0.2,-0.3,1.0,9.0,1.0,0.0,18.0,144.0,141.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,1.0,3.0,12.0,52.0,131.0,23.0,1.0,203.0,5.0,3.0,60.0,2.0,40.0,112.0,748.0,387.0,9.0,4.0,0.0,6.0,4.0,121.0,6.0,0.0,2.0,1.0,50.0,0.49,0.25,0.0,0.0,21.1,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,9.0,2.23,5.0,0.0,0.0,0.0,3.0,1.0,1.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,364,52.0,10.6,4.0,4.0,81.0,1.0,3.0,14.0,7.0,1.43,8.0,5.0,3.0,0.74,0.74,8.1,7.1,1.0,0.24,0.04,1.0,0.0,0.0,9.0,11.0,0.0,0.0,4.0,15.0,0.0,0.0,0.0,25.0,4.0,2.0,66.7,"€ 15,769(£ 13,698, $17,283)","€ 820,000(£ 712,272, $898,702)",Estimación no verificada,https://fbref.com/es/jugadores/7b9c2d84/Eduardo-Camavinga
2019-2020,16.0,Rennes,frFRA,1.Ligue 1,25.0,"2,107",1.0,2.0,7.0,516.0,0.0,1.0,4.0,151.0,0.0,0.0,36.0,"2,774",1.0,3.0,24.0,"2,107",23.4,1.0,2.0,3.0,1.0,0.0,0.0,4.0,0.0,0.9,0.9,0.7,1.6,48.0,96.0,24.0,0.04,0.09,0.13,0.04,0.13,0.04,0.03,0.07,0.04,0.07,105.0,64.0,45.0,56.0,4.0,48.0,96.0,50.0,48.0,26.0,8.0,18.0,34.0,139.0,35.0,0.0,856.0,980.0,87.3,15757.0,3149.0,350.0,401.0,87.3,392.0,425.0,92.2,95.0,109.0,87.2,2.0,0.7,0.8,1.3,7.0,59.0,5.0,0.0,96.0,980.0,949.0,28.0,27.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,856.0,3.0,7.0,56.0,314.0,869.0,122.0,8.0,1285.0,28.0,19.0,67.9,9.0,32.1,753.0,5070.0,2408.0,48.0,36.0,3.0,25.0,20.0,787.0,24.0,1.0,15.0,4.0,26.7,0.64,0.17,0.07,0.25,22.6,0.0,0.0,0.0,0.9,0.9,0.06,0.1,0.1,37.0,1.58,27.0,0.0,3.0,0.0,7.0,0.0,8.0,0.34,6.0,0.0,2.0,0.0,0.0,0.0,"2,107",84.0,83.6,23.4,24.0,87.0,18.0,1.0,25.0,1.0,1.96,32.0,21.0,11.0,0.47,-0.18,31.6,26.2,5.3,0.23,-0.11,4.0,0.0,0.0,48.0,59.0,0.0,1.0,34.0,64.0,0.0,0.0,0.0,147.0,31.0,35.0,47.0,"€ 15,385(£ 13,363, $16,861)","€ 800,000(£ 694,900, $876,783)",Estimación no verificada,https://fbref.com/es/jugadores/7b9c2d84/Eduardo-Camavinga
2020-2021,17.0,Rennes,frFRA,1.Ligue 1,35.0,"2,402",1.0,2.0,,,,,4.0,328.0,0.0,0.0,39.0,"2,730",1.0,2.0,28.0,"2,402",26.7,1.0,2.0,3.0,1.0,0.0,0.0,6.0,0.0,1.8,1.8,1.8,3.6,85.0,185.0,73.0,0.04,0.07,0.11,0.04,0.11,0.07,0.07,0.14,0.07,0.14,98.0,58.0,39.0,48.0,11.0,38.0,77.0,49.4,39.0,36.0,2.0,34.0,23.0,121.0,15.0,1.0,1425.0,1604.0,88.8,23116.0,5441.0,702.0,763.0,92.0,595.0,652.0,91.3,92.0,113.0,81.4,2.0,1.8,1.4,0.2,21.0,150.0,12.0,1.0,185.0,1604.0,1571.0,32.0,26.0,3.0,8.0,4.0,6.0,0.0,0.0,0.0,0.0,1425.0,1.0,18.0,22.0,292.0,1259.0,405.0,31.0,1926.0,62.0,43.0,69.4,19.0,30.6,1211.0,7108.0,3957.0,85.0,71.0,13.0,63.0,25.0,1480.0,73.0,1.0,26.0,8.0,30.8,0.97,0.3,0.04,0.13,18.7,0.0,0.0,0.0,1.8,1.8,0.07,-0.8,-0.8,55.0,2.06,40.0,0.0,3.0,3.0,8.0,1.0,5.0,0.19,2.0,0.0,0.0,2.0,1.0,0.0,"2,402",69.0,70.2,26.7,28.0,79.0,10.0,7.0,29.0,0.0,1.54,36.0,28.0,8.0,0.3,-0.05,33.0,26.5,6.5,0.25,-0.03,6.0,0.0,0.0,55.0,53.0,0.0,4.0,23.0,58.0,0.0,0.0,0.0,162.0,19.0,26.0,42.2,"€ 160,192(£ 139,147, $175,567)","€ 8,330,000(£ 7,235,643, $9,129,498)",,https://fbref.com/es/jugadores/7b9c2d84/Eduardo-Camavinga
2021-2022,18.0,Rennes,frFRA,1.Ligue 1,4.0,143,0.0,0.0,,,,,,,,,4.0,143,0.0,0.0,1.0,143,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,4.0,1.0,2.0,1.0,1.0,2.0,5.0,40.0,3.0,1.0,1.0,0.0,1.0,5.0,3.0,0.0,67.0,74.0,90.5,1373.0,236.0,25.0,30.0,83.3,27.0,28.0,96.4,13.0,13.0,100.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,8.0,74.0,69.0,5.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,3.0,14.0,59.0,17.0,1.0,89.0,2.0,0.0,0.0,2.0,100.0,59.0,295.0,153.0,3.0,4.0,0.0,3.0,1.0,65.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,2.52,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.63,1.0,0.0,0.0,0.0,0.0,0.0,143,36.0,4.2,1.6,1.0,68.0,0.0,3.0,25.0,0.0,1.25,2.0,4.0,-2.0,-1.26,-2.47,1.3,3.5,-2.2,-1.38,-1.99,0.0,0.0,0.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,100.0,"€ 160,192(£ 137,815, $175,164)","€ 8,330,000(£ 7,166,385, $9,108,527)",,https://fbref.com/es/jugadores/7b9c2d84/Eduardo-Camavinga
2021-2022,18.0,Real Madrid,esESP,1.La Liga,26.0,"1,236",2.0,1.0,4.0,174.0,0.0,0.0,10.0,305.0,0.0,1.0,40.0,"1,715",2.0,2.0,13.0,"1,236",13.7,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,1.2,1.2,1.0,2.2,30.0,79.0,33.0,0.15,0.07,0.22,0.15,0.22,0.09,0.07,0.16,0.09,0.16,52.0,35.0,22.0,20.0,10.0,20.0,38.0,52.6,18.0,20.0,2.0,18.0,17.0,69.0,14.0,1.0,760.0,847.0,89.7,13399.0,3459.0,339.0,364.0,93.1,322.0,345.0,93.3,78.0,95.0,82.1,1.0,1.0,1.4,0.0,14.0,75.0,7.0,1.0,79.0,847.0,829.0,17.0,15.0,6.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,760.0,1.0,10.0,34.0,232.0,569.0,223.0,22.0,1013.0,32.0,22.0,68.8,10.0,31.3,670.0,3436.0,1798.0,30.0,24.0,3.0,16.0,10.0,767.0,33.0,2.0,12.0,5.0,41.7,0.87,0.36,0.17,0.4,24.2,0.0,0.0,0.0,1.2,1.2,0.1,0.8,0.8,34.0,2.48,30.0,0.0,0.0,0.0,2.0,2.0,2.0,0.15,2.0,0.0,0.0,0.0,0.0,0.0,"1,236",48.0,36.1,13.7,13.0,71.0,6.0,13.0,24.0,8.0,2.42,33.0,13.0,20.0,1.46,0.26,27.7,19.1,8.6,0.63,-0.17,8.0,0.0,0.0,35.0,29.0,1.0,3.0,17.0,35.0,0.0,0.0,0.0,85.0,28.0,13.0,68.3,"€ 240,385(£ 203,084, $258,328)","€ 12,500,000(£ 10,560,364, $13,433,059)",Estimación no verificada,https://fbref.com/es/jugadores/7b9c2d84/Eduardo-Camavinga
2022-2023,19.0,Real Madrid,esESP,1.La Liga,37.0,"2,010",0.0,1.0,8.0,660.0,0.0,0.0,12.0,736.0,0.0,1.0,57.0,"3,406",0.0,2.0,21.0,"2,010",22.3,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.8,0.8,1.5,2.3,69.0,165.0,99.0,0.0,0.04,0.04,0.0,0.04,0.04,0.07,0.1,0.04,0.1,68.0,48.0,32.0,21.0,15.0,24.0,64.0,37.5,40.0,24.0,5.0,19.0,17.0,85.0,25.0,0.0,1364.0,1504.0,90.7,21221.0,5654.0,711.0,763.0,93.2,517.0,548.0,94.3,89.0,112.0,79.5,1.0,1.5,2.2,-0.5,24.0,138.0,17.0,1.0,165.0,1504.0,1389.0,107.0,34.0,4.0,6.0,6.0,73.0,0.0,0.0,0.0,0.0,1364.0,8.0,15.0,51.0,372.0,942.0,485.0,39.0,1770.0,71.0,38.0,53.5,25.0,35.2,1162.0,6589.0,3684.0,69.0,77.0,12.0,39.0,28.0,1326.0,99.0,0.0,18.0,3.0,16.7,0.81,0.13,0.0,0.0,23.2,0.0,0.0,0.0,0.8,0.8,0.04,-0.8,-0.8,72.0,3.23,55.0,0.0,5.0,3.0,9.0,0.0,5.0,0.22,3.0,0.0,0.0,1.0,1.0,0.0,"2,010",54.0,58.8,22.3,21.0,78.0,11.0,16.0,23.0,0.0,2.11,51.0,16.0,35.0,1.57,1.31,47.6,20.8,26.8,1.2,0.58,6.0,0.0,0.0,39.0,69.0,3.0,6.0,17.0,48.0,0.0,0.0,0.0,136.0,22.0,11.0,66.7,"€ 240,385(£ 206,631, $273,008)","€ 12,500,000(£ 10,744,800, $14,196,398)",Estimación no verificada,https://fbref.com/es/jugadores/7b9c2d84/Eduardo-Camavinga
2023-2024,20.0,Real Madrid,esESP,1.La Liga,31.0,"1,817",0.0,2.0,4.0,211.0,0.0,0.0,11.0,789.0,0.0,1.0,46.0,"2,817",0.0,3.0,21.0,"1,817",20.2,0.0,2.0,2.0,0.0,0.0,0.0,9.0,0.0,0.9,0.9,1.4,2.3,49.0,106.0,31.0,0.0,0.1,0.1,0.0,0.1,0.05,0.07,0.11,0.05,0.11,76.0,47.0,39.0,29.0,8.0,23.0,39.0,59.0,16.0,36.0,8.0,28.0,29.0,105.0,29.0,1.0,1205.0,1328.0,90.7,19473.0,4856.0,593.0,629.0,94.3,505.0,540.0,93.5,75.0,102.0,73.5,2.0,1.4,1.8,0.6,20.0,100.0,14.0,3.0,106.0,1328.0,1278.0,44.0,24.0,4.0,9.0,4.0,20.0,0.0,0.0,0.0,0.0,1205.0,6.0,12.0,55.0,399.0,885.0,344.0,20.0,1605.0,69.0,36.0,52.2,18.0,26.1,1011.0,5798.0,3129.0,49.0,56.0,5.0,26.0,24.0,1196.0,31.0,0.0,17.0,7.0,41.2,0.84,0.35,0.0,0.0,22.7,0.0,0.0,0.0,0.9,0.9,0.05,-0.9,-0.9,58.0,2.87,45.0,0.0,3.0,1.0,4.0,5.0,6.0,0.3,5.0,0.0,1.0,0.0,0.0,0.0,"1,817",59.0,53.1,20.2,21.0,75.0,5.0,10.0,25.0,0.0,2.45,47.0,14.0,33.0,1.63,0.06,37.7,19.7,18.0,0.89,0.03,9.0,0.0,0.0,49.0,68.0,1.0,4.0,29.0,47.0,0.0,1.0,0.0,146.0,18.0,17.0,51.4,"€ 240,385(£ 206,631, $273,008)","€ 12,500,000(£ 10,744,800, $14,196,398)",Estimación no verificada,https://fbref.com/es/jugadores/7b9c2d84/Eduardo-Camavinga
2024-2025,21.0,Real Madrid,esESP,1.La Liga,19.0,"1,102",1.0,2.0,6.0,425.0,1.0,0.0,9.0,496.0,0.0,0.0,34.0,"2,023",2.0,2.0,11.0,"1,102",12.2,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,0.4,0.4,0.8,1.2,26.0,61.0,31.0,0.08,0.16,0.25,0.08,0.25,0.04,0.06,0.1,0.04,0.1,42.0,26.0,23.0,16.0,3.0,19.0,33.0,57.6,14.0,24.0,8.0,16.0,18.0,60.0,23.0,0.0,700.0,793.0,88.3,11361.0,3012.0,344.0,367.0,93.7,296.0,319.0,92.8,43.0,66.0,65.2,2.0,0.8,0.7,1.2,11.0,61.0,5.0,0.0,61.0,793.0,746.0,42.0,17.0,4.0,4.0,2.0,25.0,0.0,0.0,0.0,0.0,700.0,5.0,11.0,49.0,272.0,494.0,207.0,15.0,957.0,31.0,15.0,48.4,10.0,32.3,565.0,3051.0,1699.0,26.0,27.0,7.0,7.0,11.0,643.0,31.0,1.0,8.0,2.0,25.0,0.65,0.16,0.13,0.5,18.5,0.0,0.0,0.0,0.4,0.4,0.05,0.6,0.6,31.0,2.54,25.0,1.0,2.0,0.0,3.0,0.0,2.0,0.16,2.0,0.0,0.0,0.0,0.0,0.0,"1,102",58.0,37.1,12.2,11.0,84.0,8.0,8.0,22.0,1.0,2.21,24.0,10.0,14.0,1.14,0.13,21.0,12.6,8.3,0.68,-0.28,2.0,0.0,0.0,21.0,31.0,1.0,2.0,18.0,26.0,0.0,1.0,0.0,90.0,20.0,18.0,52.6,"€ 240,385(£ 206,631, $273,008)","€ 12,500,000(£ 10,744,800, $14,196,398)",Estimación no verificada,https://fbref.com/es/jugadores/7b9c2d84/Eduardo-Camavinga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€ 240,385(£ 206,631, $273,008)","€ 12,500,000(£ 10,744,800, $14,196,398)",Estimación no verificada,https://fbref.com/es/jugadores/7b9c2d84/Eduardo-Camavinga
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€ 240,385(£ 206,631, $273,008)","€ 12,500,000(£ 10,744,800, $14,196,398)",Estimación no verificada,https://fbref.com/es/jugadores/7b9c2d84/Eduardo-Camavinga
