Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,19,Athletic Club,esESP,1.La Liga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,4,,,,,,,,,,,,1.0,1.0,,0.0,,,,,,,,,,,,,"€ 2,885(£ 2,506, $3,161)","€ 150,000(£ 130,294, $164,397)",Estimación no verificada,https://fbref.com/es/jugadores/374ee424/Alex-Remiro
2015-2016,20,Bilbao B,esESP,2.La Liga 2,33.0,"2,968",0.0,0.0,,,,,,,,,33.0,"2,968",0,0,33,"2,968",33.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,968",90.0,78.5,33.0,33,,32,0,,5,0.82,27.0,43.0,-16.0,-0.49,0.4,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 2,885(£ 2,506, $3,161)","€ 150,000(£ 130,294, $164,397)",Estimación no verificada,https://fbref.com/es/jugadores/374ee424/Alex-Remiro
2015-2016,20,Athletic Club,esESP,1.La Liga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,1,,,,,,,,,,,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 17,308(£ 15,034, $18,969)","€ 900,000(£ 781,762, $986,380)",Estimación no verificada,https://fbref.com/es/jugadores/374ee424/Alex-Remiro
2016-2017,21,Athletic Club,esESP,1.La Liga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,1.0,684.0,914.0,74.8,19258.0,13034.0,103.0,103.0,100.0,367.0,372.0,98.7,212.0,435.0,48.7,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,914.0,680.0,233.0,87.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,684.0,1.0,1.0,851.0,975.0,5.0,1.0,1.0,980.0,0.0,0.0,,0.0,,540.0,2699.0,1501.0,0.0,1.0,0.0,0.0,0.0,516.0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,,7.2,0.0,0.0,0.0,0.1,0.1,0.14,-0.1,-0.1,4.0,0.16,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,6,,,,,,,,,,,,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,0.0,100.0,"€ 42,885(£ 37,251, $47,001)","€ 2,230,000(£ 1,937,033, $2,444,031)",Estimación no verificada,https://fbref.com/es/jugadores/374ee424/Alex-Remiro
2016-2017,21,Levante,esESP,2.La Liga 2,4.0,360,0.0,0.0,,,,,,,,,4.0,360,0,0,4,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,14.0,0.0,872.0,1219.0,71.5,25396.0,18461.0,141.0,142.0,99.3,414.0,420.0,98.6,315.0,651.0,48.4,0.0,0.0,0.1,0.0,0.0,14.0,0.0,0.0,1.0,1219.0,871.0,344.0,127.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,872.0,4.0,0.0,1119.0,1262.0,11.0,0.0,0.0,1273.0,1.0,1.0,100.0,0.0,0.0,679.0,3731.0,2011.0,0.0,1.0,0.0,0.0,0.0,589.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.0,0.11,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,360,90.0,9.5,4.0,4,,4,0,,15,2.25,7.0,3.0,4.0,1.0,0.45,,,,,,0.0,0.0,0.0,0.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,63.0,6.0,0.0,100.0,"€ 42,885(£ 37,251, $47,001)","€ 2,230,000(£ 1,937,033, $2,444,031)",Estimación no verificada,https://fbref.com/es/jugadores/374ee424/Alex-Remiro
2017-2018,22,Huesca,esESP,2.La Liga 2,41.0,"3,625",0.0,0.0,,,,,,,,,41.0,"3,625",0,0,41,"3,625",40.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,24.0,2.0,949.0,1259.0,75.4,26662.0,19222.0,178.0,180.0,98.9,440.0,449.0,98.0,331.0,627.0,52.8,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,1259.0,904.0,352.0,111.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,949.0,3.0,0.0,1198.0,1324.0,9.0,0.0,0.0,1333.0,0.0,0.0,,0.0,,711.0,3589.0,2171.0,0.0,0.0,0.0,1.0,0.0,633.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,7.0,0.2,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,625",88.0,95.9,40.3,41,,40,0,,0,1.83,59.0,38.0,21.0,0.52,0.52,,,,,,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,51.0,4.0,0.0,100.0,"€ 53,846(£ 46,772, $59,014)","€ 2,800,000(£ 2,432,149, $3,068,739)",Estimación no verificada,https://fbref.com/es/jugadores/374ee424/Alex-Remiro
2019-2020,24,Real Sociedad,esESP,1.La Liga,25.0,"2,250",0.0,0.0,6.0,540.0,0.0,0.0,,,,,31.0,"2,790",0,0,25,"2,250",25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,1.0,1.0,1.0,0.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,1.0,17.0,3.0,941.0,1313.0,71.7,28583.0,21541.0,142.0,143.0,99.3,442.0,458.0,96.5,357.0,704.0,50.7,0.0,0.0,0.1,0.0,1.0,28.0,0.0,0.0,1.0,1313.0,970.0,336.0,120.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,7.0,0.0,1173.0,1383.0,7.0,0.0,0.0,1390.0,0.0,0.0,,0.0,,805.0,4485.0,2701.0,0.0,0.0,0.0,2.0,0.0,650.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.16,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,250",90.0,65.8,25.0,25,90.0,25,0,,13,1.48,38.0,32.0,6.0,0.24,0.09,34.2,29.5,4.7,0.19,0.1,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,58.0,7.0,1.0,87.5,"€ 53,846(£ 46,324, $58,879)","€ 2,800,000(£ 2,408,869, $3,061,690)",Estimación no verificada,https://fbref.com/es/jugadores/374ee424/Alex-Remiro
2020-2021,25,Real Sociedad,esESP,1.La Liga,38.0,"3,420",0.0,0.0,3.0,330.0,0.0,0.0,7.0,630.0,0.0,0.0,48.0,"4,380",0,0,38,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,965.0,1258.0,76.7,26777.0,19177.0,165.0,165.0,100.0,489.0,495.0,98.8,310.0,592.0,52.4,0.0,0.0,0.1,0.0,1.0,19.0,0.0,0.0,1.0,1258.0,977.0,276.0,113.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,965.0,5.0,0.0,1103.0,1338.0,15.0,0.0,0.0,1353.0,0.0,0.0,,0.0,,783.0,3944.0,1947.0,0.0,0.0,0.0,2.0,0.0,726.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.16,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,420",90.0,100.0,38.0,38,90.0,38,0,,0,1.63,59.0,38.0,21.0,0.55,,60.7,39.2,21.5,0.57,,3.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,6.0,0.0,100.0,"€ 53,846(£ 45,491, $57,865)","€ 2,800,000(£ 2,365,521, $3,009,005)",Estimación no verificada,https://fbref.com/es/jugadores/374ee424/Alex-Remiro
2021-2022,26,Real Sociedad,esESP,1.La Liga,35.0,"3,150",0.0,0.0,2.0,180.0,0.0,0.0,5.0,450.0,0.0,0.0,42.0,"3,780",0,0,35,"3,150",35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,4.0,812.0,1121.0,72.4,23327.0,16615.0,111.0,111.0,100.0,427.0,436.0,97.9,274.0,568.0,48.2,0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,1121.0,801.0,316.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,812.0,4.0,1.0,983.0,1175.0,11.0,0.0,0.0,1186.0,0.0,0.0,,0.0,,652.0,3190.0,1645.0,0.0,0.0,0.0,2.0,0.0,562.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,6.0,0.19,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"3,150",90.0,92.1,35.0,35,90.0,35,0,,3,1.6,34.0,32.0,2.0,0.06,-0.28,47.2,33.1,14.1,0.4,0.81,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,5.0,0.0,100.0,"€ 53,846(£ 46,285, $61,154)","€ 2,800,000(£ 2,406,835, $3,179,993)",Estimación no verificada,https://fbref.com/es/jugadores/374ee424/Alex-Remiro
2022-2023,27,Real Sociedad,esESP,1.La Liga,38.0,"3,420",0.0,0.0,4.0,360.0,0.0,0.0,8.0,720.0,0.0,0.0,50.0,"4,500",0,0,38,"3,420",38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,420",90.0,100.0,38.0,38,90.0,38,0,,0,1.87,51.0,35.0,16.0,0.42,,52.9,33.0,19.8,0.52,,,,,,,,,,,,,,,,,,"€ 53,846(£ 46,285, $61,154)","€ 2,800,000(£ 2,406,835, $3,179,993)",Estimación no verificada,https://fbref.com/es/jugadores/374ee424/Alex-Remiro
