Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,18,Liverpool,engENG,1.Premier League,14.0,601,0.0,0.0,,,,,4.0,251.0,0.0,1.0,18,852,0,1,8,601,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,6.0,,,0.9,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,601,43.0,17.6,6.7,8,,0,6,,,,,,,,,,,,,,0.0,0.0,,12.0,,,,,,,,,,,,,"€ 385(£ 334, $422)","€ 20,000(£ 17,372, $21,920)",Estimación no verificada,https://fbref.com/es/jugadores/4e219ad2/Suso
2013-2014,19,Almería,esESP,1.La Liga,33.0,"2,253",3.0,7.0,,,,,,,,,33,"2,253",3,7,26,"2,253",25.0,3.0,7.0,10.0,3.0,0.0,0.0,9.0,1.0,,,,,,,,0.12,0.28,0.4,0.12,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,20.0,,,0.8,,0.15,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,253",68.0,65.9,25.0,26,,14,7,,,,,,,,,,,,,,9.0,1.0,,35.0,,,,,,,,,,,,,"€ 26,731(£ 23,219, $29,296)","€ 1,390,000(£ 1,207,388, $1,523,410)",Estimación no verificada,https://fbref.com/es/jugadores/4e219ad2/Suso
2014-2015,20,Liverpool,engENG,1.Premier League,,,,,1.0,24.0,1.0,0.0,,,,,1,24,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3.0,,,1.21,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,1.0,,,,,,,,,,,,0.0,1.0,,3.0,,,,,,,,,,,,,"€ 26,731(£ 23,219, $29,296)","€ 1,390,000(£ 1,207,388, $1,523,410)",Estimación no verificada,https://fbref.com/es/jugadores/4e219ad2/Suso
2014-2015,20,Milan,itITA,1.Serie A,5.0,223,0.0,1.0,1.0,10.0,0.0,0.0,,,,,6,233,0,1,2,223,2.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,0.0,0.4,0.4,0.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,16.0,,,1.23,,0.38,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,223,45.0,6.5,2.5,2,,0,3,,11.0,1.0,3.0,2.0,1.0,0.4,0.26,,,,,,4.0,0.0,,12.0,,,,,,,,,,,,,"€ 26,731(£ 23,219, $29,296)","€ 1,390,000(£ 1,207,388, $1,523,410)",Estimación no verificada,https://fbref.com/es/jugadores/4e219ad2/Suso
2015-2016,21,Genoa,itITA,1.Serie A,19.0,"1,166",6.0,1.0,,,,,,,,,19,"1,166",6,1,15,"1,166",13.0,6.0,1.0,7.0,6.0,0.0,0.0,4.0,0.0,,,,,,,,0.46,0.08,0.54,0.46,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,166",61.0,34.1,13.0,15,,1,4,,2.0,1.58,17.0,9.0,8.0,0.62,1.06,,,,,,0.0,0.0,,1.0,,,,,,,,,,,,,"€ 32,115(£ 27,896, $35,198)","€ 1,670,000(£ 1,450,603, $1,830,284)",Estimación no verificada,https://fbref.com/es/jugadores/4e219ad2/Suso
2015-2016,21,Milan,itITA,1.Serie A,1.0,54,0.0,0.0,1.0,70.0,0.0,0.0,,,,,2,124,0,0,1,54,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,31.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,91.0,32.0,35.2,2.91,1.02,0.08,0.22,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,54,54.0,1.6,0.6,1,,0,0,,14.0,3.0,1.0,1.0,0.0,0.0,-0.16,,,,,,5.0,0.0,0.0,38.0,68.0,7.0,216.0,8.0,31.0,0.0,0.0,0.0,,,,,"€ 106,923(£ 92,876, $117,185)","€ 5,560,000(£ 4,829,553, $6,093,639)",Estimación no verificada,https://fbref.com/es/jugadores/4e219ad2/Suso
2016-2017,22,Milan,itITA,1.Serie A,34.0,"2,812",7.0,9.0,3.0,300.0,0.0,2.0,,,,,37,"3,112",7,11,33,"2,812",31.2,7.0,9.0,16.0,7.0,0.0,1.0,5.0,0.0,,,,,,,,0.22,0.29,0.51,0.22,0.51,,,,,,18.0,14.0,3.0,5.0,10.0,4.0,31.0,12.9,27.0,25.0,0.0,25.0,16.0,34.0,2.0,1.0,1199.0,1649.0,72.7,21144.0,6492.0,586.0,687.0,85.3,456.0,614.0,74.3,130.0,244.0,53.3,6.0,7.6,7.4,-1.6,77.0,123.0,88.0,19.0,225.0,1649.0,1501.0,142.0,23.0,10.0,45.0,219.0,25.0,93.0,54.0,5.0,1.0,1199.0,6.0,69.0,7.0,150.0,717.0,1105.0,122.0,1958.0,125.0,77.0,61.6,48.0,38.4,1228.0,7891.0,3915.0,129.0,82.0,62.0,55.0,72.0,1586.0,369.0,6.0,94.0,37.0,39.4,2.99,1.18,0.06,0.16,24.3,12.0,0.0,0.0,4.3,4.3,0.05,1.7,1.7,181.0,5.75,132.0,12.0,19.0,7.0,10.0,1.0,17.0,0.54,13.0,2.0,0.0,1.0,1.0,0.0,"2,812",83.0,82.2,31.2,33,,25,1,,1.0,1.65,46.0,38.0,8.0,0.26,-0.34,,,,,,2.0,1.0,0.0,32.0,75.0,4.0,219.0,16.0,14.0,0.0,0.0,0.0,149.0,4.0,9.0,30.8,"€ 106,923(£ 92,876, $117,185)","€ 5,560,000(£ 4,829,553, $6,093,639)",Estimación no verificada,https://fbref.com/es/jugadores/4e219ad2/Suso
2017-2018,23,Milan,itITA,1.Serie A,35.0,"2,830",6.0,6.0,5.0,442.0,1.0,2.0,7.0,433.0,1.0,0.0,47,"3,705",8,8,33,"2,830",31.4,6.0,6.0,12.0,6.0,0.0,0.0,2.0,1.0,4.3,4.3,7.6,11.9,129.0,225.0,369.0,0.19,0.19,0.38,0.19,0.38,0.14,0.24,0.38,0.14,0.38,28.0,18.0,10.0,14.0,4.0,10.0,41.0,24.4,31.0,26.0,1.0,25.0,16.0,44.0,3.0,0.0,1329.0,1774.0,74.9,22974.0,6835.0,708.0,806.0,87.8,431.0,590.0,73.1,154.0,274.0,56.2,10.0,9.9,8.8,0.1,96.0,140.0,103.0,36.0,215.0,1774.0,1607.0,163.0,43.0,9.0,53.0,229.0,34.0,86.0,53.0,1.0,1.0,1329.0,4.0,49.0,5.0,162.0,825.0,1105.0,107.0,2074.0,98.0,66.0,67.3,32.0,32.7,1566.0,9628.0,4735.0,138.0,100.0,46.0,62.0,64.0,1694.0,368.0,7.0,95.0,40.0,42.1,2.83,1.19,0.07,0.18,23.0,7.0,0.0,0.0,4.2,4.2,0.04,2.8,2.8,196.0,5.84,150.0,17.0,18.0,3.0,7.0,1.0,18.0,0.54,15.0,1.0,1.0,1.0,0.0,0.0,"2,830",81.0,82.7,31.4,33,,20,2,,1.0,1.74,47.0,31.0,16.0,0.51,0.81,42.7,30.3,12.4,0.39,0.1,9.0,1.0,1.0,31.0,81.0,6.0,229.0,16.0,18.0,0.0,0.0,0.0,129.0,4.0,17.0,19.0,"€ 106,923(£ 92,876, $117,185)","€ 5,560,000(£ 4,829,553, $6,093,639)",,https://fbref.com/es/jugadores/4e219ad2/Suso
2018-2019,24,Milan,itITA,1.Serie A,35.0,"3,018",7.0,10.0,2.0,162.0,0.0,0.0,4.0,252.0,1.0,0.0,41,"3,432",8,10,35,"3,018",33.5,7.0,10.0,17.0,7.0,0.0,0.0,9.0,1.0,4.2,4.2,9.9,14.2,138.0,215.0,368.0,0.21,0.3,0.51,0.21,0.51,0.13,0.3,0.42,0.13,0.42,7.0,3.0,2.0,3.0,2.0,2.0,10.0,20.0,8.0,5.0,0.0,5.0,8.0,15.0,3.0,0.0,564.0,754.0,74.8,9691.0,2564.0,288.0,326.0,88.3,202.0,268.0,75.4,60.0,118.0,50.8,2.0,4.5,4.4,-2.5,41.0,46.0,50.0,12.0,96.0,754.0,687.0,67.0,19.0,6.0,24.0,102.0,4.0,36.0,22.0,3.0,0.0,564.0,0.0,17.0,2.0,62.0,309.0,515.0,39.0,876.0,47.0,25.0,53.2,22.0,46.8,661.0,3629.0,1745.0,49.0,39.0,22.0,17.0,23.0,694.0,148.0,1.0,31.0,12.0,38.7,2.05,0.79,0.03,0.08,24.8,2.0,0.0,0.0,1.1,1.1,0.04,-0.1,-0.1,87.0,5.76,63.0,13.0,5.0,2.0,4.0,0.0,5.0,0.33,4.0,0.0,1.0,0.0,0.0,0.0,"3,018",86.0,88.2,33.5,35,86.0,22,0,,1.0,1.8,51.0,33.0,18.0,0.54,0.31,42.6,36.5,6.1,0.18,-0.17,2.0,0.0,0.0,10.0,28.0,2.0,102.0,8.0,3.0,0.0,0.0,0.0,59.0,0.0,2.0,0.0,"€ 53,846(£ 46,772, $59,014)","€ 2,800,000(£ 2,432,149, $3,068,739)",Estimación no verificada,https://fbref.com/es/jugadores/4e219ad2/Suso
2019-2020,25,Milan,itITA,1.Serie A,16.0,"1,359",1.0,2.0,1.0,27.0,0.0,0.0,,,,,17,"1,386",1,2,15,"1,359",15.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.1,1.1,4.5,5.6,49.0,96.0,148.0,0.07,0.13,0.2,0.07,0.2,0.07,0.3,0.37,0.07,0.37,9.0,4.0,4.0,4.0,1.0,7.0,16.0,43.8,9.0,6.0,0.0,6.0,2.0,11.0,0.0,0.0,293.0,397.0,73.8,4762.0,1393.0,151.0,181.0,83.4,94.0,122.0,77.0,33.0,56.0,58.9,1.0,1.8,2.0,-0.8,18.0,27.0,22.0,7.0,59.0,397.0,372.0,22.0,8.0,6.0,6.0,39.0,4.0,10.0,6.0,0.0,0.0,293.0,3.0,10.0,2.0,44.0,184.0,241.0,17.0,466.0,30.0,19.0,63.3,11.0,36.7,314.0,1885.0,761.0,18.0,23.0,7.0,11.0,15.0,371.0,52.0,1.0,14.0,7.0,50.0,1.61,0.8,0.07,0.14,23.4,2.0,0.0,0.0,0.8,0.8,0.06,0.2,0.2,42.0,4.81,27.0,6.0,7.0,1.0,1.0,0.0,4.0,0.46,2.0,1.0,1.0,0.0,0.0,0.0,"1,359",85.0,39.7,15.1,15,88.0,12,1,34.0,4.0,1.31,13.0,21.0,-8.0,-0.53,-1.62,21.4,18.6,2.7,0.18,-0.47,0.0,0.0,0.0,5.0,8.0,3.0,39.0,2.0,4.0,0.0,0.0,0.0,35.0,4.0,8.0,33.3,"€ 53,846(£ 46,772, $59,014)","€ 2,800,000(£ 2,432,149, $3,068,739)",Estimación no verificada,https://fbref.com/es/jugadores/4e219ad2/Suso
