Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,19,Valladolid,esESP,2.La Liga 2,,,,,1.0,14.0,0.0,0.0,,,,,1,14,0,0,0.0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,24,24.0,0.6,0.3,0.0,,0.0,1.0,,5.0,1.0,1.0,0.0,1.0,3.75,3.89,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,,"€ 4,423(£ 3,842, $4,848)","€ 230,000(£ 199,784, $252,075)",Estimación no verificada,https://fbref.com/es/jugadores/c93231dc/Anuar
2015-2016,20,Valladolid,esESP,2.La Liga 2,1.0,24,0.0,0.0,,,,,,,,,1,24,0,0,0.0,55,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,55,28.0,1.5,0.6,0.0,,0.0,2.0,,1.0,0.5,1.0,2.0,-1.0,-1.64,-1.78,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 4,423(£ 3,842, $4,848)","€ 230,000(£ 199,784, $252,075)",Estimación no verificada,https://fbref.com/es/jugadores/c93231dc/Anuar
2016-2017,21,Valladolid,esESP,2.La Liga 2,2.0,55,0.0,0.0,2.0,189.0,0.0,0.0,,,,,4,244,0,0,17.0,"1,488",16.5,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,,,,,,,,0.06,0.06,0.12,0.06,0.12,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,4.0,,0.0,0.24,,0.25,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,488",60.0,39.4,16.5,17.0,,9.0,8.0,,9.0,1.76,21.0,29.0,-8.0,-0.48,-1.35,,,,,,4.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 28,846(£ 24,817, $31,542)","€ 1,500,000(£ 1,290,466, $1,640,191)",Estimación no verificada,https://fbref.com/es/jugadores/c93231dc/Anuar
2017-2018,22,Valladolid,esESP,2.La Liga 2,25.0,"1,488",1.0,1.0,2.0,180.0,1.0,0.0,,,,,27,"1,668",2,1,12.0,"1,081",12.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,2.7,2.7,0.1,2.7,15.0,35.0,15.0,0.08,0.0,0.08,0.08,0.08,0.22,0.01,0.23,0.22,0.23,33.0,19.0,15.0,16.0,2.0,6.0,14.0,42.9,8.0,14.0,1.0,13.0,11.0,44.0,25.0,1.0,296.0,400.0,74.0,4913.0,1106.0,127.0,169.0,75.1,134.0,162.0,82.7,20.0,35.0,57.1,0.0,0.1,0.1,-0.1,2.0,16.0,1.0,0.0,35.0,400.0,390.0,7.0,5.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,296.0,3.0,11.0,32.0,146.0,315.0,64.0,12.0,513.0,6.0,4.0,66.7,2.0,33.3,255.0,1813.0,915.0,15.0,10.0,3.0,12.0,11.0,281.0,15.0,1.0,10.0,4.0,40.0,0.83,0.33,0.1,0.25,12.4,0.0,0.0,0.0,2.7,2.7,0.27,-1.7,-1.7,10.0,0.83,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,081",57.0,31.6,12.0,12.0,81.0,5.0,7.0,16.0,12.0,1.21,7.0,13.0,-6.0,-0.5,0.0,12.9,21.7,-8.8,-0.74,-0.4,6.0,0.0,0.0,29.0,15.0,4.0,2.0,11.0,19.0,0.0,0.0,0.0,53.0,26.0,32.0,44.8,"€ 28,846(£ 24,796, $32,761)","€ 1,500,000(£ 1,289,376, $1,703,568)",Estimación no verificada,https://fbref.com/es/jugadores/c93231dc/Anuar
2018-2019,23,Valladolid,esESP,1.La Liga,19.0,"1,081",1.0,0.0,4.0,360.0,0.0,0.0,,,,,23,"1,441",1,0,1.0,189,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,4.0,2.0,1.0,2.0,1.0,2.0,6.0,33.3,4.0,7.0,3.0,4.0,5.0,9.0,0.0,0.0,89.0,105.0,84.8,1400.0,235.0,42.0,50.0,84.0,40.0,43.0,93.0,4.0,8.0,50.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,10.0,105.0,101.0,4.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,89.0,0.0,2.0,2.0,26.0,84.0,20.0,1.0,129.0,1.0,1.0,100.0,0.0,0.0,76.0,553.0,288.0,4.0,3.0,0.0,4.0,2.0,79.0,2.0,0.0,1.0,0.0,0.0,0.48,0.0,0.0,,28.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,2.0,0.95,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189,17.0,5.5,2.1,1.0,52.0,0.0,10.0,14.0,1.0,1.0,4.0,8.0,-4.0,-1.9,-1.71,2.1,6.2,-4.1,-1.95,-1.56,1.0,0.0,0.0,3.0,5.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,16.0,3.0,7.0,30.0,,,,
2019-2020,24,Valladolid,esESP,1.La Liga,11.0,189,0.0,0.0,,,,,,,,,11,189,0,0,10.0,"1,002",11.1,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,,,,,,,,0.0,0.09,0.09,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,002",63.0,30.9,11.1,10.0,82.0,7.0,6.0,30.0,1.0,1.69,11.0,8.0,3.0,0.27,-0.05,,,,,,4.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2019-2020,24,Panathinaikos,grGRE,1.Super League,16.0,"1,002",0.0,1.0,,,,,,,,,16,"1,002",0,1,5.0,980,10.9,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,,,,,,,,0.28,0.18,0.46,0.28,0.46,,,,,,,14.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,11.0,6.0,54.5,1.01,0.55,0.27,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,980,29.0,25.9,10.9,5.0,65.0,0.0,29.0,23.0,5.0,1.97,19.0,13.0,6.0,0.55,-0.16,,,,,,4.0,0.0,0.0,26.0,21.0,9.0,13.0,7.0,14.0,,,0.0,,,,,,,,
2021-2022,26,Valladolid,esESP,2.La Liga 2,34.0,980,3.0,2.0,3.0,255.0,1.0,0.0,,,,,37,"1,235",4,2,3.0,210,2.3,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.4,0.4,0.5,0.8,6.0,3.0,4.0,0.43,0.0,0.43,0.43,0.43,0.15,0.2,0.35,0.15,0.35,4.0,4.0,0.0,1.0,3.0,0.0,0.0,,0.0,5.0,2.0,3.0,3.0,7.0,3.0,0.0,30.0,40.0,75.0,363.0,114.0,18.0,23.0,78.3,9.0,10.0,90.0,0.0,0.0,,0.0,0.5,0.0,-0.5,4.0,3.0,0.0,0.0,3.0,40.0,39.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,30.0,0.0,4.0,8.0,20.0,30.0,20.0,8.0,70.0,4.0,2.0,50.0,0.0,0.0,37.0,261.0,127.0,6.0,2.0,3.0,7.0,4.0,41.0,4.0,1.0,3.0,1.0,33.3,1.29,0.43,0.33,1.0,13.0,0.0,0.0,0.0,0.4,0.4,0.12,0.6,0.6,4.0,1.71,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.43,0.0,0.0,1.0,0.0,0.0,0.0,210,70.0,6.1,2.3,3.0,70.0,1.0,0.0,,3.0,0.33,2.0,5.0,-3.0,-1.29,-0.53,1.5,4.6,-3.1,-1.33,-0.67,1.0,0.0,0.0,3.0,6.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,10.0,2.0,5.0,28.6,,,,
2022-2023,27,Valladolid,esESP,1.La Liga,3.0,210,1.0,0.0,,,,,,,,,3,210,1,0,12.0,914,10.2,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,,,,,,,,0.2,0.1,0.3,0.2,0.3,,,,,,,10.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,3.0,42.9,0.69,0.3,0.29,0.67,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,914,46.0,24.2,10.2,12.0,61.0,1.0,8.0,23.0,8.0,1.9,8.0,5.0,3.0,0.3,-0.08,,,,,,5.0,0.0,0.0,26.0,23.0,5.0,21.0,6.0,10.0,,,0.0,,,,,,,,
2023-2024,28,Valladolid,esESP,2.La Liga 2,20.0,914,2.0,1.0,2.0,94.0,0.0,1.0,,,,,22,"1,008",2,2,17.0,"1,433",15.9,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,1.5,1.5,0.5,2.0,21.0,22.0,54.0,0.13,0.0,0.13,0.13,0.13,0.09,0.03,0.13,0.09,0.13,31.0,21.0,18.0,8.0,5.0,10.0,22.0,45.5,12.0,21.0,7.0,14.0,14.0,45.0,15.0,1.0,322.0,399.0,80.7,4788.0,783.0,167.0,196.0,85.2,130.0,156.0,83.3,12.0,23.0,52.2,0.0,0.5,0.5,-0.5,6.0,10.0,3.0,2.0,22.0,399.0,377.0,22.0,6.0,1.0,0.0,17.0,12.0,1.0,0.0,0.0,0.0,322.0,0.0,5.0,21.0,157.0,260.0,152.0,23.0,565.0,21.0,7.0,33.3,10.0,47.6,289.0,1834.0,701.0,21.0,11.0,5.0,24.0,10.0,355.0,54.0,2.0,9.0,4.0,44.4,0.57,0.25,0.22,0.5,13.6,0.0,0.0,0.0,1.5,1.5,0.16,0.5,0.5,23.0,1.44,15.0,1.0,2.0,0.0,5.0,0.0,4.0,0.25,1.0,0.0,2.0,0.0,1.0,0.0,"1,433",68.0,48.2,15.9,17.0,78.0,7.0,4.0,27.0,2.0,0.52,11.0,32.0,-21.0,-1.32,0.79,12.8,26.7,-13.9,-0.87,0.11,6.0,0.0,0.0,27.0,36.0,9.0,17.0,14.0,21.0,1.0,0.0,0.0,59.0,20.0,25.0,44.4,,,,
