Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,19,Vitória,ptPOR,1.Primeira Liga,3,23,0,0,,,,,,,,,3,23,0,0,0,23,0.3,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1.0,,,3.91,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,23,8,0.9,0.3,0,,,3,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,"€ 7,692(£ 6,682, $8,431)","€ 400,000(£ 347,450, $438,391)",Estimación no verificada,https://fbref.com/es/jugadores/ed6ea4d9/Darwin-Machis
2012-2013,19,Granada,esESP,1.La Liga,4,48,0,1,,,,,,,,,4,48,0,1,0,48,0.5,0,1,1,0,0,0,0,0,,,,,,,,0.0,1.87,1.87,0.0,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,48,12,1.4,0.5,0,,,4,,,,,,,,,,,,,,0,0,,2.0,,,,,,,,,,,,,"€ 12,500(£ 10,858, $13,700)","€ 650,000(£ 564,606, $712,386)",Estimación no verificada,https://fbref.com/es/jugadores/ed6ea4d9/Darwin-Machis
2013-2014,20,Hércules,esESP,2.La Liga 2,3,103,0,0,,,,,,,,,3,103,0,0,1,103,1.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1.0,,,0.87,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,103,34,2.7,1.1,1,,,2,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 11,731(£ 10,190, $12,857)","€ 610,000(£ 529,861, $668,547)",Estimación no verificada,https://fbref.com/es/jugadores/ed6ea4d9/Darwin-Machis
2014-2015,21,Granada,esESP,1.La Liga,3,225,0,0,1.0,48.0,0.0,0.0,,,,,4,273,0,0,2,225,2.5,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,225,75,6.6,2.5,2,,2.0,1,,1.0,1.33,2.0,2.0,0.0,0.0,0.99,,,,,,1,0,,9.0,,,,,,,,,,,,,"€ 26,154(£ 22,718, $28,664)","€ 1,360,000(£ 1,181,329, $1,490,530)",Estimación no verificada,https://fbref.com/es/jugadores/ed6ea4d9/Darwin-Machis
2015-2016,22,Huesca,esESP,2.La Liga 2,38,"3,265",9,6,2.0,103.0,1.0,0.0,,,,,40,"3,368",10,6,37,"3,265",36.3,9,6,15,9,0,0,11,2,,,,,,,,0.25,0.17,0.41,0.25,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,45.0,,,1.24,,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,265",86,86.4,36.3,37,,33.0,1,,1.0,1.34,40.0,41.0,-1.0,-0.03,-0.03,,,,,,11,2,,66.0,,,,,,,,,,,,,"€ 26,154(£ 22,718, $28,664)","€ 1,360,000(£ 1,181,329, $1,490,530)",Estimación no verificada,https://fbref.com/es/jugadores/ed6ea4d9/Darwin-Machis
2016-2017,23,Leganés,esESP,1.La Liga,27,"1,058",1,3,2.0,176.0,2.0,0.0,,,,,29,"1,234",3,3,10,"1,058",11.8,1,3,4,1,0,0,1,0,,,,,,,,0.09,0.26,0.34,0.09,0.34,,,,,,,11.0,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,36.0,13.0,36.1,3.06,1.11,0.03,0.08,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,058",39,30.9,11.8,10,75.0,4.0,17,18.0,7.0,0.63,7.0,20.0,-13.0,-1.11,-0.88,,,,,,1,0,0.0,14.0,37.0,7.0,48.0,13.0,11.0,0.0,0.0,0.0,,,,,"€ 27,885(£ 23,989, $30,491)","€ 1,450,000(£ 1,247,450, $1,585,518)",Estimación no verificada,https://fbref.com/es/jugadores/ed6ea4d9/Darwin-Machis
2017-2018,24,Granada,esESP,2.La Liga 2,33,"2,680",14,6,,,,,,,,,33,"2,680",14,6,33,"2,680",29.8,14,6,20,13,1,2,6,1,,,,,,,,0.47,0.2,0.67,0.44,0.64,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.0,39.0,,0.0,1.31,,0.33,,,1,2,,,,,,,,,,,,,,,,,,,,,,"2,680",81,70.9,29.8,33,,16.0,0,,0.0,1.64,41.0,33.0,8.0,0.27,0.51,,,,,,6,1,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 27,885(£ 23,558, $29,966)","€ 1,450,000(£ 1,225,002, $1,558,235)",Estimación no verificada,https://fbref.com/es/jugadores/ed6ea4d9/Darwin-Machis
2018-2019,25,Udinese,itITA,1.Serie A,13,463,0,1,1.0,120.0,1.0,0.0,,,,,14,583,1,1,4,463,5.1,0,1,1,0,0,0,2,0,1.1,1.1,0.9,2.1,37.0,17.0,46.0,0.0,0.19,0.19,0.0,0.19,0.22,0.18,0.4,0.22,0.4,7.0,6.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,6.0,0.0,6.0,2.0,9.0,8.0,0.0,129.0,176.0,73.3,1925.0,455.0,76.0,91.0,83.5,43.0,56.0,76.8,7.0,20.0,35.0,1,0.9,0.7,0.1,11.0,9.0,3.0,2.0,17.0,176.0,153.0,22.0,0.0,0.0,2.0,22.0,17.0,5.0,1.0,2.0,1.0,129.0,1.0,4.0,6.0,33.0,93.0,136.0,17.0,253.0,20.0,13.0,65.0,7.0,35.0,176.0,1613.0,995.0,37.0,18.0,10.0,22.0,9.0,177.0,46.0,0,16.0,3.0,18.8,3.11,0.58,0.0,0.0,22.2,0.0,0,0,1.1,1.1,0.07,-1.1,-1.1,22.0,4.29,15.0,0.0,5.0,1.0,1.0,0.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,463,36,13.5,5.1,4,78.0,1.0,9,17.0,6.0,1.0,6.0,5.0,1.0,0.19,0.65,8.0,7.1,1.0,0.19,0.74,2,0,0.0,7.0,12.0,0.0,22.0,2.0,6.0,0.0,0.0,0.0,24.0,4.0,9.0,30.8,"€ 27,885(£ 23,969, $31,669)","€ 1,450,000(£ 1,246,397, $1,646,782)",Estimación no verificada,https://fbref.com/es/jugadores/ed6ea4d9/Darwin-Machis
2018-2019,25,Cádiz,esESP,2.La Liga 2,15,"1,215",8,1,,,,,,,,,15,"1,215",8,1,14,"1,215",13.5,8,1,9,8,0,0,3,0,,,,,,,,0.59,0.07,0.67,0.59,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,215",81,32.9,13.5,14,86.0,13.0,1,9.0,0.0,1.67,20.0,14.0,6.0,0.44,0.04,,,,,,3,0,0.0,,,,,,,,,0.0,,,,,,,,
2019-2020,26,Granada,esESP,1.La Liga,36,"2,129",7,5,5.0,271.0,0.0,2.0,,,,,41,"2,400",7,7,20,"2,129",23.7,7,5,12,6,1,1,5,0,6.7,5.9,4.5,10.4,93.0,47.0,173.0,0.3,0.21,0.51,0.25,0.47,0.28,0.19,0.47,0.25,0.44,23.0,13.0,11.0,8.0,4.0,8.0,23.0,34.8,15.0,22.0,4.0,18.0,31.0,54.0,9.0,0.0,350.0,584.0,59.9,5763.0,2022.0,174.0,226.0,77.0,117.0,197.0,59.4,41.0,101.0,40.6,5,4.5,4.4,0.5,40.0,34.0,20.0,8.0,47.0,584.0,501.0,82.0,24.0,0.0,5.0,141.0,7.0,50.0,29.0,11.0,0.0,350.0,1.0,19.0,22.0,120.0,284.0,538.0,80.0,914.0,94.0,54.0,57.4,40.0,42.6,567.0,4454.0,2542.0,93.0,58.0,32.0,60.0,27.0,543.0,173.0,7,71.0,26.0,36.6,3.0,1.1,0.08,0.23,20.6,2.0,1,1,6.7,5.9,0.08,0.3,0.1,92.0,3.89,50.0,18.0,10.0,5.0,7.0,2.0,10.0,0.42,7.0,0.0,0.0,3.0,0.0,0.0,"2,129",59,62.3,23.7,20,82.0,7.0,16,31.0,1.0,1.47,36.0,30.0,6.0,0.25,0.18,30.6,27.2,3.4,0.15,0.22,5,0,0.0,43.0,43.0,12.0,141.0,31.0,13.0,0.0,0.0,0.0,98.0,21.0,38.0,35.6,,,,
