Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,20,Espanyol,esESP,1.La Liga,5,354,0,0,,,,,,,,,5,354,0,0,4,354,3.9,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,354,71,10.4,3.9,4,,3,1,,8,2.0,8,8,0,0.0,0.12,,,,,,1,0,,2.0,,,,,,,,,,,,,"€ 10,000(£ 8,686, $10,960)","€ 520,000(£ 451,685, $569,909)",Estimación no verificada,https://fbref.com/es/jugadores/a1232f4e/Eric-Bailly
2014-2015,20,Villarreal,esESP,1.La Liga,10,823,0,0,,,,,2.0,167.0,0.0,0.0,12,990,0,0,10,823,9.1,0,0,0,0,0,0,5,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,823,82,24.1,9.1,10,,7,0,,4,1.2,4,5,-1,-0.11,-0.53,,,,,,5,0,,12.0,,,,,,,,,,,,,"€ 10,000(£ 8,686, $10,960)","€ 520,000(£ 451,685, $569,909)",Estimación no verificada,https://fbref.com/es/jugadores/a1232f4e/Eric-Bailly
2015-2016,21,Villarreal,esESP,1.La Liga,25,"2,019",0,0,3.0,252.0,0.0,1.0,7.0,616.0,1.0,0.0,35,"2,887",1,1,25,"2,019",22.4,0,0,0,0,0,0,11,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,35.0,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.0,1.0,25.0,0.18,0.04,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,019",81,59.0,22.4,25,81.0,18,0,,5,1.6,30,24,6,0.27,0.07,,,,,,11,1,1.0,34.0,29.0,0.0,1.0,66.0,35.0,0.0,0.0,0.0,,,,,"€ 17,308(£ 15,034, $18,969)","€ 900,000(£ 781,762, $986,380)",Estimación no verificada,https://fbref.com/es/jugadores/a1232f4e/Eric-Bailly
2016-2017,22,Manchester Utd,engENG,Jr.PL2 — Div. 1,1,57,0,0,,,,,,,,,1,57,0,0,1,57,0.6,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,57,57,2.9,0.6,1,57.0,0,0,,0,0.0,1,1,0,0.0,0.42,,,,,,0,0,0.0,,,,,,,,,0.0,,,,,"£ 80,000(€ 92,091, $100,944)","£ 4,160,000(€ 4,788,717, $5,249,105)",Estimación no verificada,https://fbref.com/es/jugadores/a1232f4e/Eric-Bailly
2016-2017,22,Manchester Utd,engENG,1.Premier League,25,"2,058",0,0,2.0,180.0,0.0,0.0,11.0,991.0,0.0,0.0,38,"3,229",0,0,24,"2,058",22.9,0,0,0,0,0,0,4,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,43.0,,,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.0,1.0,16.7,0.26,0.04,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,058",82,60.2,22.9,24,,21,1,,2,1.96,36,15,21,0.92,0.65,,,,,,4,0,0.0,28.0,26.0,0.0,2.0,66.0,43.0,0.0,1.0,0.0,,,,,"£ 80,000(€ 92,091, $100,944)","£ 4,160,000(€ 4,788,717, $5,249,105)",Estimación no verificada,https://fbref.com/es/jugadores/a1232f4e/Eric-Bailly
2017-2018,23,Manchester Utd,engENG,1.Premier League,13,"1,001",1,0,2.0,91.0,0.0,0.0,3.0,270.0,0.0,0.0,18,"1,362",1,0,11,"1,001",11.1,1,0,1,1,0,0,2,0,1.1,1.1,0.2,1.3,3.0,26.0,0.0,0.09,0.0,0.09,0.09,0.09,0.1,0.01,0.11,0.1,0.11,17.0,10.0,10.0,5.0,2.0,5.0,12.0,41.7,7.0,11.0,6.0,5.0,25.0,42.0,58.0,1.0,368.0,428.0,86.0,6857.0,2226.0,126.0,139.0,90.6,197.0,211.0,93.4,35.0,57.0,61.4,0,0.2,0.2,-0.2,2.0,15.0,2.0,0.0,26.0,428.0,411.0,16.0,15.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,368.0,1.0,4.0,76.0,278.0,260.0,16.0,7.0,552.0,4.0,4.0,100.0,0.0,0.0,258.0,1365.0,766.0,3.0,1.0,0.0,1.0,5.0,300.0,0.0,1,3.0,1.0,33.3,0.27,0.09,0.33,1.0,4.9,0.0,0,0,1.1,1.1,0.37,-0.1,-0.1,4.0,0.36,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,001",77,29.3,11.1,11,,11,2,,5,2.46,24,6,18,1.62,0.8,17.9,11.9,6.0,0.54,0.2,2,0,0.0,10.0,9.0,0.0,0.0,25.0,10.0,0.0,0.0,1.0,58.0,17.0,8.0,68.0,"£ 80,000(€ 92,091, $100,944)","£ 4,160,000(€ 4,788,717, $5,249,105)",Estimación no verificada,https://fbref.com/es/jugadores/a1232f4e/Eric-Bailly
2018-2019,24,Manchester Utd,engENG,1.Premier League,12,638,0,0,2.0,210.0,0.0,0.0,4.0,305.0,0.0,0.0,18,"1,153",0,0,8,638,7.1,0,0,0,0,0,0,0,1,0.2,0.2,0.0,0.2,3.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,15.0,9.0,14.0,1.0,0.0,8.0,10.0,80.0,2.0,9.0,4.0,5.0,13.0,28.0,39.0,1.0,264.0,305.0,86.6,5067.0,1597.0,82.0,88.0,93.2,150.0,164.0,91.5,27.0,43.0,62.8,0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,13.0,305.0,295.0,9.0,7.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,264.0,1.0,1.0,56.0,215.0,167.0,11.0,7.0,390.0,5.0,4.0,80.0,1.0,20.0,191.0,868.0,338.0,3.0,1.0,0.0,5.0,1.0,233.0,2.0,0,3.0,1.0,33.3,0.42,0.14,0.0,0.0,11.6,0.0,0,0,0.2,0.2,0.07,-0.2,-0.2,2.0,0.28,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638,53,18.7,7.1,8,78.0,5,4,5.0,9,2.17,14,13,1,0.14,-0.18,10.0,10.4,-0.3,-0.05,-0.41,0,1,0.0,5.0,5.0,0.0,0.0,13.0,9.0,0.0,1.0,0.0,42.0,13.0,4.0,76.5,"£ 80,000(€ 92,091, $100,944)","£ 4,160,000(€ 4,788,717, $5,249,105)",Estimación no verificada,https://fbref.com/es/jugadores/a1232f4e/Eric-Bailly
2019-2020,25,Manchester Utd,engENG,Jr.PL2 — Div. 2,1,60,0,0,,,,,,,,,1,60,0,0,1,60,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,60,60,3.9,0.7,1,60.0,0,0,,0,3.0,2,0,2,3.0,1.41,,,,,,0,0,0.0,,,,,,,,,0.0,,,,,"£ 80,000(€ 92,091, $100,944)","£ 4,160,000(€ 4,788,717, $5,249,105)",,https://fbref.com/es/jugadores/a1232f4e/Eric-Bailly
2019-2020,25,Manchester Utd,engENG,1.Premier League,4,150,0,0,3.0,229.0,0.0,0.0,4.0,340.0,0.0,0.0,11,719,0,0,1,150,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0,0.0,4.0,4.0,7.0,1.0,70.0,78.0,89.7,1196.0,470.0,27.0,29.0,93.1,38.0,40.0,95.0,5.0,7.0,71.4,0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,78.0,76.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,15.0,44.0,49.0,0.0,0.0,92.0,1.0,1.0,100.0,0.0,0.0,46.0,186.0,97.0,1.0,0.0,0.0,1.0,1.0,54.0,1.0,0,0.0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150,38,4.4,1.7,1,90.0,1,3,20.0,10,2.5,5,1,4,2.4,1.68,2.0,2.2,-0.2,-0.14,-0.82,0,0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,9.0,8.0,0.0,100.0,"£ 80,000(€ 92,091, $100,944)","£ 4,160,000(€ 4,788,717, $5,249,105)",,https://fbref.com/es/jugadores/a1232f4e/Eric-Bailly
2020-2021,26,Manchester Utd,engENG,1.Premier League,12,916,0,0,4.0,314.0,0.0,0.0,5.0,475.0,0.0,1.0,21,"1,705",0,1,10,916,10.2,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,6.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,5.0,5.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,13.0,11.0,2.0,13.0,18.0,36.0,2.0,497.0,564.0,88.1,9002.0,3349.0,185.0,200.0,92.5,268.0,299.0,89.6,37.0,49.0,75.5,0,0.0,0.1,0.0,0.0,26.0,0.0,0.0,37.0,564.0,552.0,11.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,497.0,1.0,3.0,92.0,339.0,304.0,14.0,4.0,652.0,4.0,4.0,100.0,0.0,0.0,429.0,2480.0,1331.0,6.0,5.0,0.0,7.0,0.0,424.0,0.0,0,2.0,0.0,0.0,0.2,0.0,0.0,,11.2,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,4.0,0.39,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,916,76,26.8,10.2,10,90.0,9,2,11.0,14,1.92,16,17,-1,-0.1,-1.18,15.1,13.8,1.3,0.13,-0.49,3,0,0.0,10.0,4.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,73.0,24.0,17.0,58.5,"€ 103,846(£ 89,340, $113,552)","€ 5,400,000(£ 4,645,676, $5,904,687)",,https://fbref.com/es/jugadores/a1232f4e/Eric-Bailly
