Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2008-2009,18,Cheltenham,engENG,3.League One,7,589,0,0,,,,,,,,,7,589,0,0,7,589,6.5,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,589,84,14.2,6.5,7,,,0,,,,,,,,,,,,,,3,0,,8.0,,,,,,,,,,,,,"€ 87,308(£ 75,838, $95,687)","€ 4,540,000(£ 3,943,556, $4,975,741)",Estimación no verificada,https://fbref.com/es/jugadores/b6e50615/Yuri-Berchiche
2009-2010,19,Valladolid,esESP,1.La Liga,1,90,0,0,,,,,,,,,1,90,0,0,1,90,1.0,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,2.6,1.0,1,,1.0,0,,,,,,,,,,,,,,1,0,,1.0,,,,,,,,,,,,,"€ 87,308(£ 75,838, $95,687)","€ 4,540,000(£ 3,943,556, $4,975,741)",Estimación no verificada,https://fbref.com/es/jugadores/b6e50615/Yuri-Berchiche
2013-2014,23,Eibar,esESP,2.La Liga 2,37,"3,315",3,4,,,,,,,,,37,"3,315",3,4,37,"3,315",36.8,3,4,7,3,0,0,13,2,,,,,,,,0.08,0.11,0.19,0.08,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,0.14,,0.6,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,315",90,87.7,36.8,37,,,0,,,,,,,,,,,,,,13,2,,,,,,,,,,,,,,,"€ 80,769(£ 70,158, $88,521)","€ 4,200,000(£ 3,648,223, $4,603,108)",Estimación no verificada,https://fbref.com/es/jugadores/b6e50615/Yuri-Berchiche
2014-2015,24,Real Sociedad,esESP,1.La Liga,21,"1,469",0,1,4.0,360.0,0.0,0.0,,,,,25,"1,829",0,1,17,"1,469",16.3,0,1,1,0,0,0,7,0,,,,,,,,0.0,0.06,0.06,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.06,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,469",70,43.0,16.3,17,,13.0,4,,12.0,1.33,19.0,22.0,-3.0,-0.18,0.0,,,,,,7,0,,23.0,,,,,,,,,,,,,"€ 80,769(£ 70,158, $88,521)","€ 4,200,000(£ 3,648,223, $4,603,108)",Estimación no verificada,https://fbref.com/es/jugadores/b6e50615/Yuri-Berchiche
2015-2016,25,Real Sociedad,esESP,1.La Liga,21,"1,847",0,4,1.0,90.0,0.0,0.0,,,,,22,"1,937",0,4,21,"1,847",20.5,0,4,4,0,0,0,10,0,,,,,,,,0.0,0.19,0.19,0.0,0.19,,,,,,,43.0,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14.0,2,14.3,0.68,0.1,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,847",88,54.0,20.5,21,88.0,17.0,0,,11.0,1.24,24.0,25.0,-1.0,-0.05,0.07,,,,,,10,0,0.0,26.0,22.0,4.0,92.0,82.0,43.0,0.0,2.0,0.0,,,,,"€ 82,308(£ 70,810, $90,000)","€ 4,280,000(£ 3,682,128, $4,680,011)",,https://fbref.com/es/jugadores/b6e50615/Yuri-Berchiche
2016-2017,26,Real Sociedad,esESP,1.La Liga,35,"3,088",3,2,6.0,540.0,0.0,1.0,,,,,41,"3,628",3,3,35,"3,088",34.3,3,2,5,3,0,0,9,0,,,,,,,,0.09,0.06,0.15,0.09,0.15,,,,,,,50.0,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,40.0,8,20.0,1.17,0.23,0.08,0.38,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,088",88,90.3,34.3,35,88.0,33.0,0,,0.0,1.74,56.0,47.0,9.0,0.26,1.08,,,,,,9,0,0.0,42.0,43.0,3.0,128.0,62.0,50.0,1.0,0.0,0.0,,,,,"€ 82,308(£ 69,536, $88,452)","€ 4,280,000(£ 3,615,868, $4,599,479)",,https://fbref.com/es/jugadores/b6e50615/Yuri-Berchiche
2017-2018,27,Paris S-G,frFRA,1.Ligue 1,22,"1,716",2,4,8.0,720.0,0.0,2.0,2.0,180.0,0.0,0.0,32,"2,616",2,6,19,"1,716",19.1,2,4,6,2,0,0,4,0,0.4,0.4,2.1,2.5,41.0,74.0,145.0,0.1,0.21,0.31,0.1,0.31,0.02,0.11,0.13,0.02,0.13,39.0,27.0,21.0,11.0,7.0,12.0,25.0,48.0,13.0,15.0,2.0,13.0,24.0,63.0,53.0,0.0,1024.0,1184.0,86.5,12301.0,4254.0,642.0,696.0,92.2,235.0,283.0,83.0,29.0,46.0,63.0,4,2.1,2.0,1.9,16.0,62.0,21.0,8.0,74.0,1184.0,1041.0,141.0,18.0,0.0,2.0,56.0,123.0,0.0,0.0,0.0,0.0,1024.0,2.0,28.0,42.0,319.0,676.0,371.0,41.0,1359.0,16.0,12.0,75.0,4.0,25.0,780.0,2858.0,1695.0,41.0,22.0,11.0,19.0,7.0,903.0,145.0,2,10.0,4,40.0,0.52,0.21,0.2,0.5,22.6,0.0,0,0,0.4,0.4,0.04,1.6,1.6,36.0,1.89,28.0,2.0,1.0,1.0,3.0,1.0,7.0,0.37,5.0,0.0,1.0,0.0,1.0,0.0,"1,716",78,50.2,19.1,19,88.0,18.0,3,17.0,13.0,2.55,60.0,15.0,45.0,2.36,0.56,47.0,16.8,30.1,1.58,0.44,4,0,0.0,18.0,28.0,3.0,56.0,24.0,27.0,0.0,0.0,0.0,89.0,39.0,17.0,69.6,"€ 82,308(£ 70,750, $93,478)","€ 4,280,000(£ 3,679,019, $4,860,847)",,https://fbref.com/es/jugadores/b6e50615/Yuri-Berchiche
2018-2019,28,Athletic Club,esESP,1.La Liga,35,"3,120",2,2,2.0,180.0,0.0,0.0,,,,,37,"3,300",2,2,35,"3,120",34.7,2,2,4,2,0,0,8,0,1.2,1.2,2.0,3.2,90.0,137.0,138.0,0.06,0.06,0.12,0.06,0.12,0.03,0.06,0.09,0.03,0.09,46.0,31.0,26.0,11.0,9.0,23.0,46.0,50.0,23.0,34.0,9.0,25.0,42.0,88.0,82.0,0.0,1384.0,1753.0,79.0,21246.0,7938.0,768.0,873.0,88.0,504.0,619.0,81.4,71.0,153.0,46.4,2,2.0,2.3,0.0,19.0,80.0,32.0,14.0,137.0,1753.0,1440.0,309.0,26.0,2.0,12.0,102.0,281.0,2.0,1.0,1.0,0.0,1384.0,4.0,47.0,106.0,629.0,950.0,568.0,37.0,2118.0,56.0,33.0,58.9,23.0,41.1,1043.0,6258.0,3519.0,90.0,72.0,9.0,41.0,19.0,1146.0,138.0,2,29.0,6,20.7,0.84,0.17,0.07,0.33,21.2,0.0,0,0,1.2,1.2,0.04,0.8,0.8,49.0,1.41,35.0,3.0,0.0,3.0,7.0,1.0,6.0,0.17,6.0,0.0,0.0,0.0,0.0,0.0,"3,120",89,91.2,34.7,35,89.0,34.0,0,,0.0,1.4,38.0,40.0,-2.0,-0.06,0.54,38.0,41.0,-2.9,-0.08,-0.28,8,0,0.0,38.0,78.0,3.0,102.0,42.0,31.0,0.0,0.0,0.0,270.0,75.0,37.0,67.0,,,,
2019-2020,29,Athletic Club,esESP,1.La Liga,33,"2,850",2,1,6.0,523.0,2.0,0.0,,,,,39,"3,373",4,1,32,"2,850",31.7,2,1,3,2,0,0,7,0,1.5,1.5,2.8,4.3,83.0,153.0,141.0,0.06,0.03,0.09,0.06,0.09,0.05,0.09,0.14,0.05,0.14,48.0,35.0,32.0,15.0,1.0,21.0,40.0,52.5,19.0,26.0,4.0,22.0,30.0,78.0,73.0,1.0,1324.0,1684.0,78.6,21617.0,8101.0,706.0,807.0,87.5,448.0,563.0,79.6,125.0,187.0,66.8,1,2.8,2.7,-1.8,29.0,113.0,34.0,15.0,153.0,1684.0,1360.0,316.0,26.0,1.0,26.0,106.0,287.0,3.0,0.0,0.0,0.0,1324.0,8.0,41.0,81.0,540.0,979.0,570.0,35.0,2057.0,70.0,43.0,61.4,27.0,38.6,1089.0,6791.0,3562.0,83.0,73.0,11.0,54.0,22.0,1182.0,141.0,2,35.0,9,25.7,1.11,0.28,0.06,0.22,23.8,2.0,0,0,1.5,1.5,0.04,0.5,0.5,58.0,1.83,45.0,3.0,2.0,6.0,1.0,1.0,4.0,0.13,2.0,0.0,0.0,2.0,0.0,0.0,"2,850",86,83.3,31.7,32,88.0,29.0,1,45.0,0.0,1.42,36.0,29.0,7.0,0.22,0.85,35.7,39.6,-3.9,-0.12,0.41,7,0,0.0,32.0,49.0,2.0,106.0,30.0,35.0,0.0,2.0,0.0,211.0,54.0,24.0,69.2,,,,
2020-2021,30,Athletic Club,esESP,1.La Liga,23,"1,682",1,3,6.0,451.0,0.0,0.0,,,,,29,"2,133",1,3,21,"1,682",18.7,1,3,4,1,0,0,3,0,0.9,0.9,2.0,2.9,55.0,98.0,105.0,0.05,0.16,0.21,0.05,0.21,0.05,0.11,0.15,0.05,0.15,24.0,19.0,14.0,5.0,5.0,10.0,24.0,41.7,14.0,14.0,0.0,14.0,11.0,35.0,29.0,0.0,909.0,1132.0,80.3,15028.0,5395.0,464.0,524.0,88.5,330.0,395.0,83.5,82.0,121.0,67.8,3,2.0,2.1,1.0,17.0,58.0,32.0,13.0,98.0,1132.0,895.0,233.0,34.0,1.0,21.0,76.0,199.0,0.0,0.0,0.0,0.0,909.0,4.0,31.0,37.0,280.0,617.0,406.0,40.0,1294.0,35.0,17.0,48.6,18.0,51.4,657.0,4077.0,2156.0,55.0,41.0,13.0,24.0,13.0,772.0,105.0,1,16.0,6,37.5,0.86,0.32,0.06,0.17,19.5,0.0,0,0,0.9,0.9,0.06,0.1,0.1,42.0,2.25,35.0,1.0,2.0,0.0,3.0,1.0,4.0,0.21,3.0,0.0,0.0,0.0,1.0,0.0,"1,682",73,49.2,18.7,21,79.0,15.0,2,13.0,3.0,1.09,26.0,19.0,7.0,0.37,0.53,22.3,18.0,4.2,0.23,0.17,3,0,0.0,17.0,30.0,1.0,76.0,11.0,19.0,1.0,0.0,0.0,109.0,24.0,12.0,66.7,,,,
