Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,18,Vitória,ptPOR,1.Primeira Liga,1,18,0,0,,,,,,,,,1,18,0,0,0,18,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,18,18,0.6,0.2,0,,,1,,0,,,,,,,,,,,,0,0,,1.0,,,,,,,,,,,,,"€ 29,808(£ 25,892, $32,669)","€ 1,550,000(£ 1,346,368, $1,698,766)",Estimación no verificada,https://fbref.com/es/jugadores/3423f250/Raphinha
2016-2017,19,Vitória,ptPOR,1.Primeira Liga,32,"1,695",4,6,,,,,,,,,32,"1,695",4,6,18,"1,695",18.8,4,6,10,4,0,0,6,0,,,,,,,,0.21,0.32,0.53,0.21,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,14.0,,,0.74,,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,695",53,55.4,18.8,18,,,14,,1,,,,,,,,,,,,6,0,,29.0,,,,,,,,,,,,,"£ 63,500(€ 73,097, $80,125)","£ 3,302,000(€ 3,801,044, $4,166,477)",,https://fbref.com/es/jugadores/3423f250/Raphinha
2017-2018,20,Vitória,ptPOR,1.Primeira Liga,32,"2,785",15,4,,,,,6.0,503,0.0,0.0,38,"3,288",15,4,32,"2,785",30.9,15,4,19,13,2,3,4,0,,,,,,,,0.48,0.13,0.61,0.42,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,27.0,,,0.87,,0.48,,,2,3,,,,,,,,,,,,,,,,,,,,,,"2,785",87,91.0,30.9,32,,,0,,0,,,,,,,,,,,,4,0,,31.0,,,,,,,,,,,,,"£ 63,500(€ 73,097, $80,125)","£ 3,302,000(€ 3,801,044, $4,166,477)",,https://fbref.com/es/jugadores/3423f250/Raphinha
2018-2019,21,Sporting CP,ptPOR,1.Primeira Liga,24,"1,510",4,1,,,,,4.0,215,1.0,1.0,28,"1,725",5,2,16,"1,510",16.8,4,1,5,4,0,0,6,0,4.4,4.4,4.0,8.3,49.0,62.0,180.0,0.24,0.06,0.3,0.24,0.3,0.26,0.24,0.5,0.26,0.5,32.0,24.0,13.0,14.0,5.0,12.0,33.0,36.4,21.0,24.0,0.0,24.0,22.0,54.0,6.0,0.0,356.0,527.0,67.6,6281.0,1939.0,183.0,239.0,76.6,111.0,150.0,74.0,51.0,92.0,55.4,1,4.0,2.8,-3.0,33.0,29.0,30.0,6.0,62.0,527.0,502.0,24.0,5.0,2.0,9.0,44.0,10.0,9.0,4.0,1.0,0.0,356.0,1.0,24.0,8.0,85.0,274.0,393.0,85.0,743.0,51.0,26.0,51.0,25.0,49.0,477.0,3097.0,1476.0,49.0,18.0,27.0,25.0,27.0,534.0,180.0,4,54.0,21.0,38.9,3.22,1.25,0.07,0.19,18.0,2.0,0,0,4.4,4.4,0.08,-0.4,-0.4,80.0,4.77,43.0,2.0,9.0,12.0,13.0,1.0,5.0,0.3,1.0,0.0,1.0,1.0,2.0,0.0,"1,510",63,49.3,16.8,16,83.0,8.0,8,22.0,2,1.96,27.0,18.0,9.0,0.54,-1.21,29.9,19.7,10.2,0.61,-0.18,6,0,0.0,26.0,41.0,8.0,44.0,22.0,24.0,2.0,0.0,0.0,74.0,21.0,20.0,51.2,"€ 240,385(£ 206,805, $262,851)","€ 12,500,000(£ 10,753,879, $13,668,258)",,https://fbref.com/es/jugadores/3423f250/Raphinha
2019-2020,22,Sporting CP,ptPOR,1.Primeira Liga,4,360,2,0,,,,,,,,,4,360,2,0,4,360,4.0,2,0,2,2,0,0,1,0,1.5,1.5,0.7,2.2,7.0,11.0,47.0,0.5,0.0,0.5,0.5,0.5,0.38,0.17,0.55,0.38,0.55,10.0,7.0,4.0,3.0,3.0,2.0,10.0,20.0,8.0,4.0,0.0,4.0,1.0,11.0,0.0,0.0,87.0,118.0,73.7,1325.0,329.0,49.0,59.0,83.1,26.0,37.0,70.3,7.0,14.0,50.0,0,0.7,0.9,-0.7,6.0,6.0,2.0,1.0,11.0,118.0,106.0,12.0,1.0,0.0,2.0,10.0,8.0,3.0,2.0,0.0,0.0,87.0,0.0,0.0,1.0,20.0,57.0,93.0,22.0,169.0,10.0,4.0,40.0,6.0,60.0,97.0,580.0,249.0,7.0,6.0,7.0,16.0,4.0,119.0,47.0,2,7.0,4.0,57.1,1.75,1.0,0.29,0.5,16.0,0.0,0,0,1.5,1.5,0.22,0.5,0.5,10.0,2.5,6.0,1.0,1.0,2.0,0.0,0.0,1.0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,360,90,11.8,4.0,4,90.0,4.0,0,,0,1.75,8.0,6.0,2.0,0.5,0.07,5.7,7.5,-1.8,-0.45,-0.94,1,0,0.0,8.0,5.0,4.0,10.0,1.0,7.0,0.0,0.0,0.0,14.0,1.0,7.0,12.5,"€ 240,385(£ 203,084, $258,328)","€ 12,500,000(£ 10,560,364, $13,433,059)",,https://fbref.com/es/jugadores/3423f250/Raphinha
2019-2020,22,Rennes,frFRA,1.Ligue 1,22,"1,690",5,3,4.0,288.0,2.0,1.0,4.0,274,0.0,0.0,30,"2,252",7,4,20,"1,690",18.8,5,3,8,4,1,1,4,0,5.2,4.1,5.4,9.6,64.0,69.0,155.0,0.27,0.16,0.43,0.21,0.37,0.28,0.29,0.57,0.22,0.51,22.0,18.0,5.0,12.0,5.0,10.0,32.0,31.3,22.0,23.0,1.0,22.0,17.0,39.0,14.0,1.0,444.0,678.0,65.5,7588.0,2733.0,228.0,287.0,79.4,147.0,210.0,70.0,51.0,116.0,44.0,3,5.4,3.8,-2.4,42.0,36.0,20.0,4.0,69.0,678.0,587.0,87.0,24.0,3.0,9.0,93.0,13.0,49.0,28.0,16.0,0.0,444.0,4.0,22.0,14.0,104.0,422.0,446.0,77.0,948.0,112.0,49.0,43.8,63.0,56.3,609.0,3994.0,2027.0,64.0,47.0,33.0,47.0,33.0,622.0,155.0,5,42.0,13.0,31.0,2.24,0.69,0.1,0.31,20.1,8.0,1,1,5.2,4.1,0.1,-0.2,-0.1,90.0,4.79,50.0,15.0,13.0,4.0,6.0,2.0,5.0,0.27,5.0,0.0,0.0,0.0,0.0,0.0,"1,690",77,67.1,18.8,20,83.0,13.0,2,20.0,0,1.82,25.0,16.0,9.0,0.48,-0.06,26.4,17.4,8.9,0.47,0.69,4,0,0.0,19.0,32.0,3.0,93.0,17.0,18.0,0.0,0.0,0.0,98.0,14.0,22.0,38.9,"€ 240,385(£ 206,631, $273,008)","€ 12,500,000(£ 10,744,800, $14,196,398)",,https://fbref.com/es/jugadores/3423f250/Raphinha
2020-2021,23,Rennes,frFRA,1.Ligue 1,6,404,1,2,,,,,,,,,6,404,1,2,5,404,4.5,1,2,3,1,0,0,0,0,0.9,0.9,0.9,1.7,11.0,12.0,31.0,0.22,0.45,0.67,0.22,0.67,0.2,0.19,0.39,0.2,0.39,5.0,2.0,1.0,3.0,1.0,1.0,4.0,25.0,3.0,5.0,0.0,5.0,3.0,8.0,4.0,0.0,89.0,139.0,64.0,1576.0,500.0,39.0,49.0,79.6,39.0,51.0,76.5,9.0,27.0,33.3,2,0.9,0.8,1.1,9.0,12.0,5.0,1.0,12.0,139.0,120.0,18.0,5.0,2.0,2.0,16.0,3.0,10.0,10.0,0.0,0.0,89.0,1.0,4.0,4.0,26.0,84.0,92.0,14.0,200.0,25.0,10.0,40.0,14.0,56.0,106.0,782.0,422.0,11.0,8.0,6.0,7.0,3.0,134.0,31.0,1,11.0,3.0,27.3,2.45,0.67,0.09,0.33,19.2,3.0,0,0,0.9,0.9,0.08,0.1,0.1,25.0,5.57,12.0,3.0,3.0,1.0,5.0,1.0,7.0,1.56,4.0,0.0,1.0,0.0,1.0,1.0,404,67,11.8,4.5,5,77.0,1.0,1,21.0,0,2.33,8.0,6.0,2.0,0.45,0.15,5.3,3.9,1.5,0.33,0.08,0,0,0.0,6.0,12.0,0.0,16.0,3.0,2.0,0.0,0.0,0.0,14.0,5.0,7.0,41.7,"€ 240,385(£ 206,631, $273,008)","€ 12,500,000(£ 10,744,800, $14,196,398)",,https://fbref.com/es/jugadores/3423f250/Raphinha
2020-2021,23,Leeds United,engENG,Jr.PL2 — Div. 2,1,90,1,0,,,,,,,,,1,90,1,0,1,90,1.0,1,0,1,1,0,0,1,0,,,,,,,,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,4.2,1.0,1,90.0,1.0,0,,0,3.0,2.0,0.0,2.0,2.0,0.65,,,,,,1,0,0.0,,,,,,,,,0.0,,,,,"€ 240,385(£ 206,631, $273,008)","€ 12,500,000(£ 10,744,800, $14,196,398)",,https://fbref.com/es/jugadores/3423f250/Raphinha
2020-2021,23,Leeds United,engENG,1.Premier League,30,"2,360",6,9,1.0,33.0,0.0,0.0,,,,,31,"2,393",6,9,26,"2,360",26.2,6,9,15,6,0,0,3,0,5.7,5.7,7.9,13.6,102.0,97.0,222.0,0.23,0.34,0.57,0.23,0.57,0.22,0.3,0.52,0.22,0.52,34.0,17.0,13.0,16.0,5.0,12.0,58.0,20.7,46.0,31.0,1.0,30.0,29.0,63.0,27.0,0.0,687.0,1064.0,64.6,11676.0,4332.0,347.0,413.0,84.0,218.0,336.0,64.9,88.0,204.0,43.1,9,7.9,6.8,1.1,64.0,79.0,40.0,7.0,97.0,1064.0,904.0,154.0,43.0,0.0,9.0,165.0,17.0,93.0,45.0,35.0,1.0,687.0,6.0,33.0,39.0,195.0,603.0,664.0,122.0,1445.0,110.0,56.0,50.9,54.0,49.1,829.0,5308.0,2909.0,102.0,58.0,38.0,86.0,34.0,957.0,222.0,6,67.0,24.0,35.8,2.56,0.92,0.09,0.25,17.2,4.0,0,0,5.7,5.7,0.09,0.3,0.3,120.0,4.58,68.0,26.0,14.0,7.0,4.0,1.0,15.0,0.57,8.0,3.0,2.0,2.0,0.0,0.0,"2,360",79,69.0,26.2,26,87.0,19.0,4,24.0,0,1.67,44.0,34.0,10.0,0.38,0.55,37.9,40.1,-2.3,-0.09,-0.09,3,0,0.0,13.0,31.0,14.0,165.0,29.0,17.0,0.0,0.0,0.0,117.0,9.0,36.0,20.0,,,,
2021-2022,24,Leeds United,engENG,1.Premier League,35,"2,915",11,3,1.0,45.0,0.0,0.0,,,,,36,"2,960",11,3,34,"2,915",32.4,11,3,14,7,4,4,7,0,10.2,7.0,7.5,14.5,89.0,134.0,286.0,0.34,0.09,0.43,0.22,0.31,0.31,0.23,0.54,0.22,0.45,51.0,29.0,25.0,14.0,12.0,22.0,71.0,31.0,49.0,43.0,0.0,43.0,29.0,80.0,28.0,1.0,824.0,1301.0,63.3,13788.0,5181.0,399.0,497.0,80.3,275.0,420.0,65.5,99.0,259.0,38.2,3,7.5,6.2,-4.5,65.0,91.0,49.0,11.0,134.0,1301.0,1111.0,188.0,46.0,16.0,20.0,162.0,63.0,76.0,52.0,14.0,0.0,824.0,2.0,38.0,46.0,248.0,753.0,826.0,130.0,1792.0,146.0,62.0,42.5,84.0,57.5,991.0,5995.0,2879.0,89.0,55.0,40.0,99.0,35.0,1185.0,286.0,11,84.0,21.0,25.0,2.59,0.65,0.08,0.33,21.4,10.0,4,4,10.2,7.0,0.08,0.8,0.0,136.0,4.2,77.0,25.0,15.0,9.0,8.0,2.0,10.0,0.31,5.0,0.0,2.0,0.0,2.0,1.0,"2,915",83,85.2,32.4,34,84.0,26.0,1,45.0,0,1.0,34.0,68.0,-34.0,-1.05,-0.52,37.2,57.5,-20.3,-0.63,-0.07,7,0,0.0,40.0,47.0,14.0,162.0,29.0,29.0,1.0,1.0,0.0,166.0,22.0,31.0,41.5,,,,
