Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,17,Asteras Tripoli,grGRE,1.Super League,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,5,,,,,,,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 25,000(£ 21,121, $26,866)","€ 1,300,000(£ 1,098,278, $1,397,038)",Estimación no verificada,https://fbref.com/es/jugadores/853ca71c/Anastasios-Douvikas
2018-2019,18,Asteras Tripoli,grGRE,1.Super League,18.0,270,0.0,0.0,,,,,,,,,18.0,270,0,0,1,270,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,270,15.0,10.0,3.0,1,71.0,0,17,12.0,11,0.89,4.0,4.0,0.0,0.0,0.19,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 25,000(£ 21,490, $28,393)","€ 1,300,000(£ 1,117,459, $1,476,425)",Estimación no verificada,https://fbref.com/es/jugadores/853ca71c/Anastasios-Douvikas
2019-2020,19,Asteras Tripoli,grGRE,1.Super League,2.0,46,0.0,0.0,,,,,,,,,2.0,46,0,0,0,46,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,46,23.0,1.5,0.5,0,,0,2,23.0,8,2.0,1.0,0.0,1.0,1.96,1.93,,,,,,4.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 28,462(£ 24,465, $32,324)","€ 1,480,000(£ 1,272,184, $1,680,853)",Estimación no verificada,https://fbref.com/es/jugadores/853ca71c/Anastasios-Douvikas
2020-2021,20,Volos NFC,grGRE,1.Super League,30.0,"2,587",11.0,1.0,,,,,,,,,30.0,"2,587",11,1,29,"2,587",28.7,11.0,1.0,12.0,8.0,3.0,3.0,4.0,0.0,,,,,,,,0.38,0.03,0.42,0.28,0.31,,,,,,38.0,20.0,8.0,16.0,14.0,5.0,25.0,20.0,20.0,16.0,3.0,13.0,7.0,45.0,22.0,0.0,262.0,421.0,62.2,3650.0,705.0,151.0,210.0,71.9,78.0,116.0,67.2,13.0,20.0,65.0,3.0,3.8,3.6,-0.8,19.0,20.0,11.0,0.0,32.0,421.0,400.0,20.0,1.0,1.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,262.0,1.0,26.0,26.0,58.0,335.0,436.0,166.0,815.0,80.0,40.0,50.0,40.0,50.0,481.0,2527.0,918.0,47.0,26.0,28.0,120.0,57.0,614.0,178.0,9.0,75.0,31.0,41.3,2.85,1.18,0.09,0.23,13.7,1.0,2.0,2.0,13.6,12.0,0.16,-4.6,-5.0,50.0,1.9,29.0,0.0,8.0,7.0,5.0,1.0,6.0,0.23,3.0,0.0,0.0,1.0,2.0,0.0,"2,587",86.0,87.1,28.7,29,89.0,24,1,16.0,1,1.3,30.0,33.0,-3.0,-0.1,-0.1,,,,,,1.0,0.0,0.0,40.0,54.0,7.0,8.0,7.0,20.0,1.0,0.0,0.0,61.0,88.0,106.0,45.4,"€ 25,000(£ 21,102, $25,771)","€ 1,300,000(£ 1,097,299, $1,340,079)",Estimación no verificada,https://fbref.com/es/jugadores/853ca71c/Anastasios-Douvikas
2021-2022,21,Utrecht,nlNED,1.Eredivisie,34.0,"2,372",9.0,3.0,,,,,,,,,34.0,"2,372",9,3,28,"2,372",26.4,9.0,3.0,12.0,7.0,2.0,2.0,1.0,0.0,13.6,12.0,3.8,15.8,47.0,32.0,178.0,0.34,0.11,0.46,0.27,0.38,0.51,0.15,0.66,0.45,0.6,30.0,19.0,5.0,19.0,6.0,9.0,26.0,34.6,17.0,17.0,1.0,16.0,2.0,32.0,26.0,0.0,291.0,441.0,66.0,4047.0,573.0,159.0,213.0,74.6,93.0,134.0,69.4,14.0,25.0,56.0,4.0,3.8,2.5,0.2,20.0,21.0,11.0,2.0,29.0,441.0,422.0,16.0,0.0,1.0,4.0,11.0,1.0,0.0,0.0,0.0,0.0,291.0,3.0,22.0,32.0,71.0,374.0,392.0,142.0,820.0,69.0,27.0,39.1,37.0,53.6,446.0,2175.0,732.0,35.0,19.0,15.0,101.0,52.0,597.0,152.0,19.0,76.0,35.0,46.1,3.2,1.47,0.21,0.46,12.6,0.0,3.0,4.0,15.7,12.5,0.16,3.3,3.5,49.0,2.06,31.0,0.0,5.0,6.0,6.0,1.0,5.0,0.21,2.0,0.0,2.0,1.0,0.0,0.0,"2,372",70.0,77.5,26.4,28,79.0,13,6,25.0,0,1.39,41.0,34.0,7.0,0.27,0.53,44.9,33.4,11.5,0.44,-0.37,1.0,0.0,0.0,21.0,42.0,4.0,11.0,2.0,19.0,0.0,0.0,0.0,75.0,64.0,88.0,42.1,"€ 25,000(£ 21,102, $25,771)","€ 1,300,000(£ 1,097,299, $1,340,079)",Estimación no verificada,https://fbref.com/es/jugadores/853ca71c/Anastasios-Douvikas
2022-2023,22,Utrecht,nlNED,1.Eredivisie,32.0,"2,140",19.0,4.0,,,,,,,,,32.0,"2,140",19,4,24,"2,140",23.8,19.0,4.0,23.0,16.0,3.0,4.0,1.0,0.0,15.7,12.5,3.8,16.4,35.0,29.0,152.0,0.8,0.17,0.97,0.67,0.84,0.66,0.16,0.82,0.53,0.69,1.0,1.0,0.0,1.0,0.0,1.0,4.0,25.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,28.0,45.0,62.2,337.0,52.0,16.0,26.0,61.5,7.0,12.0,58.3,1.0,1.0,100.0,0.0,0.3,0.1,-0.3,2.0,4.0,2.0,0.0,3.0,45.0,41.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,1.0,0.0,1.0,41.0,27.0,7.0,69.0,4.0,2.0,50.0,1.0,25.0,41.0,245.0,97.0,6.0,1.0,3.0,10.0,2.0,55.0,13.0,0.0,5.0,3.0,60.0,2.5,1.5,0.0,0.0,13.6,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4,4.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,140",67.0,69.9,23.8,24,82.0,15,8,22.0,1,1.5,38.0,38.0,0.0,0.0,-0.49,37.2,34.0,3.2,0.13,0.07,0.0,0.0,0.0,5.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,9.0,10.0,47.4,"€ 25,000(£ 21,102, $25,771)","€ 1,300,000(£ 1,097,299, $1,340,079)",Estimación no verificada,https://fbref.com/es/jugadores/853ca71c/Anastasios-Douvikas
2023-2024,23,Utrecht,nlNED,1.Eredivisie,2.0,180,0.0,0.0,,,,,,,,,2.0,180,0,0,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.3,0.8,6.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.22,0.17,0.38,0.22,0.38,15.0,7.0,2.0,6.0,7.0,3.0,8.0,37.5,5.0,6.0,3.0,3.0,2.0,17.0,9.0,0.0,105.0,166.0,63.3,1387.0,216.0,63.0,91.0,69.2,29.0,45.0,64.4,4.0,7.0,57.1,1.0,1.3,0.6,-0.3,8.0,7.0,6.0,1.0,13.0,166.0,154.0,12.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,4.0,10.0,25.0,123.0,145.0,49.0,292.0,22.0,9.0,40.9,11.0,50.0,172.0,842.0,319.0,10.0,6.0,6.0,38.0,20.0,218.0,53.0,7.0,26.0,15.0,57.7,2.59,1.49,0.27,0.47,13.5,0.0,0.0,0.0,4.6,4.6,0.18,2.4,2.4,20.0,1.99,11.0,0.0,3.0,4.0,2.0,0.0,2.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,180,90.0,5.9,2.0,2,90.0,2,0,,0,0.0,0.0,4.0,-4.0,-2.0,-2.19,1.6,3.1,-1.5,-0.76,-0.75,2.0,0.0,0.0,18.0,30.0,6.0,2.0,2.0,7.0,0.0,0.0,0.0,22.0,35.0,28.0,55.6,,,,
2023-2024,23,Celta Vigo,esESP,1.La Liga,32.0,905,7.0,1.0,5.0,447.0,6.0,2.0,,,,,37.0,"1,352",13,3,7,905,10.1,7.0,1.0,8.0,7.0,0.0,0.0,2.0,0.0,4.6,4.6,1.3,5.9,10.0,13.0,53.0,0.7,0.1,0.8,0.7,0.8,0.46,0.13,0.59,0.46,0.59,9.0,4.0,2.0,6.0,1.0,3.0,6.0,50.0,3.0,5.0,2.0,3.0,3.0,12.0,6.0,0.0,76.0,107.0,71.0,1074.0,147.0,39.0,53.0,73.6,30.0,37.0,81.1,2.0,2.0,100.0,1.0,0.2,0.2,0.8,3.0,2.0,1.0,0.0,6.0,107.0,85.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,76.0,1.0,6.0,12.0,18.0,84.0,94.0,32.0,192.0,13.0,4.0,30.8,7.0,53.8,120.0,585.0,150.0,6.0,7.0,4.0,23.0,19.0,149.0,43.0,3.0,17.0,9.0,52.9,2.19,1.16,0.18,0.33,11.1,0.0,0.0,0.0,4.4,4.4,0.26,-1.4,-1.4,11.0,1.41,5.0,0.0,2.0,1.0,3.0,0.0,1.0,0.13,1.0,0.0,0.0,0.0,0.0,0.0,905,28.0,26.5,10.1,7,73.0,2,25,16.0,3,1.16,12.0,23.0,-11.0,-1.09,-1.09,13.8,21.3,-7.5,-0.74,-0.88,2.0,0.0,0.0,10.0,27.0,9.0,1.0,3.0,4.0,0.0,0.0,0.0,15.0,14.0,23.0,37.8,,,,
2024-2025,24,Celta Vigo,esESP,1.La Liga,20.0,700,3.0,1.0,1.0,90.0,2.0,0.0,,,,,21.0,790,5,1,6,700,7.8,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,4.4,4.4,0.2,4.7,6.0,6.0,43.0,0.39,0.13,0.51,0.39,0.51,0.57,0.03,0.6,0.57,0.6,3.0,2.0,0.0,3.0,0.0,1.0,3.0,33.3,2.0,3.0,0.0,3.0,1.0,4.0,2.0,0.0,59.0,78.0,75.6,743.0,122.0,42.0,48.0,87.5,11.0,16.0,68.8,4.0,5.0,80.0,0.0,0.2,0.2,-0.2,3.0,5.0,0.0,0.0,4.0,78.0,70.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,59.0,0.0,3.0,1.0,12.0,51.0,70.0,20.0,130.0,7.0,4.0,57.1,3.0,42.9,80.0,376.0,142.0,7.0,5.0,8.0,14.0,6.0,92.0,26.0,2.0,9.0,4.0,44.4,2.17,0.97,0.22,0.5,13.0,0.0,0.0,0.0,2.0,2.0,0.23,0.0,0.0,10.0,2.41,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700,35.0,23.6,7.8,6,66.0,0,14,22.0,2,1.25,14.0,13.0,1.0,0.13,0.13,12.3,9.0,3.4,0.43,0.13,1.0,0.0,0.0,10.0,12.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,9.0,5.0,13.0,27.8,,,,
2024-2025,24,Como,itITA,1.Serie A,9.0,373,2.0,0.0,,,,,,,,,9.0,373,2,0,3,373,4.1,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,0.2,2.2,7.0,4.0,26.0,0.48,0.0,0.48,0.48,0.48,0.49,0.04,0.54,0.49,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,41.0,12.2,4.1,3,87.0,2,6,19.0,1,1.89,6.0,5.0,1.0,0.24,0.41,7.0,5.9,1.1,0.26,0.18,,,,,,,,,,,,,,,,,,,,
