Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,19.0,Celta Vigo,esESP,1.La Liga,1.0,90,0.0,0.0,,,,,,,,,1.0,90,0.0,0.0,1.0,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90.0,2.6,1.0,1.0,90.0,1.0,0.0,,23.0,0.0,1.0,3.0,-2.0,-2.0,-1.62,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 385(£ 334, $422)","€ 20,000(£ 17,372, $21,920)",Estimación no verificada,https://fbref.com/es/jugadores/cde52ef5/Ivan-Villar
2017-2018,20.0,Levante,esESP,1.La Liga,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,59.0,86.0,68.6,1569.0,1269.0,15.0,15.0,100.0,27.0,27.0,100.0,17.0,44.0,38.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,49.0,37.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,80.0,96.0,0.0,0.0,0.0,96.0,0.0,0.0,,0.0,,44.0,192.0,94.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,4.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,,"€ 385(£ 334, $422)","€ 20,000(£ 17,372, $21,920)",Estimación no verificada,https://fbref.com/es/jugadores/cde52ef5/Ivan-Villar
2017-2018,20.0,Celta Vigo,esESP,1.La Liga,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,411.0,681.0,60.4,12070.0,9067.0,81.0,81.0,100.0,187.0,191.0,97.9,143.0,403.0,35.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,681.0,437.0,240.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,4.0,0.0,658.0,739.0,1.0,0.0,0.0,740.0,0.0,0.0,,0.0,,357.0,1835.0,1032.0,0.0,0.0,0.0,1.0,0.0,284.0,0.0,,,,,,,,,,,,,,,,,,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,5.0,0.0,100.0,"€ 385(£ 334, $422)","€ 20,000(£ 17,372, $21,920)",Estimación no verificada,https://fbref.com/es/jugadores/cde52ef5/Ivan-Villar
2018-2019,21.0,Celta Vigo,esESP,1.La Liga,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,,,,,"€ 5,192(£ 4,510, $5,691)","€ 270,000(£ 234,529, $295,914)",Estimación no verificada,https://fbref.com/es/jugadores/cde52ef5/Ivan-Villar
2019-2020,22.0,Celta Vigo,esESP,1.La Liga,4.0,280,0.0,0.0,,,,,,,,,4.0,280,0.0,0.0,3.0,280,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,414.0,599.0,69.1,11814.0,8420.0,65.0,67.0,97.0,227.0,233.0,97.4,122.0,292.0,41.8,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,1.0,599.0,376.0,216.0,59.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,7.0,0.0,553.0,626.0,5.0,0.0,0.0,630.0,0.0,0.0,,0.0,,318.0,1495.0,898.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,,,,,,,,,,,,,,,,,,5.0,0.26,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280,70.0,8.2,3.1,3.0,90.0,3.0,1.0,10.0,10.0,0.5,3.0,5.0,-2.0,-0.64,-0.36,3.1,3.5,-0.4,-0.11,0.05,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,1.0,66.7,"€ 5,192(£ 4,510, $5,691)","€ 270,000(£ 234,529, $295,914)",Estimación no verificada,https://fbref.com/es/jugadores/cde52ef5/Ivan-Villar
2020-2021,23.0,Celta Vigo,esESP,1.La Liga,21.0,"1,781",0.0,0.0,2.0,180.0,0.0,0.0,,,,,23.0,"1,961",0.0,0.0,19.0,"1,781",19.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,213.0,324.0,65.7,5988.0,4510.0,44.0,44.0,100.0,100.0,100.0,100.0,69.0,176.0,39.2,0.0,0.1,0.0,-0.1,1.0,4.0,0.0,0.0,0.0,324.0,196.0,125.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,3.0,1.0,314.0,348.0,0.0,0.0,0.0,348.0,0.0,0.0,,0.0,,173.0,844.0,550.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,,,,,,,,,,,,,,,,,,2.0,0.18,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,781",85.0,52.1,19.8,19.0,90.0,19.0,2.0,36.0,17.0,1.38,27.0,30.0,-3.0,-0.15,-0.21,23.4,30.6,-7.3,-0.37,-0.73,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19.0,1.0,0.0,100.0,"€ 19,038(£ 16,537, $20,866)","€ 990,000(£ 859,938, $1,085,018)",Estimación no verificada,https://fbref.com/es/jugadores/cde52ef5/Ivan-Villar
2021-2022,24.0,Leganés,esESP,2.La Liga 2,10.0,900,0.0,0.0,2.0,210.0,0.0,0.0,,,,,12.0,"1,110",0.0,0.0,10.0,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,95.0,117.0,81.2,1704.0,1111.0,30.0,30.0,100.0,44.0,44.0,100.0,10.0,32.0,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,76.0,41.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,118.0,128.0,2.0,0.0,0.0,130.0,0.0,0.0,,0.0,,60.0,269.0,172.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900,90.0,23.8,10.0,10.0,90.0,10.0,0.0,,19.0,0.9,10.0,17.0,-7.0,-0.7,-0.89,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0,"€ 19,038(£ 16,379, $20,818)","€ 990,000(£ 851,707, $1,082,526)",Estimación no verificada,https://fbref.com/es/jugadores/cde52ef5/Ivan-Villar
2022-2023,25.0,Celta Vigo,esESP,1.La Liga,19.0,"1,710",0.0,0.0,2.0,180.0,0.0,0.0,,,,,21.0,"1,890",0.0,0.0,19.0,"1,710",19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,710",90.0,50.0,19.0,19.0,90.0,19.0,0.0,,19.0,1.21,25.0,24.0,1.0,0.05,0.63,21.4,25.8,-4.4,-0.23,-0.31,,,,,,,,,,,,,,,,,"€ 6,154(£ 5,199, $6,613)","€ 320,000(£ 270,345, $343,886)",Estimación no verificada,https://fbref.com/es/jugadores/cde52ef5/Ivan-Villar
2023-2024,26.0,Celta Vigo,esESP,1.La Liga,12.0,"1,014",0.0,0.0,4.0,360.0,0.0,0.0,,,,,16.0,"1,374",0.0,0.0,12.0,"1,014",11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,014",85.0,29.6,11.3,12.0,85.0,11.0,0.0,,22.0,1.0,15.0,19.0,-4.0,-0.36,-0.09,15.4,15.6,-0.2,-0.02,0.12,,,,,,,,,,,,,,,,,"€ 20,000(£ 17,192, $22,714)","€ 1,040,000(£ 893,967, $1,181,140)",Estimación no verificada,https://fbref.com/es/jugadores/cde52ef5/Ivan-Villar
2024-2025,27.0,Celta Vigo,esESP,1.La Liga,4.0,360,0.0,0.0,4.0,390.0,0.0,0.0,,,,,8.0,750,0.0,0.0,4.0,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360,90.0,12.1,4.0,4.0,90.0,4.0,0.0,,29.0,1.5,10.0,9.0,1.0,0.25,0.25,6.5,7.0,-0.5,-0.13,-0.53,,,,,,,,,,,,,,,,,"€ 20,000(£ 17,192, $22,714)","€ 1,040,000(£ 893,967, $1,181,140)",Estimación no verificada,https://fbref.com/es/jugadores/cde52ef5/Ivan-Villar
