Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,23,Villanovense,esESP,Copa del Rey,,,,,2.0,141.0,0.0,0.0,,,,,2,141,0,0,27.0,"2,055",22.8,8.0,4.0,12.0,8.0,0.0,0.0,2.0,0.0,,,,,,,,0.35,0.18,0.53,0.35,0.53,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,23.0,,0.0,1.01,,0.35,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,055",60.0,54.4,22.8,27.0,,5.0,7.0,,2.0,1.42,30.0,25.0,5.0,0.22,-0.3,,,,,,2.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 4,423(£ 3,842, $4,848)","€ 230,000(£ 199,784, $252,075)",Estimación no verificada,https://fbref.com/es/jugadores/405f267a/Salvi
2015-2016,24,Cádiz,esESP,Copa del Rey,,,,,5.0,297.0,0.0,0.0,,,,,5,297,0,0,35.0,"2,907",32.3,4.0,6.0,10.0,4.0,0.0,0.0,2.0,0.0,,,,,,,,0.12,0.19,0.31,0.12,0.31,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,18.0,,0.0,0.56,,0.22,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,907",81.0,76.9,32.3,35.0,,22.0,1.0,,0.0,1.61,34.0,18.0,16.0,0.5,0.8,,,,,,2.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 4,423(£ 3,842, $4,848)","€ 230,000(£ 199,784, $252,075)",Estimación no verificada,https://fbref.com/es/jugadores/405f267a/Salvi
2016-2017,25,Cádiz,esESP,2.La Liga 2,34.0,"2,055",8.0,4.0,,,,,,,,,34,"2,055",8,4,18.0,"1,807",20.1,2.0,3.0,5.0,2.0,0.0,0.0,4.0,0.0,,,,,,,,0.1,0.15,0.25,0.1,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,807",56.0,49.0,20.1,18.0,77.0,9.0,14.0,31.0,1.0,1.44,25.0,17.0,8.0,0.4,-0.03,,,,,,4.0,0.0,0.0,,,,,,,,,0.0,,,,,"€ 5,769(£ 4,963, $6,308)","€ 300,000(£ 258,093, $328,038)",Estimación no verificada,https://fbref.com/es/jugadores/405f267a/Salvi
2017-2018,26,Cádiz,esESP,2.La Liga 2,36.0,"2,907",4.0,6.0,4.0,90.0,0.0,1.0,,,,,40,"2,997",4,7,30.0,"2,790",31.0,0.0,7.0,7.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,0.0,0.23,0.23,0.0,0.23,,,,,,,21.0,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,27.0,4.0,14.8,0.87,0.13,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,790",75.0,73.8,31.0,30.0,86.0,21.0,7.0,32.0,0.0,1.73,40.0,24.0,16.0,0.52,0.97,,,,,,3.0,1.0,0.0,25.0,39.0,8.0,227.0,28.0,21.0,,,0.0,,,,,"€ 23,077(£ 19,837, $26,209)","€ 1,200,000(£ 1,031,501, $1,362,854)",Estimación no verificada,https://fbref.com/es/jugadores/405f267a/Salvi
2018-2019,27,Cádiz,esESP,2.La Liga 2,32.0,"1,807",2.0,3.0,2.0,135.0,0.0,0.0,,,,,34,"1,942",2,3,25.0,"1,933",21.5,2.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,1.5,3.5,51.0,29.0,131.0,0.09,0.0,0.09,0.09,0.09,0.09,0.07,0.16,0.09,0.16,18.0,10.0,14.0,3.0,1.0,8.0,26.0,30.8,18.0,14.0,1.0,13.0,20.0,38.0,24.0,0.0,323.0,594.0,54.4,4685.0,1935.0,175.0,234.0,74.8,94.0,171.0,55.0,26.0,98.0,26.5,0.0,1.5,1.7,-1.5,18.0,13.0,20.0,15.0,29.0,594.0,501.0,91.0,14.0,0.0,1.0,141.0,51.0,26.0,6.0,18.0,0.0,323.0,2.0,41.0,29.0,184.0,251.0,364.0,24.0,785.0,33.0,12.0,36.4,21.0,63.6,404.0,2739.0,1156.0,51.0,32.0,4.0,49.0,23.0,462.0,131.0,2.0,17.0,5.0,29.4,0.79,0.23,0.12,0.4,19.2,0.0,0.0,0.0,2.0,2.0,0.12,0.0,0.0,34.0,1.58,18.0,9.0,1.0,0.0,5.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,"1,933",69.0,56.5,21.5,25.0,72.0,5.0,3.0,46.0,1.0,1.11,17.0,31.0,-14.0,-0.65,-0.17,15.4,31.4,-16.0,-0.74,-0.46,5.0,0.0,0.0,16.0,29.0,7.0,141.0,20.0,10.0,0.0,1.0,0.0,98.0,19.0,33.0,36.5,,,,
2019-2020,28,Cádiz,esESP,2.La Liga 2,37.0,"2,790",0.0,7.0,,,,,,,,,37,"2,790",0,7,17.0,"1,395",15.5,2.0,1.0,3.0,2.0,0.0,1.0,3.0,1.0,2.6,1.8,1.2,3.0,36.0,25.0,88.0,0.13,0.06,0.19,0.13,0.19,0.17,0.08,0.24,0.12,0.19,20.0,10.0,9.0,8.0,3.0,8.0,20.0,40.0,12.0,17.0,2.0,15.0,6.0,26.0,11.0,0.0,212.0,360.0,58.9,2930.0,1025.0,123.0,157.0,78.3,59.0,99.0,59.6,11.0,49.0,22.4,1.0,1.2,0.9,-0.2,8.0,14.0,15.0,9.0,25.0,360.0,339.0,19.0,3.0,2.0,1.0,65.0,14.0,2.0,0.0,2.0,0.0,212.0,2.0,16.0,20.0,108.0,180.0,222.0,29.0,497.0,16.0,9.0,56.3,7.0,43.8,267.0,2015.0,988.0,36.0,20.0,3.0,29.0,5.0,297.0,88.0,2.0,19.0,7.0,36.8,1.23,0.45,0.11,0.29,16.1,0.0,0.0,1.0,2.6,1.8,0.09,-0.6,0.2,24.0,1.55,15.0,1.0,0.0,7.0,1.0,0.0,3.0,0.19,1.0,0.0,0.0,2.0,0.0,0.0,"1,395",61.0,40.8,15.5,17.0,74.0,6.0,6.0,24.0,9.0,1.09,13.0,20.0,-7.0,-0.45,-0.05,15.0,21.1,-6.1,-0.39,-0.28,3.0,1.0,1.0,9.0,16.0,1.0,65.0,6.0,10.0,0.0,0.0,0.0,78.0,15.0,18.0,45.5,,,,
2020-2021,29,Cádiz,esESP,1.La Liga,28.0,"1,933",2.0,0.0,1.0,90.0,0.0,0.0,,,,,29,"2,023",2,0,4.0,490,5.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.7,1.4,27.0,13.0,51.0,0.0,0.0,0.0,0.0,0.0,0.14,0.12,0.26,0.14,0.26,13.0,8.0,5.0,5.0,3.0,2.0,8.0,25.0,6.0,0.0,0.0,0.0,2.0,15.0,2.0,0.0,119.0,208.0,57.2,1677.0,539.0,85.0,106.0,80.2,23.0,46.0,50.0,8.0,26.0,30.8,0.0,0.7,0.8,-0.7,7.0,7.0,8.0,5.0,13.0,208.0,188.0,16.0,0.0,1.0,0.0,37.0,15.0,1.0,0.0,1.0,0.0,119.0,4.0,20.0,4.0,31.0,81.0,145.0,18.0,254.0,9.0,3.0,33.3,6.0,66.7,139.0,920.0,459.0,27.0,14.0,3.0,9.0,6.0,162.0,51.0,0.0,9.0,3.0,33.3,1.65,0.55,0.0,0.0,17.2,0.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8,19.0,3.49,15.0,0.0,0.0,3.0,0.0,1.0,1.0,0.18,0.0,0.0,0.0,0.0,0.0,1.0,490,20.0,14.3,5.4,4.0,55.0,0.0,20.0,14.0,10.0,1.46,4.0,15.0,-11.0,-2.02,-2.11,6.4,11.1,-4.7,-0.86,-0.81,2.0,0.0,0.0,8.0,10.0,2.0,37.0,2.0,8.0,0.0,0.0,0.0,30.0,4.0,11.0,26.7,,,,
2021-2022,30,Cádiz,esESP,1.La Liga,23.0,"1,395",2.0,1.0,2.0,105.0,0.0,0.0,,,,,25,"1,500",2,1,0.0,28,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,12.0,83.3,139.0,17.0,4.0,4.0,100.0,4.0,5.0,80.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,9.0,4.0,0.0,14.0,1.0,1.0,100.0,0.0,0.0,14.0,102.0,47.0,2.0,2.0,0.0,0.0,2.0,13.0,2.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,28.0,0.8,0.3,0.0,,0.0,1.0,28.0,0.0,3.0,0.0,0.0,0.0,0.0,0.5,0.1,0.2,-0.1,-0.3,-0.24,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
2022-2023,31,Rayo Vallecano,esESP,1.La Liga,24.0,490,0.0,0.0,1.0,62.0,0.0,0.0,,,,,25,552,0,0,6.0,850,9.4,2.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,,,,,,,,0.21,0.11,0.32,0.21,0.32,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,4.0,40.0,1.06,0.42,0.2,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,850,35.0,22.5,9.4,6.0,61.0,0.0,18.0,27.0,11.0,1.64,16.0,9.0,7.0,0.74,0.37,,,,,,0.0,1.0,0.0,11.0,8.0,0.0,68.0,1.0,2.0,,,0.0,,,,,,,,
2023-2024,32,Rayo Vallecano,esESP,1.La Liga,1.0,28,0.0,0.0,,,,,,,,,1,28,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
