Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,17.0,Real Madrid,esESP,1.La Liga,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,0.0,0.0,0.96,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,1.0,,,,,,,,,,,,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,,,,,"€ 385(£ 334, $422)","€ 20,000(£ 17,372, $21,920)",Estimación no verificada,https://fbref.com/es/jugadores/64e8ed6d/Borja-Mayoral
2015-2016,18.0,Real Madrid,esESP,1.La Liga,6.0,282,0.0,0.0,,,,,,,,,6.0,282,0.0,0.0,3.0,282,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,12.0,4.0,33.3,2.78,0.93,0.17,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,282,47.0,8.2,3.1,3.0,73.0,0.0,3.0,21.0,4.0,2.5,6.0,3.0,3.0,0.96,-1.14,,,,,,1.0,0.0,0.0,4.0,9.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,,,,,"€ 3,654(£ 3,174, $4,005)","€ 190,000(£ 165,039, $208,236)",Estimación no verificada,https://fbref.com/es/jugadores/64e8ed6d/Borja-Mayoral
2016-2017,19.0,Wolfsburg,deGER,1.Bundesliga,19.0,388,2.0,0.0,2.0,53.0,0.0,0.0,,,,,21.0,441,2.0,0.0,3.0,388,4.3,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,0.46,0.0,0.46,0.46,0.46,,,,,,6.0,3.0,0.0,4.0,2.0,1.0,5.0,20.0,4.0,3.0,0.0,3.0,0.0,6.0,0.0,0.0,101.0,121.0,83.5,1192.0,191.0,74.0,84.0,88.1,17.0,20.0,85.0,3.0,5.0,60.0,1.0,0.1,0.3,0.9,2.0,4.0,3.0,0.0,11.0,121.0,113.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,1.0,2.0,1.0,8.0,72.0,83.0,22.0,159.0,9.0,7.0,77.8,2.0,22.2,112.0,546.0,224.0,8.0,4.0,3.0,7.0,7.0,121.0,17.0,3.0,15.0,10.0,66.7,3.91,2.61,0.2,0.3,10.9,0.0,0.0,0.0,3.1,3.1,0.21,-0.1,-0.1,6.0,1.57,5.0,0.0,0.0,1.0,0.0,0.0,2.0,0.52,2.0,0.0,0.0,0.0,0.0,0.0,388,20.0,12.7,4.3,3.0,,0.0,16.0,,6.0,1.05,6.0,7.0,-1.0,-0.23,0.34,,,,,,0.0,0.0,0.0,4.0,5.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,15.0,4.0,2.0,66.7,"€ 18,269(£ 15,869, $20,023)","€ 950,000(£ 825,193, $1,041,179)",Estimación no verificada,https://fbref.com/es/jugadores/64e8ed6d/Borja-Mayoral
2017-2018,20.0,Real Madrid,esESP,1.La Liga,14.0,345,3.0,1.0,6.0,450.0,3.0,1.0,4.0,141.0,1.0,0.0,24.0,936,7.0,2.0,3.0,345,3.8,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,3.1,3.1,0.1,3.3,8.0,11.0,17.0,0.78,0.26,1.04,0.78,1.04,0.82,0.03,0.85,0.82,0.85,9.0,4.0,1.0,6.0,2.0,5.0,16.0,31.3,11.0,10.0,1.0,9.0,5.0,14.0,5.0,0.0,318.0,398.0,79.9,4447.0,883.0,178.0,209.0,85.2,95.0,109.0,87.2,17.0,24.0,70.8,2.0,3.1,1.7,-1.1,20.0,21.0,11.0,2.0,38.0,398.0,380.0,16.0,1.0,2.0,6.0,5.0,4.0,0.0,0.0,0.0,0.0,318.0,2.0,11.0,8.0,40.0,255.0,265.0,62.0,548.0,42.0,23.0,54.8,19.0,45.2,365.0,2066.0,780.0,31.0,17.0,16.0,41.0,49.0,437.0,95.0,3.0,24.0,15.0,62.5,1.33,0.83,0.13,0.2,11.1,0.0,0.0,0.0,4.7,4.7,0.2,-1.7,-1.7,41.0,2.28,32.0,0.0,1.0,2.0,6.0,0.0,7.0,0.39,6.0,0.0,0.0,1.0,0.0,0.0,345,25.0,10.1,3.8,3.0,76.0,1.0,11.0,11.0,10.0,2.07,13.0,7.0,6.0,1.57,0.28,10.9,5.1,5.7,1.5,0.43,1.0,0.0,0.0,16.0,33.0,16.0,5.0,5.0,4.0,0.0,0.0,0.0,64.0,21.0,45.0,31.8,"€ 19,038(£ 16,537, $20,866)","€ 990,000(£ 859,938, $1,085,018)",Estimación no verificada,https://fbref.com/es/jugadores/64e8ed6d/Borja-Mayoral
2018-2019,21.0,Real Madrid,esESP,1.La Liga,,,,,,,,,1.0,19.0,0.0,0.0,1.0,19,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,3.0,4.0,6.0,2.0,2.0,13.0,15.4,11.0,11.0,0.0,11.0,4.0,16.0,6.0,0.0,445.0,575.0,77.4,6220.0,1307.0,287.0,338.0,84.9,98.0,129.0,76.0,34.0,55.0,61.8,2.0,2.7,2.1,-0.7,24.0,36.0,19.0,3.0,52.0,575.0,549.0,26.0,1.0,2.0,9.0,19.0,4.0,0.0,0.0,0.0,0.0,445.0,0.0,17.0,15.0,66.0,349.0,337.0,80.0,746.0,47.0,27.0,57.4,20.0,42.6,488.0,2696.0,982.0,38.0,20.0,14.0,37.0,42.0,604.0,148.0,8.0,47.0,20.0,42.6,1.98,0.84,0.17,0.4,13.4,0.0,0.0,0.0,10.1,10.1,0.21,-2.1,-2.1,65.0,2.73,49.0,1.0,6.0,6.0,3.0,0.0,12.0,0.5,6.0,0.0,3.0,2.0,1.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,,2.0,0.0,0.0,18.0,26.0,14.0,19.0,4.0,3.0,0.0,0.0,0.0,63.0,33.0,57.0,36.7,"€ 19,231(£ 16,704, $21,077)","€ 1,000,000(£ 868,625, $1,095,978)",Estimación no verificada,https://fbref.com/es/jugadores/64e8ed6d/Borja-Mayoral
2018-2019,21.0,Levante,esESP,1.La Liga,29.0,"1,621",3.0,2.0,4.0,330.0,2.0,0.0,,,,,33.0,"1,951",5.0,2.0,16.0,"1,621",18.0,3.0,2.0,5.0,3.0,0.0,0.0,1.0,0.0,4.7,4.7,3.1,7.8,31.0,38.0,95.0,0.17,0.11,0.28,0.17,0.28,0.26,0.17,0.43,0.26,0.43,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,60.0,48.0,0.0,0.0,0.0,,3.0,4.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,3.0,6.0,3.0,10.0,0.0,0.0,,0.0,,6.0,24.0,0.0,0.0,0.0,0.0,3.0,0.0,7.0,5.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,621",56.0,47.4,18.0,16.0,86.0,10.0,13.0,19.0,5.0,1.0,28.0,34.0,-6.0,-0.33,-0.28,24.7,37.7,-13.0,-0.72,-0.26,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,"€ 19,231(£ 16,704, $21,077)","€ 1,000,000(£ 868,625, $1,095,978)",Estimación no verificada,https://fbref.com/es/jugadores/64e8ed6d/Borja-Mayoral
2019-2020,22.0,Levante,esESP,1.La Liga,34.0,"2,140",8.0,2.0,1.0,32.0,0.0,0.0,,,,,35.0,"2,172",8.0,2.0,24.0,"2,140",23.8,8.0,2.0,10.0,8.0,0.0,0.0,2.0,0.0,10.1,10.1,2.7,12.7,38.0,52.0,148.0,0.34,0.08,0.42,0.34,0.42,0.42,0.11,0.54,0.42,0.54,3.0,2.0,0.0,0.0,3.0,1.0,10.0,10.0,9.0,5.0,0.0,5.0,0.0,3.0,5.0,2.0,291.0,372.0,78.2,4520.0,668.0,169.0,205.0,82.4,77.0,96.0,80.2,28.0,34.0,82.4,3.0,1.5,1.2,1.5,23.0,19.0,10.0,0.0,35.0,372.0,342.0,30.0,2.0,0.0,7.0,7.0,2.0,1.0,0.0,0.0,0.0,291.0,0.0,11.0,6.0,24.0,215.0,269.0,73.0,504.0,22.0,10.0,45.5,12.0,54.5,305.0,1558.0,651.0,27.0,16.0,13.0,39.0,23.0,425.0,113.0,10.0,40.0,15.0,37.5,2.32,0.87,0.25,0.67,14.6,0.0,0.0,0.0,6.8,6.8,0.17,3.2,3.2,50.0,2.9,36.0,0.0,4.0,8.0,2.0,0.0,7.0,0.41,3.0,0.0,2.0,1.0,1.0,0.0,"2,140",63.0,62.6,23.8,24.0,79.0,7.0,10.0,25.0,4.0,1.15,33.0,32.0,1.0,0.04,0.53,31.8,33.1,-1.3,-0.06,0.89,1.0,0.0,0.0,10.0,28.0,13.0,7.0,0.0,2.0,1.0,0.0,0.0,27.0,15.0,51.0,22.7,"€ 19,231(£ 16,704, $21,077)","€ 1,000,000(£ 868,625, $1,095,978)",Estimación no verificada,https://fbref.com/es/jugadores/64e8ed6d/Borja-Mayoral
2020-2021,23.0,Real Madrid,esESP,1.La Liga,2.0,23,0.0,0.0,,,,,,,,,2.0,23,0.0,0.0,0.0,23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,39.0,66.7,393.0,41.0,18.0,23.0,78.3,5.0,7.0,71.4,1.0,3.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0,38.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,26.0,0.0,2.0,0.0,2.0,21.0,25.0,4.0,47.0,4.0,1.0,25.0,3.0,75.0,26.0,81.0,15.0,0.0,1.0,0.0,2.0,0.0,40.0,8.0,0.0,1.0,0.0,0.0,0.94,0.0,0.0,,14.3,0.0,0.0,0.0,0.3,0.3,0.31,-0.3,-0.3,1.0,0.93,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,12.0,0.7,0.3,0.0,,0.0,2.0,12.0,1.0,3.0,1.0,0.0,1.0,3.91,2.91,1.5,0.1,1.3,5.27,4.67,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,"€ 56,731(£ 49,278, $62,176)","€ 2,950,000(£ 2,562,443, $3,233,136)",,https://fbref.com/es/jugadores/64e8ed6d/Borja-Mayoral
2020-2021,23.0,Roma,itITA,1.Serie A,31.0,"1,551",10.0,3.0,1.0,90.0,0.0,1.0,13.0,661.0,7.0,2.0,45.0,"2,302",17.0,6.0,18.0,"1,551",17.2,10.0,3.0,13.0,10.0,0.0,0.0,1.0,0.0,6.8,6.8,1.5,8.4,27.0,35.0,113.0,0.58,0.17,0.75,0.58,0.75,0.4,0.09,0.49,0.4,0.49,7.0,5.0,2.0,3.0,2.0,1.0,2.0,50.0,1.0,10.0,4.0,6.0,4.0,11.0,3.0,0.0,189.0,260.0,72.7,2573.0,547.0,110.0,138.0,79.7,45.0,62.0,72.6,14.0,19.0,73.7,1.0,1.2,0.5,-0.2,13.0,11.0,6.0,2.0,24.0,260.0,243.0,17.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,189.0,0.0,8.0,7.0,30.0,185.0,160.0,44.0,368.0,29.0,14.0,48.3,15.0,51.7,206.0,1035.0,451.0,21.0,11.0,10.0,26.0,16.0,256.0,55.0,6.0,16.0,6.0,37.5,1.38,0.52,0.31,0.83,16.6,0.0,1.0,1.0,2.6,1.8,0.11,3.4,3.2,31.0,2.67,26.0,0.0,2.0,2.0,1.0,0.0,7.0,0.6,4.0,0.0,2.0,1.0,0.0,0.0,"1,551",50.0,45.4,17.2,18.0,78.0,5.0,13.0,11.0,4.0,1.74,34.0,24.0,10.0,0.58,0.58,30.7,22.1,8.5,0.5,-0.04,3.0,0.0,0.0,13.0,20.0,4.0,7.0,4.0,5.0,0.0,0.0,0.0,47.0,21.0,30.0,41.2,"€ 56,731(£ 49,278, $62,176)","€ 2,950,000(£ 2,562,443, $3,233,136)",,https://fbref.com/es/jugadores/64e8ed6d/Borja-Mayoral
2021-2022,24.0,Roma,itITA,1.Serie A,5.0,96,0.0,0.0,,,,,5.0,150.0,1.0,1.0,10.0,246,1.0,1.0,1.0,96,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.29,0.29,0.29,9.0,4.0,7.0,2.0,0.0,5.0,31.0,16.1,26.0,18.0,0.0,18.0,3.0,12.0,10.0,0.0,582.0,775.0,75.1,8629.0,1623.0,332.0,397.0,83.6,161.0,211.0,76.3,51.0,71.0,71.8,2.0,2.7,3.4,-0.7,22.0,35.0,21.0,4.0,64.0,775.0,737.0,37.0,0.0,2.0,11.0,37.0,3.0,1.0,0.0,0.0,0.0,582.0,1.0,31.0,15.0,106.0,495.0,449.0,118.0,1038.0,70.0,27.0,38.6,35.0,50.0,639.0,3327.0,1531.0,58.0,35.0,25.0,63.0,54.0,763.0,166.0,8.0,50.0,19.0,38.0,1.63,0.62,0.16,0.42,14.6,0.0,0.0,2.0,7.9,6.3,0.13,0.1,1.7,58.0,1.89,43.0,0.0,4.0,4.0,7.0,0.0,3.0,0.1,2.0,0.0,1.0,0.0,0.0,0.0,96,19.0,2.8,1.1,1.0,63.0,0.0,4.0,8.0,11.0,1.2,2.0,0.0,2.0,1.87,1.5,2.7,1.1,1.6,1.48,0.8,4.0,0.0,0.0,16.0,38.0,11.0,37.0,3.0,4.0,1.0,0.0,0.0,105.0,36.0,84.0,30.0,"€ 92,115(£ 80,014, $100,956)","€ 4,790,000(£ 4,160,712, $5,249,736)",,https://fbref.com/es/jugadores/64e8ed6d/Borja-Mayoral
