Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,22,Alcorcón,esESP,2.La Liga 2,24,"1,961",1,0,,,,,,,,,24,"1,961",1,0,23,"1,961",21.8,1,0,1,1,0,0,7,2,,,,,,,,0.05,0.0,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,0.14,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,961",82,51.9,21.8,23,,20,1,,1,1.33,18,20,-2,-0.09,0.06,,,,,,7,2,,,,,,,,,,,,,,,"€ 14,808(£ 12,862, $16,229)","€ 770,000(£ 668,841, $843,903)",Estimación no verificada,https://fbref.com/es/jugadores/a4971d84/Djene
2015-2016,23,Alcorcón,esESP,2.La Liga 2,35,"3,129",0,3,,,,,,,,,35,"3,129",0,3,35,"3,129",34.8,0,3,3,0,0,0,17,1,,,,,,,,0.0,0.09,0.09,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5,,,0.14,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,129",89,82.8,34.8,35,,34,0,,0,1.63,38,28,10,0.29,1.12,,,,,,17,1,,41.0,,,,,,,,,,,,,"€ 41,923(£ 36,415, $45,947)","€ 2,180,000(£ 1,893,602, $2,389,232)",Estimación no verificada,https://fbref.com/es/jugadores/a4971d84/Djene
2016-2017,24,Sint-Truiden,beBEL,1.First Division A,26,"2,134",0,0,,,,,,,,,26,"2,134",0,0,24,"2,134",23.7,0,0,0,0,0,0,7,2,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,2,,0.0,0.08,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,134",82,79.0,23.7,24,,15,2,,5,1.05,22,25,-3,-0.13,-1.08,,,,,,7,2,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 42,308(£ 36,750, $46,368)","€ 2,200,000(£ 1,910,974, $2,411,152)",Estimación no verificada,https://fbref.com/es/jugadores/a4971d84/Djene
2017-2018,25,Getafe,esESP,1.La Liga,36,"3,239",1,0,,,,,,,,,36,"3,239",1,0,36,"3,239",36.0,1,0,1,1,0,0,9,0,0.7,0.7,0.2,0.9,17.0,60.0,15.0,0.03,0.0,0.03,0.03,0.03,0.02,0.01,0.03,0.02,0.03,87.0,65.0,71.0,15.0,1.0,34.0,52.0,65.4,18.0,33.0,14.0,19.0,78.0,165.0,190.0,1.0,688.0,992.0,69.4,14079.0,6009.0,225.0,269.0,83.6,346.0,443.0,78.1,107.0,240.0,44.6,0,0.2,0.5,-0.2,3.0,47.0,4.0,1.0,60.0,992.0,925.0,56.0,52.0,2.0,8.0,10.0,4.0,0.0,0.0,0.0,0.0,688.0,11.0,9.0,219.0,799.0,557.0,66.0,24.0,1402.0,33.0,30.0,90.9,4.0,12.1,567.0,3329.0,1625.0,17.0,10.0,2.0,21.0,13.0,471.0,15.0,1,11.0,2,18.2,0.31,0.06,0.09,0.5,15.3,0.0,0,0,0.7,0.7,0.07,0.3,0.3,12.0,0.33,9.0,0.0,1.0,1.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,"3,239",90,94.7,36.0,36,90.0,35,0,,0,1.44,41,32,9,0.25,0.25,45.3,38.4,6.9,0.19,-0.6,9,0,0.0,52.0,26.0,1.0,10.0,78.0,65.0,1.0,1.0,0.0,245.0,70.0,52.0,57.4,"€ 42,308(£ 36,750, $46,368)","€ 2,200,000(£ 1,910,974, $2,411,152)",Estimación no verificada,https://fbref.com/es/jugadores/a4971d84/Djene
2018-2019,26,Getafe,esESP,1.La Liga,34,"2,976",0,0,4.0,275.0,0.0,0.0,,,,,38,"3,251",0,0,34,"2,976",33.1,0,0,0,0,0,0,13,2,0.7,0.7,0.2,0.9,17.0,81.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,54.0,34.0,43.0,11.0,0.0,26.0,43.0,60.5,17.0,27.0,11.0,16.0,74.0,128.0,154.0,3.0,705.0,991.0,71.1,15319.0,6000.0,193.0,257.0,75.1,385.0,475.0,81.1,119.0,222.0,53.6,0,0.2,0.4,-0.2,5.0,62.0,8.0,2.0,81.0,991.0,954.0,32.0,28.0,0.0,17.0,8.0,4.0,0.0,0.0,0.0,0.0,705.0,5.0,19.0,181.0,641.0,649.0,76.0,20.0,1348.0,19.0,16.0,84.2,3.0,15.8,500.0,3162.0,1543.0,17.0,9.0,2.0,18.0,11.0,414.0,11.0,0,12.0,1,8.3,0.36,0.03,0.0,0.0,15.8,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7,22.0,0.67,14.0,2.0,3.0,0.0,2.0,1.0,4.0,0.12,1.0,0.0,1.0,0.0,2.0,0.0,"2,976",88,87.0,33.1,34,88.0,29,0,,0,1.65,45,31,14,0.42,0.63,40.7,36.0,4.6,0.14,0.55,13,2,1.0,51.0,30.0,0.0,8.0,74.0,34.0,1.0,3.0,0.0,265.0,87.0,71.0,55.1,"€ 42,308(£ 36,398, $46,262)","€ 2,200,000(£ 1,892,683, $2,405,613)",Estimación no verificada,https://fbref.com/es/jugadores/a4971d84/Djene
2019-2020,27,Getafe,esESP,1.La Liga,34,"3,060",0,0,,,,,7.0,630.0,0.0,0.0,41,"3,690",0,0,34,"3,060",34.0,0,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,20.0,98.0,7.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,42.0,32.0,27.0,15.0,0.0,17.0,30.0,56.7,13.0,20.0,7.0,13.0,34.0,76.0,105.0,1.0,711.0,1031.0,69.0,15530.0,6645.0,196.0,255.0,76.9,376.0,477.0,78.8,131.0,262.0,50.0,0,0.2,0.4,-0.2,6.0,75.0,6.0,3.0,98.0,1031.0,983.0,44.0,39.0,2.0,10.0,10.0,5.0,0.0,0.0,0.0,0.0,711.0,4.0,13.0,130.0,620.0,641.0,57.0,14.0,1305.0,18.0,14.0,77.8,4.0,22.2,492.0,3242.0,1563.0,20.0,6.0,1.0,18.0,8.0,432.0,7.0,0,5.0,1,20.0,0.15,0.03,0.0,0.0,12.3,0.0,0,0,0.3,0.3,0.06,-0.3,-0.3,13.0,0.38,9.0,2.0,0.0,2.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,"3,060",90,89.5,34.0,34,90.0,34,0,,0,1.38,37,34,3,0.09,-0.66,35.5,37.7,-2.1,-0.06,-0.64,5,0,0.0,41.0,25.0,1.0,10.0,34.0,32.0,0.0,2.0,1.0,228.0,86.0,63.0,57.7,"€ 42,308(£ 35,743, $45,466)","€ 2,200,000(£ 1,858,624, $2,364,218)",Estimación no verificada,https://fbref.com/es/jugadores/a4971d84/Djene
2020-2021,28,Getafe,esESP,1.La Liga,34,"2,941",0,1,2.0,84.0,0.0,0.0,,,,,36,"3,025",0,1,34,"2,941",32.7,0,1,1,0,0,0,8,2,0.2,0.2,0.4,0.5,11.0,71.0,11.0,0.0,0.03,0.03,0.0,0.03,0.01,0.01,0.02,0.01,0.02,61.0,39.0,31.0,26.0,4.0,26.0,34.0,76.5,8.0,24.0,11.0,13.0,42.0,103.0,96.0,0.0,757.0,1042.0,72.6,15294.0,5697.0,240.0,294.0,81.6,397.0,501.0,79.2,109.0,207.0,52.7,1,0.4,0.3,0.6,6.0,51.0,3.0,1.0,71.0,1042.0,965.0,74.0,51.0,0.0,5.0,10.0,23.0,0.0,0.0,0.0,0.0,757.0,3.0,6.0,146.0,573.0,695.0,80.0,8.0,1321.0,15.0,13.0,86.7,2.0,13.3,563.0,3230.0,1548.0,11.0,13.0,3.0,19.0,12.0,469.0,11.0,0,2.0,0,0.0,0.06,0.0,0.0,,9.9,0.0,0,0,0.2,0.2,0.09,-0.2,-0.2,16.0,0.49,12.0,0.0,1.0,0.0,2.0,1.0,3.0,0.09,1.0,0.0,1.0,0.0,1.0,0.0,"2,941",87,86.0,32.7,34,87.0,30,0,,0,1.09,28,35,-7,-0.21,1.29,32.3,33.4,-1.1,-0.03,0.86,8,2,1.0,35.0,36.0,1.0,10.0,42.0,39.0,1.0,2.0,0.0,236.0,67.0,39.0,63.2,"€ 42,308(£ 36,367, $48,049)","€ 2,200,000(£ 1,891,085, $2,498,566)",Estimación no verificada,https://fbref.com/es/jugadores/a4971d84/Djene
2021-2022,29,Getafe,esESP,1.La Liga,35,"3,115",0,1,,,,,,,,,35,"3,115",0,1,35,"3,115",34.6,0,1,1,0,0,0,11,1,0.1,0.1,0.4,0.6,24.0,89.0,9.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.02,0.0,0.02,44.0,26.0,24.0,16.0,4.0,23.0,34.0,67.6,11.0,24.0,5.0,19.0,59.0,103.0,109.0,2.0,1031.0,1348.0,76.5,19481.0,7885.0,404.0,442.0,91.4,491.0,597.0,82.2,119.0,259.0,45.9,1,0.4,1.1,0.6,10.0,74.0,8.0,4.0,89.0,1348.0,1309.0,38.0,33.0,1.0,6.0,22.0,5.0,0.0,0.0,0.0,0.0,1031.0,1.0,26.0,187.0,779.0,782.0,101.0,12.0,1653.0,18.0,18.0,100.0,0.0,0.0,918.0,4227.0,2118.0,24.0,21.0,0.0,32.0,9.0,879.0,9.0,0,4.0,1,25.0,0.12,0.03,0.0,0.0,19.0,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,29.0,0.84,21.0,1.0,2.0,1.0,2.0,2.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0,"3,115",89,91.1,34.6,35,89.0,33,0,,0,1.0,30,37,-7,-0.2,0.09,26.9,32.3,-5.4,-0.16,1.01,11,1,0.0,47.0,36.0,1.0,22.0,59.0,26.0,0.0,2.0,0.0,222.0,52.0,31.0,62.7,,,,
2022-2023,30,Getafe,esESP,1.La Liga,33,"2,840",0,1,3.0,274.0,0.0,0.0,,,,,36,"3,114",0,1,33,"2,840",31.6,0,1,1,0,0,0,10,1,0.6,0.6,0.7,1.2,11.0,77.0,20.0,0.0,0.03,0.03,0.0,0.03,0.02,0.02,0.04,0.02,0.04,41.0,28.0,23.0,17.0,1.0,22.0,38.0,57.9,16.0,25.0,10.0,15.0,42.0,83.0,81.0,1.0,884.0,1154.0,76.6,16135.0,6389.0,361.0,404.0,89.4,411.0,484.0,84.9,96.0,206.0,46.6,1,0.7,1.4,0.3,7.0,72.0,13.0,10.0,77.0,1154.0,1094.0,52.0,31.0,1.0,4.0,23.0,21.0,0.0,0.0,0.0,0.0,884.0,8.0,21.0,117.0,599.0,716.0,120.0,11.0,1418.0,28.0,18.0,64.3,3.0,10.7,754.0,3584.0,1725.0,11.0,17.0,0.0,22.0,15.0,745.0,20.0,0,9.0,1,11.1,0.29,0.03,0.0,0.0,15.3,0.0,0,0,0.6,0.6,0.06,-0.6,-0.6,31.0,0.98,23.0,2.0,2.0,1.0,3.0,0.0,7.0,0.22,7.0,0.0,0.0,0.0,0.0,0.0,"2,840",86,83.0,31.6,33,86.0,29,0,,0,1.03,27,39,-12,-0.38,-0.54,30.8,35.5,-4.7,-0.15,0.58,10,1,0.0,49.0,38.0,1.0,23.0,42.0,28.0,0.0,2.0,0.0,204.0,53.0,30.0,63.9,,,,
2023-2024,31,Getafe,esESP,1.La Liga,33,"2,484",0,0,1.0,90.0,0.0,0.0,,,,,34,"2,574",0,0,30,"2,484",27.6,0,0,0,0,0,0,14,1,0.1,0.1,0.3,0.4,13.0,98.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02,34.0,19.0,18.0,13.0,3.0,15.0,26.0,57.7,11.0,31.0,15.0,16.0,23.0,57.0,70.0,0.0,861.0,1121.0,76.8,15810.0,5814.0,335.0,386.0,86.8,415.0,505.0,82.2,92.0,182.0,50.5,0,0.3,0.7,-0.3,7.0,64.0,11.0,5.0,98.0,1121.0,1049.0,69.0,21.0,0.0,4.0,30.0,48.0,0.0,0.0,0.0,0.0,861.0,3.0,14.0,112.0,510.0,704.0,169.0,12.0,1363.0,25.0,18.0,72.0,3.0,12.0,661.0,3334.0,1637.0,13.0,14.0,1.0,24.0,13.0,690.0,19.0,0,6.0,1,16.7,0.22,0.04,0.0,0.0,23.2,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,22.0,0.8,19.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,484",75,72.6,27.6,30,79.0,18,3,36.0,0,1.18,28,33,-5,-0.18,0.49,31.2,36.7,-5.5,-0.2,0.05,14,1,1.0,51.0,37.0,1.0,30.0,23.0,19.0,0.0,1.0,0.0,175.0,37.0,29.0,56.1,,,,
