Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2008-2009,18,Ajax,nlNED,1.Eredivisie,5,135,0,0,,,,,1.0,44,0.0,,6,179,0,0,0,135,1.5,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,135,27,4.4,1.5,0,,,5,,,,,,,,,,,,,,0,0,,1.0,,,,,,,,,,,,,"£ 75,000(€ 86,335, $94,635)","£ 3,900,000(€ 4,489,422, $4,921,036)",Estimación no verificada,https://fbref.com/es/jugadores/691bef82/Daley-Blind
2009-2010,19,Groningen,nlNED,1.Eredivisie,17,"1,439",0,1,,,,,,,,,17,"1,439",0,1,16,"1,439",16.0,0,1,1,0,0,0,0,0,,,,,,,,0.0,0.06,0.06,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4,,,0.25,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,439",85,47.0,16.0,16,,15.0,1,,,,,,,,,,,,,,0,0,,24.0,,,,,,,,,,,,,"£ 75,000(€ 86,335, $94,635)","£ 3,900,000(€ 4,489,422, $4,921,036)",Estimación no verificada,https://fbref.com/es/jugadores/691bef82/Daley-Blind
2010-2011,20,Ajax,nlNED,1.Eredivisie,10,712,0,0,,,,,4.0,304,0.0,0.0,14,"1,016",0,0,8,712,7.9,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,712,71,23.3,7.9,8,,7.0,2,,,,,,,,,,,,,,0,0,,10.0,,,,,,,,,,,,,"£ 75,000(€ 86,335, $94,635)","£ 3,900,000(€ 4,489,422, $4,921,036)",Estimación no verificada,https://fbref.com/es/jugadores/691bef82/Daley-Blind
2011-2012,21,Ajax,nlNED,1.Eredivisie,21,"1,519",0,1,,,,,3.0,124,0.0,0.0,24,"1,643",0,1,16,"1,519",16.9,0,1,1,0,0,0,0,0,,,,,,,,0.0,0.06,0.06,0.0,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.06,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,519",72,49.6,16.9,16,,13.0,5,,,,,,,,,,,,,,0,0,,24.0,,,,,,,,,,,,,"£ 75,000(€ 86,335, $94,635)","£ 3,900,000(€ 4,489,422, $4,921,036)",Estimación no verificada,https://fbref.com/es/jugadores/691bef82/Daley-Blind
2012-2013,22,Ajax,nlNED,1.Eredivisie,34,"2,882",2,2,,,,,8.0,750,0.0,0.0,42,"3,632",2,2,32,"2,882",32.0,2,2,4,2,0,0,4,0,,,,,,,,0.06,0.06,0.12,0.06,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,13,,,0.41,,0.15,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,882",85,94.2,32.0,32,,28.0,2,,,,,,,,,,,,,,4,0,,30.0,,,,,,,,,,,,,"€ 38,462(£ 33,089, $42,056)","€ 2,000,000(£ 1,720,621, $2,186,921)",Estimación no verificada,https://fbref.com/es/jugadores/691bef82/Daley-Blind
2013-2014,23,Jong Ajax,nlNED,2.Eerste Divisie,1,45,0,0,,,,,,,,,1,45,0,0,1,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,45,45,1.3,0.5,1,,,0,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 34,231(£ 28,919, $36,786)","€ 1,780,000(£ 1,503,796, $1,912,868)",Estimación no verificada,https://fbref.com/es/jugadores/691bef82/Daley-Blind
2013-2014,23,Ajax,nlNED,1.Eredivisie,29,"2,528",1,1,,,,,8.0,708,0.0,0.0,37,"3,236",1,1,29,"2,528",28.1,1,1,2,1,0,0,4,0,,,,,,,,0.04,0.04,0.07,0.04,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,,,0.25,,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,528",87,82.6,28.1,29,,24.0,0,,,,,,,,,,,,,,4,0,,30.0,,,,,,,,,,,,,"€ 34,231(£ 29,424, $38,876)","€ 1,780,000(£ 1,530,059, $2,021,567)",Estimación no verificada,https://fbref.com/es/jugadores/691bef82/Daley-Blind
2014-2015,24,Ajax,nlNED,1.Eredivisie,3,198,0,1,,,,,,,,,3,198,0,1,2,198,2.2,0,1,1,0,0,0,0,0,,,,,,,,0.0,0.45,0.45,0.0,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,198,66,6.5,2.2,2,,1.0,1,,0.0,2.0,5.0,5.0,0.0,0.0,-1.26,,,,,,0,0,,3.0,,,,,,,,,,,,,,,,
2014-2015,24,Manchester Utd,engENG,1.Premier League,25,"2,169",2,2,4.0,354.0,0.0,0.0,,,,,29,"2,523",2,2,25,"2,169",24.1,2,2,4,2,0,0,4,0,,,,,,,,0.08,0.08,0.17,0.08,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,9,,,0.37,,0.22,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,169",87,63.4,24.1,25,,22.0,0,,0.0,1.88,41.0,27.0,14.0,0.58,-0.21,,,,,,4,0,,25.0,,,,,,,,,,,,,,,,
2015-2016,25,Manchester Utd,engENG,1.Premier League,35,"3,114",1,1,9.0,870.0,1.0,1.0,10.0,837,0.0,1.0,54,"4,821",2,3,35,"3,114",34.6,1,1,2,1,0,0,2,0,,,,,,,,0.03,0.03,0.06,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,0.06,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,114",89,91.1,34.6,35,,32.0,0,,2.0,1.69,44.0,35.0,9.0,0.26,-1.21,,,,,,2,0,,27.0,,,,,,,,,,,,,,,,
