Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,18,Dynamo Kyiv,uaUKR,1.Premier League,20,898,3,0,,,,,6.0,262.0,1.0,1.0,26,"1,160",4,1,11,898,10.0,3,0,3,3,0,0,0,0,,,,,,,,0.3,0.0,0.3,0.3,0.3,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,6.0,,0.0,0.6,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,898,45,31.2,10.0,11,,0,9,,4,2.0,24,11,13,1.3,0.26,,,,,,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,"€ 26,923(£ 23,162, $29,439)","€ 1,400,000(£ 1,204,434, $1,530,845)",Estimación no verificada,https://fbref.com/es/jugadores/f7e87032/Viktor-Tsyhankov
2017-2018,19,Dynamo Kyiv,uaUKR,1.Premier League,27,"2,165",13,9,,,,,8.0,649.0,3.0,3.0,35,"2,814",16,12,24,"2,165",24.1,13,9,22,11,2,2,2,0,,,,,,,,0.54,0.37,0.91,0.46,0.83,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.0,33.0,,0.0,1.37,,0.33,,,2,2,,,,,,,,,,,,,,,,,,,,,,"2,165",80,77.6,24.1,24,,16,3,,1,2.52,52,15,37,1.54,1.25,,,,,,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,"€ 26,923(£ 22,745, $28,933)","€ 1,400,000(£ 1,182,761, $1,504,503)",Estimación no verificada,https://fbref.com/es/jugadores/f7e87032/Viktor-Tsyhankov
2018-2019,20,Dynamo Kyiv,uaUKR,1.Premier League,31,"2,648",18,10,,,,,9.0,802.0,2.0,4.0,40,"3,450",20,14,30,"2,648",29.4,18,10,28,11,7,7,4,0,,,,,,,,0.61,0.34,0.95,0.37,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,"2,648",85,91.9,29.4,30,87.0,26,1,45.0,0,2.23,51,16,35,1.19,0.8,,,,,,4,0,0,,,,,,,,,0,,,,,"€ 26,923(£ 23,143, $30,577)","€ 1,400,000(£ 1,203,418, $1,589,997)",Estimación no verificada,https://fbref.com/es/jugadores/f7e87032/Viktor-Tsyhankov
2019-2020,21,Dynamo Kyiv,uaUKR,1.Premier League,27,"2,053",14,5,,,,,6.0,539.0,2.0,3.0,33,"2,592",16,8,21,"2,053",22.8,14,5,19,10,4,5,3,0,,,,,,,,0.61,0.22,0.83,0.44,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,,"2,053",76,71.3,22.8,21,88.0,19,6,34.0,0,1.85,46,22,24,1.05,0.4,,,,,,3,0,0,,,,,,,,,0,,,,,"€ 26,923(£ 23,143, $30,577)","€ 1,400,000(£ 1,203,418, $1,589,997)",Estimación no verificada,https://fbref.com/es/jugadores/f7e87032/Viktor-Tsyhankov
2020-2021,22,Dynamo Kyiv,uaUKR,1.Premier League,20,"1,395",12,4,,,,,9.0,737.0,2.0,1.0,29,"2,132",14,5,15,"1,395",15.5,12,4,16,8,4,4,1,0,,,,,,,,0.77,0.26,1.03,0.52,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,"1,395",70,59.6,15.5,15,84.0,10,5,28.0,0,2.35,34,12,22,1.42,-0.68,,,,,,1,0,0,,,,,,,,,0,,,,,"€ 26,923(£ 23,143, $30,577)","€ 1,400,000(£ 1,203,418, $1,589,997)",Estimación no verificada,https://fbref.com/es/jugadores/f7e87032/Viktor-Tsyhankov
2021-2022,23,Dynamo Kyiv,uaUKR,1.Premier League,18,"1,468",11,2,,,,,6.0,486.0,0.0,1.0,24,"1,954",11,3,17,"1,468",16.3,11,2,13,6,5,6,1,0,,,,,,,,0.67,0.12,0.8,0.37,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,"1,468",82,90.6,16.3,17,84.0,9,1,45.0,0,2.5,39,8,31,1.9,-2.24,,,,,,1,0,0,,,,,,,,,0,,,,,,,,
2022-2023,24,Dynamo Kyiv,uaUKR,1.Premier League,13,"1,163",6,5,,,,,6.0,530.0,2.0,0.0,19,"1,693",8,5,13,"1,163",12.9,6,5,11,4,2,4,1,0,,,,,,,,0.46,0.39,0.85,0.31,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,"1,163",89,43.1,12.9,13,89.0,12,0,,0,2.31,22,7,15,1.16,0.52,,,,,,1,0,0,,,,,,,,,0,,,,,,,,
2022-2023,24,Girona,esESP,1.La Liga,19,"1,489",3,6,,,,,,,,,19,"1,489",3,6,17,"1,489",16.5,3,6,9,3,0,0,0,0,2.8,2.8,2.9,5.7,63.0,46.0,120.0,0.18,0.36,0.54,0.18,0.54,0.17,0.17,0.34,0.17,0.34,8.0,8.0,5.0,1.0,2.0,1.0,14.0,7.1,13.0,13.0,2.0,11.0,7.0,15.0,12.0,0.0,433.0,622.0,69.6,6648.0,1872.0,257.0,319.0,80.6,108.0,161.0,67.1,49.0,79.0,62.0,6,2.9,3.0,3.1,36.0,21.0,16.0,2.0,46.0,622.0,561.0,58.0,17.0,1.0,3.0,55.0,6.0,33.0,18.0,8.0,0.0,433.0,3.0,25.0,17.0,110.0,311.0,331.0,49.0,737.0,31.0,17.0,54.8,10.0,32.3,463.0,3132.0,1672.0,63.0,39.0,19.0,16.0,15.0,525.0,120.0,3,19.0,9.0,47.4,1.15,0.54,0.16,0.33,18.0,0.0,0,0,2.8,2.8,0.15,0.2,0.2,65.0,3.93,39.0,20.0,2.0,2.0,2.0,0.0,8.0,0.48,6.0,1.0,0.0,0.0,1.0,0.0,"1,489",78,43.5,16.5,17,85.0,10,2,21.0,2,1.47,29,19,10,0.6,0.93,22.1,25.1,-3.0,-0.18,-0.13,0,0,0,8.0,21.0,2.0,55.0,7.0,8.0,1.0,0.0,0,70.0,7.0,13.0,35.0,,,,
2023-2024,25,Girona,esESP,1.La Liga,30,"2,052",8,7,4.0,200.0,0.0,0.0,,,,,34,"2,252",8,7,26,"2,052",22.8,8,7,15,8,0,0,0,0,6.2,6.2,5.9,12.1,65.0,89.0,226.0,0.35,0.31,0.66,0.35,0.66,0.27,0.26,0.53,0.27,0.53,29.0,20.0,11.0,13.0,5.0,14.0,26.0,53.8,12.0,18.0,1.0,17.0,12.0,41.0,24.0,0.0,726.0,920.0,78.9,10334.0,2850.0,452.0,518.0,87.3,202.0,252.0,80.2,39.0,72.0,54.2,7,5.9,6.5,1.1,34.0,44.0,49.0,8.0,89.0,920.0,861.0,50.0,15.0,5.0,3.0,62.0,8.0,27.0,8.0,11.0,0.0,726.0,9.0,25.0,29.0,161.0,443.0,567.0,104.0,1162.0,53.0,22.0,41.5,24.0,45.3,764.0,4554.0,2078.0,65.0,50.0,31.0,45.0,35.0,897.0,226.0,8,44.0,15.0,34.1,1.93,0.66,0.18,0.53,17.0,3.0,0,0,6.2,6.2,0.14,1.8,1.8,73.0,3.21,52.0,10.0,3.0,4.0,1.0,3.0,13.0,0.57,11.0,2.0,0.0,0.0,0.0,0.0,"2,052",68,60.0,22.8,26,76.0,4,4,22.0,0,2.17,48,26,22,0.96,-0.15,38.0,32.2,5.8,0.25,-0.45,0,0,0,14.0,41.0,4.0,62.0,12.0,20.0,0.0,1.0,0,88.0,13.0,14.0,48.1,,,,
2024-2025,26,Girona,esESP,1.La Liga,22,"1,492",2,4,,,,,5.0,325.0,0.0,0.0,27,"1,817",2,4,18,"1,492",16.6,2,4,6,2,0,0,1,0,2.4,2.4,2.5,4.9,45.0,54.0,157.0,0.12,0.24,0.36,0.12,0.36,0.15,0.15,0.3,0.15,0.3,15.0,11.0,2.0,5.0,8.0,6.0,15.0,40.0,9.0,4.0,0.0,4.0,11.0,26.0,11.0,1.0,525.0,699.0,75.1,8007.0,2097.0,299.0,343.0,87.2,151.0,202.0,74.8,44.0,98.0,44.9,4,2.5,4.0,1.5,26.0,31.0,20.0,6.0,54.0,699.0,596.0,101.0,21.0,1.0,1.0,107.0,8.0,71.0,30.0,29.0,1.0,525.0,2.0,19.0,11.0,77.0,324.0,449.0,63.0,844.0,25.0,10.0,40.0,14.0,56.0,514.0,3032.0,1434.0,45.0,32.0,22.0,25.0,22.0,618.0,157.0,2,27.0,6.0,22.2,1.63,0.36,0.07,0.33,19.7,4.0,0,0,2.4,2.4,0.09,-0.4,-0.4,51.0,3.08,27.0,20.0,1.0,0.0,2.0,1.0,7.0,0.42,3.0,3.0,0.0,0.0,1.0,0.0,"1,492",68,50.2,16.6,18,78.0,7,4,22.0,1,0.95,16,28,-12,-0.72,-0.72,17.4,22.1,-4.7,-0.28,-0.26,1,0,0,11.0,25.0,3.0,107.0,11.0,11.0,1.0,0.0,0,55.0,6.0,14.0,30.0,,,,
