Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,25,Girona,esESP,2.La Liga 2,38,"2,578",10,2,1.0,42.0,0.0,0.0,,,,,39,"2,620",10,2,26,"2,578",28.6,10,2,12,10,0,0,7,0,,,,,,,,0.35,0.07,0.42,0.35,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,34,,,1.19,,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,578",68,68.2,28.6,26,,20,12,,3,1.9,40,26,14,0.49,-0.56,,,,,,7,0,,,,,,,,,,,,,,,"€ 22,115(£ 19,210, $24,238)","€ 1,150,000(£ 998,918, $1,260,375)",Estimación no verificada,https://fbref.com/es/jugadores/02319ad7/Jaime-Mata
2015-2016,26,Girona,esESP,2.La Liga 2,38,"2,487",9,1,,,,,,,,,38,"2,487",9,1,29,"2,487",27.6,9,1,10,6,3,3,9,1,,,,,,,,0.33,0.04,0.36,0.22,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,30,,,1.09,,0.2,,,3,3,,,,,,,,,,,,,,,,,,,,,,"2,487",65,65.8,27.6,29,,18,9,,1,1.32,30,19,11,0.4,-0.09,,,,,,9,1,,77.0,,,,,,,,,,,,,"€ 23,462(£ 20,379, $25,713)","€ 1,220,000(£ 1,059,722, $1,337,093)",Estimación no verificada,https://fbref.com/es/jugadores/02319ad7/Jaime-Mata
2016-2017,27,Valladolid,esESP,2.La Liga 2,28,"1,623",5,2,3.0,178.0,1.0,0.0,,,,,31,"1,801",6,2,18,"1,623",18.0,5,2,7,2,3,3,4,2,,,,,,,,0.28,0.11,0.39,0.11,0.22,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.0,22,,0.0,1.22,,0.09,,,3,3,,,,,,,,,,,,,,,,,,,,,,"1,623",58,42.9,18.0,18,,8,10,,5,1.59,22,22,0,0.0,-0.21,,,,,,4,2,1.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 41,154(£ 35,747, $45,104)","€ 2,140,000(£ 1,858,857, $2,345,393)",Estimación no verificada,https://fbref.com/es/jugadores/02319ad7/Jaime-Mata
2017-2018,28,Valladolid,esESP,2.La Liga 2,39,"3,388",33,5,2.0,22.0,0.0,0.0,,,,,41,"3,410",33,5,38,"3,388",37.6,33,5,38,26,7,7,12,0,,,,,,,,0.88,0.13,1.01,0.69,0.82,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,0.0,67,,0.0,1.78,,0.39,,,7,7,,,,,,,,,,,,,,,,,,,,,,"3,388",87,89.6,37.6,38,,33,1,,0,1.74,66,49,17,0.45,1.14,,,,,,12,0,0.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 41,154(£ 35,747, $45,104)","€ 2,140,000(£ 1,858,857, $2,345,393)",Estimación no verificada,https://fbref.com/es/jugadores/02319ad7/Jaime-Mata
2018-2019,29,Getafe,esESP,1.La Liga,34,"2,432",14,6,4.0,279.0,2.0,0.0,,,,,38,"2,711",16,6,27,"2,432",27.0,14,6,20,10,4,4,10,0,12.4,9.3,2.5,11.8,36.0,47.0,214.0,0.52,0.22,0.74,0.37,0.59,0.46,0.09,0.55,0.34,0.44,30.0,21.0,8.0,14.0,8.0,7.0,26.0,26.9,19.0,14.0,0.0,14.0,17.0,47.0,27.0,0.0,413.0,708.0,58.3,6275.0,1324.0,227.0,337.0,67.4,126.0,197.0,64.0,32.0,71.0,45.1,6,2.5,2.2,3.5,19.0,32.0,14.0,3.0,47.0,708.0,697.0,7.0,1.0,2.0,4.0,55.0,0.0,0.0,0.0,0.0,0.0,413.0,4.0,43.0,28.0,97.0,432.0,503.0,116.0,1020.0,34.0,12.0,35.3,22.0,64.7,606.0,2999.0,1070.0,36.0,27.0,10.0,85.0,36.0,787.0,214.0,14,55.0,21,38.2,2.04,0.78,0.18,0.48,12.9,0.0,4,4,12.4,9.3,0.17,1.6,0.7,43.0,1.59,30.0,0.0,2.0,3.0,7.0,1.0,6.0,0.22,4.0,0.0,1.0,0.0,1.0,0.0,"2,432",72,71.1,27.0,27,83.0,16,7,27.0,2,1.56,38,24,14,0.52,0.61,32.3,31.0,1.3,0.05,-0.07,10,0,0.0,79.0,52.0,30.0,55.0,17.0,21.0,0.0,0.0,0.0,100.0,96.0,109.0,46.8,"€ 41,154(£ 35,405, $45,000)","€ 2,140,000(£ 1,841,064, $2,340,006)",Estimación no verificada,https://fbref.com/es/jugadores/02319ad7/Jaime-Mata
2019-2020,30,Getafe,esESP,1.La Liga,34,"2,747",11,3,,,,,7.0,503.0,3.0,1.0,41,"3,250",14,4,33,"2,747",30.5,11,3,14,8,3,4,14,0,11.0,7.9,2.9,10.8,25.0,45.0,224.0,0.36,0.1,0.46,0.26,0.36,0.36,0.09,0.46,0.26,0.35,21.0,13.0,3.0,11.0,7.0,3.0,20.0,15.0,17.0,16.0,1.0,15.0,7.0,28.0,15.0,0.0,486.0,771.0,63.0,6788.0,1551.0,285.0,397.0,71.8,142.0,225.0,63.1,28.0,54.0,51.9,3,2.9,2.5,0.1,29.0,36.0,21.0,13.0,45.0,771.0,753.0,14.0,1.0,2.0,6.0,58.0,5.0,0.0,0.0,0.0,0.0,486.0,4.0,35.0,15.0,64.0,435.0,604.0,135.0,1094.0,32.0,14.0,43.8,18.0,56.3,620.0,2329.0,648.0,25.0,21.0,10.0,107.0,48.0,867.0,224.0,11,54.0,20,37.0,1.77,0.66,0.15,0.4,14.1,0.0,3,4,11.0,7.9,0.15,0.0,0.1,72.0,2.36,53.0,0.0,6.0,3.0,9.0,1.0,10.0,0.33,7.0,0.0,1.0,1.0,1.0,0.0,"2,747",81,80.3,30.5,33,83.0,18,1,17.0,2,1.41,34,23,11,0.36,1.03,35.0,28.4,6.5,0.21,1.07,14,0,0.0,85.0,53.0,38.0,58.0,7.0,13.0,1.0,0.0,0.0,94.0,102.0,137.0,42.7,"€ 41,154(£ 34,768, $44,226)","€ 2,140,000(£ 1,807,934, $2,299,740)",Estimación no verificada,https://fbref.com/es/jugadores/02319ad7/Jaime-Mata
2020-2021,31,Getafe,esESP,1.La Liga,33,"2,037",5,0,2.0,102.0,0.0,0.0,,,,,35,"2,139",5,0,23,"2,037",22.6,5,0,5,4,1,2,9,1,7.0,5.5,1.2,6.7,14.0,32.0,134.0,0.22,0.0,0.22,0.18,0.18,0.31,0.05,0.36,0.24,0.29,12.0,7.0,1.0,3.0,8.0,3.0,18.0,16.7,15.0,13.0,2.0,11.0,6.0,18.0,16.0,0.0,389.0,598.0,65.1,4741.0,1021.0,256.0,356.0,71.9,81.0,117.0,69.2,16.0,37.0,43.2,0,1.2,1.7,-1.2,15.0,20.0,10.0,3.0,32.0,598.0,571.0,25.0,0.0,0.0,2.0,35.0,9.0,0.0,0.0,0.0,0.0,389.0,2.0,22.0,17.0,46.0,324.0,434.0,110.0,797.0,18.0,4.0,22.2,14.0,77.8,416.0,1477.0,379.0,14.0,9.0,7.0,59.0,20.0,613.0,134.0,5,38.0,15,39.5,1.68,0.66,0.11,0.27,12.4,0.0,1,2,7.0,5.5,0.15,-2.0,-1.5,43.0,1.9,32.0,0.0,2.0,4.0,5.0,0.0,3.0,0.13,1.0,0.0,1.0,1.0,0.0,0.0,"2,037",62,59.6,22.6,23,75.0,8,10,30.0,2,1.0,14,24,-10,-0.44,-0.12,20.3,21.0,-0.7,-0.03,0.31,9,1,0.0,70.0,36.0,27.0,35.0,6.0,7.0,0.0,0.0,0.0,62.0,78.0,136.0,36.4,"€ 30,000(£ 25,788, $34,071)","€ 1,560,000(£ 1,340,951, $1,771,710)",Estimación no verificada,https://fbref.com/es/jugadores/02319ad7/Jaime-Mata
2021-2022,32,Getafe,esESP,1.La Liga,22,672,1,0,2.0,161.0,3.0,0.0,,,,,24,833,4,0,4,672,7.5,1,0,1,1,0,0,7,0,1.3,1.3,0.6,1.9,6.0,11.0,61.0,0.13,0.0,0.13,0.13,0.13,0.17,0.08,0.26,0.17,0.26,7.0,5.0,3.0,1.0,3.0,1.0,9.0,11.1,8.0,4.0,1.0,3.0,1.0,8.0,5.0,0.0,135.0,207.0,65.2,1741.0,366.0,80.0,112.0,71.4,40.0,55.0,72.7,4.0,11.0,36.4,0,0.6,0.4,-0.6,8.0,7.0,5.0,1.0,11.0,207.0,196.0,9.0,0.0,0.0,1.0,10.0,2.0,0.0,0.0,0.0,0.0,135.0,2.0,8.0,6.0,24.0,117.0,157.0,36.0,296.0,9.0,4.0,44.4,5.0,55.6,174.0,640.0,262.0,6.0,4.0,2.0,35.0,6.0,235.0,61.0,1,10.0,3,30.0,1.34,0.4,0.1,0.33,15.0,0.0,0,0,1.3,1.3,0.13,-0.3,-0.3,16.0,2.15,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672,31,19.6,7.5,4,68.0,0,18,22.0,3,0.91,5,9,-4,-0.54,-0.4,5.8,9.6,-3.9,-0.52,-0.34,7,0,0.0,25.0,17.0,9.0,10.0,1.0,5.0,0.0,0.0,0.0,21.0,25.0,54.0,31.6,,,,
2022-2023,33,Getafe,esESP,1.La Liga,18,437,1,1,2.0,38.0,0.0,0.0,,,,,20,475,1,1,5,437,4.9,1,1,2,1,0,0,5,0,1.9,1.9,1.3,3.2,2.0,10.0,33.0,0.21,0.21,0.41,0.21,0.41,0.4,0.27,0.66,0.4,0.66,13.0,10.0,4.0,5.0,4.0,7.0,22.0,31.8,15.0,7.0,2.0,5.0,3.0,16.0,6.0,0.0,68.0,122.0,55.7,1040.0,301.0,36.0,55.0,65.5,23.0,38.0,60.5,5.0,11.0,45.5,1,1.3,0.7,-0.3,6.0,6.0,6.0,3.0,10.0,122.0,119.0,2.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,68.0,1.0,7.0,8.0,29.0,73.0,90.0,20.0,190.0,5.0,2.0,40.0,3.0,60.0,102.0,369.0,104.0,2.0,6.0,0.0,16.0,7.0,131.0,33.0,1,14.0,5,35.7,2.88,1.03,0.07,0.2,12.0,0.0,0,0,1.9,1.9,0.15,-0.9,-0.9,10.0,2.06,8.0,0.0,0.0,2.0,0.0,0.0,2.0,0.41,1.0,0.0,0.0,1.0,0.0,0.0,437,24,12.8,4.9,5,76.0,1,13,4.0,15,1.42,8,5,3,0.62,1.04,7.8,4.4,3.4,0.7,1.08,5,0,0.0,17.0,7.0,4.0,9.0,3.0,10.0,0.0,0.0,0.0,27.0,10.0,15.0,40.0,,,,
2023-2024,34,Getafe,esESP,1.La Liga,35,"1,787",5,1,3.0,177.0,1.0,1.0,,,,,38,"1,964",6,2,22,"1,787",19.9,5,1,6,5,0,0,10,1,5.6,5.6,1.5,7.2,16.0,19.0,138.0,0.25,0.05,0.3,0.25,0.3,0.28,0.08,0.36,0.28,0.36,24.0,15.0,12.0,8.0,4.0,11.0,26.0,42.3,15.0,18.0,1.0,17.0,17.0,41.0,31.0,0.0,340.0,521.0,65.3,4502.0,751.0,219.0,281.0,77.9,88.0,142.0,62.0,14.0,39.0,35.9,1,1.5,1.6,-0.5,18.0,12.0,11.0,6.0,19.0,521.0,502.0,17.0,1.0,0.0,1.0,39.0,8.0,1.0,0.0,0.0,0.0,340.0,2.0,21.0,32.0,109.0,255.0,370.0,72.0,731.0,15.0,8.0,53.3,7.0,46.7,370.0,1456.0,479.0,16.0,16.0,7.0,47.0,20.0,527.0,138.0,5,32.0,12,37.5,1.61,0.6,0.16,0.42,13.8,0.0,0,0,5.6,5.6,0.18,-0.6,-0.6,42.0,2.12,34.0,1.0,2.0,5.0,0.0,0.0,5.0,0.25,3.0,0.0,0.0,2.0,0.0,0.0,"1,787",51,52.3,19.9,22,69.0,5,13,21.0,1,1.23,25,30,-5,-0.25,0.13,24.8,29.5,-4.7,-0.24,-0.05,10,1,1.0,63.0,25.0,31.0,39.0,17.0,15.0,0.0,0.0,0.0,58.0,49.0,65.0,43.0,,,,
