Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,17,Barcelona B,esESP,2.La Liga 2,11.0,465,4.0,0.0,,,,,,,,,11.0,465,4,0,4,465,5.2,4.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,,,,,,,,0.77,0.0,0.77,0.77,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,10.0,,,1.94,,0.4,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,465,42.0,12.3,5.2,4,,,7,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,,,,,,,"€ 95,769(£ 83,188, $104,961)","€ 4,980,000(£ 4,325,751, $5,457,971)",Estimación no verificada,https://fbref.com/es/jugadores/8696bc90/Munir-El-Haddadi
2014-2015,18,Barcelona B,esESP,2.La Liga 2,17.0,"1,346",4.0,2.0,,,,,,,,,17.0,"1,346",4,2,15,"1,346",15.0,4.0,2.0,6.0,4.0,0.0,0.0,3.0,1.0,,,,,,,,0.27,0.13,0.4,0.27,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,14.0,,,0.94,,0.29,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,346",79.0,35.6,15.0,15,,11.0,2,,0.0,0.76,17.0,28.0,-11.0,-0.74,-0.11,,,,,,3.0,1.0,,,,,,,,,,,,,,,"€ 95,769(£ 83,188, $104,961)","€ 4,980,000(£ 4,325,751, $5,457,971)",Estimación no verificada,https://fbref.com/es/jugadores/8696bc90/Munir-El-Haddadi
2014-2015,18,Barcelona,esESP,1.La Liga,10.0,457,1.0,1.0,3.0,237.0,0.0,0.0,3.0,119.0,0.0,0.0,16.0,813,1,1,7,457,5.1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,0.2,0.2,0.39,0.2,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,0.98,,0.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,457,46.0,13.4,5.1,7,,0.0,3,,11.0,2.3,10.0,2.0,8.0,1.58,-0.88,,,,,,0.0,0.0,,5.0,,,,,,,,,,,,,"€ 95,769(£ 83,188, $104,961)","€ 4,980,000(£ 4,325,751, $5,457,971)",Estimación no verificada,https://fbref.com/es/jugadores/8696bc90/Munir-El-Haddadi
2015-2016,19,Barcelona,esESP,1.La Liga,15.0,827,3.0,2.0,6.0,462.0,5.0,0.0,4.0,257.0,0.0,2.0,25.0,"1,546",8,4,8,827,9.2,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,0.33,0.22,0.54,0.33,0.54,,,,,,,8.0,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,17.0,6.0,35.3,1.85,0.65,0.18,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,827,55.0,24.2,9.2,8,77.0,4.0,7,31.0,22.0,2.27,27.0,9.0,18.0,1.96,-0.3,,,,,,0.0,0.0,0.0,12.0,12.0,6.0,4.0,14.0,8.0,1.0,0.0,0.0,,,,,"€ 95,769(£ 83,188, $104,961)","€ 4,980,000(£ 4,325,751, $5,457,971)",,https://fbref.com/es/jugadores/8696bc90/Munir-El-Haddadi
2016-2017,20,Barcelona,esESP,1.La Liga,1.0,21,0.0,0.0,2.0,104.0,1.0,0.0,,,,,3.0,125,1,0,0,21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,21,21.0,0.6,0.2,0,,0.0,1,21.0,1.0,3.0,1.0,1.0,0.0,0.0,-2.09,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,"€ 95,769(£ 83,188, $104,961)","€ 4,980,000(£ 4,325,751, $5,457,971)",,https://fbref.com/es/jugadores/8696bc90/Munir-El-Haddadi
2016-2017,20,Valencia,esESP,1.La Liga,33.0,"2,031",6.0,3.0,3.0,233.0,1.0,0.0,,,,,36.0,"2,264",7,3,22,"2,031",22.6,6.0,3.0,9.0,6.0,0.0,0.0,5.0,1.0,,,,,,,,0.27,0.13,0.4,0.27,0.4,,,,,,,29.0,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,49.0,19.0,38.8,2.17,0.84,0.12,0.32,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,031",62.0,59.4,22.6,22,79.0,8.0,11,27.0,2.0,1.21,34.0,30.0,4.0,0.18,1.02,,,,,,5.0,1.0,1.0,23.0,55.0,16.0,39.0,31.0,29.0,0.0,0.0,0.0,,,,,"€ 100,962(£ 86,858, $110,397)","€ 5,250,000(£ 4,516,629, $5,740,668)",Estimación no verificada,https://fbref.com/es/jugadores/8696bc90/Munir-El-Haddadi
2017-2018,21,Alavés,esESP,1.La Liga,33.0,"2,444",10.0,6.0,4.0,167.0,4.0,1.0,,,,,37.0,"2,611",14,7,28,"2,444",27.2,10.0,6.0,16.0,10.0,0.0,0.0,7.0,1.0,9.1,9.1,3.9,13.1,48.0,68.0,173.0,0.37,0.22,0.59,0.37,0.59,0.34,0.14,0.48,0.34,0.48,25.0,20.0,8.0,9.0,8.0,5.0,14.0,35.7,9.0,13.0,2.0,11.0,9.0,34.0,5.0,0.0,471.0,724.0,65.1,6677.0,1736.0,260.0,338.0,76.9,134.0,194.0,69.1,34.0,83.0,41.0,6.0,3.9,3.0,2.1,41.0,33.0,22.0,6.0,68.0,724.0,604.0,115.0,34.0,4.0,6.0,83.0,8.0,35.0,18.0,15.0,1.0,471.0,5.0,33.0,6.0,47.0,403.0,548.0,92.0,990.0,51.0,28.0,54.9,23.0,45.1,681.0,3387.0,1260.0,48.0,42.0,14.0,90.0,87.0,779.0,173.0,10.0,62.0,23.0,37.1,2.28,0.85,0.16,0.43,17.2,5.0,0.0,0.0,9.1,9.1,0.15,0.9,0.9,95.0,3.5,55.0,11.0,4.0,5.0,20.0,0.0,12.0,0.44,7.0,2.0,1.0,1.0,1.0,0.0,"2,444",74.0,71.5,27.2,28,83.0,11.0,5,23.0,1.0,1.33,30.0,35.0,-5.0,-0.18,0.28,28.7,34.5,-5.8,-0.21,0.86,7.0,1.0,1.0,33.0,114.0,45.0,83.0,9.0,20.0,0.0,0.0,0.0,83.0,34.0,62.0,35.4,"€ 33,654(£ 28,432, $36,166)","€ 1,750,000(£ 1,478,451, $1,880,628)",Estimación no verificada,https://fbref.com/es/jugadores/8696bc90/Munir-El-Haddadi
2018-2019,22,Barcelona,esESP,1.La Liga,7.0,152,1.0,1.0,2.0,180.0,1.0,0.0,2.0,65.0,0.0,0.0,11.0,397,2,1,1,152,1.7,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.9,0.9,0.6,1.5,1.0,1.0,15.0,0.59,0.59,1.18,0.59,1.18,0.51,0.35,0.87,0.51,0.87,3.0,3.0,1.0,1.0,1.0,1.0,3.0,33.3,2.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,48.0,62.0,77.4,531.0,109.0,36.0,40.0,90.0,7.0,14.0,50.0,1.0,2.0,50.0,1.0,0.6,0.6,0.4,3.0,3.0,0.0,0.0,1.0,62.0,54.0,7.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,48.0,1.0,0.0,2.0,4.0,31.0,42.0,10.0,77.0,4.0,3.0,75.0,1.0,25.0,46.0,209.0,98.0,1.0,1.0,1.0,3.0,2.0,60.0,15.0,1.0,4.0,1.0,25.0,2.37,0.59,0.25,1.0,11.4,0.0,0.0,0.0,0.9,0.9,0.22,0.1,0.1,4.0,2.37,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.59,1.0,0.0,0.0,0.0,0.0,0.0,152,22.0,4.4,1.7,1,66.0,0.0,6,14.0,8.0,1.86,8.0,5.0,3.0,1.78,0.37,5.1,3.2,1.9,1.1,0.31,0.0,0.0,0.0,2.0,2.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,50.0,"€ 28,077(£ 24,134, $31,887)","€ 1,460,000(£ 1,254,993, $1,658,139)",Estimación no verificada,https://fbref.com/es/jugadores/8696bc90/Munir-El-Haddadi
2018-2019,22,Sevilla,esESP,1.La Liga,16.0,"1,042",5.0,1.0,1.0,90.0,0.0,0.0,3.0,199.0,2.0,0.0,20.0,"1,331",7,1,12,"1,042",11.6,5.0,1.0,6.0,5.0,0.0,0.0,2.0,0.0,5.1,5.1,0.9,6.0,20.0,25.0,103.0,0.43,0.09,0.52,0.43,0.52,0.44,0.08,0.52,0.44,0.52,17.0,10.0,5.0,7.0,5.0,2.0,7.0,28.6,5.0,15.0,0.0,15.0,6.0,23.0,9.0,0.0,243.0,347.0,70.0,3013.0,644.0,152.0,188.0,80.9,62.0,87.0,71.3,4.0,20.0,20.0,1.0,0.9,0.3,0.1,11.0,18.0,3.0,1.0,25.0,347.0,319.0,26.0,6.0,1.0,5.0,21.0,6.0,3.0,2.0,0.0,0.0,243.0,2.0,14.0,11.0,46.0,203.0,247.0,46.0,489.0,21.0,11.0,52.4,10.0,47.6,278.0,1220.0,572.0,20.0,17.0,5.0,21.0,15.0,344.0,103.0,5.0,34.0,11.0,32.4,2.94,0.95,0.15,0.45,15.7,0.0,0.0,0.0,5.1,5.1,0.15,-0.1,-0.1,29.0,2.5,20.0,0.0,3.0,4.0,1.0,1.0,4.0,0.35,3.0,0.0,0.0,1.0,0.0,0.0,"1,042",65.0,30.5,11.6,12,80.0,6.0,4,21.0,2.0,1.38,20.0,17.0,3.0,0.26,-0.2,19.9,13.5,6.4,0.56,-0.01,2.0,0.0,0.0,17.0,24.0,9.0,21.0,6.0,10.0,0.0,0.0,0.0,37.0,17.0,29.0,37.0,,,,
2019-2020,23,Sevilla,esESP,1.La Liga,21.0,"1,250",5.0,2.0,1.0,45.0,0.0,0.0,9.0,450.0,5.0,1.0,31.0,"1,745",10,3,14,"1,250",13.9,5.0,2.0,7.0,5.0,0.0,0.0,1.0,0.0,3.0,3.0,1.8,4.8,37.0,36.0,102.0,0.36,0.14,0.5,0.36,0.5,0.22,0.13,0.34,0.22,0.34,19.0,17.0,6.0,11.0,2.0,4.0,21.0,19.0,17.0,8.0,0.0,8.0,7.0,26.0,8.0,0.0,349.0,466.0,74.9,4847.0,1054.0,195.0,231.0,84.4,110.0,141.0,78.0,17.0,36.0,47.2,2.0,1.8,2.4,0.2,17.0,17.0,20.0,5.0,36.0,466.0,435.0,30.0,10.0,0.0,7.0,33.0,4.0,9.0,0.0,2.0,0.0,349.0,1.0,16.0,8.0,70.0,253.0,318.0,69.0,633.0,29.0,19.0,65.5,10.0,34.5,408.0,1999.0,879.0,37.0,21.0,8.0,34.0,29.0,489.0,102.0,5.0,45.0,15.0,33.3,3.24,1.08,0.11,0.33,17.0,1.0,0.0,0.0,3.0,3.0,0.07,2.0,2.0,45.0,3.24,28.0,4.0,4.0,4.0,5.0,0.0,3.0,0.22,2.0,0.0,0.0,0.0,1.0,0.0,"1,250",60.0,36.5,13.9,14,76.0,5.0,7,27.0,8.0,1.57,20.0,10.0,10.0,0.72,0.31,19.8,9.6,10.2,0.74,0.45,1.0,0.0,0.0,15.0,44.0,9.0,33.0,7.0,17.0,0.0,0.0,0.0,54.0,24.0,32.0,42.9,,,,
