Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2011-2012,18,Mallorca,esESP,1.La Liga,1,12,0,0,,,,,,,,,1,12,0,0,0,12,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,12,12,0.4,0.1,0,,,1,,,,,,,,,,,,,,0,0,,1.0,,,,,,,,,,,,,"€ 2,885(£ 2,506, $3,161)","€ 150,000(£ 130,294, $164,397)",Estimación no verificada,https://fbref.com/es/jugadores/d1b060e2/Abdon-Prats
2014-2015,21,Tenerife,esESP,2.La Liga 2,9,301,0,1,,,,,,,,,9,301,0,1,3,301,3.3,0,1,1,0,0,0,0,0,,,,,,,,0.0,0.3,0.3,0.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3.0,,,0.9,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,301,33,8.0,3.3,3,,0.0,6,,3.0,0.89,3.0,5.0,-2.0,-0.6,-0.47,,,,,,0,0,,,,,,,,,,,,,,,"€ 4,423(£ 3,842, $4,848)","€ 230,000(£ 199,784, $252,075)",Estimación no verificada,https://fbref.com/es/jugadores/d1b060e2/Abdon-Prats
2014-2015,21,Mallorca,esESP,2.La Liga 2,14,454,2,0,,,,,,,,,14,454,2,0,4,454,5.0,2,0,2,2,0,0,1,0,,,,,,,,0.4,0.0,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4.0,,,0.79,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,454,32,12.0,5.0,4,,0.0,10,,6.0,1.15,6.0,7.0,-1.0,-0.2,0.13,,,,,,1,0,,,,,,,,,,,,,,,"€ 4,423(£ 3,805, $4,836)","€ 230,000(£ 197,871, $251,496)",Estimación no verificada,https://fbref.com/es/jugadores/d1b060e2/Abdon-Prats
2015-2016,22,Mirandés,esESP,2.La Liga 2,30,"1,110",5,3,8.0,671.0,4.0,1.0,,,,,38,"1,781",9,4,6,"1,110",12.3,5,3,8,5,0,0,3,0,,,,,,,,0.41,0.24,0.65,0.41,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,18.0,,,1.46,,0.28,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,110",37,29.4,12.3,6,,1.0,24,,12.0,1.17,13.0,14.0,-1.0,-0.08,-0.08,,,,,,3,0,,14.0,,,,,,,,,,,,,"€ 7,308(£ 6,174, $7,853)","€ 380,000(£ 321,035, $408,365)",Estimación no verificada,https://fbref.com/es/jugadores/d1b060e2/Abdon-Prats
2016-2017,23,Mirandés,esESP,2.La Liga 2,6,208,0,0,1.0,45.0,0.0,0.0,,,,,7,253,0,0,2,208,2.3,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,3.0,,0.0,1.3,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,208,35,5.5,2.3,2,,0.0,4,,7.0,0.83,0.0,5.0,-5.0,-2.16,-1.63,,,,,,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 10,000(£ 8,596, $11,357)","€ 520,000(£ 446,984, $590,570)",Estimación no verificada,https://fbref.com/es/jugadores/d1b060e2/Abdon-Prats
2018-2019,25,Mallorca,esESP,2.La Liga 2,31,"1,239",5,3,1.0,90.0,1.0,0.0,,,,,32,"1,329",6,3,11,"1,239",13.8,5,3,8,4,1,1,2,1,,,,,,,,0.36,0.22,0.58,0.29,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,"1,239",40,33.6,13.8,11,79.0,3.0,20,19.0,4.0,1.66,22.0,12.0,10.0,0.73,0.51,,,,,,2,1,1.0,,,,,,,,,0.0,,,,,"€ 10,000(£ 8,596, $11,357)","€ 520,000(£ 446,984, $590,570)",Estimación no verificada,https://fbref.com/es/jugadores/d1b060e2/Abdon-Prats
2019-2020,26,Mallorca,esESP,1.La Liga,20,279,0,0,1.0,66.0,0.0,0.0,,,,,21,345,0,0,0,279,3.1,0,0,0,0,0,1,1,0,1.5,0.7,0.0,0.8,1.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.49,0.01,0.5,0.24,0.25,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,46.0,72.0,63.9,622.0,141.0,27.0,33.0,81.8,11.0,19.0,57.9,4.0,6.0,66.7,0,0.0,0.2,0.0,1.0,5.0,0.0,0.0,5.0,72.0,67.0,5.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,46.0,0.0,3.0,1.0,4.0,47.0,57.0,18.0,106.0,7.0,1.0,14.3,6.0,85.7,61.0,221.0,113.0,1.0,4.0,0.0,10.0,3.0,77.0,16.0,0,10.0,4.0,40.0,3.23,1.29,0.0,0.0,15.3,0.0,0,1,1.5,0.7,0.07,-1.5,-0.7,4.0,1.29,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,279,14,8.2,3.1,0,,0.0,20,14.0,10.0,0.35,1.0,7.0,-6.0,-1.94,-1.39,4.9,6.6,-1.7,-0.56,0.04,1,0,0.0,7.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,12.0,22.0,35.3,"€ 10,000(£ 8,596, $11,357)","€ 520,000(£ 446,984, $590,570)",Estimación no verificada,https://fbref.com/es/jugadores/d1b060e2/Abdon-Prats
2020-2021,27,Mallorca,esESP,2.La Liga 2,31,"1,840",10,3,2.0,37.0,2.0,0.0,,,,,33,"1,877",12,3,22,"1,840",20.4,10,3,13,8,2,2,4,0,,,,,,,,0.49,0.15,0.64,0.39,0.54,,,,,,,5.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,51.0,21.0,41.2,2.49,1.03,0.16,0.38,,,2,2,,,,,,,,,,,,,,,,,,,,,,"1,840",59,48.7,20.4,22,75.0,3.0,9,21.0,10.0,1.97,32.0,18.0,14.0,0.68,0.13,,,,,,4,0,0.0,28.0,28.0,4.0,10.0,2.0,5.0,,,0.0,,,,,"€ 10,000(£ 8,596, $11,357)","€ 520,000(£ 446,984, $590,570)",Estimación no verificada,https://fbref.com/es/jugadores/d1b060e2/Abdon-Prats
2021-2022,28,Mallorca,esESP,1.La Liga,23,641,3,0,4.0,276.0,1.0,0.0,,,,,27,917,4,0,6,641,7.1,3,0,3,3,0,0,3,0,1.5,1.5,0.7,2.2,4.0,17.0,33.0,0.42,0.0,0.42,0.42,0.42,0.21,0.1,0.31,0.21,0.31,2.0,2.0,1.0,0.0,1.0,1.0,5.0,20.0,4.0,5.0,0.0,5.0,1.0,3.0,6.0,0.0,104.0,156.0,66.7,1283.0,294.0,64.0,96.0,66.7,22.0,28.0,78.6,4.0,7.0,57.1,0,0.7,0.4,-0.7,10.0,9.0,4.0,0.0,17.0,156.0,139.0,17.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,104.0,0.0,5.0,5.0,20.0,108.0,106.0,28.0,232.0,11.0,7.0,63.6,4.0,36.4,115.0,473.0,161.0,4.0,5.0,2.0,17.0,21.0,158.0,33.0,3,18.0,6.0,33.3,2.53,0.84,0.17,0.5,15.9,2.0,0,0,1.5,1.5,0.08,1.5,1.5,18.0,2.53,12.0,1.0,0.0,2.0,2.0,1.0,1.0,0.14,0.0,0.0,0.0,1.0,0.0,0.0,641,28,18.7,7.1,6,61.0,0.0,17,16.0,14.0,1.04,9.0,16.0,-7.0,-0.98,-0.34,7.8,8.2,-0.4,-0.05,0.27,3,0,0.0,8.0,15.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,21.0,31.0,30.0,50.8,,,,
2022-2023,29,Mallorca,esESP,1.La Liga,26,416,1,1,3.0,151.0,3.0,1.0,,,,,29,567,4,2,2,416,4.6,1,1,2,1,0,0,1,0,0.7,0.7,1.4,2.1,1.0,8.0,15.0,0.22,0.22,0.43,0.22,0.43,0.15,0.31,0.45,0.15,0.45,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,5.0,0.0,5.0,0.0,1.0,2.0,0.0,58.0,91.0,63.7,874.0,173.0,27.0,45.0,60.0,18.0,28.0,64.3,6.0,7.0,85.7,1,1.4,0.2,-0.4,7.0,4.0,3.0,0.0,8.0,91.0,86.0,5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,4.0,10.0,78.0,54.0,16.0,141.0,9.0,3.0,33.3,5.0,55.6,72.0,273.0,56.0,1.0,1.0,3.0,8.0,14.0,100.0,15.0,1,6.0,4.0,66.7,1.3,0.87,0.17,0.25,13.9,0.0,0,0,0.7,0.7,0.12,0.3,0.3,5.0,1.08,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.22,1.0,0.0,0.0,0.0,0.0,0.0,416,16,12.2,4.6,2,55.0,0.0,24,13.0,12.0,1.31,6.0,7.0,-1.0,-0.22,-0.07,5.4,6.8,-1.5,-0.32,-0.03,1,0,0.0,5.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14.0,38.0,26.9,,,,
