Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2018-2019,20.0,Osasuna,esESP,2.La Liga 2,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,30.0,26.0,22.0,4.0,27.0,54.0,50.0,27.0,29.0,5.0,24.0,16.0,68.0,23.0,1.0,490.0,661.0,74.1,9593.0,2528.0,193.0,230.0,83.9,197.0,254.0,77.6,83.0,133.0,62.4,0.0,0.6,0.3,-0.6,11.0,37.0,6.0,1.0,44.0,661.0,624.0,32.0,12.0,0.0,23.0,9.0,20.0,0.0,0.0,0.0,0.0,490.0,5.0,11.0,27.0,208.0,525.0,116.0,7.0,839.0,11.0,10.0,90.9,1.0,9.1,334.0,1354.0,573.0,8.0,9.0,1.0,16.0,10.0,429.0,27.0,1.0,13.0,4.0,30.8,0.78,0.24,0.08,0.25,26.3,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5,21.0,1.26,18.0,0.0,1.0,0.0,1.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,4.0,,,,,,,,,,,,4.0,0.0,0.0,30.0,7.0,0.0,9.0,16.0,30.0,0.0,0.0,0.0,117.0,21.0,27.0,43.8,"€ 3,077(£ 2,673, $3,372)","€ 160,000(£ 138,980, $175,357)",Estimación no verificada,https://fbref.com/es/jugadores/9939e168/Jon-Moncayola
2019-2020,21.0,Osasuna,esESP,1.La Liga,27.0,"1,496",1.0,0.0,2.0,210.0,0.0,0.0,,,,,29.0,"1,706",1.0,0.0,15.0,"1,496",16.6,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.5,0.5,0.6,1.1,8.0,44.0,27.0,0.06,0.0,0.06,0.06,0.06,0.03,0.04,0.07,0.03,0.07,61.0,36.0,27.0,23.0,11.0,24.0,67.0,35.8,43.0,27.0,9.0,18.0,23.0,84.0,38.0,0.0,934.0,1165.0,80.2,18043.0,4945.0,372.0,438.0,84.9,391.0,461.0,84.8,148.0,209.0,70.8,0.0,1.4,2.0,-1.4,18.0,92.0,16.0,3.0,111.0,1165.0,1142.0,23.0,16.0,0.0,24.0,29.0,6.0,0.0,0.0,0.0,0.0,934.0,0.0,12.0,63.0,349.0,853.0,253.0,21.0,1440.0,15.0,8.0,53.3,7.0,46.7,666.0,3001.0,1439.0,27.0,25.0,3.0,32.0,13.0,823.0,45.0,2.0,38.0,10.0,26.3,1.29,0.34,0.05,0.2,26.5,0.0,0.0,0.0,1.4,1.4,0.04,0.6,0.6,45.0,1.52,42.0,0.0,2.0,1.0,0.0,0.0,3.0,0.1,3.0,0.0,0.0,0.0,0.0,0.0,"1,496",55.0,43.7,16.6,15.0,82.0,10.0,12.0,22.0,5.0,1.41,20.0,22.0,-2.0,-0.12,0.16,16.7,21.1,-4.4,-0.26,-0.47,7.0,1.0,1.0,39.0,10.0,0.0,29.0,23.0,36.0,0.0,1.0,0.0,205.0,35.0,33.0,51.5,"€ 9,615(£ 8,352, $10,538)","€ 500,000(£ 434,312, $547,989)",Estimación no verificada,https://fbref.com/es/jugadores/9939e168/Jon-Moncayola
2020-2021,22.0,Osasuna,esESP,1.La Liga,36.0,"2,660",2.0,0.0,1.0,120.0,0.0,0.0,,,,,37.0,"2,780",2.0,0.0,28.0,"2,660",29.6,2.0,0.0,2.0,2.0,0.0,0.0,7.0,1.0,1.4,1.4,1.4,2.7,27.0,111.0,45.0,0.07,0.0,0.07,0.07,0.07,0.05,0.05,0.09,0.05,0.09,40.0,20.0,18.0,18.0,4.0,17.0,44.0,38.6,27.0,26.0,9.0,17.0,20.0,60.0,43.0,0.0,1104.0,1411.0,78.2,20806.0,5889.0,458.0,522.0,87.7,451.0,522.0,86.4,162.0,282.0,57.4,3.0,1.7,2.6,1.3,32.0,125.0,30.0,17.0,131.0,1411.0,1301.0,101.0,57.0,1.0,25.0,98.0,15.0,28.0,13.0,14.0,0.0,1104.0,9.0,22.0,61.0,337.0,949.0,404.0,19.0,1672.0,19.0,13.0,68.4,6.0,31.6,817.0,3428.0,1433.0,19.0,21.0,1.0,36.0,15.0,1073.0,66.0,2.0,41.0,12.0,29.3,1.27,0.37,0.05,0.17,25.5,2.0,0.0,0.0,2.3,2.3,0.06,-0.3,-0.3,67.0,2.07,42.0,16.0,1.0,7.0,1.0,0.0,4.0,0.12,3.0,1.0,0.0,0.0,0.0,0.0,"2,660",74.0,77.8,29.6,28.0,87.0,18.0,8.0,30.0,0.0,1.11,28.0,39.0,-11.0,-0.37,-0.37,30.0,38.8,-8.9,-0.3,-0.28,2.0,0.0,0.0,20.0,15.0,1.0,98.0,20.0,20.0,0.0,0.0,0.0,207.0,18.0,21.0,46.2,"€ 9,615(£ 8,352, $10,538)","€ 500,000(£ 434,312, $547,989)",Estimación no verificada,https://fbref.com/es/jugadores/9939e168/Jon-Moncayola
2021-2022,23.0,Osasuna,esESP,1.La Liga,36.0,"2,915",2.0,3.0,2.0,49.0,0.0,0.0,,,,,38.0,"2,964",2.0,3.0,33.0,"2,915",32.4,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,2.3,2.3,1.7,3.9,19.0,131.0,66.0,0.06,0.09,0.15,0.06,0.15,0.07,0.05,0.12,0.07,0.12,55.0,39.0,24.0,22.0,9.0,30.0,76.0,39.5,46.0,37.0,5.0,32.0,17.0,72.0,32.0,2.0,1136.0,1461.0,77.8,22841.0,7870.0,433.0,490.0,88.4,516.0,609.0,84.7,176.0,315.0,55.9,3.0,1.8,2.2,1.2,27.0,170.0,22.0,10.0,175.0,1461.0,1313.0,143.0,54.0,2.0,33.0,78.0,64.0,24.0,9.0,10.0,1.0,1136.0,5.0,24.0,59.0,387.0,949.0,379.0,14.0,1698.0,8.0,4.0,50.0,3.0,37.5,869.0,3900.0,2099.0,34.0,29.0,1.0,26.0,11.0,1060.0,50.0,1.0,36.0,9.0,25.0,1.32,0.33,0.03,0.11,25.3,0.0,0.0,0.0,2.0,2.0,0.06,-1.0,-1.0,68.0,2.5,54.0,3.0,0.0,8.0,3.0,0.0,9.0,0.33,5.0,0.0,0.0,3.0,1.0,0.0,"2,915",81.0,85.2,32.4,33.0,86.0,21.0,3.0,22.0,1.0,1.22,30.0,41.0,-11.0,-0.34,0.2,29.7,38.6,-8.9,-0.28,-0.15,6.0,0.0,0.0,35.0,17.0,3.0,78.0,17.0,39.0,1.0,0.0,0.0,186.0,17.0,15.0,53.1,"€ 9,615(£ 8,272, $10,514)","€ 500,000(£ 430,155, $546,730)",Estimación no verificada,https://fbref.com/es/jugadores/9939e168/Jon-Moncayola
2022-2023,24.0,Osasuna,esESP,1.La Liga,37.0,"2,448",1.0,3.0,7.0,566.0,0.0,2.0,,,,,44.0,"3,014",1.0,5.0,25.0,"2,448",27.2,1.0,3.0,4.0,1.0,0.0,0.0,6.0,0.0,2.0,2.0,1.8,3.8,34.0,175.0,50.0,0.04,0.11,0.15,0.04,0.15,0.07,0.07,0.14,0.07,0.14,27.0,18.0,14.0,10.0,3.0,17.0,42.0,40.5,25.0,31.0,5.0,26.0,15.0,42.0,21.0,0.0,786.0,1025.0,76.7,14615.0,4122.0,340.0,387.0,87.9,329.0,401.0,82.0,106.0,198.0,53.5,3.0,2.3,2.5,0.7,21.0,95.0,15.0,5.0,99.0,1025.0,948.0,74.0,26.0,0.0,12.0,90.0,8.0,40.0,19.0,20.0,0.0,786.0,3.0,16.0,22.0,211.0,644.0,329.0,13.0,1182.0,12.0,6.0,50.0,6.0,50.0,538.0,2237.0,998.0,14.0,10.0,2.0,20.0,13.0,759.0,46.0,1.0,16.0,5.0,31.3,0.8,0.25,0.06,0.2,23.0,0.0,0.0,0.0,0.6,0.6,0.04,0.4,0.4,54.0,2.7,36.0,13.0,0.0,1.0,2.0,2.0,9.0,0.45,7.0,2.0,0.0,0.0,0.0,0.0,"2,448",66.0,71.6,27.2,25.0,86.0,16.0,12.0,25.0,0.0,1.43,24.0,36.0,-12.0,-0.44,-1.09,28.9,33.2,-4.3,-0.16,-0.01,2.0,1.0,0.0,24.0,8.0,0.0,90.0,15.0,18.0,0.0,0.0,0.0,98.0,16.0,14.0,53.3,"€ 19,231(£ 16,247, $20,666)","€ 1,000,000(£ 844,829, $1,074,645)",Estimación no verificada,https://fbref.com/es/jugadores/9939e168/Jon-Moncayola
2023-2024,25.0,Osasuna,esESP,1.La Liga,33.0,"1,800",1.0,3.0,3.0,127.0,0.0,0.0,,,,,36.0,"1,927",1.0,3.0,21.0,"1,800",20.0,1.0,3.0,4.0,1.0,0.0,0.0,2.0,1.0,0.6,0.6,2.3,2.9,14.0,99.0,46.0,0.05,0.15,0.2,0.05,0.2,0.03,0.11,0.14,0.03,0.14,68.0,40.0,28.0,32.0,8.0,30.0,59.0,50.8,29.0,34.0,3.0,31.0,11.0,79.0,19.0,0.0,721.0,965.0,74.7,13334.0,4388.0,308.0,352.0,87.5,297.0,378.0,78.6,97.0,181.0,53.6,0.0,3.7,4.6,-3.7,31.0,75.0,24.0,13.0,105.0,965.0,864.0,96.0,40.0,1.0,9.0,100.0,5.0,43.0,14.0,16.0,0.0,721.0,5.0,19.0,36.0,207.0,629.0,340.0,33.0,1168.0,12.0,4.0,33.3,7.0,58.3,555.0,2205.0,1050.0,23.0,15.0,6.0,24.0,8.0,709.0,50.0,0.0,21.0,9.0,42.9,0.92,0.39,0.0,0.0,17.9,0.0,0.0,0.0,1.6,1.6,0.08,-1.6,-1.6,63.0,2.75,44.0,16.0,0.0,2.0,0.0,1.0,4.0,0.17,3.0,1.0,0.0,0.0,0.0,0.0,"1,800",55.0,52.6,20.0,21.0,75.0,7.0,12.0,19.0,2.0,1.21,24.0,30.0,-6.0,-0.3,-0.02,19.3,28.4,-9.2,-0.46,-0.45,8.0,0.0,0.0,34.0,9.0,0.0,100.0,11.0,40.0,0.0,0.0,0.0,88.0,15.0,16.0,48.4,"€ 19,231(£ 16,530, $21,841)","€ 1,000,000(£ 859,584, $1,135,712)",Estimación no verificada,https://fbref.com/es/jugadores/9939e168/Jon-Moncayola
2024-2025,26.0,Osasuna,esESP,1.La Liga,30.0,"2,061",0.0,0.0,3.0,223.0,0.0,0.0,,,,,33.0,"2,284",0.0,0.0,26.0,"2,061",22.9,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.6,1.6,3.7,5.3,23.0,105.0,50.0,0.0,0.0,0.0,0.0,0.0,0.07,0.16,0.23,0.07,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,061",69.0,69.4,22.9,26.0,74.0,6.0,4.0,32.0,0.0,1.23,30.0,29.0,1.0,0.04,0.74,25.2,32.2,-7.0,-0.31,-0.05,,,,,,,,,,,,,,,,,"€ 19,231(£ 16,530, $21,841)","€ 1,000,000(£ 859,584, $1,135,712)",Estimación no verificada,https://fbref.com/es/jugadores/9939e168/Jon-Moncayola
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€ 19,231(£ 16,530, $21,841)","€ 1,000,000(£ 859,584, $1,135,712)",Estimación no verificada,https://fbref.com/es/jugadores/9939e168/Jon-Moncayola
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€ 19,231(£ 16,530, $21,841)","€ 1,000,000(£ 859,584, $1,135,712)",Estimación no verificada,https://fbref.com/es/jugadores/9939e168/Jon-Moncayola
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€ 19,231(£ 16,530, $21,841)","€ 1,000,000(£ 859,584, $1,135,712)",Estimación no verificada,https://fbref.com/es/jugadores/9939e168/Jon-Moncayola
