Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,18,Nordsjælland,dkDEN,1.Danish Superliga,3.0,120,0.0,0.0,,,,,,,,,3.0,120,0,0,1,120,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,120,40.0,3.7,1.3,1,,1,2,,4,1.0,1.0,5.0,-4.0,-3.0,-3.23,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 6,731(£ 5,791, $7,360)","€ 350,000(£ 301,109, $382,711)",Estimación no verificada,https://fbref.com/es/jugadores/5487adcd/Abdul-Mumin
2017-2018,19,Nordsjælland,dkDEN,1.Danish Superliga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,1,,,,,,,,,,,,3.0,1.0,0.0,,,,,,,,,0.0,,,,,"€ 6,731(£ 5,686, $7,233)","€ 350,000(£ 295,690, $376,126)",Estimación no verificada,https://fbref.com/es/jugadores/5487adcd/Abdul-Mumin
2018-2019,20,Nordsjælland,dkDEN,1.Danish Superliga,14.0,"1,186",0.0,0.0,,,,,,,,,14.0,"1,186",0,0,13,"1,186",13.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,13.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,12.0,1.0,8.3,0.62,0.05,0.08,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,186",85.0,36.6,13.2,13,89.0,12,1,33.0,7,1.07,15.0,20.0,-5.0,-0.38,-0.51,,,,,,4.0,0.0,0.0,17.0,10.0,2.0,1.0,16.0,13.0,,,0.0,,,,,"€ 6,731(£ 5,786, $7,644)","€ 350,000(£ 300,854, $397,499)",Estimación no verificada,https://fbref.com/es/jugadores/5487adcd/Abdul-Mumin
2019-2020,21,Nordsjælland,dkDEN,1.Danish Superliga,26.0,"1,738",1.0,0.0,,,,,,,,,26.0,"1,738",1,0,19,"1,738",19.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,,,,,,,,0.05,0.0,0.05,0.05,0.05,,,,,,18.0,12.0,14.0,4.0,0.0,5.0,14.0,35.7,9.0,15.0,11.0,4.0,18.0,36.0,97.0,2.0,946.0,1137.0,83.2,20315.0,6775.0,232.0,262.0,88.5,565.0,621.0,91.0,144.0,237.0,60.8,0.0,0.1,0.3,-0.1,1.0,46.0,1.0,0.0,46.0,1137.0,1112.0,23.0,21.0,0.0,12.0,1.0,2.0,0.0,0.0,0.0,0.0,946.0,2.0,5.0,128.0,727.0,580.0,26.0,14.0,1326.0,3.0,2.0,66.7,1.0,33.3,795.0,4091.0,2076.0,14.0,4.0,0.0,17.0,4.0,906.0,3.0,0.0,5.0,0.0,0.0,0.22,0.0,0.0,,12.9,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2,4.0,0.18,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,738",67.0,53.6,19.3,19,86.0,16,7,15.0,4,1.58,35.0,23.0,12.0,0.62,1.04,,,,,,4.0,1.0,0.0,27.0,14.0,0.0,1.0,18.0,12.0,0.0,1.0,0.0,108.0,38.0,36.0,51.4,,,,
2020-2021,22,Vitória,ptPOR,1.Primeira Liga,25.0,"2,025",0.0,0.0,,,,,,,,,25.0,"2,025",0,0,24,"2,025",22.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.2,0.2,0.1,0.3,14.0,46.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,34.0,25.0,20.0,13.0,1.0,17.0,24.0,70.8,7.0,23.0,17.0,6.0,34.0,68.0,100.0,1.0,1000.0,1186.0,84.3,21223.0,7526.0,279.0,315.0,88.6,568.0,623.0,91.2,148.0,231.0,64.1,0.0,0.2,0.2,-0.2,4.0,71.0,0.0,0.0,70.0,1186.0,1155.0,29.0,26.0,0.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,1000.0,2.0,4.0,176.0,820.0,580.0,37.0,16.0,1430.0,15.0,8.0,53.3,7.0,46.7,836.0,3924.0,1831.0,8.0,4.0,1.0,18.0,3.0,946.0,8.0,0.0,9.0,1.0,11.1,0.36,0.04,0.0,0.0,9.6,0.0,0.0,0.0,0.9,0.9,0.1,-0.9,-0.9,10.0,0.4,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,025",81.0,66.2,22.5,24,84.0,20,1,1.0,3,1.4,26.0,29.0,-3.0,-0.13,0.21,23.4,29.3,-5.9,-0.26,-0.24,11.0,2.0,2.0,25.0,18.0,0.0,3.0,34.0,25.0,0.0,1.0,0.0,113.0,35.0,30.0,53.8,,,,
2021-2022,23,Vitória,ptPOR,1.Primeira Liga,26.0,"2,224",0.0,0.0,,,,,,,,,26.0,"2,224",0,0,26,"2,224",24.7,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.9,0.9,0.2,1.1,8.0,70.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,11.0,9.0,5.0,6.0,0.0,3.0,7.0,42.9,4.0,13.0,5.0,8.0,9.0,20.0,36.0,2.0,299.0,390.0,76.7,6424.0,1975.0,73.0,82.0,89.0,180.0,202.0,89.1,45.0,99.0,45.5,0.0,0.0,0.1,0.0,1.0,18.0,1.0,1.0,19.0,390.0,370.0,19.0,15.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,299.0,1.0,3.0,59.0,248.0,231.0,19.0,8.0,493.0,9.0,5.0,55.6,4.0,44.4,268.0,1328.0,646.0,5.0,6.0,0.0,4.0,5.0,270.0,1.0,0.0,6.0,1.0,16.7,0.59,0.1,0.0,0.0,11.3,0.0,0.0,0.0,0.4,0.4,0.07,-0.4,-0.4,6.0,0.59,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,224",86.0,72.7,24.7,26,86.0,22,0,,1,1.42,34.0,32.0,2.0,0.08,-0.67,33.8,35.4,-1.5,-0.06,-0.41,2.0,0.0,0.0,7.0,8.0,0.0,3.0,9.0,9.0,0.0,0.0,0.0,54.0,13.0,18.0,41.9,,,,
2022-2023,24,Vitória,ptPOR,1.Primeira Liga,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,10.0,13.0,4.0,2.0,8.0,10.0,80.0,2.0,27.0,19.0,8.0,22.0,41.0,82.0,1.0,617.0,773.0,79.8,12936.0,4915.0,179.0,203.0,88.2,355.0,393.0,90.3,76.0,163.0,46.6,0.0,0.3,0.1,-0.3,4.0,34.0,4.0,0.0,38.0,773.0,743.0,28.0,26.0,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,617.0,2.0,3.0,127.0,578.0,359.0,25.0,8.0,956.0,4.0,2.0,50.0,1.0,25.0,492.0,2318.0,989.0,6.0,2.0,0.0,7.0,3.0,558.0,4.0,1.0,6.0,1.0,16.7,0.32,0.05,0.17,1.0,15.9,0.0,0.0,0.0,0.4,0.4,0.06,0.6,0.6,11.0,0.58,8.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,3,,,,,,,,,,,,5.0,1.0,0.0,15.0,16.0,0.0,2.0,22.0,10.0,0.0,0.0,0.0,79.0,39.0,31.0,55.7,,,,
2022-2023,24,Rayo Vallecano,esESP,1.La Liga,16.0,922,0.0,0.0,1.0,90.0,0.0,0.0,,,,,17.0,"1,012",0,0,9,922,10.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,5.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,37.0,25.0,30.0,7.0,0.0,17.0,27.0,63.0,10.0,40.0,29.0,11.0,23.0,60.0,125.0,0.0,900.0,1085.0,82.9,17231.0,7016.0,315.0,339.0,92.9,492.0,536.0,91.8,87.0,190.0,45.8,1.0,0.2,0.1,0.8,1.0,40.0,1.0,0.0,40.0,1085.0,1017.0,65.0,25.0,0.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,900.0,3.0,4.0,253.0,874.0,447.0,39.0,13.0,1351.0,10.0,5.0,50.0,4.0,40.0,725.0,3467.0,1525.0,12.0,5.0,2.0,16.0,5.0,819.0,6.0,2.0,10.0,3.0,30.0,0.45,0.13,0.2,0.67,12.9,0.0,0.0,0.0,0.6,0.6,0.06,1.4,1.4,11.0,0.49,10.0,0.0,0.0,0.0,1.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,922,58.0,27.0,10.2,9,90.0,9,7,16.0,18,1.25,13.0,17.0,-4.0,-0.39,-0.25,11.1,13.5,-2.3,-0.23,-0.08,6.0,1.0,0.0,22.0,12.0,0.0,6.0,23.0,25.0,0.0,0.0,0.0,93.0,31.0,25.0,55.4,,,,
2023-2024,25,Rayo Vallecano,esESP,1.La Liga,20.0,"1,694",1.0,0.0,2.0,210.0,0.0,0.0,,,,,22.0,"1,904",1,0,19,"1,694",18.8,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.4,0.4,0.3,0.7,6.0,38.0,4.0,0.05,0.0,0.05,0.05,0.05,0.02,0.01,0.03,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,694",85.0,49.5,18.8,19,89.0,17,1,3.0,15,1.0,11.0,21.0,-10.0,-0.53,-0.06,18.5,22.1,-3.5,-0.19,-0.25,,,,,,,,,,,,,,,,,,,,
2024-2025,26,Rayo Vallecano,esESP,1.La Liga,24.0,"2,017",2.0,1.0,1.0,90.0,0.0,0.0,,,,,25.0,"2,107",2,1,24,"2,017",22.4,2.0,1.0,3.0,2.0,0.0,0.0,6.0,1.0,0.6,0.6,0.2,0.8,12.0,40.0,6.0,0.09,0.04,0.13,0.09,0.13,0.03,0.01,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,017",84.0,67.9,22.4,24,84.0,21,0,,0,1.46,24.0,21.0,3.0,0.13,1.08,26.6,25.1,1.5,0.06,0.65,,,,,,,,,,,,,,,,,,,,
