Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2009-2010,18,Istres,frFRA,2.Ligue 2,14,"1,260",0,1,,,,,,,,,14,"1,260",0,1,14,"1,260",14.0,0,1,1,0,0,0,3,0,,,,,,,,0.0,0.07,0.07,0.0,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,4.0,,,0.29,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,260",90,36.8,14.0,14,,,0,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,"€ 15,577(£ 13,531, $17,072)","€ 810,000(£ 703,586, $887,742)",Estimación no verificada,https://fbref.com/es/jugadores/6eaed4eb/Florian-Lejeune
2010-2011,19,Istres,frFRA,2.Ligue 2,28,"2,381",3,0,,,,,,,,,28,"2,381",3,0,27,"2,381",26.5,3,0,3,3,0,0,10,0,,,,,,,,0.11,0.0,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,10.0,,,0.38,,0.3,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,381",85,69.6,26.5,27,,,1,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,"£ 38,000(€ 43,743, $47,949)","£ 1,976,000(€ 2,274,641, $2,493,325)",Estimación no verificada,https://fbref.com/es/jugadores/6eaed4eb/Florian-Lejeune
2011-2012,20,Villarreal B,esESP,2.La Liga 2,27,"2,201",2,0,,,,,,,,,27,"2,201",2,0,25,"2,201",24.5,2,0,2,2,0,0,13,1,,,,,,,,0.08,0.0,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4.0,,,0.16,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,201",82,58.2,24.5,25,,,2,,,,,,,,,,,,,,13,1,,,,,,,,,,,,,,,"£ 38,000(€ 43,743, $47,949)","£ 1,976,000(€ 2,274,641, $2,493,325)",Estimación no verificada,https://fbref.com/es/jugadores/6eaed4eb/Florian-Lejeune
2011-2012,20,Villarreal,esESP,1.La Liga,2,16,0,0,,,,,,,,,2,16,0,0,0,16,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,16,8,0.5,0.2,0,,,2,,,,,,,,,,,,,,0,0,,0.0,,,,,,,,,,,,,"£ 38,000(€ 43,743, $47,949)","£ 1,976,000(€ 2,274,641, $2,493,325)",Estimación no verificada,https://fbref.com/es/jugadores/6eaed4eb/Florian-Lejeune
2012-2013,21,Villarreal,esESP,2.La Liga 2,3,136,0,0,,,,,,,,,3,136,0,0,2,136,1.5,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,136,45,3.6,1.5,2,,,1,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,"€ 28,846(£ 25,056, $31,615)","€ 1,500,000(£ 1,302,937, $1,643,967)",Estimación no verificada,https://fbref.com/es/jugadores/6eaed4eb/Florian-Lejeune
2012-2013,21,Brest,frFRA,1.Ligue 1,10,851,0,0,,,,,,,,,10,851,0,0,8,851,9.5,0,0,0,0,0,0,4,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,851,85,24.9,9.5,8,,8.0,2,,,,,,,,,,,,,,4,1,,18.0,,,,,,,,,,,,,"€ 28,846(£ 25,056, $31,615)","€ 1,500,000(£ 1,302,937, $1,643,967)",Estimación no verificada,https://fbref.com/es/jugadores/6eaed4eb/Florian-Lejeune
2013-2014,22,Brest,frFRA,2.Ligue 2,11,427,0,0,,,,,,,,,11,427,0,0,4,427,4.7,0,0,0,0,0,0,2,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3.0,,,0.63,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,427,39,12.5,4.7,4,,,7,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,"€ 26,923(£ 23,162, $29,439)","€ 1,400,000(£ 1,204,434, $1,530,845)",Estimación no verificada,https://fbref.com/es/jugadores/6eaed4eb/Florian-Lejeune
2014-2015,23,Girona,esESP,2.La Liga 2,38,"3,321",4,0,,,,,,,,,38,"3,321",4,0,38,"3,321",36.9,4,0,4,4,0,0,13,0,,,,,,,,0.11,0.0,0.11,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,11.0,,,0.3,,0.36,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,321",87,87.9,36.9,38,,34.0,0,,0.0,1.98,57.0,30.0,27.0,0.73,0.54,,,,,,13,0,,,,,,,,,,,,,,,"€ 24,038(£ 20,308, $25,833)","€ 1,250,000(£ 1,056,036, $1,343,306)",Estimación no verificada,https://fbref.com/es/jugadores/6eaed4eb/Florian-Lejeune
2015-2016,24,Girona,esESP,2.La Liga 2,38,"3,265",3,0,,,,,,,,,38,"3,265",3,0,38,"3,265",36.3,3,0,3,3,0,0,15,1,,,,,,,,0.08,0.0,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,11.0,,,0.3,,0.27,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,265",86,86.4,36.3,38,,35.0,0,,1.0,1.56,43.0,26.0,17.0,0.47,0.29,,,,,,15,1,,34.0,,,,,,,,,,,,,"€ 24,038(£ 20,663, $27,301)","€ 1,250,000(£ 1,074,480, $1,419,640)",Estimación no verificada,https://fbref.com/es/jugadores/6eaed4eb/Florian-Lejeune
2016-2017,25,Eibar,esESP,1.La Liga,34,"2,970",1,1,3.0,225.0,0.0,0.0,,,,,37,"3,195",1,1,33,"2,970",33.0,1,1,2,1,0,0,7,1,,,,,,,,0.03,0.03,0.06,0.03,0.06,,,,,,,34.0,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,28.0,11.0,39.3,0.85,0.33,0.04,0.09,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,970",87,86.8,33.0,33,89.0,32.0,1,45.0,0.0,1.5,51.0,43.0,8.0,0.24,0.84,,,,,,7,1,1.0,18.0,9.0,2.0,5.0,72.0,34.0,0.0,2.0,0.0,,,,,"€ 24,038(£ 20,663, $27,301)","€ 1,250,000(£ 1,074,480, $1,419,640)",Estimación no verificada,https://fbref.com/es/jugadores/6eaed4eb/Florian-Lejeune
