Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2010-2011,19,Porto,ptPOR,1.Primeira Liga,15,953,2,8,,,,,9.0,369.0,1.0,3.0,24,"1,322",3,11,10,953,10.6,2,8,10,2,0,0,2,0,,,,,,,,0.19,0.76,0.94,0.19,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,13.0,,,1.23,,0.15,,,0,0,,,,,,,,,,,,,,,,,,,,,,953,64,35.3,10.6,10,,5,5,,,,,,,,,,,,,,2,0,,6.0,,,,,,,,,,,,,"€ 48,077(£ 41,761, $52,691)","€ 2,500,000(£ 2,171,562, $2,739,946)",Estimación no verificada,https://fbref.com/es/jugadores/715bf047/James-Rodriguez
2011-2012,20,Porto,ptPOR,1.Primeira Liga,26,"1,866",13,9,,,,,8.0,577.0,1.0,1.0,34,"2,443",14,10,20,"1,866",20.7,13,9,22,12,1,1,1,1,,,,,,,,0.63,0.43,1.06,0.58,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,36.0,,,1.74,,0.33,,,1,1,,,,,,,,,,,,,,,,,,,,,,"1,866",72,69.1,20.7,20,,12,6,,,,,,,,,,,,,,1,1,,10.0,,,,,,,,,,,,,"€ 196,346(£ 170,551, $215,191)","€ 10,210,000(£ 8,868,657, $11,189,937)",Estimación no verificada,https://fbref.com/es/jugadores/715bf047/James-Rodriguez
2012-2013,21,Porto,ptPOR,1.Primeira Liga,24,"1,742",10,9,,,,,8.0,614.0,1.0,1.0,32,"2,356",11,10,19,"1,742",19.4,10,9,19,9,1,2,4,0,,,,,,,,0.52,0.46,0.98,0.46,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,29.0,,,1.5,,0.31,,,1,2,,,,,,,,,,,,,,,,,,,,,,"1,742",73,64.5,19.4,19,,10,5,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,"€ 188,654(£ 163,869, $206,761)","€ 9,810,000(£ 8,521,207, $10,751,546)",Estimación no verificada,https://fbref.com/es/jugadores/715bf047/James-Rodriguez
2013-2014,22,Monaco,frFRA,1.Ligue 1,34,"2,631",9,13,,,,,,,,,34,"2,631",9,13,30,"2,631",29.2,9,13,22,7,2,2,1,0,,,,,,,,0.31,0.44,0.75,0.24,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,29.0,,,0.99,,0.24,,,2,2,,,,,,,,,,,,,,,,,,,,,,"2,631",77,76.9,29.2,30,,17,4,,,,,,,,,,,,,,1,0,,28.0,,,,,,,,,,,,,"€ 204,423(£ 177,567, $224,043)","€ 10,630,000(£ 9,233,480, $11,650,248)",Estimación no verificada,https://fbref.com/es/jugadores/715bf047/James-Rodriguez
2014-2015,23,Real Madrid,esESP,1.La Liga,29,"2,265",13,13,4.0,253.0,2.0,0.0,10.0,776.0,1.0,2.0,43,"3,294",16,15,29,"2,265",25.2,13,13,26,13,0,0,5,0,,,,,,,,0.52,0.52,1.03,0.52,1.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,29.0,,,1.15,,0.45,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,265",78,66.2,25.2,29,,14,0,,0.0,2.62,89.0,27.0,62.0,2.46,1.06,,,,,,5,0,,22.0,,,,,,,,,,,,,"€ 211,731(£ 183,915, $232,052)","€ 11,010,000(£ 9,563,557, $12,066,720)",Estimación no verificada,https://fbref.com/es/jugadores/715bf047/James-Rodriguez
2015-2016,24,Real Madrid,esESP,1.La Liga,26,"1,515",7,8,1.0,76.0,0.0,2.0,5.0,265.0,1.0,0.0,32,"1,856",8,10,17,"1,515",16.8,7,8,15,7,0,0,1,0,,,,,,,,0.42,0.48,0.89,0.42,0.89,,,,,,,28.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,39.0,18.0,46.2,2.32,1.07,0.18,0.39,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,515",58,44.3,16.8,17,76.0,7,9,24.0,3.0,2.31,47.0,18.0,29.0,1.72,-0.5,,,,,,1,0,0.0,12.0,17.0,5.0,119.0,18.0,28.0,0.0,0.0,0.0,,,,,"€ 249,231(£ 216,488, $273,151)","€ 12,960,000(£ 11,257,375, $14,203,877)",Estimación no verificada,https://fbref.com/es/jugadores/715bf047/James-Rodriguez
2016-2017,25,Real Madrid,esESP,1.La Liga,22,"1,181",8,6,3.0,258.0,3.0,0.0,7.0,366.0,0.0,2.0,32,"1,805",11,8,13,"1,181",13.1,8,6,14,8,0,0,1,0,,,,,,,,0.61,0.46,1.07,0.61,1.07,,,,,,,18.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,32.0,18.0,56.3,2.44,1.37,0.25,0.44,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,181",54,34.5,13.1,13,75.0,5,9,22.0,9.0,2.55,42.0,16.0,26.0,1.98,0.41,,,,,,1,0,0.0,12.0,21.0,10.0,99.0,11.0,18.0,0.0,0.0,0.0,,,,,"€ 319,231(£ 277,292, $349,870)","€ 16,600,000(£ 14,419,169, $18,193,238)",Estimación no verificada,https://fbref.com/es/jugadores/715bf047/James-Rodriguez
2017-2018,26,Bayern Munich,deGER,1.Bundesliga,23,"1,621",7,11,4.0,241.0,0.0,1.0,12.0,779.0,1.0,2.0,39,"2,641",8,14,19,"1,621",18.0,7,11,18,7,0,0,2,0,4.8,4.8,7.5,12.4,37.0,204.0,157.0,0.39,0.61,1.0,0.39,1.0,0.27,0.42,0.69,0.27,0.69,35.0,27.0,10.0,15.0,10.0,15.0,30.0,50.0,15.0,16.0,1.0,15.0,12.0,47.0,4.0,0.0,1347.0,1590.0,84.7,26078.0,7221.0,554.0,599.0,92.5,584.0,678.0,86.1,197.0,272.0,72.4,11,7.5,7.7,3.5,63.0,180.0,33.0,7.0,204.0,1590.0,1433.0,149.0,61.0,5.0,32.0,132.0,17.0,58.0,11.0,41.0,0.0,1347.0,8.0,27.0,13.0,176.0,954.0,659.0,50.0,1768.0,54.0,20.0,37.0,34.0,63.0,1134.0,4994.0,2670.0,37.0,40.0,4.0,24.0,17.0,1376.0,157.0,7,40.0,15.0,37.5,2.22,0.83,0.18,0.47,18.8,3.0,0,0,4.8,4.8,0.12,2.2,2.2,110.0,6.11,75.0,25.0,2.0,6.0,1.0,1.0,16.0,0.89,14.0,1.0,0.0,0.0,1.0,0.0,"1,621",70,53.0,18.0,19,,11,4,,5.0,2.39,45.0,15.0,30.0,1.67,-0.46,36.8,20.0,16.8,0.93,-0.78,2,0,0.0,22.0,33.0,4.0,132.0,12.0,27.0,0.0,0.0,0.0,126.0,6.0,12.0,33.3,"£ 90,000(€ 103,602, $113,562)","£ 4,680,000(€ 5,387,307, $5,905,244)",,https://fbref.com/es/jugadores/715bf047/James-Rodriguez
2018-2019,27,Bayern Munich,deGER,1.Bundesliga,20,"1,138",7,3,3.0,178.0,0.0,1.0,5.0,333.0,0.0,1.0,28,"1,649",7,5,13,"1,138",12.6,7,3,10,7,0,0,2,0,5.1,5.1,5.6,10.6,35.0,135.0,103.0,0.55,0.24,0.79,0.55,0.79,0.4,0.44,0.84,0.4,0.84,12.0,8.0,3.0,4.0,5.0,5.0,19.0,26.3,14.0,9.0,0.0,9.0,4.0,16.0,1.0,0.0,805.0,974.0,82.6,14271.0,3994.0,369.0,401.0,92.0,302.0,349.0,86.5,100.0,157.0,63.7,3,5.6,5.7,-2.6,51.0,74.0,36.0,5.0,135.0,974.0,866.0,104.0,28.0,4.0,12.0,84.0,9.0,59.0,14.0,33.0,0.0,805.0,4.0,15.0,4.0,89.0,516.0,481.0,56.0,1080.0,26.0,16.0,61.5,10.0,38.5,688.0,3566.0,1708.0,35.0,26.0,7.0,13.0,12.0,822.0,103.0,7,36.0,19.0,52.8,2.85,1.5,0.19,0.37,17.3,5.0,0,0,5.1,5.1,0.14,1.9,1.9,83.0,6.58,56.0,19.0,1.0,6.0,1.0,0.0,8.0,0.63,5.0,2.0,0.0,0.0,1.0,0.0,"1,138",57,37.2,12.6,13,78.0,3,7,17.0,4.0,2.25,32.0,14.0,18.0,1.42,-0.36,32.2,9.3,22.9,1.82,0.16,2,0,0.0,7.0,15.0,5.0,84.0,4.0,8.0,1.0,0.0,0.0,73.0,3.0,7.0,30.0,"€ 80,000(£ 68,767, $90,857)","€ 4,160,000(£ 3,575,869, $4,724,561)",Estimación no verificada,https://fbref.com/es/jugadores/715bf047/James-Rodriguez
2019-2020,28,Real Madrid,esESP,1.La Liga,8,419,1,1,4.0,228.0,0.0,1.0,2.0,81.0,0.0,0.0,14,728,1,2,5,419,4.7,1,1,2,1,0,0,1,0,1.1,1.1,2.2,3.3,10.0,34.0,27.0,0.21,0.21,0.43,0.21,0.43,0.23,0.48,0.71,0.23,0.71,17.0,13.0,6.0,8.0,3.0,6.0,12.0,50.0,6.0,3.0,0.0,3.0,3.0,20.0,1.0,0.0,233.0,303.0,76.9,4174.0,1130.0,115.0,130.0,88.5,74.0,85.0,87.1,37.0,68.0,54.4,1,2.2,1.4,-1.2,14.0,29.0,8.0,2.0,34.0,303.0,271.0,30.0,12.0,5.0,9.0,26.0,4.0,13.0,1.0,8.0,0.0,233.0,2.0,5.0,0.0,38.0,175.0,139.0,8.0,348.0,1.0,1.0,100.0,0.0,0.0,236.0,1052.0,389.0,10.0,7.0,0.0,8.0,3.0,263.0,27.0,1,9.0,1.0,11.1,1.93,0.21,0.11,1.0,17.4,1.0,0,0,1.1,1.1,0.12,-0.1,-0.1,24.0,5.16,18.0,4.0,0.0,0.0,2.0,0.0,1.0,0.21,1.0,0.0,0.0,0.0,0.0,0.0,419,52,12.3,4.7,5,78.0,2,3,10.0,10.0,2.13,7.0,3.0,4.0,0.86,-0.37,8.8,2.5,6.3,1.36,0.52,1,0,0.0,5.0,8.0,2.0,26.0,3.0,13.0,0.0,0.0,0.0,18.0,4.0,6.0,40.0,,,,
