Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2009-2010,16,Zürich,chSUI,1.Super Lg,6,427,0,0,,,,,,,,,6,427,0,0,4,427,4.7,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.21,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,427,71,13.2,4.7,4,,,2,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 18,846(£ 16,370, $20,655)","€ 980,000(£ 851,252, $1,074,059)",Estimación no verificada,https://fbref.com/es/jugadores/7f78ad23/Ricardo-Rodriguez
2010-2011,17,Zürich,chSUI,1.Super Lg,13,"1,017",1,3,,,,,,,,,13,"1,017",1,3,11,"1,017",11.3,1,3,4,1,0,0,1,0,,,,,,,,0.09,0.27,0.35,0.09,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,0.44,,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,017",78,31.4,11.3,11,,,2,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,"€ 95,385(£ 82,853, $104,539)","€ 4,960,000(£ 4,308,378, $5,436,052)",Estimación no verificada,https://fbref.com/es/jugadores/7f78ad23/Ricardo-Rodriguez
2011-2012,18,Zürich,chSUI,1.Super Lg,16,"1,440",1,0,,,,,5.0,374.0,0.0,0.0,21,"1,814",1,0,16,"1,440",16.0,1,0,1,0,1,1,1,0,,,,,,,,0.06,0.0,0.06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,0.19,,0.0,,,1,1,,,,,,,,,,,,,,,,,,,,,,"1,440",90,47.1,16.0,16,,,0,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,"€ 91,538(£ 79,513, $100,324)","€ 4,760,000(£ 4,134,653, $5,216,856)",Estimación no verificada,https://fbref.com/es/jugadores/7f78ad23/Ricardo-Rodriguez
2011-2012,18,Wolfsburg,deGER,1.Bundesliga,17,"1,530",0,0,,,,,,,,,17,"1,530",0,0,17,"1,530",17.0,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5,,,0.29,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,530",90,50.0,17.0,17,,17.0,0,,,,,,,,,,,,,,1,0,,20.0,,,,,,,,,,,,,"€ 147,308(£ 127,955, $161,446)","€ 7,660,000(£ 6,653,665, $8,395,193)",Estimación no verificada,https://fbref.com/es/jugadores/7f78ad23/Ricardo-Rodriguez
2012-2013,19,Wolfsburg,deGER,1.Bundesliga,24,"1,712",0,4,,,,,,,,,24,"1,712",0,4,19,"1,712",19.0,0,4,4,0,0,0,1,0,,,,,,,,0.0,0.21,0.21,0.0,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5,,,0.26,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,712",71,55.9,19.0,19,,17.0,5,,,,,,,,,,,,,,1,0,,42.0,,,,,,,,,,,,,"€ 100,000(£ 86,862, $109,598)","€ 5,200,000(£ 4,516,848, $5,699,087)",Estimación no verificada,https://fbref.com/es/jugadores/7f78ad23/Ricardo-Rodriguez
2013-2014,20,Wolfsburg,deGER,1.Bundesliga,34,"3,060",5,9,,,,,,,,,34,"3,060",5,9,34,"3,060",34.0,5,9,14,2,3,4,2,0,,,,,,,,0.15,0.26,0.41,0.06,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,21,,,0.62,,0.1,,,3,4,,,,,,,,,,,,,,,,,,,,,,"3,060",90,100.0,34.0,34,,34.0,0,,,,,,,,,,,,,,2,0,,38.0,,,,,,,,,,,,,"€ 74,808(£ 64,980, $81,988)","€ 3,890,000(£ 3,378,950, $4,263,355)",Estimación no verificada,https://fbref.com/es/jugadores/7f78ad23/Ricardo-Rodriguez
2014-2015,21,Wolfsburg,deGER,1.Bundesliga,26,"2,290",6,4,4.0,372.0,1.0,0.0,9.0,786.0,3.0,0.0,39,"3,448",10,4,26,"2,290",25.4,6,4,10,3,3,3,2,0,,,,,,,,0.24,0.16,0.39,0.12,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,15,,,0.59,,0.2,,,3,3,,,,,,,,,,,,,,,,,,,,,,"2,290",88,74.8,25.4,26,,22.0,0,,2.0,1.96,52.0,30.0,22.0,0.86,-0.54,,,,,,2,0,,20.0,,,,,,,,,,,,,"€ 74,808(£ 64,980, $81,988)","€ 3,890,000(£ 3,378,950, $4,263,355)",,https://fbref.com/es/jugadores/7f78ad23/Ricardo-Rodriguez
2015-2016,22,Wolfsburg,deGER,1.Bundesliga,24,"2,067",2,3,3.0,286.0,0.0,0.0,9.0,736.0,1.0,1.0,36,"3,089",3,4,23,"2,067",23.0,2,3,5,0,2,2,3,0,,,,,,,,0.09,0.13,0.22,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10,,,0.44,,0.0,,,2,2,,,,,,,,,,,,,,,,,,,,,,"2,067",86,67.5,23.0,23,,22.0,1,,3.0,1.13,28.0,37.0,-9.0,-0.39,-1.03,,,,,,3,0,,24.0,,,,,,,,,,,,,"€ 53,462(£ 46,438, $58,593)","€ 2,780,000(£ 2,414,776, $3,046,819)",,https://fbref.com/es/jugadores/7f78ad23/Ricardo-Rodriguez
2016-2017,23,Wolfsburg,deGER,1.Bundesliga,24,"2,018",2,3,3.0,270.0,0.0,0.0,,,,,27,"2,288",2,3,23,"2,018",22.4,2,3,5,1,1,1,1,0,,,,,,,,0.09,0.13,0.22,0.04,0.18,,,,,,,21.0,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22.0,7,31.8,0.98,0.31,0.05,0.14,,,1,1,,,,,,,,,,,,,,,,,,,,,,"2,018",84,65.9,22.4,23,,21.0,1,,1.0,0.96,19.0,37.0,-18.0,-0.8,-0.8,,,,,,1,0,0.0,24.0,12.0,0.0,93.0,38.0,21.0,0.0,1.0,0.0,,,,,"€ 53,462(£ 46,438, $58,593)","€ 2,780,000(£ 2,414,776, $3,046,819)",,https://fbref.com/es/jugadores/7f78ad23/Ricardo-Rodriguez
2017-2018,24,Milan,itITA,1.Serie A,34,"3,005",1,0,4.0,420.0,0.0,0.0,7.0,544.0,2.0,2.0,45,"3,969",3,2,34,"3,005",33.4,1,0,1,0,1,2,5,1,2.3,0.8,1.9,2.7,89.0,199.0,147.0,0.03,0.0,0.03,0.0,0.0,0.07,0.06,0.13,0.02,0.08,48.0,29.0,24.0,18.0,6.0,18.0,28.0,64.3,10.0,36.0,6.0,30.0,33.0,81.0,93.0,3.0,1739.0,2090.0,83.2,30510.0,9373.0,809.0,858.0,94.3,722.0,840.0,86.0,173.0,300.0,57.7,0,1.9,2.5,-1.9,24.0,161.0,30.0,18.0,199.0,2090.0,1837.0,244.0,29.0,0.0,43.0,120.0,214.0,1.0,1.0,0.0,0.0,1739.0,9.0,46.0,88.0,673.0,1184.0,523.0,22.0,2365.0,23.0,22.0,95.7,1.0,4.3,1291.0,7115.0,4015.0,89.0,68.0,4.0,25.0,19.0,1610.0,147.0,1,28.0,6,21.4,0.84,0.18,0.0,0.0,27.1,1.0,1,2,2.3,0.8,0.03,-1.3,-0.8,58.0,1.74,45.0,6.0,1.0,3.0,3.0,0.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,"3,005",88,87.9,33.4,34,,32.0,0,,1.0,1.68,50.0,36.0,14.0,0.42,0.42,46.2,32.0,14.2,0.42,0.4,5,1,1.0,37.0,27.0,2.0,120.0,33.0,29.0,0.0,1.0,0.0,177.0,33.0,33.0,50.0,"€ 53,462(£ 45,994, $58,458)","€ 2,780,000(£ 2,391,663, $3,039,820)",,https://fbref.com/es/jugadores/7f78ad23/Ricardo-Rodriguez
