Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,19,Le Havre,frFRA,2.Ligue 2,1,90,0,0,,,,,,,,,1,90,0,0,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,90,90,2.6,1.0,1,,,0,,4,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 13,269(£ 11,526, $14,543)","€ 690,000(£ 599,351, $756,225)",Estimación no verificada,https://fbref.com/es/jugadores/3cefcaef/Ferland-Mendy
2015-2016,20,Le Havre,frFRA,2.Ligue 2,11,712,0,1,,,,,,,,,11,712,0,1,8,712,7.9,0,1,1,0,0,0,2,0,,,,,,,,0.0,0.13,0.13,0.0,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,712,65,20.8,7.9,8,,7.0,3,,4,1.64,10.0,7.0,3.0,0.38,-0.02,,,,,,2,0,,18.0,,,,,,,,,,,,,"€ 25,000(£ 21,716, $27,399)","€ 1,300,000(£ 1,129,212, $1,424,772)",Estimación no verificada,https://fbref.com/es/jugadores/3cefcaef/Ferland-Mendy
2016-2017,21,Le Havre,frFRA,2.Ligue 2,35,"3,105",2,5,2.0,180.0,0.0,0.0,,,,,37,"3,285",2,5,34,"3,105",34.5,2,5,7,2,0,0,8,0,,,,,,,,0.06,0.14,0.2,0.06,0.2,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.0,12,,0.0,0.35,,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,105",89,90.8,34.5,34,,34.0,1,,0,1.49,36.0,28.0,8.0,0.23,0.23,,,,,,8,0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 200,385(£ 174,059, $219,617)","€ 10,420,000(£ 9,051,068, $11,420,093)",Estimación no verificada,https://fbref.com/es/jugadores/3cefcaef/Ferland-Mendy
2017-2018,22,Lyon,frFRA,1.Ligue 1,27,"2,122",0,5,1.0,90.0,0.0,0.0,7.0,387.0,0.0,0.0,35,"2,599",0,5,24,"2,122",23.6,0,5,5,0,0,0,4,0,0.8,0.8,2.4,3.2,97.0,131.0,138.0,0.0,0.21,0.21,0.0,0.21,0.03,0.1,0.14,0.03,0.14,45.0,28.0,29.0,13.0,3.0,20.0,31.0,64.5,11.0,18.0,5.0,13.0,25.0,70.0,43.0,0.0,1341.0,1575.0,85.1,19206.0,5697.0,803.0,862.0,93.2,428.0,511.0,83.8,65.0,103.0,63.1,5,2.4,2.3,2.6,27.0,85.0,25.0,10.0,131.0,1575.0,1339.0,230.0,21.0,0.0,4.0,58.0,209.0,0.0,0.0,0.0,0.0,1341.0,6.0,37.0,56.0,410.0,989.0,454.0,34.0,1831.0,70.0,48.0,68.6,22.0,31.4,1137.0,6942.0,4003.0,97.0,61.0,15.0,42.0,27.0,1200.0,138.0,0,18.0,5,27.8,0.76,0.21,0.0,0.0,21.3,0.0,0,0,0.8,0.8,0.04,-0.8,-0.8,68.0,2.88,50.0,0.0,8.0,5.0,5.0,0.0,15.0,0.64,10.0,0.0,1.0,3.0,1.0,0.0,"2,122",79,62.0,23.6,24,87.0,21.0,3,10.0,5,1.81,48.0,33.0,15.0,0.64,-1.37,39.3,24.6,14.7,0.62,0.03,4,0,0.0,30.0,46.0,0.0,58.0,25.0,28.0,1.0,3.0,0.0,149.0,37.0,25.0,59.7,"€ 200,385(£ 174,059, $219,617)","€ 10,420,000(£ 9,051,068, $11,420,093)",,https://fbref.com/es/jugadores/3cefcaef/Ferland-Mendy
2018-2019,23,Lyon,frFRA,1.Ligue 1,30,"2,531",2,1,6.0,376.0,1.0,2.0,8.0,706.0,0.0,1.0,44,"3,613",3,4,27,"2,531",28.1,2,1,3,2,0,0,2,0,0.9,0.9,3.2,4.1,111.0,163.0,212.0,0.07,0.04,0.11,0.07,0.11,0.03,0.11,0.14,0.03,0.14,44.0,28.0,25.0,14.0,5.0,14.0,17.0,82.4,3.0,22.0,5.0,17.0,34.0,78.0,53.0,2.0,1636.0,1974.0,82.9,25824.0,6954.0,935.0,1034.0,90.4,510.0,608.0,83.9,142.0,203.0,70.0,1,3.2,3.6,-2.2,40.0,115.0,24.0,9.0,163.0,1974.0,1701.0,264.0,20.0,2.0,19.0,80.0,244.0,0.0,0.0,0.0,0.0,1636.0,9.0,43.0,76.0,493.0,1149.0,645.0,54.0,2268.0,72.0,55.0,76.4,17.0,23.6,1452.0,8128.0,4734.0,111.0,84.0,21.0,36.0,37.0,1513.0,212.0,2,23.0,7,30.4,0.82,0.25,0.09,0.29,21.9,0.0,0,0,0.9,0.9,0.04,1.1,1.1,94.0,3.34,79.0,3.0,9.0,0.0,3.0,0.0,6.0,0.21,6.0,0.0,0.0,0.0,0.0,0.0,"2,531",84,74.0,28.1,27,89.0,26.0,3,40.0,1,1.87,52.0,34.0,18.0,0.64,0.13,51.5,33.4,18.1,0.64,-0.54,2,0,0.0,28.0,44.0,0.0,80.0,34.0,28.0,0.0,1.0,0.0,195.0,46.0,36.0,56.1,"€ 200,385(£ 174,059, $219,617)","€ 10,420,000(£ 9,051,068, $11,420,093)",,https://fbref.com/es/jugadores/3cefcaef/Ferland-Mendy
2019-2020,24,Real Madrid,esESP,1.La Liga,25,"1,809",1,3,2.0,190.0,0.0,0.0,5.0,409.0,0.0,0.0,32,"2,408",1,3,19,"1,809",20.1,1,3,4,1,0,0,8,1,0.6,0.6,2.4,3.0,69.0,64.0,131.0,0.05,0.15,0.2,0.05,0.2,0.03,0.12,0.15,0.03,0.15,32.0,26.0,20.0,9.0,3.0,14.0,18.0,77.8,4.0,19.0,5.0,14.0,22.0,54.0,30.0,1.0,1060.0,1252.0,84.7,15809.0,4180.0,635.0,681.0,93.2,311.0,382.0,81.4,76.0,113.0,67.3,3,2.4,1.6,0.6,20.0,46.0,21.0,9.0,64.0,1252.0,1066.0,186.0,9.0,0.0,21.0,66.0,177.0,0.0,0.0,0.0,0.0,1060.0,0.0,27.0,54.0,380.0,626.0,468.0,38.0,1469.0,69.0,49.0,71.0,20.0,29.0,885.0,4847.0,2486.0,69.0,42.0,20.0,38.0,17.0,980.0,131.0,1,7.0,3,42.9,0.35,0.15,0.14,0.33,21.2,0.0,0,0,0.6,0.6,0.09,0.4,0.4,45.0,2.24,35.0,1.0,4.0,0.0,3.0,2.0,6.0,0.3,3.0,0.0,1.0,0.0,2.0,0.0,"1,809",72,52.9,20.1,19,90.0,18.0,6,18.0,6,2.4,35.0,11.0,24.0,1.19,0.02,34.0,16.9,17.1,0.85,-0.12,8,1,1.0,25.0,29.0,1.0,66.0,22.0,26.0,1.0,0.0,0.0,97.0,26.0,19.0,57.8,"€ 200,385(£ 172,393, $219,113)","€ 10,420,000(£ 8,964,434, $11,393,859)",,https://fbref.com/es/jugadores/3cefcaef/Ferland-Mendy
2020-2021,25,Real Madrid,esESP,1.La Liga,26,"2,208",1,0,1.0,90.0,0.0,0.0,11.0,962.0,1.0,0.0,38,"3,260",2,0,24,"2,208",24.5,1,0,1,1,0,0,3,0,0.8,0.8,0.9,1.7,87.0,97.0,149.0,0.04,0.0,0.04,0.04,0.04,0.03,0.04,0.07,0.03,0.07,26.0,16.0,17.0,6.0,3.0,12.0,24.0,50.0,12.0,16.0,4.0,12.0,26.0,52.0,32.0,1.0,1302.0,1466.0,88.8,18267.0,4613.0,781.0,820.0,95.2,386.0,443.0,87.1,68.0,92.0,73.9,0,0.9,2.1,-0.9,18.0,49.0,24.0,4.0,97.0,1466.0,1292.0,171.0,9.0,0.0,10.0,35.0,162.0,0.0,0.0,0.0,0.0,1302.0,3.0,20.0,62.0,439.0,710.0,557.0,39.0,1688.0,60.0,44.0,73.3,16.0,26.7,1116.0,6697.0,3894.0,87.0,61.0,17.0,43.0,25.0,1209.0,149.0,1,12.0,2,16.7,0.49,0.08,0.08,0.5,19.0,0.0,0,0,0.8,0.8,0.07,0.2,0.2,47.0,1.92,41.0,0.0,2.0,0.0,4.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,"2,208",85,64.6,24.5,24,89.0,23.0,2,31.0,4,2.38,47.0,16.0,31.0,1.26,0.67,42.4,21.0,21.4,0.87,0.69,3,0,0.0,22.0,39.0,5.0,35.0,26.0,16.0,0.0,0.0,0.0,119.0,10.0,14.0,41.7,"€ 200,385(£ 169,291, $215,342)","€ 10,420,000(£ 8,803,119, $11,197,798)",,https://fbref.com/es/jugadores/3cefcaef/Ferland-Mendy
2021-2022,26,Real Madrid,esESP,1.La Liga,22,"1,734",2,1,3.0,213.0,0.0,0.0,10.0,864.0,0.0,3.0,35,"2,811",2,4,20,"1,734",19.3,2,1,3,2,0,0,4,0,1.0,1.0,1.4,2.5,71.0,99.0,116.0,0.1,0.05,0.16,0.1,0.16,0.05,0.08,0.13,0.05,0.13,24.0,14.0,11.0,10.0,3.0,8.0,14.0,57.1,6.0,8.0,2.0,6.0,18.0,42.0,27.0,3.0,1226.0,1351.0,90.7,16815.0,4718.0,757.0,797.0,95.0,367.0,399.0,92.0,47.0,63.0,74.6,1,1.4,2.3,-0.4,19.0,85.0,14.0,1.0,99.0,1351.0,1201.0,148.0,13.0,1.0,5.0,28.0,135.0,0.0,0.0,0.0,0.0,1226.0,2.0,22.0,56.0,393.0,635.0,512.0,38.0,1529.0,52.0,35.0,67.3,17.0,32.7,995.0,5692.0,2871.0,71.0,48.0,19.0,23.0,13.0,1115.0,116.0,2,12.0,5,41.7,0.62,0.26,0.17,0.4,19.4,0.0,0,0,1.0,1.0,0.09,1.0,1.0,60.0,3.11,48.0,3.0,8.0,0.0,1.0,0.0,4.0,0.21,3.0,0.0,0.0,0.0,1.0,0.0,"1,734",79,50.7,19.3,20,84.0,14.0,2,24.0,2,2.36,41.0,12.0,29.0,1.51,0.44,38.3,20.0,18.3,0.95,0.45,4,0,0.0,15.0,24.0,3.0,28.0,18.0,14.0,1.0,1.0,0.0,98.0,11.0,13.0,45.8,"€ 200,385(£ 172,247, $227,579)","€ 10,420,000(£ 8,956,865, $11,834,117)",,https://fbref.com/es/jugadores/3cefcaef/Ferland-Mendy
2022-2023,27,Real Madrid,esESP,1.La Liga,18,"1,351",0,1,4.0,270.0,0.0,0.0,6.0,437.0,0.0,0.0,28,"2,058",0,1,17,"1,351",15.0,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.9,23.0,56.0,73.0,0.0,0.07,0.07,0.0,0.07,0.02,0.04,0.06,0.02,0.06,21.0,12.0,14.0,6.0,1.0,12.0,20.0,60.0,8.0,7.0,2.0,5.0,14.0,35.0,16.0,0.0,794.0,862.0,92.1,10969.0,2745.0,507.0,532.0,95.3,223.0,246.0,90.7,34.0,38.0,89.5,1,0.6,0.6,0.4,13.0,54.0,9.0,0.0,56.0,862.0,759.0,101.0,20.0,0.0,3.0,7.0,81.0,0.0,0.0,0.0,0.0,794.0,2.0,8.0,42.0,265.0,426.0,287.0,8.0,971.0,29.0,19.0,65.5,8.0,27.6,591.0,3059.0,1427.0,23.0,25.0,2.0,20.0,17.0,697.0,73.0,0,1.0,0,0.0,0.07,0.0,0.0,,7.3,0.0,0,0,0.3,0.3,0.26,-0.3,-0.3,28.0,1.87,25.0,1.0,1.0,0.0,0.0,1.0,2.0,0.13,2.0,0.0,0.0,0.0,0.0,0.0,"1,351",75,39.5,15.0,17,78.0,6.0,1,29.0,5,2.11,26.0,17.0,9.0,0.6,-0.71,26.7,17.0,9.6,0.64,-0.53,2,0,0.0,4.0,18.0,0.0,7.0,14.0,12.0,0.0,0.0,0.0,77.0,7.0,8.0,46.7,"€ 200,385(£ 172,247, $227,579)","€ 10,420,000(£ 8,956,865, $11,834,117)",,https://fbref.com/es/jugadores/3cefcaef/Ferland-Mendy
2023-2024,28,Real Madrid,esESP,1.La Liga,23,"1,720",0,0,3.0,235.0,1.0,0.0,11.0,872.0,0.0,0.0,37,"2,827",1,0,21,"1,720",19.1,0,0,0,0,0,0,5,0,0.2,0.2,0.9,1.1,19.0,84.0,96.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,15.0,10.0,12.0,2.0,1.0,11.0,14.0,78.6,3.0,12.0,2.0,10.0,13.0,28.0,26.0,1.0,1201.0,1275.0,94.2,16396.0,4875.0,759.0,781.0,97.2,356.0,383.0,93.0,41.0,50.0,82.0,0,0.9,0.7,-0.9,11.0,63.0,10.0,1.0,84.0,1275.0,1127.0,148.0,12.0,0.0,4.0,5.0,136.0,0.0,0.0,0.0,0.0,1201.0,0.0,8.0,44.0,387.0,687.0,345.0,17.0,1409.0,28.0,13.0,46.4,13.0,46.4,858.0,3474.0,1505.0,19.0,21.0,3.0,20.0,14.0,1026.0,96.0,0,5.0,1,20.0,0.26,0.05,0.0,0.0,19.8,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,31.0,1.62,27.0,2.0,1.0,1.0,0.0,0.0,3.0,0.16,3.0,0.0,0.0,0.0,0.0,0.0,"1,720",75,50.3,19.1,21,80.0,12.0,2,18.0,5,2.43,44.0,9.0,35.0,1.83,0.45,34.7,16.3,18.4,0.97,0.18,5,0,0.0,17.0,15.0,0.0,5.0,13.0,10.0,0.0,0.0,0.0,97.0,6.0,5.0,54.5,"€ 200,385(£ 172,247, $227,579)","€ 10,420,000(£ 8,956,865, $11,834,117)",,https://fbref.com/es/jugadores/3cefcaef/Ferland-Mendy
