Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Federico Valverde,uyURU,"CC,DF",26-281,31,29,"2,582",28.7,6,4,10,6,0,0,3,0,2.3,2.3,2.7,5.0,54,189,65,0.21,0.14,0.35,0.21,0.35,0.08,0.09,0.17,0.08,0.17,Partidos,73.0,2.55,69.0,1.0,0.0,3.0,0.0,0.0,13.0,0.45,12.0,0.0,0.0,1.0,0.0,0.0,41.0,25.0,16.0,20.0,5.0,24.0,35.0,68.6,11.0,34.0,5.0,29.0,50.0,91.0,48.0,1.0,1696.0,1898.0,89.4,29944.0,8729.0,801.0,859.0,93.2,675.0,719.0,93.9,177.0,232.0,76.3,2.8,1.3,34.0,192.0,27.0,2.0,1821.0,68.0,34.0,3.0,41.0,23.0,30.0,3.0,3.0,0.0,0.0,9.0,19.0,42.2,1.57,0.66,0.13,0.32,26.4,0.05,3.7,3.7,2166.0,33.0,12.0,54.5,8.0,36.4,1267.0,4.0,32.0,1.0,1613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,86.9,88,23,2,21,1,2.23,58,24,+34,+1.19,+0.95,56.0,27.4,+28.6,+1.00,+1.05,0.0,9.0,14.0,25.0,0.0,0.0,144.0,64.9,/es/jugadores/0959c2a2/Federico-Valverde
Kylian Mbappé,frFRA,DL,26-130,29,29,"2,457",27.3,22,3,25,16,6,7,3,1,19.9,14.4,6.5,20.9,122,119,325,0.81,0.11,0.92,0.59,0.70,0.73,0.24,0.97,0.53,0.76,Partidos,108.0,3.96,68.0,1.0,22.0,12.0,5.0,0.0,11.0,0.4,7.0,1.0,1.0,2.0,0.0,0.0,8.0,5.0,1.0,3.0,4.0,1.0,5.0,20.0,4.0,3.0,0.0,3.0,0.0,8.0,1.0,0.0,801.0,967.0,82.8,11745.0,2054.0,475.0,543.0,87.5,219.0,250.0,87.6,55.0,69.0,79.7,5.9,-3.5,41.0,65.0,43.0,2.0,908.0,55.0,3.0,6.0,19.0,28.0,8.0,4.0,0.0,0.0,0.0,4.0,62.0,51.2,4.43,2.27,0.13,0.26,16.9,0.12,2.1,1.6,1317.0,257.0,70.0,43.5,80.0,49.7,891.0,79.0,69.0,42.0,1140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,82.7,85,17,0,,0,2.21,56,25,+31,+1.14,+0.43,56.9,27.3,+29.6,+1.09,+1.31,0.0,22.0,32.0,5.0,2.0,0.0,34.0,37.5,/es/jugadores/42fd9c7f/Kylian-Mbappe
Thibaut Courtois,beBEL,PO,32-353,27,27,"2,430",27.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos,3.0,0.11,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,13.0,1.0,783.0,938.0,83.5,18194.0,11607.0,152.0,153.0,99.3,491.0,494.0,99.4,139.0,289.0,48.1,0.0,0.0,0.0,4.0,0.0,0.0,779.0,158.0,27.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,,,,,0.0,0.0,997.0,0.0,0.0,0.0,1.0,100.0,614.0,0.0,0.0,0.0,611.0,22.0,0.81,87.0,66.0,78.2,18.0,6.0,3.0,11.0,40.7,3.0,3.0,3.0,3.0,0.0,0.0,4.0,22.9,0.26,1.9,0.07,806.0,153.0,17.6,27.8,34.4,38.4,325.0,13.0,4.0,14.0,0.52,11.0,90,81.8,90,27,0,,0,2.22,54,22,+32,+1.19,+0.69,50.4,27.0,+23.3,+0.86,+0.03,0.0,0.0,1.0,0.0,0.0,0.0,44.0,100.0,/es/jugadores/1840e36d/Thibaut-Courtois
Aurélien Tchouaméni,frFRA,"CC,DF",25-092,28,27,"2,364",26.3,0,0,0,0,0,0,4,0,1.2,1.2,0.5,1.7,19,149,13,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,Partidos,32.0,1.22,31.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,20.0,21.0,18.0,2.0,19.0,38.0,50.0,19.0,28.0,20.0,8.0,42.0,83.0,77.0,1.0,1705.0,1846.0,92.4,29850.0,9706.0,714.0,748.0,95.5,848.0,900.0,94.2,124.0,161.0,77.0,0.8,-0.5,4.0,159.0,9.0,1.0,1765.0,79.0,54.0,0.0,8.0,10.0,5.0,0.0,0.0,0.0,0.0,2.0,3.0,20.0,0.57,0.11,0.0,0.0,18.4,0.08,-1.2,-1.2,2107.0,20.0,10.0,62.5,3.0,18.8,1312.0,1.0,21.0,8.0,1550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,79.6,87,24,1,10,0,2.04,47,25,+22,+0.84,-1.09,42.0,27.2,+14.8,+0.56,-1.44,0.0,25.0,22.0,20.0,0.0,1.0,124.0,74.2,/es/jugadores/4f255115/Aurelien-Tchouameni
Antonio Rüdiger,deGER,DF,32-057,29,26,"2,291",25.5,0,0,0,0,0,0,3,0,1.7,1.7,0.5,2.3,20,94,4,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.09,0.07,0.09,Partidos,28.0,1.1,19.0,0.0,0.0,6.0,3.0,0.0,2.0,0.08,1.0,0.0,0.0,0.0,1.0,0.0,20.0,13.0,14.0,6.0,0.0,11.0,15.0,73.3,4.0,22.0,14.0,8.0,9.0,29.0,96.0,1.0,1706.0,1858.0,91.8,32076.0,10610.0,644.0,666.0,96.7,875.0,919.0,95.2,168.0,239.0,70.3,0.9,-0.5,7.0,117.0,6.0,1.0,1780.0,72.0,48.0,3.0,18.0,4.0,9.0,0.0,0.0,0.0,0.0,6.0,4.0,16.7,0.94,0.16,0.0,0.0,18.0,0.07,-1.7,-1.7,2069.0,23.0,3.0,42.9,2.0,28.6,1373.0,2.0,7.0,2.0,1584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,77.1,87,24,3,14,1,2.21,54,25,+29,+1.14,+0.34,48.1,26.5,+21.6,+0.85,-0.05,0.0,15.0,15.0,13.0,2.0,1.0,102.0,59.3,/es/jugadores/18b896d6/Antonio-Rudiger
Jude Bellingham,engENG,CC,21-304,27,25,"2,128",23.6,8,7,15,7,1,2,3,1,9.8,8.3,3.6,11.9,62,172,120,0.34,0.30,0.63,0.30,0.59,0.42,0.15,0.57,0.35,0.50,Partidos,89.0,3.77,71.0,1.0,4.0,7.0,3.0,3.0,11.0,0.47,9.0,0.0,0.0,1.0,1.0,0.0,53.0,31.0,16.0,24.0,13.0,24.0,37.0,64.9,13.0,31.0,2.0,29.0,24.0,77.0,18.0,1.0,1135.0,1314.0,86.4,18061.0,3962.0,618.0,680.0,90.9,396.0,445.0,89.0,92.0,119.0,77.3,4.1,3.4,35.0,111.0,28.0,0.0,1264.0,41.0,19.0,15.0,18.0,13.0,10.0,1.0,0.0,0.0,0.0,9.0,18.0,35.3,2.16,0.76,0.14,0.39,15.9,0.16,-1.8,-1.3,1596.0,95.0,35.0,53.8,24.0,36.9,1019.0,12.0,45.0,33.0,1307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,71.6,83,15,2,28,0,2.19,51,26,+25,+1.06,-0.01,44.9,25.8,+19.1,+0.81,-0.18,0.0,28.0,56.0,31.0,1.0,0.0,77.0,46.9,/es/jugadores/57d88cf9/Jude-Bellingham
Vinicius Júnior,brBRA,DL,24-291,27,22,"2,040",22.7,11,5,16,9,2,3,8,1,10.1,7.9,6.6,14.5,155,74,243,0.49,0.22,0.71,0.40,0.62,0.44,0.29,0.74,0.35,0.64,Partidos,123.0,5.43,70.0,1.0,27.0,11.0,11.0,3.0,14.0,0.62,7.0,0.0,5.0,0.0,2.0,0.0,19.0,9.0,7.0,3.0,9.0,4.0,17.0,23.5,13.0,5.0,0.0,5.0,3.0,22.0,1.0,2.0,602.0,812.0,74.1,9318.0,2232.0,344.0,415.0,82.9,175.0,226.0,77.4,55.0,86.0,64.0,6.1,-1.6,53.0,48.0,31.0,6.0,778.0,25.0,7.0,11.0,14.0,56.0,9.0,7.0,0.0,0.0,0.0,9.0,22.0,29.7,3.26,0.97,0.12,0.41,17.5,0.11,0.9,1.1,1142.0,185.0,77.0,43.0,89.0,49.7,872.0,99.0,62.0,43.0,969.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,68.7,86,11,5,30,0,2.11,37,18,+19,+0.84,-0.71,39.2,21.4,+17.7,+0.78,-0.25,0.0,27.0,64.0,9.0,2.0,0.0,63.0,12.5,/es/jugadores/7111d552/Vinicius-Junior
Rodrygo,brBRA,"DL,CC",24-110,30,22,"1,928",21.4,6,5,11,6,0,0,0,0,4.0,3.9,3.0,6.9,113,108,253,0.28,0.23,0.51,0.28,0.51,0.19,0.14,0.33,0.18,0.32,Partidos,106.0,4.95,66.0,18.0,13.0,3.0,5.0,1.0,9.0,0.42,7.0,0.0,1.0,0.0,1.0,0.0,21.0,14.0,14.0,5.0,2.0,7.0,23.0,30.4,16.0,18.0,1.0,17.0,11.0,32.0,9.0,0.0,939.0,1093.0,85.9,12276.0,3000.0,619.0,652.0,94.9,234.0,272.0,86.0,35.0,85.0,41.2,4.2,2.0,49.0,66.0,26.0,2.0,986.0,102.0,23.0,1.0,3.0,81.0,17.0,57.0,24.0,22.0,0.0,5.0,20.0,37.0,2.52,0.93,0.11,0.3,16.4,0.07,2.0,2.1,1340.0,127.0,49.0,44.1,46.0,41.4,889.0,50.0,47.0,15.0,1068.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,64.9,76,5,8,33,0,2.20,42,17,+25,+1.17,+0.30,39.6,22.2,+17.5,+0.82,-0.13,0.0,8.0,37.0,14.0,1.0,0.0,71.0,30.4,/es/jugadores/8f5e92a6/Rodrygo
Lucas Vázquez,esESP,DF,33-302,28,22,"1,926",21.4,1,4,5,1,0,0,4,0,1.4,1.4,4.6,6.0,35,92,175,0.05,0.19,0.23,0.05,0.23,0.06,0.22,0.28,0.06,0.28,Partidos,62.0,2.9,51.0,5.0,1.0,2.0,2.0,1.0,7.0,0.33,7.0,0.0,0.0,0.0,0.0,0.0,51.0,32.0,30.0,14.0,7.0,25.0,46.0,54.3,21.0,17.0,3.0,14.0,17.0,68.0,31.0,0.0,1272.0,1460.0,87.1,19462.0,4651.0,677.0,729.0,92.9,498.0,565.0,88.1,63.0,98.0,64.3,3.8,-0.6,31.0,59.0,25.0,2.0,1265.0,190.0,35.0,1.0,7.0,57.0,139.0,16.0,4.0,7.0,0.0,5.0,3.0,21.4,0.65,0.14,0.07,0.33,17.8,0.1,-0.4,-0.4,1659.0,54.0,18.0,54.5,13.0,39.4,923.0,16.0,30.0,12.0,1192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,64.8,85,13,6,11,3,2.11,44,27,+17,+0.79,-0.76,42.3,27.7,+14.6,+0.68,-0.50,0.0,26.0,31.0,32.0,0.0,0.0,70.0,27.8,/es/jugadores/fd51b456/Lucas-Vazquez
Fran Garcia,esESP,DF,25-258,26,19,"1,735",19.3,0,2,2,0,0,0,0,0,0.8,0.8,1.1,1.9,54,98,127,0.00,0.10,0.10,0.00,0.10,0.04,0.05,0.10,0.04,0.10,Partidos,39.0,2.02,35.0,0.0,1.0,3.0,0.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0,36.0,24.0,22.0,10.0,4.0,19.0,33.0,57.6,14.0,21.0,4.0,17.0,23.0,59.0,61.0,1.0,1056.0,1215.0,86.9,15171.0,4049.0,646.0,690.0,93.6,322.0,371.0,86.8,50.0,83.0,60.2,1.3,0.9,18.0,68.0,16.0,6.0,1042.0,171.0,23.0,0.0,4.0,45.0,148.0,0.0,0.0,0.0,0.0,2.0,3.0,25.0,0.62,0.16,0.0,0.0,17.7,0.07,-0.8,-0.8,1410.0,28.0,7.0,36.8,12.0,63.2,767.0,13.0,16.0,8.0,890.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,58.4,86,15,7,13,7,2.04,43,16,+27,+1.40,+0.82,43.2,19.4,+23.7,+1.23,+0.89,0.0,11.0,16.0,24.0,0.0,0.0,90.0,45.5,/es/jugadores/7226539b/Fran-Garcia
