Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,20,Real Sociedad,esESP,1.La Liga,4,316,1,0,1.0,90.0,0.0,0.0,,,,,5,406,1,0,4,316,3.5,1,0,1,1,0,0,2,0,,,,,,,,0.28,0.0,0.28,0.28,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,0.28,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,316,79,9.2,3.5,4,,2,0,,3,0.75,2,5,-3,-0.85,-0.74,,,,,,2,0,,3,,,,,,,,,,,,,"€ 962(£ 835, $1,054)","€ 50,000(£ 43,431, $54,799)",Estimación no verificada,https://fbref.com/es/jugadores/f7dc2ae5/Aritz-Elustondo
2015-2016,21,Real Sociedad,esESP,1.La Liga,31,"2,593",1,0,,,,,,,,,31,"2,593",1,0,30,"2,593",28.8,1,0,1,1,0,0,8,0,,,,,,,,0.03,0.0,0.03,0.03,0.03,,,,,,,63.0,,,,,,,,,,,81.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,16.0,5,31.3,0.56,0.17,0.06,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,593",84,75.8,28.8,30,85.0,23,1,39.0,0,1.29,31,35,-4,-0.14,-0.25,,,,,,8,0,0.0,31,26.0,2.0,70.0,81.0,63.0,0.0,0.0,0.0,,,,,"€ 3,654(£ 3,174, $4,005)","€ 190,000(£ 165,039, $208,236)",Estimación no verificada,https://fbref.com/es/jugadores/f7dc2ae5/Aritz-Elustondo
2016-2017,22,Real Sociedad,esESP,1.La Liga,9,462,0,0,3.0,255.0,0.0,1.0,,,,,12,717,0,1,4,462,5.1,0,0,0,0,0,0,0,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,7.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4.0,0,0.0,0.78,0.0,0.0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,462,51,13.5,5.1,4,67.0,2,5,39.0,20,1.78,10,9,1,0.19,0.04,,,,,,0,1,0.0,5,1.0,0.0,6.0,12.0,7.0,0.0,1.0,0.0,,,,,"€ 3,654(£ 3,174, $4,005)","€ 190,000(£ 165,039, $208,236)",Estimación no verificada,https://fbref.com/es/jugadores/f7dc2ae5/Aritz-Elustondo
2017-2018,23,Real Sociedad,esESP,1.La Liga,19,"1,596",3,2,,,,,5.0,374.0,0.0,0.0,24,"1,970",3,2,18,"1,596",17.7,3,2,5,3,0,0,1,0,1.3,1.3,0.3,1.6,13.0,61.0,12.0,0.17,0.11,0.28,0.17,0.28,0.07,0.02,0.09,0.07,0.09,32.0,20.0,20.0,9.0,3.0,19.0,30.0,63.3,11.0,20.0,7.0,13.0,45.0,77.0,84.0,0.0,870.0,1028.0,84.6,16255.0,5748.0,319.0,357.0,89.4,464.0,514.0,90.3,77.0,133.0,57.9,2,0.3,0.5,1.7,7.0,48.0,7.0,3.0,61.0,1028.0,937.0,90.0,22.0,2.0,4.0,9.0,68.0,0.0,0.0,0.0,0.0,870.0,1.0,11.0,88.0,572.0,607.0,76.0,13.0,1248.0,7.0,3.0,42.9,4.0,57.1,687.0,3572.0,1983.0,13.0,7.0,1.0,17.0,5.0,785.0,12.0,3,11.0,5,45.5,0.62,0.28,0.27,0.6,17.5,0.0,0,0,1.3,1.3,0.11,1.7,1.7,14.0,0.79,9.0,3.0,0.0,1.0,1.0,0.0,2.0,0.11,1.0,1.0,0.0,0.0,0.0,0.0,"1,596",84,46.7,17.7,18,87.0,15,1,23.0,14,1.63,39,24,15,0.85,1.24,26.7,26.6,0.1,0.0,-0.15,1,0,0.0,21,11.0,3.0,9.0,45.0,20.0,0.0,0.0,0.0,69.0,41.0,28.0,59.4,"€ 13,462(£ 11,693, $14,754)","€ 700,000(£ 608,037, $767,185)",Estimación no verificada,https://fbref.com/es/jugadores/f7dc2ae5/Aritz-Elustondo
2018-2019,24,Real Sociedad,esESP,1.La Liga,27,"2,254",1,0,2.0,106.0,0.0,1.0,,,,,29,"2,360",1,1,24,"2,254",25.0,1,0,1,1,0,0,5,0,1.5,1.5,0.6,2.1,25.0,71.0,24.0,0.04,0.0,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,47.0,29.0,31.0,14.0,2.0,26.0,41.0,63.4,15.0,23.0,7.0,16.0,39.0,86.0,150.0,0.0,965.0,1236.0,78.1,17700.0,6583.0,370.0,422.0,87.7,510.0,611.0,83.5,78.0,159.0,49.1,0,0.6,0.9,-0.6,9.0,44.0,12.0,9.0,71.0,1236.0,1100.0,131.0,36.0,1.0,9.0,28.0,95.0,0.0,0.0,0.0,0.0,965.0,5.0,23.0,167.0,746.0,659.0,149.0,31.0,1541.0,19.0,16.0,84.2,3.0,15.8,722.0,4275.0,2566.0,25.0,14.0,2.0,13.0,3.0,833.0,24.0,1,10.0,5,50.0,0.4,0.2,0.1,0.2,10.2,0.0,0,0,1.5,1.5,0.15,-0.5,-0.5,25.0,1.0,20.0,0.0,1.0,1.0,1.0,2.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,"2,254",83,65.9,25.0,24,88.0,22,3,44.0,3,1.3,28,35,-7,-0.28,-0.74,32.9,34.8,-1.9,-0.08,-0.31,5,0,0.0,22,27.0,0.0,28.0,39.0,29.0,0.0,0.0,0.0,137.0,64.0,39.0,62.1,"€ 13,462(£ 11,693, $14,754)","€ 700,000(£ 608,037, $767,185)",Estimación no verificada,https://fbref.com/es/jugadores/f7dc2ae5/Aritz-Elustondo
2019-2020,25,Real Sociedad,esESP,1.La Liga,22,"1,510",0,1,5.0,260.0,0.0,0.0,,,,,27,"1,770",0,1,17,"1,510",16.8,0,1,1,0,0,0,4,0,0.8,0.8,0.9,1.6,11.0,68.0,12.0,0.0,0.06,0.06,0.0,0.06,0.05,0.05,0.1,0.05,0.1,28.0,17.0,19.0,8.0,1.0,13.0,23.0,56.5,10.0,21.0,8.0,13.0,15.0,43.0,67.0,0.0,811.0,991.0,81.8,15659.0,5064.0,284.0,331.0,85.8,431.0,495.0,87.1,84.0,136.0,61.8,1,0.9,0.7,0.1,5.0,54.0,4.0,4.0,68.0,991.0,926.0,62.0,44.0,0.0,10.0,6.0,18.0,0.0,0.0,0.0,0.0,811.0,3.0,6.0,118.0,520.0,580.0,55.0,16.0,1146.0,4.0,2.0,50.0,2.0,50.0,628.0,3547.0,2018.0,11.0,5.0,0.0,5.0,4.0,693.0,12.0,0,9.0,1,11.1,0.54,0.06,0.0,0.0,10.4,0.0,0,0,0.8,0.8,0.08,-0.8,-0.8,15.0,0.9,12.0,1.0,0.0,1.0,1.0,0.0,3.0,0.18,2.0,0.0,0.0,1.0,0.0,0.0,"1,510",69,44.2,16.8,17,83.0,13,5,21.0,0,1.41,27,21,6,0.36,0.26,22.3,17.4,4.9,0.29,0.25,4,0,0.0,12,9.0,0.0,6.0,15.0,17.0,0.0,0.0,0.0,66.0,64.0,35.0,64.6,"€ 35,577(£ 30,903, $38,992)","€ 1,850,000(£ 1,606,956, $2,027,560)",Estimación no verificada,https://fbref.com/es/jugadores/f7dc2ae5/Aritz-Elustondo
2020-2021,26,Real Sociedad,esESP,1.La Liga,23,"1,884",1,0,2.0,158.0,0.0,0.0,3.0,270.0,0.0,0.0,28,"2,312",1,0,22,"1,884",20.9,1,0,1,1,0,0,5,0,0.5,0.5,0.2,0.8,27.0,112.0,12.0,0.05,0.0,0.05,0.05,0.05,0.03,0.01,0.04,0.03,0.04,30.0,16.0,21.0,7.0,2.0,18.0,22.0,81.8,4.0,12.0,5.0,7.0,15.0,45.0,63.0,0.0,1058.0,1245.0,85.0,20354.0,7250.0,369.0,410.0,90.0,568.0,625.0,90.9,108.0,183.0,59.0,0,0.2,0.7,-0.2,3.0,83.0,5.0,1.0,112.0,1245.0,1191.0,53.0,37.0,2.0,12.0,5.0,16.0,0.0,0.0,0.0,0.0,1058.0,1.0,2.0,114.0,578.0,769.0,64.0,13.0,1401.0,8.0,4.0,50.0,4.0,50.0,896.0,5468.0,3621.0,27.0,14.0,1.0,10.0,2.0,918.0,12.0,1,5.0,1,20.0,0.24,0.05,0.2,1.0,12.3,0.0,0,0,0.5,0.5,0.11,0.5,0.5,14.0,0.67,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,"1,884",82,55.1,20.9,22,85.0,18,1,17.0,1,1.83,36,15,21,1.0,1.0,35.3,18.5,16.8,0.8,0.53,5,0,0.0,22,27.0,1.0,5.0,15.0,16.0,0.0,1.0,1.0,107.0,62.0,34.0,64.6,"€ 35,577(£ 30,903, $38,992)","€ 1,850,000(£ 1,606,956, $2,027,560)",Estimación no verificada,https://fbref.com/es/jugadores/f7dc2ae5/Aritz-Elustondo
2021-2022,27,Real Sociedad,esESP,1.La Liga,30,"2,105",4,1,4.0,283.0,0.0,0.0,6.0,540.0,0.0,0.0,40,"2,928",4,1,22,"2,105",23.4,4,1,5,4,0,0,3,1,1.6,1.6,0.1,1.7,20.0,85.0,12.0,0.17,0.04,0.21,0.17,0.21,0.07,0.0,0.07,0.07,0.07,21.0,14.0,16.0,5.0,0.0,10.0,20.0,50.0,10.0,19.0,13.0,6.0,29.0,50.0,86.0,0.0,989.0,1184.0,83.5,19247.0,7115.0,339.0,386.0,87.8,525.0,588.0,89.3,112.0,180.0,62.2,1,0.1,0.5,0.9,1.0,67.0,2.0,0.0,85.0,1184.0,1107.0,76.0,34.0,1.0,8.0,5.0,42.0,0.0,0.0,0.0,0.0,989.0,1.0,9.0,162.0,679.0,647.0,75.0,14.0,1392.0,7.0,6.0,85.7,1.0,14.3,755.0,4470.0,2496.0,20.0,14.0,0.0,11.0,1.0,819.0,12.0,4,14.0,7,50.0,0.6,0.3,0.29,0.57,13.7,0.0,0,0,1.6,1.6,0.12,2.4,2.4,10.0,0.43,8.0,0.0,0.0,1.0,1.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,"2,105",70,61.5,23.4,22,88.0,19,8,21.0,6,1.77,27,21,6,0.26,0.46,31.5,22.6,8.9,0.38,0.12,3,1,0.0,18,22.0,2.0,5.0,29.0,14.0,0.0,1.0,0.0,123.0,54.0,23.0,70.1,"€ 35,577(£ 30,903, $38,992)","€ 1,850,000(£ 1,606,956, $2,027,560)",Estimación no verificada,https://fbref.com/es/jugadores/f7dc2ae5/Aritz-Elustondo
2022-2023,28,Real Sociedad,esESP,1.La Liga,25,"1,449",0,1,5.0,304.0,0.0,0.0,6.0,466.0,1.0,0.0,36,"2,219",1,1,16,"1,449",16.1,0,1,1,0,0,0,5,1,0.7,0.7,1.1,1.8,21.0,52.0,19.0,0.0,0.06,0.06,0.0,0.06,0.04,0.07,0.11,0.04,0.11,26.0,17.0,15.0,10.0,1.0,14.0,26.0,53.8,12.0,15.0,6.0,9.0,20.0,46.0,43.0,1.0,653.0,809.0,80.7,10994.0,4008.0,302.0,337.0,89.6,296.0,359.0,82.5,42.0,81.0,51.9,1,1.1,0.4,-0.1,4.0,39.0,7.0,2.0,52.0,809.0,680.0,125.0,14.0,0.0,1.0,9.0,111.0,0.0,0.0,0.0,0.0,653.0,4.0,9.0,68.0,360.0,488.0,107.0,14.0,952.0,8.0,5.0,62.5,3.0,37.5,470.0,2264.0,1160.0,21.0,12.0,1.0,13.0,7.0,547.0,19.0,0,8.0,0,0.0,0.5,0.0,0.0,,21.5,0.0,0,0,0.7,0.7,0.09,-0.7,-0.7,9.0,0.56,5.0,2.0,0.0,2.0,0.0,0.0,2.0,0.12,0.0,1.0,0.0,1.0,0.0,0.0,"1,449",58,42.4,16.1,16,78.0,8,9,22.0,4,2.2,26,14,12,0.75,0.56,21.9,13.9,8.0,0.5,-0.04,5,1,0.0,21,9.0,1.0,9.0,20.0,17.0,0.0,0.0,0.0,58.0,18.0,23.0,43.9,"€ 35,577(£ 30,607, $38,902)","€ 1,850,000(£ 1,591,574, $2,022,902)",Estimación no verificada,https://fbref.com/es/jugadores/f7dc2ae5/Aritz-Elustondo
2023-2024,29,Real Sociedad,esESP,1.La Liga,15,812,0,1,5.0,248.0,0.0,0.0,5.0,172.0,0.0,0.0,25,"1,232",0,1,7,812,9.0,0,1,1,0,0,0,2,0,0.3,0.3,0.6,0.9,4.0,31.0,2.0,0.0,0.11,0.11,0.0,0.11,0.03,0.07,0.1,0.03,0.1,11.0,7.0,5.0,4.0,2.0,6.0,14.0,42.9,8.0,12.0,10.0,2.0,7.0,18.0,26.0,0.0,402.0,468.0,85.9,7493.0,2576.0,141.0,163.0,86.5,232.0,255.0,91.0,26.0,43.0,60.5,1,0.6,0.1,0.4,7.0,22.0,0.0,0.0,31.0,468.0,417.0,51.0,14.0,0.0,1.0,1.0,37.0,0.0,0.0,0.0,0.0,402.0,0.0,3.0,47.0,225.0,282.0,41.0,14.0,545.0,3.0,2.0,66.7,1.0,33.3,273.0,1407.0,661.0,4.0,5.0,1.0,3.0,3.0,322.0,2.0,0,7.0,2,28.6,0.78,0.22,0.0,0.0,11.0,0.0,0,0,0.3,0.3,0.04,-0.3,-0.3,13.0,1.44,7.0,2.0,0.0,3.0,0.0,1.0,2.0,0.22,0.0,0.0,0.0,2.0,0.0,0.0,812,54,23.7,9.0,7,86.0,6,8,27.0,10,1.73,10,8,2,0.22,-0.12,8.3,13.1,-4.8,-0.53,-0.82,2,0,0.0,9,10.0,0.0,1.0,7.0,7.0,0.0,0.0,0.0,38.0,29.0,13.0,69.0,"€ 42,308(£ 35,743, $45,466)","€ 2,200,000(£ 1,858,624, $2,364,218)",Estimación no verificada,https://fbref.com/es/jugadores/f7dc2ae5/Aritz-Elustondo
