Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,17,Basel,chSUI,1.Super Lg,5.0,404,0.0,0.0,,,,,,,,,5.0,404,0,0,4,404,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,404,81.0,12.5,4.5,4,,3,1,,2,1.4,7.0,9.0,-2.0,-0.45,-2.1,,,,,,0.0,0.0,,,,,,,,,,,,,,,"€ 21,154(£ 18,375, $23,184)","€ 1,100,000(£ 955,487, $1,205,576)",Estimación no verificada,https://fbref.com/es/jugadores/15937e17/Eray-Comert
2016-2017,18,Basel,chSUI,1.Super Lg,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,,0.0,0.09,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,1,,,,,,,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 21,154(£ 18,199, $23,131)","€ 1,100,000(£ 946,341, $1,202,807)",Estimación no verificada,https://fbref.com/es/jugadores/15937e17/Eray-Comert
2016-2017,18,Lugano,chSUI,1.Super Lg,12.0,"1,029",0.0,0.0,,,,,,,,,12.0,"1,029",0,0,12,"1,029",11.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,029",86.0,31.8,11.4,12,,10,0,,0,2.08,18.0,15.0,3.0,0.26,0.75,,,,,,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 21,154(£ 17,871, $22,733)","€ 1,100,000(£ 929,312, $1,182,109)",Estimación no verificada,https://fbref.com/es/jugadores/15937e17/Eray-Comert
2017-2018,19,Sion,chSUI,1.Super Lg,12.0,"1,032",0.0,0.0,,,,,,,,,12.0,"1,032",0,0,12,"1,032",11.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,032",86.0,31.9,11.5,12,,10,0,,0,1.5,18.0,12.0,6.0,0.52,0.89,,,,,,6.0,1.0,1.0,,,,,,,,,0.0,,,,,"€ 20,000(£ 17,192, $22,714)","€ 1,040,000(£ 893,967, $1,181,140)",Estimación no verificada,https://fbref.com/es/jugadores/15937e17/Eray-Comert
2018-2019,20,Basel,chSUI,1.Super Lg,24.0,"2,092",1.0,2.0,,,,,,,,,24.0,"2,092",1,2,24,"2,092",23.2,1.0,2.0,3.0,1.0,0.0,0.0,6.0,1.0,,,,,,,,0.04,0.09,0.13,0.04,0.13,,,,,,,38.0,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,21.0,6.0,28.6,0.7,0.2,0.1,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,092",87.0,64.6,23.2,24,87.0,22,0,,5,2.04,45.0,32.0,13.0,0.56,-0.38,,,,,,9.0,1.0,1.0,32.0,17.0,1.0,2.0,60.0,38.0,,,0.0,,,,,,,,
2019-2020,21,Basel,chSUI,1.Super Lg,33.0,"2,683",2.0,0.0,,,,,10.0,900.0,0.0,1.0,43.0,"3,583",2,1,32,"2,683",29.8,2.0,0.0,2.0,2.0,0.0,0.0,9.0,1.0,,,,,,,,0.07,0.0,0.07,0.07,0.07,,,,,,,31.0,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,26.0,5.0,19.2,0.94,0.18,0.04,0.2,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,683",81.0,82.8,29.8,32,83.0,26,1,27.0,0,1.88,67.0,31.0,36.0,1.21,1.21,,,,,,3.0,1.0,0.0,20.0,19.0,1.0,3.0,69.0,31.0,,,1.0,,,,,,,,
2020-2021,22,Basel,chSUI,1.Super Lg,30.0,"2,494",1.0,0.0,,,,,,,,,30.0,"2,494",1,0,30,"2,494",27.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,,,,,,,,0.04,0.0,0.04,0.04,0.04,,,,,,,12.0,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,3.0,42.9,0.87,0.37,0.14,0.33,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"2,494",83.0,77.0,27.7,30,83.0,25,0,,0,1.63,52.0,39.0,13.0,0.47,1.19,,,,,,1.0,1.0,0.0,8.0,2.0,0.0,0.0,22.0,12.0,,,0.0,,,,,,,,
2021-2022,23,Basel,chSUI,1.Super Lg,9.0,725,1.0,0.0,,,,,4.0,305.0,0.0,0.0,13.0,"1,030",1,0,8,725,8.1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,0.12,0.0,0.12,0.12,0.12,,,,,,5.0,3.0,4.0,1.0,0.0,3.0,6.0,50.0,3.0,3.0,2.0,1.0,2.0,7.0,6.0,0.0,169.0,201.0,84.1,3630.0,1367.0,45.0,49.0,91.8,97.0,103.0,94.2,25.0,44.0,56.8,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,15.0,201.0,193.0,8.0,7.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,21.0,119.0,105.0,6.0,4.0,228.0,0.0,0.0,,0.0,,137.0,803.0,388.0,1.0,0.0,0.0,3.0,0.0,142.0,1.0,0.0,3.0,1.0,33.3,0.66,0.22,0.0,0.0,8.8,0.0,0.0,0.0,0.4,0.4,0.12,-0.4,-0.4,3.0,0.66,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,725,81.0,22.4,8.1,8,90.0,7,1,8.0,6,2.33,20.0,7.0,13.0,1.61,1.04,,,,,,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,24.0,2.0,7.0,22.2,,,,
2021-2022,23,Valencia,esESP,1.La Liga,8.0,408,0.0,0.0,1.0,67.0,0.0,0.0,,,,,9.0,475,0,0,5,408,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.0,0.4,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,35.0,23.0,24.0,10.0,1.0,17.0,33.0,51.5,16.0,23.0,8.0,15.0,29.0,64.0,76.0,1.0,815.0,945.0,86.2,17301.0,5980.0,208.0,234.0,88.9,484.0,514.0,94.2,113.0,170.0,66.5,0.0,0.1,0.2,-0.1,3.0,48.0,2.0,0.0,54.0,945.0,890.0,53.0,44.0,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,815.0,2.0,6.0,162.0,598.0,510.0,33.0,10.0,1129.0,2.0,2.0,100.0,0.0,0.0,680.0,3720.0,2119.0,6.0,9.0,1.0,1.0,0.0,691.0,1.0,1.0,10.0,6.0,60.0,0.54,0.32,0.1,0.17,18.2,0.0,0.0,0.0,0.5,0.5,0.05,0.5,0.5,12.0,0.65,8.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408,51.0,11.9,4.5,5,79.0,2,3,5.0,8,1.13,5.0,6.0,-1.0,-0.22,-0.1,4.8,5.5,-0.7,-0.16,0.08,5.0,1.0,0.0,22.0,11.0,1.0,1.0,29.0,23.0,0.0,0.0,0.0,106.0,44.0,31.0,58.7,,,,
2022-2023,24,Valencia,esESP,1.La Liga,23.0,"1,672",1.0,0.0,2.0,210.0,0.0,0.0,,,,,25.0,"1,882",1,0,19,"1,672",18.6,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.5,0.5,0.1,0.6,6.0,54.0,1.0,0.05,0.0,0.05,0.05,0.05,0.03,0.0,0.03,0.03,0.03,42.0,28.0,28.0,13.0,1.0,28.0,38.0,73.7,10.0,35.0,18.0,17.0,36.0,78.0,77.0,1.0,941.0,1064.0,88.4,18882.0,6076.0,298.0,320.0,93.1,506.0,534.0,94.8,118.0,178.0,66.3,0.0,0.2,0.4,-0.2,4.0,57.0,4.0,2.0,57.0,1064.0,1007.0,57.0,37.0,1.0,19.0,3.0,3.0,0.0,0.0,0.0,0.0,941.0,0.0,10.0,204.0,680.0,581.0,32.0,9.0,1280.0,2.0,1.0,50.0,1.0,50.0,910.0,4794.0,2354.0,7.0,6.0,0.0,5.0,1.0,825.0,3.0,2.0,9.0,3.0,33.3,0.41,0.14,0.22,0.67,17.1,1.0,0.0,0.0,0.7,0.7,0.08,1.3,1.3,16.0,0.72,11.0,0.0,0.0,2.0,1.0,2.0,1.0,0.05,0.0,0.0,0.0,1.0,0.0,0.0,"1,672",73.0,48.9,18.6,19,84.0,15,4,20.0,12,1.22,22.0,22.0,0.0,0.0,0.15,24.6,24.7,0.0,0.0,-0.3,5.0,0.0,0.0,26.0,26.0,1.0,3.0,36.0,28.0,0.0,2.0,0.0,99.0,14.0,27.0,34.1,,,,
