Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
30,Gautier Larsonneur,Goalkeeper,"Feb 23, 1997 (28)",France,"1,81m",right,"Jan 6, 2023",,"Jun 30, 2026",€3.50m,https://www.transfermarkt.com/gautier-larsonneur/profil/spieler/357047
1,Brice Maubleu,Goalkeeper,"Dec 1, 1989 (35)",France,"1,92m",right,"Aug 21, 2024",,"Jun 30, 2026",€300k,https://www.transfermarkt.com/brice-maubleu/profil/spieler/78047
16,Boubacar Fall,Goalkeeper,"Feb 3, 2001 (24)",Senegal,"1,98m",left,"Jan 5, 2021",,"Jun 30, 2025",€100k,https://www.transfermarkt.com/boubacar-fall/profil/spieler/836132
13,Maxime Bernauer,Centre-Back,"Jul 1, 1998 (26)",France,"1,85m",right,"Feb 2, 2025",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/maxime-bernauer/profil/spieler/324819
3,Mickaël Nade,Centre-Back,"Mar 4, 1999 (26)","France, Cote d'Ivoire","1,93m",left,"Jul 1, 2020",,"Jun 30, 2028",€1.50m,https://www.transfermarkt.com/mickael-nade/profil/spieler/494586
21,Dylan Batubinsika,Centre-Back,"Feb 15, 1996 (29)","DR Congo, France","1,85m",right,"Jul 21, 2023",,"Jun 30, 2026",€1.50m,https://www.transfermarkt.com/dylan-batubinsika/profil/spieler/289432
5,Yunis Abdelhamid,Centre-Back,"Sep 28, 1987 (37)","Morocco, France","1,90m",left,"Jul 5, 2024",,"Jun 30, 2025",€500k,https://www.transfermarkt.com/yunis-abdelhamid/profil/spieler/199704
23,Anthony Briançon,Centre-Back,"Nov 28, 1994 (30)",France,"1,85m",right,"Jul 1, 2022",,"Jun 30, 2026",€500k,https://www.transfermarkt.com/anthony-briancon/profil/spieler/190338
17,Pierre Cornud,Left-Back,"Dec 12, 1996 (28)",France,"1,77m",left,"Aug 22, 2024",,"Jun 30, 2026",€1.00m,https://www.transfermarkt.com/pierre-cornud/profil/spieler/536156
19,Léo Pétrot,Left-Back,"Apr 15, 1997 (28)",France,"1,88m",left,"Aug 30, 2022",,"Jun 30, 2025",€1.00m,https://www.transfermarkt.com/leo-petrot/profil/spieler/412829
27,Yvann Maçon,Right-Back,"Oct 1, 1998 (26)","France, Guadeloupe","1,76m",right,"Jan 31, 2020",,"Jun 30, 2025",€2.00m,https://www.transfermarkt.com/yvann-macon/profil/spieler/580747
8,Dennis Appiah,Right-Back,"Jun 9, 1992 (32)","France, Ghana","1,79m",right,"Jan 3, 2023",,"Jun 30, 2026",€900k,https://www.transfermarkt.com/dennis-appiah/profil/spieler/111038
4,Pierre Ekwah,Defensive Midfield,"Jan 15, 2002 (23)","France, Ghana","1,89m",left,"Aug 30, 2024",,"Jun 30, 2025",€5.00m,https://www.transfermarkt.com/pierre-ekwah/profil/spieler/538994
26,Lamine Fomba,Defensive Midfield,"Jan 26, 1998 (27)","France, Mali","1,88m",right,"Jan 28, 2023",,"Jun 30, 2026",€700k,https://www.transfermarkt.com/lamine-fomba/profil/spieler/391376
6,Benjamin Bouchouari,Central Midfield,"Nov 13, 2001 (23)","Morocco, Belgium","1,65m",right,"Aug 16, 2022",,"Jun 30, 2026",€5.00m,https://www.transfermarkt.com/benjamin-bouchouari/profil/spieler/783094
29,Aïmen Moueffek,Central Midfield,"Apr 9, 2001 (24)","Morocco, France","1,79m",right,"Jul 1, 2020",,"Jun 30, 2028",€2.50m,https://www.transfermarkt.com/aimen-moueffek/profil/spieler/484992
14,Louis Mouton,Central Midfield,"Jun 3, 2002 (22)",France,"1,80m",right,"Jul 1, 2022",,"Jun 30, 2025",€800k,https://www.transfermarkt.com/louis-mouton/profil/spieler/904662
10,Florian Tardieu,Central Midfield,"Apr 22, 1992 (33)",France,"1,81m",right,"Aug 31, 2023",,"Jun 30, 2026",€700k,https://www.transfermarkt.com/florian-tardieu/profil/spieler/212804
20,Augustine Boakye,Attacking Midfield,"Nov 3, 2000 (24)",Ghana,"1,78m",left,"Jul 13, 2024",,"Jun 30, 2028",€3.00m,https://www.transfermarkt.com/augustine-boakye/profil/spieler/579263
28,Igor Miladinovic,Attacking Midfield,"Jun 8, 2003 (21)",Serbia,"1,66m",right,"Aug 9, 2024",,"Jun 30, 2028",€1.50m,https://www.transfermarkt.com/igor-miladinovic/profil/spieler/729872
11,Ben Old,Left Winger,"Aug 13, 2002 (22)",New Zealand,"1,73m",left,"Jul 9, 2024",,"Jun 30, 2028",€800k,https://www.transfermarkt.com/ben-old/profil/spieler/617021
22,Zuriko Davitashvili,Right Winger,"Feb 15, 2001 (24)",Georgia,"1,75m",right,"Jul 11, 2024",,"Jun 30, 2028",€10.00m,https://www.transfermarkt.com/zuriko-davitashvili/profil/spieler/427572
32,Lucas Stassin,Centre-Forward,"Nov 29, 2004 (20)",Belgium,"1,83m",right,"Aug 30, 2024",,"Jun 30, 2028",€7.00m,https://www.transfermarkt.com/lucas-stassin/profil/spieler/655012
