Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
94,Yehvann Diouf,Goalkeeper,"Nov 16, 1999 (25)","Senegal, France","1,90m",right,"Jul 1, 2019",,"Jun 30, 2027",€9.00m,https://www.transfermarkt.com/yehvann-diouf/profil/spieler/448632
20,Alexandre Olliero,Goalkeeper,"Feb 15, 1996 (29)",France,"1,93m",right,"Jan 31, 2023",,"Jun 30, 2026",€300k,https://www.transfermarkt.com/alexandre-olliero/profil/spieler/395602
16,Ludovic Butelle,Goalkeeper,"Apr 3, 1983 (42)",France,"1,88m",left,"Jul 1, 2023",,"Jun 30, 2025",€100k,https://www.transfermarkt.com/ludovic-butelle/profil/spieler/12029
2,Joseph Okumu,Centre-Back,"May 26, 1997 (27)",Kenya,"1,90m",right,"Jul 22, 2023",,"Jun 30, 2028",€7.00m,https://www.transfermarkt.com/joseph-okumu/profil/spieler/453376
21,Cédric Kipré,Centre-Back,"Dec 9, 1996 (28)","Cote d'Ivoire, France","1,93m",right,"Jul 24, 2024",,"Jun 30, 2027",€3.00m,https://www.transfermarkt.com/cedric-kipre/profil/spieler/364827
31,Malcolm Jeng,Centre-Back,"Mar 9, 2005 (20)",Sweden,"1,90m",left,"Jan 12, 2025",,"Jun 30, 2029",€2.50m,https://www.transfermarkt.com/malcolm-jeng/profil/spieler/1126894
92,Abdoul Koné,Centre-Back,"Apr 22, 2005 (20)","France, Cote d'Ivoire","1,92m",right,"Jul 1, 2024",,"Jun 30, 2027",€500k,https://www.transfermarkt.com/abdoul-kone/profil/spieler/1130445
18,Sergio Akieme,Left-Back,"Dec 16, 1997 (27)","Spain, Equatorial Guinea","1,75m",left,"Feb 1, 2024",,"Jun 30, 2028",€7.00m,https://www.transfermarkt.com/sergio-akieme/profil/spieler/355627
55,Nhoa Sangui,Left-Back,"Feb 27, 2006 (19)","France, Congo","1,78m",left,"Jul 1, 2024",,"Jun 30, 2027",€2.50m,https://www.transfermarkt.com/nhoa-sangui/profil/spieler/955281
23,Aurélio Buta,Right-Back,"Feb 10, 1997 (28)","Portugal, Angola","1,72m",right,"Aug 29, 2024",,"Jun 30, 2025",€5.00m,https://www.transfermarkt.com/aurelio-buta/profil/spieler/258039
3,Hiroki Sekine,Right-Back,"Aug 11, 2002 (22)",Japan,"1,87m",right,"Jan 12, 2025",,"Jun 30, 2029",€800k,https://www.transfermarkt.com/hiroki-sekine/profil/spieler/1137808
19,Gabriel Moscardo,Defensive Midfield,"Sep 28, 2005 (19)",Brazil,"1,85m",right,"Aug 21, 2024",,"Jun 30, 2025",€10.00m,https://www.transfermarkt.com/gabriel-moscardo/profil/spieler/1086636
24,Mory Gbane,Defensive Midfield,"Dec 25, 2000 (24)",Cote d'Ivoire,"1,88m",right,"Feb 3, 2025",,"Jun 30, 2029",€4.00m,https://www.transfermarkt.com/mory-gbane/profil/spieler/717585
72,Amadou Koné,Defensive Midfield,"May 14, 2005 (19)","Cote d'Ivoire, Mali",-,left,"Jul 1, 2024",,"Jun 30, 2028",€1.50m,https://www.transfermarkt.com/amadou-kone/profil/spieler/1178474
6,Valentin Atangana,Central Midfield,"Aug 25, 2005 (19)","France, Cameroon","1,76m",right,"Jul 1, 2023",,"Jun 30, 2027",€9.00m,https://www.transfermarkt.com/valentin-atangana/profil/spieler/923759
8,Yaya Fofana,Central Midfield,"Jun 12, 2004 (20)","Cote d'Ivoire, Mali","1,80m",right,"Jul 1, 2024",,"Jun 30, 2029",€5.00m,https://www.transfermarkt.com/yaya-fofana/profil/spieler/1044893
10,Teddy Teuma,Central Midfield,"Sep 30, 1993 (31)","Malta, France","1,76m",left,"Jul 7, 2023",,"Jun 30, 2027",€4.00m,https://www.transfermarkt.com/teddy-teuma/profil/spieler/409153
30,John Patrick,Central Midfield,"Sep 24, 2003 (21)","Ireland, Spain","1,92m",right,"Jan 15, 2025",,"Jun 30, 2029",€1.00m,https://www.transfermarkt.com/john-patrick/profil/spieler/841121
14,Reda Khadra,Attacking Midfield,"Jul 4, 2001 (23)",Germany,"1,75m",right,"Jul 21, 2023",,"Jun 30, 2027",€2.50m,https://www.transfermarkt.com/reda-khadra/profil/spieler/405686
17,Keito Nakamura,Left Winger,"Jul 28, 2000 (24)",Japan,"1,80m",right,"Aug 10, 2023",,"Jun 30, 2028",€10.00m,https://www.transfermarkt.com/keito-nakamura/profil/spieler/405397
9,Mohamed Daramy,Left Winger,"Jan 7, 2002 (23)","Denmark, Sierra Leone","1,80m",right,"Aug 11, 2023",,"Jun 30, 2028",€5.00m,https://www.transfermarkt.com/mohamed-daramy/profil/spieler/574385
67,Mamadou Diakhon,Left Winger,"Sep 22, 2005 (19)","France, Senegal","1,80m",left,"Jul 1, 2023",,"Jun 30, 2026",€1.50m,https://www.transfermarkt.com/mamadou-diakhon/profil/spieler/1054839
7,Junya Ito,Right Winger,"Mar 9, 1993 (32)",Japan,"1,76m",right,"Jul 29, 2022",,"Jun 30, 2026",€8.00m,https://www.transfermarkt.com/junya-ito/profil/spieler/348791
22,Oumar Diakité,Centre-Forward,"Dec 20, 2003 (21)",Cote d'Ivoire,"1,85m",right,"Jul 1, 2023",,"Jun 30, 2028",€7.00m,https://www.transfermarkt.com/oumar-diakite/profil/spieler/847279
12,Jordan,Centre-Forward,"Apr 26, 1996 (29)","United States, France","1,91m",right,"Feb 3, 2025",,"Jun 30, 2027",€3.00m,https://www.transfermarkt.com/jordan/profil/spieler/355369
