Number,Name,Position,Date of Birth/Age,Nationality,Height,Foot,Signed,Previous Team,Contract Until,Market Value,Link
1,Lucas Perri,Goalkeeper,"Dec 10, 1997 (27)","Brazil, Italy","1,97m",right,"Jan 5, 2024",,"Jun 30, 2028",€10.00m,https://www.transfermarkt.com/lucas-perri/profil/spieler/352041
40,Rémy Descamps,Goalkeeper,"Jun 25, 1996 (28)",France,"1,96m",left,"Aug 23, 2024",,"Jun 30, 2027",€1.50m,https://www.transfermarkt.com/remy-descamps/profil/spieler/282028
50,Lassine Diarra,Goalkeeper,"Nov 11, 2002 (22)",Mali,"1,90m",right,,,"Jun 30, 2027",€25k,https://www.transfermarkt.com/lassine-diarra/profil/spieler/1071430
19,Moussa Niakhaté,Centre-Back,"Mar 8, 1996 (29)","Senegal, France","1,90m",left,"Jul 4, 2024",,"Jun 30, 2028",€15.00m,https://www.transfermarkt.com/moussa-niakhate/profil/spieler/291200
55,Duje Caleta-Car,Centre-Back,"Sep 17, 1996 (28)",Croatia,"1,93m",right,"Jul 8, 2024",,"Jun 30, 2027",€8.00m,https://www.transfermarkt.com/duje-caleta-car/profil/spieler/238266
27,Warmed Omari,Centre-Back,"Apr 23, 2000 (25)","Comoros, France","1,88m",right,"Aug 30, 2024",,"Jun 30, 2025",€4.00m,https://www.transfermarkt.com/warmed-omari/profil/spieler/711996
16,Abner,Left-Back,"May 27, 2000 (24)",Brazil,"1,81m",left,"Jul 5, 2024",,"Jun 30, 2029",€9.00m,https://www.transfermarkt.com/abner/profil/spieler/646402
3,Nicolás Tagliafico,Left-Back,"Aug 31, 1992 (32)","Argentina, Italy","1,71m",left,"Jul 23, 2022",,"Jun 30, 2025",€7.00m,https://www.transfermarkt.com/nicolas-tagliafico/profil/spieler/131225
98,Ainsley Maitland-Niles,Right-Back,"Aug 29, 1997 (27)","England, Jamaica","1,80m",right,"Aug 7, 2023",,"Jun 30, 2027",€10.00m,https://www.transfermarkt.com/ainsley-maitland-niles/profil/spieler/285845
20,Saël Kumbedi,Right-Back,"Mar 26, 2005 (20)","France, DR Congo","1,75m",right,"Aug 31, 2022",,"Jun 30, 2027",€6.00m,https://www.transfermarkt.com/sael-kumbedi/profil/spieler/951579
22,Clinton Mata,Right-Back,"Nov 7, 1992 (32)","Angola, Belgium","1,80m",right,"Jul 6, 2023",,"Jun 30, 2026",€4.00m,https://www.transfermarkt.com/clinton-mata/profil/spieler/187718
15,Tanner Tessmann,Defensive Midfield,"Sep 24, 2001 (23)",United States,"1,88m",right,"Aug 27, 2024",,"Jun 30, 2029",€6.00m,https://www.transfermarkt.com/tanner-tessmann/profil/spieler/670096
31,Nemanja Matic,Defensive Midfield,"Aug 1, 1988 (36)","Serbia, Slovakia","1,94m",left,"Jan 27, 2024",,"Jun 30, 2026",€2.50m,https://www.transfermarkt.com/nemanja-matic/profil/spieler/74683
4,Paul Akouokou,Defensive Midfield,"Dec 20, 1997 (27)",Cote d'Ivoire,"1,81m",right,"Sep 1, 2023",,"Jun 30, 2027",€800k,https://www.transfermarkt.com/paul-akouokou/profil/spieler/429901
8,Corentin Tolisso,Central Midfield,"Aug 3, 1994 (30)","France, Togo","1,81m",right,"Jul 1, 2022",,"Jun 30, 2027",€10.00m,https://www.transfermarkt.com/corentin-tolisso/profil/spieler/190393
7,Jordan Veretout,Central Midfield,"Mar 1, 1993 (32)",France,"1,77m",right,"Sep 4, 2024",,"Jun 30, 2026",€5.00m,https://www.transfermarkt.com/jordan-veretout/profil/spieler/164771
23,Thiago Almada,Attacking Midfield,"Apr 26, 2001 (24)",Argentina,"1,71m",right,"Jan 15, 2025",,"Jun 30, 2025",€25.00m,https://www.transfermarkt.com/thiago-almada/profil/spieler/576028
11,Malick Fofana,Left Winger,"Mar 31, 2005 (20)","Belgium, Guinea","1,69m",right,"Jan 10, 2024",,"Jun 30, 2028",€25.00m,https://www.transfermarkt.com/malick-fofana/profil/spieler/743386
18,Rayan Cherki,Right Winger,"Aug 17, 2003 (21)","France, Algeria","1,77m",both,"Jan 1, 2020",,"Jun 30, 2026",€35.00m,https://www.transfermarkt.com/rayan-cherki/profil/spieler/607223
37,Ernest Nuamah,Right Winger,"Nov 1, 2003 (21)",Ghana,"1,78m",left,"Jul 7, 2024",,"Jun 30, 2028",€15.00m,https://www.transfermarkt.com/ernest-nuamah/profil/spieler/955070
69,Georges Mikautadze,Centre-Forward,"Oct 31, 2000 (24)","Georgia, France","1,76m",right,"Jul 18, 2024",,"Jun 30, 2028",€20.00m,https://www.transfermarkt.com/georges-mikautadze/profil/spieler/729814
10,Alexandre Lacazette,Centre-Forward,"May 28, 1991 (33)","France, Guadeloupe","1,75m",right,"Jul 1, 2022",,"Jun 30, 2025",€8.00m,https://www.transfermarkt.com/alexandre-lacazette/profil/spieler/93720
29,Enzo Molebe,Centre-Forward,"Sep 18, 2007 (17)","France, DR Congo",-,right,,,"Jun 30, 2027",€100k,https://www.transfermarkt.com/enzo-molebe/profil/spieler/1106860
