Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,16,Empoli,itITA,1.Serie A,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,0.1,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,14,,,,,,,,,,,,4.0,1.0,1.0,21.0,,,,,,,,,,,,,"€ 712(£ 618, $780)","€ 37,000(£ 32,139, $40,551)",Estimación no verificada,https://fbref.com/es/jugadores/7f622eef/Assane-Diousse
2015-2016,17,Empoli,itITA,1.Serie A,15.0,864,0.0,0.0,1.0,90.0,0.0,0.0,,,,,16.0,954,0,0,9,864,9.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,37.0,,,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,0.0,0.0,0.37,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,864,58.0,25.3,9.6,9,,3,6,,21,1.0,8.0,15.0,-7.0,-0.73,-0.66,,,,,,13.0,0.0,0.0,52.0,23.0,0.0,6.0,62.0,37.0,0.0,2.0,0.0,,,,,"€ 5,000(£ 4,343, $5,480)","€ 260,000(£ 225,842, $284,954)",Estimación no verificada,https://fbref.com/es/jugadores/7f622eef/Assane-Diousse
2016-2017,18,Empoli,itITA,1.Serie A,33.0,"2,408",0.0,0.0,2.0,54.0,0.0,0.0,,,,,35.0,"2,462",0,0,26,"2,408",26.8,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,32.0,21.0,14.0,14.0,4.0,13.0,34.0,38.2,21.0,29.0,2.0,27.0,11.0,43.0,16.0,2.0,733.0,876.0,83.7,13181.0,3705.0,327.0,362.0,90.3,296.0,333.0,88.9,90.0,130.0,69.2,0.0,0.6,0.5,-0.6,8.0,66.0,4.0,0.0,93.0,876.0,848.0,25.0,12.0,3.0,10.0,10.0,12.0,1.0,1.0,0.0,0.0,733.0,3.0,19.0,27.0,222.0,681.0,119.0,9.0,1017.0,15.0,13.0,86.7,2.0,13.3,546.0,2341.0,1006.0,14.0,6.0,3.0,16.0,22.0,713.0,26.0,1.0,10.0,3.0,30.0,0.67,0.2,0.1,0.33,24.9,0.0,0.0,0.0,0.8,0.8,0.08,0.2,0.2,15.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,408",73.0,70.4,26.8,26,,21,7,,3,0.85,23.0,47.0,-24.0,-0.9,-0.19,,,,,,4.0,0.0,0.0,26.0,15.0,2.0,10.0,11.0,21.0,0.0,0.0,0.0,121.0,10.0,15.0,40.0,"€ 10,385(£ 9,020, $11,381)","€ 540,000(£ 469,057, $591,828)",Estimación no verificada,https://fbref.com/es/jugadores/7f622eef/Assane-Diousse
2017-2018,19,Saint-Étienne,frFRA,1.Ligue 1,25.0,"1,344",1.0,0.0,1.0,14.0,0.0,0.0,,,,,26.0,"1,358",1,0,17,"1,344",14.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,0.6,1.4,14.0,93.0,26.0,0.07,0.0,0.07,0.07,0.07,0.06,0.04,0.09,0.06,0.09,24.0,16.0,11.0,8.0,5.0,10.0,23.0,43.5,13.0,14.0,4.0,10.0,19.0,43.0,13.0,2.0,397.0,495.0,80.2,7117.0,2165.0,175.0,194.0,90.2,164.0,198.0,82.8,42.0,72.0,58.3,0.0,0.2,0.2,-0.2,5.0,38.0,5.0,2.0,45.0,495.0,471.0,21.0,19.0,1.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,397.0,3.0,6.0,25.0,144.0,397.0,70.0,0.0,597.0,9.0,7.0,77.8,2.0,22.2,332.0,1642.0,719.0,6.0,15.0,1.0,12.0,4.0,367.0,8.0,0.0,7.0,2.0,28.6,0.71,0.2,0.0,0.0,30.2,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2,14.0,1.41,10.0,1.0,2.0,1.0,0.0,0.0,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,"1,344",54.0,39.3,14.9,17,72.0,6,8,16.0,12,1.68,15.0,20.0,-5.0,-0.33,-0.42,15.1,18.4,-3.3,-0.22,-0.22,5.0,0.0,0.0,16.0,8.0,1.0,8.0,19.0,16.0,0.0,0.0,0.0,92.0,4.0,13.0,23.5,"€ 5,769(£ 5,011, $6,323)","€ 300,000(£ 260,587, $328,793)",Estimación no verificada,https://fbref.com/es/jugadores/7f622eef/Assane-Diousse
2018-2019,20,Chievo,itITA,1.Serie A,14.0,892,0.0,0.0,,,,,,,,,14.0,892,0,0,9,892,9.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.2,0.2,0.2,0.4,6.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,6.0,4.0,3.0,3.0,0.0,2.0,4.0,50.0,2.0,2.0,0.0,2.0,1.0,7.0,7.0,1.0,120.0,142.0,84.5,2126.0,597.0,50.0,56.0,89.3,56.0,66.0,84.8,11.0,14.0,78.6,0.0,0.6,0.2,-0.6,2.0,12.0,1.0,0.0,15.0,142.0,138.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,2.0,9.0,47.0,108.0,14.0,1.0,168.0,4.0,4.0,100.0,0.0,0.0,88.0,472.0,250.0,4.0,3.0,0.0,3.0,7.0,113.0,6.0,0.0,2.0,0.0,0.0,0.83,0.0,0.0,,30.2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,2.0,0.83,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,892,64.0,26.1,9.9,9,80.0,6,5,34.0,1,0.57,3.0,22.0,-19.0,-1.92,-0.81,8.0,14.1,-6.1,-0.61,0.03,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,30.0,3.0,3.0,50.0,"€ 10,385(£ 9,020, $11,381)","€ 540,000(£ 469,057, $591,828)",Estimación no verificada,https://fbref.com/es/jugadores/7f622eef/Assane-Diousse
2018-2019,20,Saint-Étienne,frFRA,1.Ligue 1,7.0,217,0.0,0.0,3.0,107.0,0.0,0.0,,,,,10.0,324,0,0,2,217,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,4.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.02,0.25,0.27,0.02,0.27,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,38.0,50.0,76.0,571.0,179.0,21.0,28.0,75.0,16.0,19.0,84.2,1.0,2.0,50.0,0.0,0.1,0.0,-0.1,1.0,1.0,1.0,0.0,6.0,50.0,49.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,1.0,1.0,18.0,41.0,4.0,0.0,62.0,3.0,2.0,66.7,1.0,33.3,27.0,208.0,115.0,4.0,1.0,0.0,2.0,1.0,33.0,1.0,0.0,1.0,1.0,100.0,0.75,0.75,0.0,0.0,26.7,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,3.0,2.25,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,217,31.0,6.3,2.4,2,77.0,1,5,13.0,12,1.57,3.0,4.0,-1.0,-0.41,-0.95,5.0,4.3,0.7,0.28,0.13,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,1.0,1.0,50.0,"€ 10,577(£ 9,187, $11,592)","€ 550,000(£ 477,744, $602,788)",Estimación no verificada,https://fbref.com/es/jugadores/7f622eef/Assane-Diousse
2019-2020,21,Saint-Étienne,frFRA,1.Ligue 1,4.0,120,0.0,0.0,6.0,261.0,0.0,0.0,1.0,76.0,0.0,0.0,11.0,457,0,0,1,120,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,,9.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,2.0,33.3,0.64,0.21,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,120,30.0,4.8,1.3,1,93.0,1,3,9.0,5,2.0,2.0,2.0,0.0,0.0,0.6,2.1,1.8,0.3,0.26,0.55,3.0,0.0,0.0,16.0,12.0,1.0,13.0,12.0,9.0,,,0.0,,,,,"€ 5,000(£ 4,343, $5,480)","€ 260,000(£ 225,842, $284,954)",Estimación no verificada,https://fbref.com/es/jugadores/7f622eef/Assane-Diousse
2020-2021,22,Ankaragücü,trTUR,1.Süper Lig,20.0,844,0.0,0.0,,,,,,,,,20.0,844,0,0,9,844,9.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,9.0,6.0,1.0,1.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,844,42.0,23.4,9.4,9,72.0,2,11,18.0,13,0.75,7.0,17.0,-10.0,-1.07,-0.77,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,"€ 11,538(£ 9,918, $13,104)","€ 600,000(£ 515,750, $681,427)",Estimación no verificada,https://fbref.com/es/jugadores/7f622eef/Assane-Diousse
2020-2021,22,Saint-Étienne,frFRA,1.Ligue 1,1.0,1,0.0,0.0,,,,,,,,,1.0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,33.0,35.0,94.3,599.0,139.0,15.0,15.0,100.0,12.0,12.0,100.0,4.0,6.0,66.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,35.0,33.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,11.0,24.0,1.0,0.0,35.0,0.0,0.0,,0.0,,17.0,128.0,78.0,1.0,1.0,0.0,1.0,0.0,26.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0,,0,1,1.0,0,3.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,100.0,,,,
2021-2022,23,Saint-Étienne,frFRA,1.Ligue 1,4.0,23,0.0,0.0,2.0,73.0,0.0,0.0,,,,,6.0,96,0,0,0,23,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,23,6.0,0.7,0.3,0,,0,4,6.0,19,1.75,0.0,1.0,-1.0,-3.91,-3.01,0.1,0.5,-0.4,-1.54,-1.02,3.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
