Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,19,Lyon,frFRA,1.Ligue 1,3.0,32,1.0,0.0,,,,,,,,,3.0,32,1,0,0.0,32,0.4,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,2.81,0.0,2.81,2.81,2.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,2.81,,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,32,11.0,0.9,0.4,0.0,,0.0,3.0,,7.0,2.0,2.0,0.0,2.0,5.63,5.04,,,,,,0.0,0.0,,2.0,,,,,,,,,,,,,"€ 5,962(£ 5,129, $6,519)","€ 310,000(£ 266,696, $338,973)",Estimación no verificada,https://fbref.com/es/jugadores/10dd88f9/Gaetan-Perrin
2016-2017,20,Lyon,frFRA,1.Ligue 1,,,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,11.0,,0.0,0.64,,0.27,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,5.0,,,,,,,,,,,,2.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 9,231(£ 7,935, $10,484)","€ 480,000(£ 412,600, $545,142)",Estimación no verificada,https://fbref.com/es/jugadores/10dd88f9/Gaetan-Perrin
2017-2018,21,Orléans,frFRA,2.Ligue 2,28.0,"1,541",3.0,2.0,3.0,179.0,1.0,0.0,,,,,31.0,"1,720",4,2,16.0,"1,541",17.1,3.0,2.0,5.0,3.0,0.0,0.0,2.0,0.0,,,,,,,,0.18,0.12,0.29,0.18,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,541",55.0,45.1,17.1,16.0,,7.0,12.0,,10.0,0.89,26.0,26.0,0.0,0.0,0.43,,,,,,1.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2018-2019,22,Orléans,frFRA,2.Ligue 2,25.0,797,2.0,0.0,8.0,626.0,4.0,1.0,,,,,33.0,"1,423",6,1,5.0,797,8.9,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,,,,,,,,0.23,0.0,0.23,0.23,0.23,,,,,,,10.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,35.0,13.0,37.1,2.31,0.86,0.09,0.23,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,797,32.0,23.3,8.9,5.0,85.0,2.0,20.0,19.0,7.0,1.04,12.0,16.0,-4.0,-0.45,-0.52,,,,,,1.0,0.0,0.0,21.0,26.0,2.0,42.0,8.0,10.0,,,0.0,,,,,,,,
2019-2020,23,Orléans,frFRA,2.Ligue 2,25.0,"1,365",3.0,1.0,4.0,224.0,1.0,1.0,,,,,29.0,"1,589",4,2,14.0,"1,365",15.2,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,,,,,,,,0.2,0.07,0.26,0.2,0.26,,,,,,,13.0,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,44.0,19.0,43.2,2.07,0.89,0.11,0.26,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,365",55.0,54.2,15.2,14.0,84.0,8.0,11.0,17.0,2.0,0.64,12.0,21.0,-9.0,-0.59,0.42,,,,,,2.0,0.0,0.0,22.0,30.0,4.0,42.0,12.0,13.0,,,0.0,,,,,,,,
2020-2021,24,Orléans,frFRA,Coupe de France,,,,,1.0,120.0,0.0,0.0,,,,,1.0,120,0,0,22.0,"1,914",21.3,5.0,2.0,7.0,5.0,0.0,0.0,2.0,0.0,,,,,,,,0.24,0.09,0.33,0.24,0.33,,,,,,17.0,8.0,5.0,6.0,6.0,8.0,30.0,26.7,22.0,15.0,0.0,15.0,10.0,27.0,9.0,0.0,315.0,434.0,72.6,5718.0,1802.0,140.0,175.0,80.0,122.0,158.0,77.2,41.0,67.0,61.2,1.0,1.9,1.5,-0.9,25.0,39.0,18.0,4.0,69.0,434.0,400.0,31.0,12.0,3.0,9.0,30.0,2.0,14.0,4.0,8.0,0.0,315.0,3.0,16.0,16.0,100.0,286.0,259.0,37.0,627.0,93.0,59.0,63.4,31.0,33.3,492.0,3747.0,1886.0,55.0,36.0,15.0,49.0,42.0,435.0,81.0,3.0,26.0,9.0,34.6,1.68,0.58,0.08,0.22,21.2,0.0,1.0,1.0,2.9,2.1,0.08,0.1,-0.1,58.0,3.75,34.0,7.0,12.0,2.0,2.0,1.0,3.0,0.19,2.0,1.0,0.0,0.0,0.0,0.0,"1,914",53.0,56.0,21.3,22.0,74.0,2.0,14.0,20.0,1.0,2.03,36.0,20.0,16.0,0.75,0.39,,,,,,1.0,0.0,0.0,18.0,22.0,4.0,30.0,10.0,8.0,0.0,0.0,0.0,84.0,14.0,22.0,38.9,,,,
2021-2022,25,Auxerre,frFRA,2.Ligue 2,36.0,"1,914",5.0,2.0,1.0,90.0,0.0,0.0,,,,,37.0,"2,004",5,2,15.0,"1,391",15.5,3.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,2.9,2.1,1.9,4.0,55.0,69.0,81.0,0.19,0.06,0.26,0.13,0.19,0.19,0.12,0.31,0.14,0.26,,24.0,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,76.0,30.0,39.5,2.29,0.9,0.09,0.23,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,391",38.0,40.7,15.5,15.0,60.0,0.0,22.0,22.0,0.0,0.92,15.0,25.0,-10.0,-0.65,0.15,17.1,26.2,-9.0,-0.59,-0.28,1.0,0.0,0.0,22.0,38.0,2.0,166.0,18.0,24.0,,,0.0,,,,,,,,
2022-2023,26,Auxerre,frFRA,1.Ligue 1,37.0,"1,391",3.0,1.0,2.0,132.0,2.0,1.0,,,,,39.0,"1,523",5,2,35.0,"2,993",33.3,7.0,10.0,17.0,7.0,0.0,0.0,1.0,0.0,,,,,,,,0.21,0.3,0.51,0.21,0.51,,,,,,49.0,26.0,22.0,12.0,15.0,21.0,46.0,45.7,25.0,10.0,0.0,10.0,12.0,61.0,4.0,1.0,648.0,918.0,70.6,11798.0,4310.0,308.0,375.0,82.1,211.0,276.0,76.4,99.0,190.0,52.1,9.0,7.5,4.5,1.5,69.0,75.0,31.0,5.0,126.0,918.0,726.0,186.0,49.0,7.0,10.0,145.0,6.0,103.0,37.0,51.0,0.0,648.0,6.0,36.0,6.0,135.0,518.0,565.0,93.0,1196.0,120.0,54.0,45.0,61.0,50.8,706.0,4723.0,2543.0,74.0,56.0,34.0,37.0,55.0,785.0,112.0,9.0,55.0,25.0,45.5,2.04,0.93,0.16,0.36,19.1,5.0,0.0,0.0,5.9,5.9,0.11,3.1,3.1,119.0,4.41,65.0,36.0,8.0,3.0,3.0,4.0,16.0,0.59,7.0,6.0,2.0,0.0,1.0,0.0,"2,993",79.0,87.5,33.3,35.0,83.0,13.0,3.0,28.0,0.0,1.95,63.0,27.0,36.0,1.08,1.08,,,,,,1.0,0.0,0.0,22.0,17.0,9.0,145.0,12.0,26.0,0.0,0.0,0.0,118.0,3.0,13.0,18.8,,,,
2023-2024,27,Auxerre,frFRA,2.Ligue 2,38.0,"2,993",7.0,10.0,3.0,253.0,0.0,0.0,,,,,41.0,"3,246",7,10,28.0,"2,430",27.0,9.0,9.0,18.0,9.0,0.0,0.0,1.0,0.0,5.9,5.9,7.5,13.4,74.0,126.0,112.0,0.33,0.33,0.67,0.33,0.67,0.22,0.28,0.5,0.22,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,430",78.0,87.1,27.0,28.0,84.0,11.0,3.0,23.0,0.0,1.32,36.0,38.0,-2.0,-0.07,-0.57,33.2,45.2,-12.1,-0.45,-0.09,,,,,,,,,,,,,,,,,,,,
2024-2025,28,Auxerre,frFRA,1.Ligue 1,31.0,"2,430",9.0,9.0,1.0,90.0,0.0,0.0,,,,,32.0,"2,520",9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
