Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2010-2011,17,Nancy,frFRA,1.Ligue 1,10.0,674,0.0,0.0,,,,,,,,,10.0,674,0,0,7,674,7.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,674,67.0,19.7,7.5,7,,6,3,,,,,,,,,,,,,,1.0,0.0,,13.0,,,,,,,,,,,,,"€ 4,615(£ 4,009, $5,058)","€ 240,000(£ 208,470, $263,035)",Estimación no verificada,https://fbref.com/es/jugadores/5167c97e/Massadio-Haidara
2011-2012,18,Nancy,frFRA,1.Ligue 1,19.0,"1,674",0.0,1.0,,,,,,,,,19.0,"1,674",0,1,19,"1,674",18.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.05,0.05,0.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,0.05,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,674",88.0,48.9,18.6,19,,17,0,,,,,,,,,,,,,,2.0,0.0,,36.0,,,,,,,,,,,,,"€ 4,615(£ 4,009, $5,058)","€ 240,000(£ 208,470, $263,035)",Estimación no verificada,https://fbref.com/es/jugadores/5167c97e/Massadio-Haidara
2012-2013,19,Nancy,frFRA,1.Ligue 1,17.0,"1,453",0.0,2.0,,,,,,,,,17.0,"1,453",0,2,17,"1,453",16.1,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.12,0.12,0.0,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,4.0,,,0.25,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,453",85.0,42.5,16.1,17,,15,0,,,,,,,,,,,,,,3.0,0.0,,27.0,,,,,,,,,,,,,"€ 4,615(£ 3,971, $5,047)","€ 240,000(£ 206,474, $262,431)",Estimación no verificada,https://fbref.com/es/jugadores/5167c97e/Massadio-Haidara
2012-2013,19,Newcastle Utd,engENG,1.Premier League,4.0,198,0.0,0.0,,,,,4.0,337.0,0.0,0.0,8.0,535,0,0,2,198,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,198,50.0,5.8,2.2,2,,1,2,,,,,,,,,,,,,,0.0,0.0,,4.0,,,,,,,,,,,,,"€ 11,538(£ 9,748, $12,400)","€ 600,000(£ 506,897, $644,787)",Estimación no verificada,https://fbref.com/es/jugadores/5167c97e/Massadio-Haidara
2013-2014,20,Newcastle Utd,engENG,1.Premier League,11.0,433,0.0,0.0,,,,,,,,,11.0,433,0,0,3,433,4.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,0.21,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,433,39.0,12.7,4.8,3,,3,8,,,,,,,,,,,,,,2.0,0.0,,7.0,,,,,,,,,,,,,"€ 17,500(£ 15,043, $19,875)","€ 910,000(£ 782,221, $1,033,498)",Estimación no verificada,https://fbref.com/es/jugadores/5167c97e/Massadio-Haidara
2014-2015,21,Newcastle Utd,engENG,1.Premier League,15.0,"1,101",0.0,1.0,5.0,435.0,0.0,0.0,,,,,20.0,"1,536",0,1,12,"1,101",12.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.08,0.08,0.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,0.08,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,101",73.0,32.2,12.2,12,,11,3,,9.0,1.53,15.0,19.0,-4.0,-0.33,0.41,,,,,,0.0,0.0,,12.0,,,,,,,,,,,,,,,,
2015-2016,22,Newcastle Utd,engENG,1.Premier League,7.0,555,0.0,0.0,1.0,77.0,0.0,0.0,,,,,8.0,632,0,0,6,555,6.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,555,79.0,16.2,6.2,6,,5,1,,2.0,0.71,5.0,9.0,-4.0,-0.65,-0.11,,,,,,1.0,0.0,,9.0,,,,,,,,,,,,,,,,
2016-2017,23,Newcastle Utd,engENG,2.Championship,1.0,78,0.0,0.0,2.0,144.0,0.0,0.0,,,,,3.0,222,0,0,0,78,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,78,78.0,1.9,0.9,0,,0,1,,4.0,3.0,3.0,0.0,3.0,3.46,2.53,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2017-2018,24,Newcastle Utd,engENG,1.Premier League,1.0,4,0.0,0.0,1.0,90.0,0.0,0.0,,,,,2.0,94,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,100.0,17.0,0.0,2.0,2.0,100.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,,2.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4.0,0.1,0.0,0,,0,1,,6.0,3.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,-0.65,-0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2017-2018,24,Newcastle Utd,engENG,Jr.PL2 — Div. 2,1.0,90,0.0,0.0,,,,,,,,,1.0,90,0,0,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,90,90.0,5.3,1.0,1,90.0,1,0,,0.0,3.0,4.0,1.0,3.0,3.0,4.06,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
