Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,18,Nantes,frFRA,2.Ligue 2,1.0,13,0.0,0.0,,,,,,,,,1,13,0,0,0.0,13,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,13,13.0,0.4,0.1,0.0,,,1.0,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,"€ 385(£ 334, $422)","€ 20,000(£ 17,372, $21,920)",Estimación no verificada,https://fbref.com/es/jugadores/ef7cd87a/Abdoulaye-Toure
2013-2014,19,Nantes,frFRA,1.Ligue 1,1.0,24,0.0,0.0,,,,,,,,,1,24,0,0,0.0,24,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,24,24.0,0.7,0.3,0.0,,,1.0,,,,,,,,,,,,,,0.0,0.0,,2.0,,,,,,,,,,,,,"€ 2,115(£ 1,837, $2,318)","€ 110,000(£ 95,549, $120,558)",Estimación no verificada,https://fbref.com/es/jugadores/ef7cd87a/Abdoulaye-Toure
2014-2015,20,Vendée Poiré,frFRA,Coupe de France,,,,,1.0,120.0,0.0,0.0,,,,,1,120,0,0,2.0,205,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,205,51.0,6.0,2.3,2.0,,2.0,2.0,,7.0,0.5,1.0,1.0,0.0,0.0,0.31,,,,,,0.0,0.0,,5.0,,,,,,,,,,,,,"€ 5,577(£ 4,844, $6,112)","€ 290,000(£ 251,901, $317,834)",Estimación no verificada,https://fbref.com/es/jugadores/ef7cd87a/Abdoulaye-Toure
2015-2016,21,Nantes,frFRA,1.Ligue 1,4.0,205,0.0,0.0,,,,,,,,,4,205,0,0,3.0,377,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,7.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,1.0,33.3,0.72,0.24,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,377,31.0,11.0,4.2,3.0,,2.0,9.0,,11.0,1.67,3.0,9.0,-6.0,-1.43,-1.2,,,,,,1.0,0.0,0.0,9.0,4.0,0.0,0.0,8.0,7.0,0.0,0.0,0.0,,,,,"€ 9,038(£ 7,851, $9,906)","€ 470,000(£ 408,254, $515,110)",Estimación no verificada,https://fbref.com/es/jugadores/ef7cd87a/Abdoulaye-Toure
2016-2017,22,Nantes,frFRA,1.Ligue 1,12.0,377,0.0,0.0,2.0,143.0,0.0,0.0,,,,,14,520,0,0,31.0,"2,810",31.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.5,1.5,0.9,2.4,24.0,184.0,34.0,0.03,0.03,0.06,0.03,0.06,0.05,0.03,0.08,0.05,0.08,74.0,52.0,28.0,38.0,8.0,23.0,67.0,34.3,44.0,40.0,10.0,30.0,62.0,136.0,49.0,1.0,1075.0,1372.0,78.4,18398.0,6247.0,491.0,572.0,85.8,407.0,502.0,81.1,125.0,197.0,63.5,1.0,0.9,1.4,0.1,19.0,154.0,15.0,4.0,184.0,1372.0,1353.0,14.0,12.0,2.0,19.0,19.0,1.0,0.0,0.0,0.0,0.0,1075.0,5.0,27.0,81.0,389.0,1112.0,275.0,16.0,1761.0,64.0,45.0,70.3,19.0,29.7,929.0,4086.0,1904.0,24.0,32.0,2.0,42.0,45.0,1021.0,34.0,1.0,41.0,12.0,29.3,1.31,0.38,0.02,0.08,27.2,2.0,0.0,0.0,1.5,1.5,0.04,-0.5,-0.5,80.0,2.56,55.0,0.0,7.0,4.0,13.0,1.0,8.0,0.26,7.0,0.0,0.0,0.0,1.0,0.0,"2,810",78.0,82.2,31.2,31.0,86.0,26.0,5.0,29.0,1.0,1.44,31.0,34.0,-3.0,-0.1,0.2,33.5,31.7,1.8,0.06,-0.23,3.0,0.0,0.0,53.0,54.0,0.0,19.0,62.0,52.0,1.0,0.0,0.0,254.0,61.0,34.0,64.2,"€ 9,231(£ 8,018, $10,117)","€ 480,000(£ 416,940, $526,070)",Estimación no verificada,https://fbref.com/es/jugadores/ef7cd87a/Abdoulaye-Toure
2017-2018,23,Nantes,frFRA,1.Ligue 1,36.0,"2,810",1.0,1.0,2.0,151.0,0.0,0.0,,,,,38,"2,961",1,1,30.0,"2,749",30.5,3.0,1.0,4.0,3.0,0.0,0.0,4.0,1.0,2.2,2.2,1.8,4.0,38.0,146.0,55.0,0.1,0.03,0.13,0.1,0.13,0.07,0.06,0.13,0.07,0.13,48.0,31.0,14.0,28.0,6.0,19.0,56.0,33.9,37.0,25.0,10.0,15.0,47.0,95.0,29.0,1.0,1096.0,1384.0,79.2,17179.0,4912.0,556.0,662.0,84.0,408.0,482.0,84.6,84.0,133.0,63.2,1.0,1.8,1.5,-0.8,24.0,123.0,17.0,5.0,146.0,1384.0,1365.0,14.0,13.0,3.0,16.0,24.0,1.0,0.0,0.0,0.0,0.0,1096.0,5.0,27.0,51.0,279.0,1081.0,362.0,17.0,1703.0,59.0,42.0,71.2,17.0,28.8,1011.0,4599.0,2208.0,38.0,44.0,2.0,45.0,40.0,1174.0,55.0,3.0,55.0,14.0,25.5,1.8,0.46,0.05,0.21,26.8,0.0,0.0,0.0,2.2,2.2,0.04,0.8,0.8,75.0,2.45,55.0,0.0,4.0,7.0,7.0,2.0,7.0,0.23,2.0,0.0,2.0,2.0,1.0,0.0,"2,749",81.0,80.4,30.5,30.0,89.0,27.0,4.0,20.0,3.0,1.35,42.0,37.0,5.0,0.16,0.83,41.5,40.0,1.4,0.05,-0.04,4.0,1.0,0.0,26.0,47.0,1.0,24.0,47.0,31.0,1.0,0.0,0.0,198.0,47.0,52.0,47.5,"€ 9,231(£ 8,018, $10,117)","€ 480,000(£ 416,940, $526,070)",Estimación no verificada,https://fbref.com/es/jugadores/ef7cd87a/Abdoulaye-Toure
2018-2019,24,Nantes,frFRA,1.Ligue 1,34.0,"2,749",3.0,1.0,7.0,391.0,0.0,1.0,,,,,41,"3,140",3,2,24.0,"2,221",24.7,3.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,3.1,1.5,1.2,2.6,34.0,130.0,30.0,0.12,0.0,0.12,0.04,0.04,0.12,0.05,0.17,0.06,0.11,32.0,21.0,10.0,21.0,1.0,10.0,30.0,33.3,20.0,31.0,11.0,20.0,29.0,61.0,18.0,1.0,1122.0,1340.0,83.7,18650.0,4388.0,555.0,638.0,87.0,427.0,494.0,86.4,102.0,134.0,76.1,0.0,1.2,1.1,-1.2,17.0,108.0,8.0,0.0,130.0,1340.0,1324.0,13.0,12.0,1.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,1122.0,3.0,20.0,43.0,281.0,1080.0,269.0,20.0,1606.0,44.0,31.0,70.5,13.0,29.5,922.0,4623.0,1995.0,34.0,28.0,5.0,39.0,32.0,1171.0,30.0,3.0,32.0,8.0,25.0,1.3,0.32,0.03,0.13,26.6,0.0,2.0,2.0,3.1,1.5,0.05,-0.1,-0.5,41.0,1.66,24.0,0.0,5.0,5.0,6.0,1.0,2.0,0.08,1.0,0.0,1.0,0.0,0.0,0.0,"2,221",82.0,88.1,24.7,24.0,89.0,22.0,3.0,29.0,0.0,1.37,23.0,24.0,-1.0,-0.04,0.56,26.9,24.5,2.4,0.1,1.19,3.0,0.0,0.0,31.0,53.0,0.0,10.0,29.0,21.0,0.0,1.0,0.0,181.0,37.0,39.0,48.7,"€ 10,385(£ 9,020, $11,381)","€ 540,000(£ 469,057, $591,828)",,https://fbref.com/es/jugadores/ef7cd87a/Abdoulaye-Toure
2019-2020,25,Nantes,frFRA,1.Ligue 1,27.0,"2,221",3.0,0.0,3.0,244.0,0.0,2.0,,,,,30,"2,465",3,2,20.0,"1,681",18.7,2.0,2.0,4.0,1.0,1.0,1.0,2.0,0.0,2.6,1.8,1.4,3.2,22.0,101.0,23.0,0.11,0.11,0.21,0.05,0.16,0.14,0.08,0.22,0.1,0.17,28.0,12.0,10.0,16.0,2.0,14.0,31.0,45.2,17.0,17.0,2.0,15.0,22.0,50.0,19.0,0.0,799.0,946.0,84.5,13244.0,3477.0,358.0,418.0,85.6,351.0,396.0,88.6,60.0,83.0,72.3,2.0,1.4,1.2,0.6,14.0,92.0,7.0,0.0,101.0,946.0,941.0,5.0,5.0,3.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,799.0,0.0,7.0,34.0,168.0,775.0,205.0,19.0,1135.0,30.0,21.0,70.0,9.0,30.0,652.0,2891.0,1303.0,22.0,22.0,0.0,28.0,18.0,801.0,23.0,2.0,26.0,4.0,15.4,1.39,0.21,0.04,0.25,24.2,0.0,1.0,1.0,2.6,1.8,0.07,-0.6,-0.8,41.0,2.2,34.0,0.0,3.0,2.0,2.0,0.0,5.0,0.27,5.0,0.0,0.0,0.0,0.0,0.0,"1,681",58.0,49.2,18.7,20.0,78.0,11.0,9.0,14.0,7.0,0.83,18.0,28.0,-10.0,-0.54,-0.64,22.0,24.8,-2.8,-0.15,-0.06,2.0,0.0,0.0,20.0,30.0,0.0,9.0,22.0,12.0,0.0,2.0,0.0,106.0,33.0,22.0,60.0,"€ 29,615(£ 25,725, $32,458)","€ 1,540,000(£ 1,337,682, $1,687,806)",Estimación no verificada,https://fbref.com/es/jugadores/ef7cd87a/Abdoulaye-Toure
2020-2021,26,Nantes,frFRA,1.Ligue 1,29.0,"1,681",2.0,2.0,1.0,90.0,0.0,0.0,,,,,30,"1,771",2,2,6.0,431,4.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.21,0.21,0.0,0.21,,,,,,,1.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,20.0,1.04,0.21,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,431,43.0,12.6,4.8,6.0,63.0,1.0,4.0,13.0,5.0,1.6,6.0,10.0,-4.0,-0.84,-0.81,,,,,,0.0,0.0,0.0,2.0,8.0,0.0,1.0,10.0,1.0,,,0.0,,,,,"€ 21,154(£ 17,871, $22,733)","€ 1,100,000(£ 929,312, $1,182,109)",Estimación no verificada,https://fbref.com/es/jugadores/ef7cd87a/Abdoulaye-Toure
2021-2022,27,Fatih Karagümrük,trTUR,1.Süper Lig,10.0,431,0.0,1.0,,,,,,,,,10,431,0,1,6.0,430,4.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.2,2.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.03,0.04,12.0,4.0,3.0,8.0,1.0,5.0,11.0,45.5,6.0,6.0,1.0,5.0,4.0,16.0,6.0,0.0,130.0,172.0,75.6,1934.0,383.0,66.0,85.0,77.6,50.0,64.0,78.1,7.0,10.0,70.0,0.0,0.0,0.1,0.0,1.0,12.0,0.0,0.0,17.0,172.0,170.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,130.0,1.0,4.0,8.0,51.0,139.0,37.0,5.0,224.0,9.0,6.0,66.7,3.0,33.3,120.0,459.0,186.0,2.0,1.0,1.0,4.0,4.0,128.0,4.0,0.0,4.0,0.0,0.0,0.84,0.0,0.0,,21.7,0.0,0.0,0.0,0.1,0.1,0.04,-0.1,-0.1,4.0,0.84,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430,54.0,12.6,4.8,6.0,67.0,1.0,2.0,14.0,10.0,0.75,4.0,9.0,-5.0,-1.05,-0.2,3.3,7.9,-4.6,-0.96,-0.59,1.0,0.0,0.0,3.0,9.0,0.0,3.0,4.0,4.0,0.0,0.0,0.0,27.0,5.0,4.0,55.6,"€ 21,154(£ 18,184, $24,025)","€ 1,100,000(£ 945,542, $1,249,283)",Estimación no verificada,https://fbref.com/es/jugadores/ef7cd87a/Abdoulaye-Toure
