Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,19,Nice,frFRA,1.Ligue 1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,1,,,,,,,,,,,,0.0,0.0,,2.0,,,,,,,,,,,,,"€ 385(£ 334, $422)","€ 20,000(£ 17,372, $21,920)",Estimación no verificada,https://fbref.com/es/jugadores/ac89503b/Gautier-Lloris
2015-2016,20,Nice,frFRA,1.Ligue 1,2.0,64,0.0,0.0,,,,,,,,,2.0,64,0,0,1,64,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,64,32.0,1.9,0.7,1,,0,1,,2,1.5,0.0,0.0,0.0,0.0,-0.46,,,,,,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 2,308(£ 2,005, $2,529)","€ 120,000(£ 104,235, $131,517)",Estimación no verificada,https://fbref.com/es/jugadores/ac89503b/Gautier-Lloris
2016-2017,21,Nice,frFRA,1.Ligue 1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,5.0,0.0,0.0,4.0,5.0,80.0,1.0,3.0,3.0,0.0,2.0,7.0,11.0,0.0,163.0,178.0,91.6,2869.0,983.0,62.0,63.0,98.4,84.0,92.0,91.3,13.0,17.0,76.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,178.0,177.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,1.0,29.0,127.0,76.0,0.0,0.0,203.0,0.0,0.0,,0.0,,88.0,366.0,210.0,1.0,0.0,0.0,1.0,1.0,152.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0,,0,0,,1,,,,,,,,,,,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,11.0,6.0,4.0,60.0,"€ 1,731(£ 1,503, $1,897)","€ 90,000(£ 78,176, $98,638)",Estimación no verificada,https://fbref.com/es/jugadores/ac89503b/Gautier-Lloris
2017-2018,22,Nice,frFRA,1.Ligue 1,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,14.0,7.0,50.0,0.54,0.27,0.29,0.57,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,2,,,,,,,,,,,,7.0,1.0,1.0,28.0,12.0,0.0,1.0,48.0,23.0,,,1.0,,,,,"€ 962(£ 835, $1,054)","€ 50,000(£ 43,431, $54,799)",Estimación no verificada,https://fbref.com/es/jugadores/ac89503b/Gautier-Lloris
2017-2018,22,Gazélec Ajaccio,frFRA,2.Ligue 2,13.0,"1,122",0.0,0.0,,,,,,,,,13.0,"1,122",0,0,12,"1,122",12.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.38,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,122",86.0,32.8,12.5,12,,12,1,,0,0.92,11.0,16.0,-5.0,-0.4,0.38,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,,,0.0,,,,,"€ 10,385(£ 8,773, $11,160)","€ 540,000(£ 456,208, $580,308)",Estimación no verificada,https://fbref.com/es/jugadores/ac89503b/Gautier-Lloris
2019-2020,24,Nice,frFRA,1.Ligue 1,3.0,270,0.0,0.0,,,,,,,,,3.0,270,0,0,3,270,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,16.0,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,17.0,3.0,17.6,0.63,0.11,0.18,1.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,270,90.0,10.7,3.0,3,90.0,3,0,,5,1.0,4.0,7.0,-3.0,-1.0,-1.24,4.0,5.2,-1.2,-0.4,-0.12,3.0,0.0,0.0,16.0,14.0,0.0,1.0,24.0,16.0,,,0.0,,,,,"€ 10,385(£ 8,926, $11,794)","€ 540,000(£ 464,175, $613,284)",Estimación no verificada,https://fbref.com/es/jugadores/ac89503b/Gautier-Lloris
2020-2021,25,Auxerre,frFRA,2.Ligue 2,26.0,"2,333",4.0,1.0,,,,,,,,,26.0,"2,333",4,1,26,"2,333",25.9,4.0,1.0,5.0,4.0,0.0,0.0,7.0,1.0,,,,,,,,0.15,0.04,0.19,0.15,0.19,,,,,,50.0,28.0,40.0,9.0,1.0,28.0,42.0,66.7,14.0,50.0,30.0,20.0,32.0,82.0,142.0,1.0,1194.0,1398.0,85.4,21169.0,7934.0,461.0,517.0,89.2,623.0,676.0,92.2,80.0,161.0,49.7,0.0,0.2,0.4,-0.2,3.0,80.0,3.0,0.0,105.0,1398.0,1369.0,27.0,18.0,2.0,3.0,3.0,8.0,0.0,0.0,0.0,0.0,1194.0,2.0,14.0,266.0,915.0,752.0,75.0,34.0,1733.0,10.0,4.0,40.0,5.0,50.0,1187.0,5795.0,2971.0,13.0,14.0,0.0,9.0,2.0,1077.0,5.0,2.0,16.0,4.0,25.0,0.52,0.13,0.13,0.5,8.4,0.0,0.0,0.0,2.1,2.1,0.13,-0.1,-0.1,18.0,0.58,16.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,333",90.0,68.2,25.9,26,90.0,25,0,,3,1.69,39.0,28.0,11.0,0.42,-0.4,,,,,,2.0,0.0,0.0,35.0,7.0,1.0,3.0,32.0,28.0,0.0,2.0,0.0,147.0,75.0,36.0,67.6,,,,
2021-2022,26,Auxerre,frFRA,2.Ligue 2,3.0,65,0.0,0.0,2.0,102.0,0.0,0.0,,,,,5.0,167,0,0,0,65,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,67.0,43.0,51.0,16.0,0.0,38.0,53.0,71.7,15.0,33.0,21.0,12.0,31.0,98.0,186.0,0.0,1262.0,1443.0,87.5,24675.0,9110.0,387.0,422.0,91.7,744.0,783.0,95.0,117.0,200.0,58.5,1.0,0.9,0.5,0.1,5.0,86.0,5.0,1.0,98.0,1443.0,1399.0,40.0,33.0,0.0,6.0,3.0,4.0,0.0,0.0,0.0,0.0,1262.0,4.0,8.0,259.0,976.0,783.0,57.0,21.0,1807.0,7.0,4.0,57.1,3.0,42.9,974.0,4315.0,2293.0,13.0,9.0,0.0,13.0,3.0,1181.0,7.0,2.0,11.0,2.0,18.2,0.37,0.07,0.18,1.0,12.8,0.0,0.0,0.0,1.2,1.2,0.11,0.8,0.8,21.0,0.71,17.0,0.0,0.0,4.0,0.0,0.0,3.0,0.1,2.0,0.0,0.0,1.0,0.0,0.0,65,22.0,1.9,0.7,0,,0,3,22.0,4,2.33,1.0,1.0,0.0,0.0,-0.59,,,,,,5.0,0.0,0.0,31.0,7.0,2.0,3.0,31.0,43.0,0.0,2.0,0.0,99.0,61.0,34.0,64.2,,,,
2022-2023,27,Le Havre,frFRA,2.Ligue 2,27.0,"2,430",3.0,3.0,,,,,,,,,27.0,"2,430",3,3,27,"2,430",27.0,3.0,3.0,6.0,3.0,0.0,0.0,3.0,0.0,,,,,,,,0.11,0.11,0.22,0.11,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,430",90.0,71.1,27.0,27,90.0,27,0,,2,2.0,32.0,11.0,21.0,0.78,0.23,,,,,,,,,,,,,,,,,,,,,,,,,
2023-2024,28,Le Havre,frFRA,1.Ligue 1,31.0,"2,778",2.0,0.0,2.0,180.0,0.0,0.0,,,,,33.0,"2,958",2,0,31,"2,778",30.9,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.1,2.1,0.2,2.3,13.0,105.0,5.0,0.06,0.0,0.06,0.06,0.06,0.07,0.01,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,778",90.0,90.8,30.9,31,90.0,29,0,,2,1.03,33.0,41.0,-8.0,-0.26,0.7,33.8,46.3,-12.4,-0.4,-0.14,,,,,,,,,,,,,,,,,,,,
