Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2015-2016,18,Troyes,frFRA,1.Ligue 1,1,15,0,0,,,,,,,,,1,15,0,0,0,15,0.2,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,15,15,0.4,0.2,0,,0,1,,0,0.0,0,0,0,0.0,1.45,,,,,,0,0,,0,,,,,,,,,,,,,"€ 1,346(£ 1,169, $1,475)","€ 70,000(£ 60,804, $76,718)",Estimación no verificada,https://fbref.com/es/jugadores/d2448564/Samuel-Grandsir
2016-2017,19,Troyes,frFRA,2.Ligue 2,32,"1,751",3,2,1.0,23.0,0.0,0.0,,,,,33,"1,774",3,2,20,"1,751",19.5,3,2,5,3,0,0,4,2,,,,,,,,0.15,0.1,0.26,0.15,0.26,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.0,13,,0.0,0.67,,0.23,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,751",55,51.2,19.5,20,,7,12,,0,1.72,28,22,6,0.31,-0.23,,,,,,4,2,0.0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 5,769(£ 5,011, $6,323)","€ 300,000(£ 260,587, $328,793)",Estimación no verificada,https://fbref.com/es/jugadores/d2448564/Samuel-Grandsir
2017-2018,20,Troyes,frFRA,1.Ligue 1,36,"2,603",3,4,4.0,390.0,0.0,0.0,,,,,40,"2,993",3,4,29,"2,603",28.9,3,4,7,3,0,0,3,0,4.8,4.8,4.0,8.7,127.0,108.0,233.0,0.1,0.14,0.24,0.1,0.24,0.16,0.14,0.3,0.16,0.3,69.0,43.0,39.0,18.0,12.0,21.0,73.0,28.8,52.0,31.0,3.0,28.0,23.0,92.0,19.0,1.0,663.0,943.0,70.3,9643.0,2818.0,385.0,461.0,83.5,186.0,255.0,72.9,43.0,106.0,40.6,4,4.0,3.7,0.0,33.0,56.0,40.0,12.0,108.0,943.0,917.0,22.0,0.0,6.0,13.0,83.0,12.0,4.0,0.0,0.0,0.0,663.0,4.0,48.0,26.0,276.0,538.0,575.0,71.0,1352.0,134.0,68.0,50.7,66.0,49.3,946.0,7740.0,3959.0,127.0,102.0,29.0,84.0,74.0,981.0,233.0,3,48.0,19,39.6,1.66,0.66,0.06,0.16,17.5,0.0,0,0,4.8,4.8,0.1,-1.8,-1.8,79.0,2.73,61.0,0.0,8.0,5.0,3.0,2.0,8.0,0.28,5.0,0.0,1.0,2.0,0.0,0.0,"2,603",72,76.1,28.9,29,82.0,17,7,31.0,0,0.92,22,39,-17,-0.59,0.51,28.1,38.6,-10.5,-0.36,0.02,3,0,0.0,52,44.0,13.0,83.0,23.0,43.0,0.0,0.0,0.0,173.0,12.0,45.0,21.1,"€ 11,731(£ 10,190, $12,857)","€ 610,000(£ 529,861, $668,547)",Estimación no verificada,https://fbref.com/es/jugadores/d2448564/Samuel-Grandsir
2018-2019,21,Strasbourg,frFRA,1.Ligue 1,8,237,0,0,1.0,90.0,0.0,0.0,,,,,9,327,0,0,2,237,2.6,0,0,0,0,0,0,0,1,0.0,0.0,0.4,0.4,9.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.01,0.14,0.15,0.01,0.15,9.0,6.0,5.0,3.0,1.0,3.0,7.0,42.9,4.0,2.0,0.0,2.0,1.0,10.0,0.0,0.0,59.0,85.0,69.4,805.0,169.0,31.0,36.0,86.1,17.0,25.0,68.0,3.0,8.0,37.5,0,0.4,0.3,-0.4,1.0,3.0,1.0,0.0,6.0,85.0,78.0,6.0,0.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,59.0,1.0,7.0,0.0,17.0,51.0,54.0,3.0,117.0,11.0,7.0,63.6,4.0,36.4,77.0,492.0,212.0,9.0,3.0,1.0,8.0,5.0,81.0,21.0,0,1.0,1,100.0,0.38,0.38,0.0,0.0,19.4,0.0,0,0,0.0,0.0,0.04,0.0,0.0,10.0,3.8,5.0,1.0,3.0,0.0,1.0,0.0,2.0,0.76,2.0,0.0,0.0,0.0,0.0,0.0,237,30,6.9,2.6,2,76.0,0,6,14.0,3,0.88,5,4,1,0.38,0.13,2.0,4.7,-2.7,-1.02,-0.81,0,1,0.0,2,2.0,2.0,8.0,1.0,6.0,0.0,0.0,0.0,16.0,2.0,3.0,40.0,"€ 11,731(£ 10,190, $12,857)","€ 610,000(£ 529,861, $668,547)",Estimación no verificada,https://fbref.com/es/jugadores/d2448564/Samuel-Grandsir
2018-2019,21,Monaco,frFRA,1.Ligue 1,12,469,0,1,3.0,145.0,0.0,0.0,3.0,187.0,1.0,0.0,18,801,1,1,4,469,5.2,0,1,1,0,0,0,1,1,0.2,0.2,2.1,2.3,16.0,9.0,74.0,0.0,0.19,0.19,0.0,0.19,0.04,0.41,0.44,0.04,0.44,12.0,7.0,4.0,5.0,3.0,2.0,10.0,20.0,8.0,11.0,0.0,11.0,1.0,13.0,5.0,1.0,105.0,188.0,55.9,1437.0,478.0,71.0,93.0,76.3,22.0,46.0,47.8,7.0,28.0,25.0,1,2.1,1.6,-1.1,7.0,6.0,7.0,4.0,9.0,188.0,179.0,8.0,3.0,0.0,0.0,38.0,1.0,4.0,0.0,2.0,0.0,105.0,1.0,9.0,5.0,44.0,86.0,143.0,14.0,267.0,25.0,13.0,52.0,12.0,48.0,173.0,1190.0,487.0,16.0,8.0,3.0,17.0,7.0,174.0,74.0,0,6.0,1,16.7,1.15,0.19,0.0,0.0,23.5,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,15.0,2.88,11.0,1.0,2.0,0.0,0.0,1.0,1.0,0.19,1.0,0.0,0.0,0.0,0.0,0.0,469,39,13.7,5.2,4,74.0,1,8,22.0,2,0.75,5,10,-5,-0.96,-0.53,8.7,9.6,-1.0,-0.18,-0.13,1,1,0.0,11,2.0,2.0,38.0,1.0,7.0,0.0,0.0,0.0,38.0,3.0,8.0,27.3,"€ 8,077(£ 7,016, $8,852)","€ 420,000(£ 364,822, $460,311)",Estimación no verificada,https://fbref.com/es/jugadores/d2448564/Samuel-Grandsir
2019-2020,22,Brest,frFRA,1.Ligue 1,24,"1,492",3,1,3.0,206.0,2.0,0.0,,,,,27,"1,698",5,1,17,"1,492",16.6,3,1,4,3,0,0,0,0,2.4,2.4,1.9,4.3,63.0,54.0,162.0,0.18,0.06,0.24,0.18,0.24,0.15,0.11,0.26,0.15,0.26,34.0,22.0,13.0,16.0,5.0,11.0,30.0,36.7,19.0,9.0,0.0,9.0,14.0,48.0,5.0,0.0,363.0,528.0,68.8,5319.0,1249.0,219.0,263.0,83.3,106.0,158.0,67.1,21.0,50.0,42.0,1,1.9,1.7,-0.9,20.0,30.0,15.0,6.0,54.0,528.0,517.0,7.0,2.0,3.0,7.0,59.0,3.0,1.0,0.0,0.0,0.0,363.0,4.0,22.0,11.0,107.0,307.0,337.0,51.0,742.0,50.0,24.0,48.0,26.0,52.0,500.0,3711.0,1786.0,63.0,41.0,14.0,58.0,35.0,571.0,162.0,3,28.0,9,32.1,1.69,0.54,0.11,0.33,15.8,0.0,0,0,2.4,2.4,0.09,0.6,0.6,46.0,2.77,42.0,0.0,0.0,2.0,2.0,0.0,4.0,0.24,4.0,0.0,0.0,0.0,0.0,0.0,"1,492",62,59.2,16.6,17,77.0,2,7,26.0,2,1.08,19,23,-4,-0.24,-0.33,19.3,25.4,-6.1,-0.37,0.39,0,0,0.0,19,17.0,6.0,59.0,14.0,22.0,0.0,0.0,0.0,72.0,5.0,24.0,17.2,"€ 9,808(£ 8,286, $10,540)","€ 510,000(£ 430,863, $548,069)",Estimación no verificada,https://fbref.com/es/jugadores/d2448564/Samuel-Grandsir
2022-2023,25,Le Havre,frFRA,2.Ligue 2,14,909,2,0,,,,,,,,,14,909,2,0,11,909,10.1,2,0,2,2,0,0,2,0,,,,,,,,0.2,0.0,0.2,0.2,0.2,,,,,,,13.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,21.0,6,28.6,2.08,0.59,0.1,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,909,65,26.6,10.1,11,72.0,0,3,38.0,0,2.0,8,1,7,0.69,-0.02,,,,,,2,0,0.0,13,7.0,5.0,25.0,6.0,13.0,,,0.0,,,,,"€ 9,808(£ 8,431, $11,139)","€ 510,000(£ 438,388, $579,213)",Estimación no verificada,https://fbref.com/es/jugadores/d2448564/Samuel-Grandsir
2023-2024,26,Le Havre,frFRA,1.Ligue 1,23,606,1,1,2.0,138.0,0.0,1.0,,,,,25,744,1,2,4,606,6.7,1,1,2,1,0,1,4,2,2.6,1.9,1.2,3.0,22.0,35.0,68.0,0.15,0.15,0.3,0.15,0.3,0.39,0.17,0.57,0.28,0.45,16.0,12.0,5.0,9.0,2.0,8.0,18.0,44.4,10.0,4.0,0.0,4.0,3.0,19.0,3.0,1.0,209.0,292.0,71.6,3118.0,845.0,109.0,130.0,83.8,72.0,99.0,72.7,13.0,26.0,50.0,1,1.2,1.4,-0.2,14.0,14.0,16.0,4.0,35.0,292.0,269.0,23.0,6.0,2.0,2.0,44.0,5.0,12.0,3.0,8.0,0.0,209.0,0.0,20.0,2.0,39.0,141.0,197.0,24.0,373.0,24.0,7.0,29.2,16.0,66.7,285.0,1909.0,743.0,22.0,23.0,8.0,12.0,10.0,274.0,68.0,1,14.0,5,35.7,2.08,0.74,0.07,0.2,18.5,2.0,0,1,2.6,1.9,0.13,-1.6,-0.9,31.0,4.61,20.0,5.0,3.0,2.0,0.0,1.0,2.0,0.3,1.0,0.0,1.0,0.0,0.0,0.0,606,26,19.8,6.7,4,72.0,1,19,17.0,8,0.7,6,13,-7,-1.04,-0.89,8.1,15.3,-7.3,-1.08,-0.86,4,2,1.0,18,5.0,5.0,44.0,3.0,12.0,0.0,0.0,0.0,25.0,1.0,6.0,14.3,,,,
2024-2025,27,Le Havre,frFRA,1.Ligue 1,6,84,0,0,1.0,64.0,0.0,0.0,,,,,7,148,0,0,0,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,5.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.67,0.0,0.67,5.0,5.0,0.0,3.0,2.0,2.0,3.0,66.7,1.0,2.0,0.0,2.0,0.0,5.0,0.0,0.0,20.0,32.0,62.5,357.0,133.0,10.0,14.0,71.4,8.0,12.0,66.7,2.0,5.0,40.0,0,0.6,0.3,-0.6,3.0,8.0,2.0,1.0,6.0,32.0,28.0,4.0,1.0,1.0,0.0,5.0,1.0,2.0,2.0,0.0,0.0,20.0,0.0,1.0,0.0,4.0,22.0,16.0,0.0,42.0,2.0,0.0,0.0,2.0,100.0,24.0,182.0,102.0,5.0,0.0,0.0,0.0,1.0,23.0,5.0,0,0.0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,4.0,4.29,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84,14,3.0,0.9,0,,0,6,14.0,9,0.5,1,8,-7,-7.5,-6.7,0.9,2.6,-1.7,-1.83,-1.15,0,0,0.0,2,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,,,,
2024-2025,27,Caen,frFRA,2.Ligue 2,7,547,1,0,,,,,,,,,7,547,1,0,7,547,6.1,1,0,1,1,0,0,0,0,,,,,,,,0.16,0.0,0.16,0.16,0.16,,,,,,,8.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9.0,4,44.4,1.48,0.66,0.11,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,547,78,19.0,6.1,7,78.0,2,0,,0,0.29,4,16,-12,-1.97,-1.43,,,,,,0,0,0.0,7,3.0,1.0,25.0,4.0,8.0,,,0.0,,,,,,,,
