Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2010-2011,18,Reims,frFRA,2.Ligue 2,8,568,0,0,,,,,,,,,8,568,0,0,7,568,6.3,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,568,71,16.6,6.3,7,,,1,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,"€ 9,231(£ 8,018, $10,117)","€ 480,000(£ 416,940, $526,070)",Estimación no verificada,https://fbref.com/es/jugadores/fbd6378b/Aissa-Mandi
2011-2012,19,Reims,frFRA,2.Ligue 2,26,"2,274",1,2,,,,,,,,,26,"2,274",1,2,24,"2,274",25.3,1,2,3,1,0,0,4,0,,,,,,,,0.04,0.08,0.12,0.04,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,0.12,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,274",87,66.5,25.3,24,,,2,,,,,,,,,,,,,,4,0,,,,,,,,,,,,,,,"€ 9,231(£ 8,018, $10,117)","€ 480,000(£ 416,940, $526,070)",Estimación no verificada,https://fbref.com/es/jugadores/fbd6378b/Aissa-Mandi
2012-2013,20,Reims,frFRA,1.Ligue 1,29,"2,461",2,1,,,,,,,,,29,"2,461",2,1,27,"2,461",27.3,2,1,3,2,0,0,2,1,,,,,,,,0.07,0.04,0.11,0.07,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5,,,0.18,,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,461",85,72.0,27.3,27,,25.0,2,,,,,,,,,,,,,,2,1,,35.0,,,,,,,,,,,,,"€ 9,231(£ 8,018, $10,117)","€ 480,000(£ 416,940, $526,070)",Estimación no verificada,https://fbref.com/es/jugadores/fbd6378b/Aissa-Mandi
2013-2014,21,Reims,frFRA,1.Ligue 1,33,"2,919",0,3,,,,,,,,,33,"2,919",0,3,33,"2,919",32.4,0,3,3,0,0,0,2,1,,,,,,,,0.0,0.09,0.09,0.0,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,6,,,0.18,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,919",88,85.4,32.4,33,,31.0,0,,,,,,,,,,,,,,2,1,,44.0,,,,,,,,,,,,,"€ 14,038(£ 12,194, $15,386)","€ 730,000(£ 634,096, $800,064)",Estimación no verificada,https://fbref.com/es/jugadores/fbd6378b/Aissa-Mandi
2014-2015,22,Reims,frFRA,1.Ligue 1,32,"2,805",6,2,,,,,,,,,32,"2,805",6,2,32,"2,805",31.2,6,2,8,6,0,0,3,0,,,,,,,,0.19,0.06,0.26,0.19,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,10,,,0.32,,0.6,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,805",88,82.0,31.2,32,,30.0,0,,2.0,1.22,42.0,57.0,-15.0,-0.48,0.1,,,,,,3,0,,26.0,,,,,,,,,,,,,"€ 14,038(£ 12,194, $15,386)","€ 730,000(£ 634,096, $800,064)",Estimación no verificada,https://fbref.com/es/jugadores/fbd6378b/Aissa-Mandi
2015-2016,23,Reims,frFRA,1.Ligue 1,32,"2,859",5,1,,,,,,,,,32,"2,859",5,1,32,"2,859",31.8,5,1,6,5,0,0,3,1,,,,,,,,0.16,0.03,0.19,0.16,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,9,,,0.28,,0.56,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,859",89,83.6,31.8,32,,30.0,0,,0.0,1.13,43.0,49.0,-6.0,-0.19,0.93,,,,,,3,1,,24.0,,,,,,,,,,,,,"€ 14,038(£ 12,194, $15,386)","€ 730,000(£ 634,096, $800,064)",Estimación no verificada,https://fbref.com/es/jugadores/fbd6378b/Aissa-Mandi
2016-2017,24,Betis,esESP,1.La Liga,26,"2,215",2,1,2.0,157.0,0.0,0.0,,,,,28,"2,372",2,1,25,"2,215",24.6,2,1,3,2,0,0,4,0,,,,,,,,0.08,0.04,0.12,0.08,0.12,,,,,,,34.0,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13.0,7,53.8,0.53,0.28,0.15,0.29,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,215",85,64.8,24.6,25,87.0,22.0,1,45.0,3.0,0.92,27.0,50.0,-23.0,-0.93,-0.93,,,,,,4,0,0.0,29.0,10.0,4.0,2.0,56.0,34.0,0.0,1.0,0.0,,,,,"€ 23,077(£ 20,045, $25,292)","€ 1,200,000(£ 1,042,350, $1,315,174)",Estimación no verificada,https://fbref.com/es/jugadores/fbd6378b/Aissa-Mandi
2017-2018,25,Betis,esESP,1.La Liga,34,"3,024",1,0,1.0,90.0,0.0,0.0,,,,,35,"3,114",1,0,34,"3,024",33.6,1,0,1,1,0,0,9,1,3.3,3.3,0.2,3.5,30.0,129.0,9.0,0.03,0.0,0.03,0.03,0.03,0.1,0.01,0.1,0.1,0.1,54.0,35.0,27.0,25.0,2.0,19.0,34.0,55.9,15.0,39.0,24.0,15.0,71.0,125.0,133.0,3.0,1965.0,2146.0,91.6,35804.0,13638.0,827.0,876.0,94.4,943.0,1010.0,93.4,182.0,227.0,80.2,0,0.2,0.5,-0.2,4.0,146.0,2.0,0.0,129.0,2146.0,2042.0,99.0,86.0,1.0,25.0,1.0,13.0,0.0,0.0,0.0,0.0,1965.0,5.0,7.0,218.0,1054.0,1315.0,117.0,21.0,2475.0,16.0,13.0,81.3,3.0,18.8,1667.0,7026.0,4403.0,30.0,29.0,1.0,12.0,7.0,1794.0,9.0,1,14.0,2,14.3,0.42,0.06,0.07,0.5,11.0,0.0,0,0,3.3,3.3,0.23,-2.3,-2.3,19.0,0.57,15.0,1.0,0.0,2.0,0.0,1.0,1.0,0.03,0.0,0.0,0.0,1.0,0.0,0.0,"3,024",89,88.4,33.6,34,89.0,33.0,0,,2.0,1.65,54.0,49.0,5.0,0.15,1.51,41.2,41.6,-0.4,-0.01,0.6,9,1,0.0,34.0,26.0,1.0,1.0,71.0,35.0,0.0,1.0,0.0,135.0,59.0,44.0,57.3,"€ 23,077(£ 20,045, $25,292)","€ 1,200,000(£ 1,042,350, $1,315,174)",Estimación no verificada,https://fbref.com/es/jugadores/fbd6378b/Aissa-Mandi
2018-2019,26,Betis,esESP,1.La Liga,35,"3,059",1,1,7.0,660.0,1.0,0.0,6.0,540.0,0.0,0.0,48,"4,259",2,1,34,"3,059",34.0,1,1,2,1,0,0,10,0,0.6,0.6,1.5,2.2,23.0,172.0,17.0,0.03,0.03,0.06,0.03,0.06,0.02,0.04,0.06,0.02,0.06,52.0,34.0,27.0,20.0,5.0,12.0,29.0,41.4,17.0,39.0,23.0,16.0,41.0,93.0,71.0,2.0,2407.0,2616.0,92.0,42318.0,15490.0,1064.0,1127.0,94.4,1072.0,1143.0,93.8,215.0,256.0,84.0,1,1.5,1.9,-0.5,16.0,182.0,10.0,3.0,172.0,2616.0,2499.0,116.0,97.0,1.0,38.0,19.0,19.0,0.0,0.0,0.0,0.0,2407.0,1.0,16.0,221.0,1065.0,1529.0,269.0,24.0,2851.0,9.0,7.0,77.8,2.0,22.2,1651.0,6992.0,4283.0,23.0,38.0,3.0,11.0,5.0,2198.0,17.0,1,6.0,3,50.0,0.18,0.09,0.17,0.33,13.4,0.0,0,0,0.6,0.6,0.11,0.4,0.4,39.0,1.15,39.0,0.0,0.0,0.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,"3,059",87,89.4,34.0,34,89.0,32.0,1,45.0,1.0,1.34,40.0,46.0,-6.0,-0.18,0.32,40.1,45.2,-5.1,-0.15,-0.85,10,0,0.0,56.0,22.0,1.0,19.0,41.0,34.0,0.0,0.0,0.0,143.0,53.0,38.0,58.2,"€ 30,769(£ 26,727, $33,722)","€ 1,600,000(£ 1,389,799, $1,753,565)",,https://fbref.com/es/jugadores/fbd6378b/Aissa-Mandi
2019-2020,27,Betis,esESP,1.La Liga,29,"2,576",0,0,,,,,,,,,29,"2,576",0,0,29,"2,576",28.6,0,0,0,0,0,0,9,0,1.5,1.5,1.1,2.6,10.0,93.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.04,0.09,0.05,0.09,33.0,15.0,22.0,8.0,3.0,18.0,28.0,64.3,10.0,29.0,15.0,14.0,38.0,71.0,93.0,0.0,1628.0,1820.0,89.5,31756.0,12100.0,596.0,632.0,94.3,781.0,837.0,93.3,226.0,303.0,74.6,0,1.1,0.8,-1.1,7.0,94.0,5.0,1.0,93.0,1820.0,1711.0,105.0,89.0,2.0,25.0,3.0,15.0,0.0,0.0,0.0,0.0,1628.0,4.0,12.0,265.0,1056.0,949.0,65.0,22.0,2059.0,6.0,5.0,83.3,1.0,16.7,1184.0,5252.0,2947.0,10.0,12.0,1.0,9.0,6.0,1458.0,8.0,0,11.0,3,27.3,0.38,0.1,0.0,0.0,11.3,0.0,0,0,1.5,1.5,0.14,-1.5,-1.5,17.0,0.59,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"2,576",89,75.3,28.6,29,89.0,27.0,0,,6.0,1.21,35.0,35.0,0.0,0.0,1.28,39.9,39.7,0.2,0.01,0.42,9,0,0.0,29.0,18.0,5.0,3.0,38.0,15.0,0.0,0.0,0.0,107.0,59.0,42.0,58.4,"€ 30,769(£ 26,471, $33,645)","€ 1,600,000(£ 1,376,497, $1,749,537)",,https://fbref.com/es/jugadores/fbd6378b/Aissa-Mandi
