Jugador,País,Posc,Edad,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls..1,Ast,G+A.1,G-TP.1,G+A-TP,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Partidos,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Tkl,Tkl(Derribos),3.º def.,3.º cent.,3.º ataq.,Tkl(Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),xA,A-xAG,PC,1/3,PPA,CrAP,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,PA,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,npxG/Sh,G-xG,np:G-xG,Toques,Ataq. pen.,Succ,Exitosa%,Tkld,Tkld%,Transportes,TAP,Errores de control,Des,Rec,GC,GC90,DaPC,Salvadas,% Salvadas,PG,PE,PP,PaC,PaC%,PD,PD,PD,PD,% Salvadas_penales,TL,TE,PSxG,PSxG/SoT,PSxG+/-,/90,Att (GK),TI,%deLanzamientos,Long. prom.,%deLanzamientos (Saques de meta),Long. prom. (Saques de meta),Opp,Stp,% de Stp,Núm. de OPA,Núm. de OPA/90,DistProm.,Mn/PJ,% min,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera (expected),2a amarilla,Fls,FR,TklG,Penal ejecutado,Penal concedido,Recup.,% de ganados,link
Lucas Chevalier,frFRA,PO,23-174,31,31,"2,790",31.0,0,0,0,0,0,0,0,0,0.0,0.0,0.9,0.9,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Partidos,5.0,0.16,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,3.0,4.0,75.0,1.0,0.0,0.0,0.0,0.0,3.0,12.0,4.0,784.0,992.0,79.0,19388.0,13575.0,191.0,191.0,100.0,393.0,401.0,98.0,196.0,394.0,49.7,0.2,-0.9,3.0,13.0,0.0,0.0,826.0,164.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,,,,,0.0,0.0,1055.0,0.0,0.0,,0.0,,673.0,0.0,0.0,0.0,586.0,32.0,1.03,114.0,83.0,75.4,16.0,8.0,7.0,11.0,35.5,4.0,4.0,4.0,4.0,0.0,0.0,4.0,38.7,0.33,7.7,0.25,886.0,129.0,26.6,29.9,34.6,36.0,341.0,20.0,5.9,20.0,0.65,13.4,90,100.0,90,31,0,,0,1.81,49,32,+17,+0.55,,50.3,39.8,+10.5,+0.34,,0.0,0.0,7.0,2.0,0.0,0.0,64.0,100.0,/es/jugadores/b3d76d84/Lucas-Chevalier
Bafodé Diakité,frFRA,DF,24-113,30,30,"2,676",29.7,4,1,5,4,0,0,8,1,2.2,2.2,0.2,2.4,13,85,3,0.13,0.03,0.17,0.13,0.17,0.07,0.01,0.08,0.07,0.08,Partidos,17.0,0.57,15.0,0.0,0.0,1.0,1.0,0.0,3.0,0.1,2.0,0.0,0.0,0.0,1.0,0.0,31.0,18.0,17.0,11.0,3.0,18.0,26.0,69.2,8.0,30.0,17.0,13.0,27.0,58.0,96.0,5.0,1995.0,2147.0,92.9,37065.0,12043.0,659.0,699.0,94.3,1177.0,1215.0,96.9,140.0,191.0,73.3,0.8,0.8,3.0,127.0,0.0,0.0,2065.0,80.0,61.0,2.0,5.0,4.0,6.0,0.0,0.0,0.0,0.0,2.0,7.0,46.7,0.5,0.24,0.27,0.57,8.5,0.15,1.8,1.8,2376.0,20.0,9.0,100.0,0.0,0.0,1529.0,0.0,12.0,5.0,1813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,95.9,89,29,0,,1,1.87,48,30,+18,+0.61,+1.39,48.7,38.0,+10.7,+0.36,+0.54,1.0,44.0,17.0,18.0,0.0,1.0,134.0,75.0,/es/jugadores/1bfb6fef/Bafode-Diakite
Benjamin André,frFRA,CC,34-269,28,28,"2,512",27.9,0,3,3,0,0,0,12,0,1.3,1.3,1.8,3.2,27,193,65,0.00,0.11,0.11,0.00,0.11,0.05,0.07,0.11,0.05,0.11,Partidos,48.0,1.72,43.0,0.0,0.0,2.0,3.0,0.0,9.0,0.32,6.0,0.0,0.0,2.0,1.0,0.0,94.0,50.0,27.0,58.0,9.0,51.0,90.0,56.7,39.0,42.0,6.0,36.0,47.0,141.0,54.0,0.0,1489.0,1790.0,83.2,25021.0,6685.0,731.0,816.0,89.6,594.0,684.0,86.8,130.0,197.0,66.0,2.6,1.2,19.0,187.0,17.0,3.0,1728.0,55.0,51.0,0.0,19.0,14.0,4.0,0.0,0.0,0.0,0.0,7.0,4.0,26.7,0.54,0.14,0.0,0.0,16.0,0.09,-1.3,-1.3,2133.0,43.0,9.0,40.9,11.0,50.0,1084.0,1.0,44.0,31.0,1470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90.0,90,27,0,,0,1.75,43,31,+12,+0.43,-1.19,43.1,36.5,+6.6,+0.24,-1.00,0.0,48.0,47.0,50.0,1.0,0.0,178.0,52.2,/es/jugadores/ef9c1c95/Benjamin-Andre
Alexsandro Ribeiro,brBRA,DF,25-263,27,27,"2,430",27.0,1,1,2,1,0,0,9,0,1.4,1.4,0.3,1.7,23,163,8,0.04,0.04,0.07,0.04,0.07,0.05,0.01,0.06,0.05,0.06,Partidos,33.0,1.22,29.0,1.0,0.0,2.0,0.0,1.0,4.0,0.15,4.0,0.0,0.0,0.0,0.0,0.0,31.0,18.0,18.0,12.0,1.0,20.0,30.0,66.7,10.0,20.0,12.0,8.0,25.0,56.0,128.0,2.0,1944.0,2137.0,91.0,38466.0,13118.0,567.0,605.0,93.7,1196.0,1258.0,95.1,164.0,243.0,67.5,0.9,0.7,7.0,175.0,5.0,2.0,2004.0,132.0,59.0,3.0,9.0,8.0,11.0,0.0,0.0,0.0,0.0,1.0,4.0,23.5,0.63,0.15,0.06,0.25,10.1,0.08,-0.4,-0.4,2402.0,34.0,5.0,62.5,2.0,25.0,1538.0,0.0,18.0,9.0,1744.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,87.1,90,27,0,,1,1.89,43,26,+17,+0.63,+0.63,42.4,33.9,+8.5,+0.31,-0.19,0.0,26.0,30.0,18.0,0.0,1.0,155.0,76.0,/es/jugadores/102c9665/Alexsandro-Ribeiro
Jonathan David,caCAN,DL,25-105,29,25,"2,302",25.6,16,4,20,10,6,7,4,0,15.4,9.8,4.0,13.9,33,57,169,0.63,0.16,0.78,0.39,0.55,0.60,0.16,0.76,0.39,0.54,Partidos,66.0,2.58,52.0,0.0,4.0,5.0,5.0,0.0,7.0,0.27,4.0,0.0,1.0,1.0,1.0,0.0,20.0,5.0,3.0,10.0,7.0,8.0,17.0,47.1,9.0,13.0,2.0,11.0,4.0,24.0,9.0,1.0,505.0,614.0,82.2,6672.0,1045.0,308.0,357.0,86.3,151.0,172.0,87.8,15.0,20.0,75.0,3.1,0.0,33.0,24.0,25.0,0.0,579.0,33.0,1.0,4.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,27.0,46.6,2.27,1.06,0.17,0.37,15.3,0.17,0.6,0.2,847.0,133.0,19.0,52.8,15.0,41.7,462.0,19.0,61.0,38.0,641.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,82.5,87,18,4,33,0,1.83,44,22,+22,+0.86,+1.78,41.3,30.7,+10.6,+0.42,+0.45,0.0,23.0,33.0,5.0,1.0,0.0,59.0,28.3,/es/jugadores/ce50fd99/Jonathan-David
Gabriel Gudmundsson,seSWE,DF,26-000,27,19,"1,666",18.5,2,0,2,2,0,0,3,0,0.7,0.7,1.1,1.8,69,83,107,0.11,0.00,0.11,0.11,0.11,0.04,0.06,0.10,0.04,0.10,Partidos,26.0,1.4,20.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,23.0,13.0,15.0,6.0,21.0,34.0,61.8,13.0,15.0,5.0,10.0,15.0,49.0,38.0,3.0,796.0,967.0,82.3,12823.0,3582.0,415.0,473.0,87.7,320.0,371.0,86.3,47.0,81.0,58.0,1.8,-1.1,15.0,54.0,18.0,10.0,804.0,163.0,18.0,1.0,7.0,54.0,139.0,4.0,0.0,2.0,0.0,0.0,5.0,29.4,0.92,0.27,0.12,0.4,18.9,0.04,1.3,1.3,1163.0,34.0,20.0,40.0,24.0,48.0,658.0,8.0,18.0,19.0,766.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62,59.7,80,7,8,19,4,1.63,27,27,0,0.00,-1.36,26.9,28.3,-1.4,-0.08,-1.02,0.0,28.0,40.0,23.0,0.0,0.0,76.0,63.2,/es/jugadores/d5d22a58/Gabriel-Gudmundsson
Thomas Meunier,beBEL,DF,33-229,27,18,"1,658",18.4,2,0,2,2,0,0,4,0,1.8,1.8,0.6,2.4,57,109,127,0.11,0.00,0.11,0.11,0.11,0.10,0.03,0.13,0.10,0.13,Partidos,28.0,1.52,25.0,0.0,1.0,2.0,0.0,0.0,5.0,0.27,3.0,0.0,1.0,1.0,0.0,0.0,51.0,36.0,31.0,14.0,6.0,32.0,47.0,68.1,15.0,18.0,6.0,12.0,30.0,81.0,54.0,0.0,1011.0,1256.0,80.5,17335.0,5338.0,458.0,512.0,89.5,461.0,559.0,82.5,77.0,138.0,55.8,2.1,-0.6,12.0,103.0,23.0,6.0,1106.0,150.0,11.0,1.0,7.0,51.0,137.0,2.0,0.0,0.0,0.0,0.0,9.0,36.0,1.36,0.49,0.08,0.22,15.9,0.07,0.2,0.2,1486.0,53.0,12.0,52.2,11.0,47.8,771.0,4.0,22.0,11.0,961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,59.4,84,13,9,17,1,1.81,29,20,+9,+0.49,-0.15,30.1,25.6,+4.5,+0.25,-0.22,0.0,23.0,2.0,36.0,0.0,1.0,72.0,61.9,/es/jugadores/e162b013/Thomas-Meunier
Aïssa Mandi,dzALG,DF,33-189,22,18,"1,553",17.3,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.8,10,77,20,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Partidos,21.0,1.22,18.0,2.0,0.0,1.0,0.0,0.0,2.0,0.12,1.0,1.0,0.0,0.0,0.0,0.0,27.0,16.0,8.0,15.0,4.0,13.0,19.0,68.4,6.0,22.0,10.0,12.0,14.0,41.0,47.0,0.0,986.0,1114.0,88.5,19395.0,6108.0,341.0,369.0,92.4,514.0,554.0,92.8,120.0,157.0,76.4,1.2,-0.4,5.0,97.0,6.0,2.0,994.0,119.0,28.0,1.0,15.0,9.0,86.0,0.0,0.0,0.0,0.0,1.0,2.0,33.3,0.35,0.12,0.0,0.0,9.0,0.06,-0.3,-0.3,1251.0,21.0,3.0,75.0,1.0,25.0,650.0,0.0,7.0,4.0,880.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,55.7,82,11,4,18,9,1.82,24,20,+4,+0.23,-0.71,28.0,21.6,+6.3,+0.37,+0.06,0.0,6.0,9.0,16.0,0.0,0.0,61.0,40.6,/es/jugadores/fbd6378b/Aissa-Mandi
Hákon Arnar Haraldsson,isISL,"CC,DL",22-019,22,18,"1,529",17.0,5,3,8,5,0,0,3,0,3.7,3.7,2.6,6.3,46,90,129,0.29,0.18,0.47,0.29,0.47,0.22,0.15,0.37,0.22,0.37,Partidos,64.0,3.77,44.0,11.0,1.0,4.0,3.0,1.0,7.0,0.41,5.0,1.0,0.0,1.0,0.0,0.0,32.0,15.0,9.0,15.0,8.0,13.0,29.0,44.8,16.0,9.0,1.0,8.0,7.0,39.0,4.0,0.0,674.0,844.0,79.9,10769.0,2622.0,336.0,389.0,86.4,264.0,307.0,86.0,49.0,84.0,58.3,2.7,0.4,32.0,57.0,38.0,4.0,787.0,55.0,13.0,5.0,3.0,44.0,9.0,29.0,9.0,12.0,1.0,2.0,12.0,36.4,1.94,0.71,0.15,0.42,16.9,0.11,1.3,1.3,1012.0,68.0,24.0,58.5,16.0,39.0,633.0,9.0,39.0,12.0,781.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,54.8,78,5,4,31,1,1.82,25,16,+9,+0.53,-0.04,25.7,22.5,+3.2,+0.19,-0.33,0.0,15.0,26.0,15.0,1.0,0.0,68.0,15.4,/es/jugadores/e2ae54db/Hakon-Arnar-Haraldsson
André Gomes,ptPOR,CC,31-273,20,16,"1,276",14.2,0,0,0,0,0,0,3,0,0.5,0.5,0.7,1.3,18,101,28,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Partidos,26.0,1.83,24.0,0.0,2.0,0.0,0.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,27.0,13.0,9.0,11.0,7.0,11.0,31.0,35.5,20.0,7.0,1.0,6.0,6.0,33.0,11.0,2.0,861.0,963.0,89.4,14106.0,3490.0,435.0,461.0,94.4,337.0,368.0,91.6,62.0,92.0,67.4,1.7,-0.7,10.0,96.0,15.0,1.0,937.0,25.0,21.0,5.0,11.0,11.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,27.3,0.78,0.21,0.0,0.0,24.5,0.05,-0.5,-0.5,1086.0,13.0,10.0,41.7,14.0,58.3,632.0,0.0,25.0,19.0,862.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,45.7,77,6,4,12,5,2.05,21,11,+10,+0.71,+0.29,21.3,17.0,+4.2,+0.30,-0.07,0.0,24.0,12.0,13.0,0.0,0.0,92.0,56.3,/es/jugadores/1961b2aa/Andre-Gomes
