Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2011-2012,19,Club Brugge,beBEL,1.Pro League,35,"2,032",3,2,,,,,8.0,464.0,1.0,1.0,43,"2,496",4,3,22,"2,032",22.6,3,2,5,3,0,0,1,0,,,,,,,,0.13,0.09,0.22,0.13,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,19.0,,,0.84,,0.16,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,032",58,56.4,22.6,22,,,13,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,"€ 33,462(£ 29,066, $36,673)","€ 1,740,000(£ 1,511,407, $1,907,002)",Estimación no verificada,https://fbref.com/es/jugadores/e162b013/Thomas-Meunier
2012-2013,20,Club Brugge,beBEL,1.Pro League,21,"1,440",4,2,,,,,2.0,120.0,0.0,0.0,23,"1,560",4,2,15,"1,440",16.0,4,2,6,4,0,0,2,0,,,,,,,,0.25,0.12,0.37,0.25,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,10.0,,,0.62,,0.4,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,440",69,40.0,16.0,15,,,6,,,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,"€ 59,231(£ 51,449, $64,916)","€ 3,080,000(£ 2,675,364, $3,375,613)",Estimación no verificada,https://fbref.com/es/jugadores/e162b013/Thomas-Meunier
2013-2014,21,Club Brugge,beBEL,1.Pro League,32,"2,731",3,0,,,,,,,,,32,"2,731",3,0,30,"2,731",30.3,3,0,3,3,0,0,6,0,,,,,,,,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5.0,,,0.16,,0.6,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,731",85,75.9,30.3,30,,,2,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,"€ 59,808(£ 51,950, $65,548)","€ 3,110,000(£ 2,701,423, $3,408,492)",Estimación no verificada,https://fbref.com/es/jugadores/e162b013/Thomas-Meunier
2014-2015,22,Club Brugge,beBEL,1.Pro League,30,"2,607",2,4,,,,,8.0,708.0,0.0,0.0,38,"3,315",2,4,29,"2,607",29.0,2,4,6,2,0,0,4,0,,,,,,,,0.07,0.14,0.21,0.07,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,8.0,,,0.28,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,607",87,72.4,29.0,29,,27.0,1,,1.0,2.0,65.0,27.0,38.0,1.31,1.04,,,,,,4,0,,,,,,,,,,,,,,,"€ 59,808(£ 51,950, $65,548)","€ 3,110,000(£ 2,701,423, $3,408,492)",Estimación no verificada,https://fbref.com/es/jugadores/e162b013/Thomas-Meunier
2015-2016,23,Club Brugge,beBEL,1.Pro League,31,"2,639",3,3,,,,,6.0,470.0,2.0,1.0,37,"3,109",5,4,30,"2,639",29.3,3,3,6,3,0,0,7,0,,,,,,,,0.1,0.1,0.2,0.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,4.0,,,0.14,,0.75,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,639",85,73.3,29.3,30,,27.0,1,,2.0,2.16,63.0,27.0,36.0,1.23,-0.08,,,,,,7,0,,52.0,,,,,,,,,,,,,"€ 192,308(£ 167,043, $210,765)","€ 10,000,000(£ 8,686,246, $10,959,782)",Estimación no verificada,https://fbref.com/es/jugadores/e162b013/Thomas-Meunier
2016-2017,24,Paris S-G,frFRA,1.Ligue 1,22,"1,695",1,4,6.0,465.0,0.0,0.0,6.0,454.0,1.0,2.0,34,"2,614",2,6,18,"1,695",18.8,1,4,5,1,0,0,3,0,,,,,,,,0.05,0.21,0.27,0.05,0.27,,,,,,,36.0,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21.0,6.0,28.6,1.12,0.32,0.05,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,695",77,49.6,18.8,18,,16.0,4,,11.0,2.45,55.0,10.0,45.0,2.39,1.82,,,,,,3,0,0.0,24.0,7.0,0.0,78.0,29.0,36.0,0.0,0.0,0.0,,,,,"€ 192,308(£ 167,043, $210,765)","€ 10,000,000(£ 8,686,246, $10,959,782)",Estimación no verificada,https://fbref.com/es/jugadores/e162b013/Thomas-Meunier
2017-2018,25,Paris S-G,frFRA,1.Ligue 1,24,"1,578",4,4,9.0,713.0,1.0,2.0,1.0,24.0,0.0,0.0,34,"2,315",5,6,16,"1,578",17.5,4,4,8,4,0,0,3,0,0.8,0.8,4.4,5.2,70.0,79.0,146.0,0.23,0.23,0.46,0.23,0.46,0.05,0.25,0.3,0.05,0.3,38.0,21.0,22.0,12.0,4.0,18.0,34.0,52.9,16.0,7.0,2.0,5.0,18.0,56.0,54.0,2.0,950.0,1161.0,81.8,12297.0,3898.0,565.0,621.0,91.0,235.0,317.0,74.1,47.0,76.0,61.8,4,4.4,4.3,-0.4,21.0,61.0,26.0,14.0,79.0,1161.0,1005.0,153.0,16.0,4.0,6.0,75.0,136.0,1.0,0.0,0.0,0.0,950.0,3.0,25.0,55.0,284.0,641.0,398.0,47.0,1312.0,26.0,19.0,73.1,7.0,26.9,770.0,4476.0,2844.0,70.0,68.0,10.0,14.0,8.0,867.0,146.0,4,11.0,5.0,45.5,0.63,0.29,0.36,0.8,15.5,0.0,0,0,0.8,0.8,0.07,3.2,3.2,41.0,2.34,34.0,1.0,3.0,1.0,0.0,2.0,5.0,0.29,5.0,0.0,0.0,0.0,0.0,0.0,"1,578",66,46.1,17.5,16,88.0,14.0,8,21.0,11.0,2.25,53.0,13.0,40.0,2.28,0.38,40.8,15.7,25.2,1.44,0.14,3,0,0.0,29.0,5.0,2.0,75.0,18.0,21.0,0.0,1.0,0.0,93.0,23.0,11.0,67.6,"€ 192,308(£ 165,444, $210,281)","€ 10,000,000(£ 8,603,104, $10,934,606)",Estimación no verificada,https://fbref.com/es/jugadores/e162b013/Thomas-Meunier
2018-2019,26,Paris S-G,frFRA,1.Ligue 1,22,"1,610",3,3,4.0,390.0,1.0,1.0,5.0,363.0,1.0,1.0,31,"2,363",5,5,19,"1,610",17.9,3,3,6,3,0,0,2,0,2.5,2.5,3.3,5.8,62.0,81.0,151.0,0.17,0.17,0.34,0.17,0.34,0.14,0.18,0.32,0.14,0.32,44.0,33.0,25.0,15.0,4.0,21.0,35.0,60.0,14.0,13.0,2.0,11.0,19.0,63.0,29.0,0.0,802.0,978.0,82.0,11790.0,3405.0,458.0,503.0,91.1,254.0,315.0,80.6,47.0,90.0,52.2,3,3.3,3.3,-0.3,20.0,45.0,23.0,7.0,81.0,978.0,869.0,107.0,4.0,4.0,8.0,51.0,101.0,2.0,0.0,0.0,0.0,802.0,2.0,10.0,39.0,251.0,489.0,408.0,53.0,1139.0,16.0,8.0,50.0,8.0,50.0,622.0,3798.0,2286.0,62.0,47.0,8.0,15.0,10.0,710.0,151.0,3,19.0,7.0,36.8,1.06,0.39,0.16,0.43,14.5,0.0,0,0,2.5,2.5,0.13,0.5,0.5,39.0,2.18,33.0,0.0,1.0,4.0,1.0,0.0,8.0,0.45,6.0,0.0,0.0,1.0,1.0,0.0,"1,610",73,47.1,17.9,19,80.0,11.0,3,31.0,3.0,2.64,50.0,12.0,38.0,2.12,0.53,41.9,14.3,27.6,1.54,0.36,2,0,0.0,23.0,4.0,5.0,51.0,19.0,33.0,1.0,0.0,1.0,103.0,34.0,18.0,65.4,"€ 144,231(£ 121,850, $154,997)","€ 7,500,000(£ 6,336,218, $8,059,835)",,https://fbref.com/es/jugadores/e162b013/Thomas-Meunier
2019-2020,27,Paris S-G,frFRA,1.Ligue 1,16,"1,242",0,1,6.0,441.0,0.0,1.0,5.0,450.0,1.0,0.0,27,"2,133",1,2,14,"1,242",13.8,0,1,1,0,0,0,3,0,0.4,0.4,2.5,2.9,49.0,62.0,149.0,0.0,0.07,0.07,0.0,0.07,0.03,0.18,0.21,0.03,0.21,27.0,21.0,9.0,12.0,6.0,16.0,26.0,61.5,10.0,17.0,5.0,12.0,18.0,45.0,19.0,1.0,768.0,930.0,82.6,12624.0,2822.0,401.0,446.0,89.9,276.0,324.0,85.2,66.0,94.0,70.2,1,2.5,2.8,-1.5,18.0,39.0,22.0,8.0,62.0,930.0,802.0,126.0,7.0,0.0,7.0,55.0,118.0,1.0,0.0,0.0,0.0,768.0,2.0,20.0,30.0,219.0,499.0,335.0,32.0,1046.0,16.0,9.0,56.3,7.0,43.8,513.0,2796.0,1559.0,49.0,32.0,7.0,9.0,4.0,667.0,149.0,0,4.0,2.0,50.0,0.29,0.14,0.0,0.0,15.0,0.0,0,0,0.4,0.4,0.11,-0.4,-0.4,29.0,2.1,27.0,1.0,1.0,0.0,0.0,0.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,"1,242",78,51.1,13.8,14,85.0,11.0,2,23.0,5.0,2.5,37.0,12.0,25.0,1.81,-0.16,35.2,12.6,22.7,1.64,-0.51,3,0,0.0,20.0,2.0,0.0,55.0,18.0,21.0,0.0,0.0,0.0,78.0,17.0,10.0,63.0,"€ 87,308(£ 75,048, $99,156)","€ 4,540,000(£ 3,902,511, $5,156,132)",Estimación no verificada,https://fbref.com/es/jugadores/e162b013/Thomas-Meunier
2020-2021,28,Dortmund,deGER,1.Bundesliga,21,"1,472",1,1,5.0,149.0,0.0,0.0,7.0,348.0,0.0,1.0,33,"1,969",1,2,17,"1,472",16.4,1,1,2,1,0,0,3,0,1.0,1.0,1.5,2.4,77.0,92.0,128.0,0.06,0.06,0.12,0.06,0.12,0.06,0.09,0.15,0.06,0.15,30.0,21.0,19.0,6.0,5.0,20.0,29.0,69.0,9.0,16.0,6.0,10.0,18.0,48.0,29.0,2.0,1007.0,1252.0,80.4,16511.0,4472.0,514.0,567.0,90.7,370.0,458.0,80.8,90.0,150.0,60.0,1,1.5,2.1,-0.5,15.0,72.0,21.0,7.0,92.0,1252.0,1105.0,145.0,10.0,0.0,10.0,48.0,135.0,0.0,0.0,0.0,0.0,1007.0,2.0,25.0,50.0,348.0,664.0,397.0,33.0,1399.0,20.0,15.0,75.0,5.0,25.0,807.0,4800.0,2635.0,77.0,55.0,7.0,24.0,9.0,968.0,128.0,1,12.0,3.0,25.0,0.73,0.18,0.08,0.33,18.7,0.0,0,0,1.0,1.0,0.08,0.0,0.0,28.0,1.71,22.0,1.0,1.0,2.0,1.0,1.0,2.0,0.12,1.0,0.0,0.0,1.0,0.0,0.0,"1,472",70,48.1,16.4,17,84.0,10.0,4,12.0,7.0,1.95,34.0,22.0,12.0,0.73,-0.23,29.3,20.8,8.5,0.52,-0.39,3,0,0.0,17.0,3.0,3.0,48.0,18.0,21.0,1.0,0.0,0.0,113.0,14.0,16.0,46.7,,,,
