Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2009-2010,20,Chelsea,engENG,1.Premier League,2,43,0,0,,,,,,,,,2,43,0,0,0,43,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,43,22,1.3,0.5,0,,,2,,,,,,,,,,,,,,0,0,,1.0,,,,,,,,,,,,,"£ 70,000(€ 80,579, $88,326)","£ 3,640,000(€ 4,190,127, $4,592,967)",Estimación no verificada,https://fbref.com/es/jugadores/eb7822d7/Nemanja-Matic
2010-2011,21,Vitesse,nlNED,1.Eredivisie,27,"2,259",2,2,,,,,,,,,27,"2,259",2,2,26,"2,259",25.1,2,2,4,2,0,0,7,0,,,,,,,,0.08,0.08,0.16,0.08,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,14,,,0.56,,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,259",84,73.8,25.1,26,,21.0,1,,,,,,,,,,,,,,7,0,,44.0,,,,,,,,,,,,,"£ 70,000(€ 80,579, $88,326)","£ 3,640,000(€ 4,190,127, $4,592,967)",Estimación no verificada,https://fbref.com/es/jugadores/eb7822d7/Nemanja-Matic
2011-2012,22,Benfica,ptPOR,1.Primeira Liga,16,862,1,0,,,,,7.0,346,0.0,0.0,23,"1,208",1,0,11,862,9.6,1,0,1,1,0,0,6,0,,,,,,,,0.1,0.0,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,0.21,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,862,54,31.9,9.6,11,,7.0,5,,,,,,,,,,,,,,6,0,,27.0,,,,,,,,,,,,,"£ 70,000(€ 80,579, $88,326)","£ 3,640,000(€ 4,190,127, $4,592,967)",Estimación no verificada,https://fbref.com/es/jugadores/eb7822d7/Nemanja-Matic
2012-2013,23,Benfica,ptPOR,1.Primeira Liga,26,"2,244",3,0,,,,,13.0,"1,157",1.0,0.0,39,"3,401",4,0,25,"2,244",24.9,3,0,3,3,0,0,8,1,,,,,,,,0.12,0.0,0.12,0.12,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5,,,0.2,,0.6,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,244",86,83.1,24.9,25,,22.0,1,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,"£ 70,000(€ 80,579, $88,326)","£ 3,640,000(€ 4,190,127, $4,592,967)",Estimación no verificada,https://fbref.com/es/jugadores/eb7822d7/Nemanja-Matic
2013-2014,24,Benfica,ptPOR,1.Primeira Liga,14,"1,231",2,0,,,,,6.0,540,1.0,0.0,20,"1,771",3,0,14,"1,231",13.7,2,0,2,2,0,0,6,0,,,,,,,,0.15,0.0,0.15,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4,,,0.29,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,231",88,45.6,13.7,14,,13.0,0,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,"£ 120,000(€ 138,136, $151,417)","£ 6,240,000(€ 7,183,076, $7,873,658)",Estimación no verificada,https://fbref.com/es/jugadores/eb7822d7/Nemanja-Matic
2013-2014,24,Chelsea,engENG,1.Premier League,17,"1,365",0,4,,,,,,,,,17,"1,365",0,4,15,"1,365",15.2,0,4,4,0,0,0,3,0,,,,,,,,0.0,0.26,0.26,0.0,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,1,,,0.07,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,365",80,39.9,15.2,15,,14.0,2,,,,,,,,,,,,,,3,0,,28.0,,,,,,,,,,,,,"£ 120,000(€ 138,136, $151,417)","£ 6,240,000(€ 7,183,076, $7,873,658)",Estimación no verificada,https://fbref.com/es/jugadores/eb7822d7/Nemanja-Matic
2014-2015,25,Chelsea,engENG,1.Premier League,36,"3,123",1,3,5.0,313.0,0.0,0.0,8.0,714,2.0,1.0,49,"4,150",3,4,35,"3,123",34.7,1,3,4,1,0,0,10,1,,,,,,,,0.03,0.09,0.12,0.03,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,10,,,0.29,,0.1,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,123",87,91.3,34.7,35,,33.0,1,,0.0,2.33,70.0,28.0,42.0,1.21,1.51,,,,,,10,1,,48.0,,,,,,,,,,,,,"£ 120,000(€ 138,136, $151,417)","£ 6,240,000(€ 7,183,076, $7,873,658)",Estimación no verificada,https://fbref.com/es/jugadores/eb7822d7/Nemanja-Matic
2015-2016,26,Chelsea,engENG,1.Premier League,33,"2,415",2,2,5.0,289.0,0.0,0.0,5.0,377,0.0,0.0,43,"3,081",2,2,28,"2,415",26.8,2,2,4,2,0,0,6,1,,,,,,,,0.07,0.07,0.15,0.07,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,8,,,0.3,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,415",73,70.6,26.8,28,,20.0,5,,4.0,1.39,34.0,36.0,-2.0,-0.07,-0.79,,,,,,6,1,1.0,38.0,,,,,,,,,,,,,"£ 120,000(€ 138,136, $151,417)","£ 6,240,000(€ 7,183,076, $7,873,658)",,https://fbref.com/es/jugadores/eb7822d7/Nemanja-Matic
2016-2017,27,Chelsea,engENG,1.Premier League,35,"2,694",1,7,5.0,451.0,1.0,1.0,,,,,40,"3,145",2,8,30,"2,694",29.9,1,7,8,1,0,0,4,0,,,,,,,,0.03,0.23,0.27,0.03,0.27,,,,,,,40.0,,,,,,,,,,,55.0,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,20.0,7,35.0,0.67,0.23,0.05,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,694",77,78.8,29.9,30,,23.0,5,,1.0,2.4,59.0,24.0,35.0,1.17,-0.94,,,,,,4,0,0.0,33.0,26.0,2.0,8.0,55.0,40.0,0.0,0.0,0.0,,,,,"£ 120,000(€ 138,136, $151,417)","£ 6,240,000(€ 7,183,076, $7,873,658)",,https://fbref.com/es/jugadores/eb7822d7/Nemanja-Matic
2017-2018,28,Manchester Utd,engENG,1.Premier League,36,"3,118",1,1,5.0,384.0,1.0,1.0,8.0,654,0.0,0.0,49,"4,156",2,2,35,"3,118",34.6,1,1,2,1,0,0,6,0,0.7,0.7,1.6,2.3,74.0,237.0,23.0,0.03,0.03,0.06,0.03,0.06,0.02,0.05,0.07,0.02,0.07,70.0,42.0,32.0,34.0,4.0,23.0,71.0,32.4,48.0,50.0,13.0,37.0,64.0,134.0,62.0,2.0,2299.0,2647.0,86.9,40993.0,11705.0,974.0,1068.0,91.2,959.0,1042.0,92.0,269.0,356.0,75.6,1,1.6,2.2,-0.6,24.0,220.0,23.0,1.0,237.0,2647.0,2526.0,107.0,92.0,4.0,47.0,18.0,14.0,1.0,0.0,0.0,0.0,2299.0,14.0,41.0,115.0,683.0,1858.0,457.0,27.0,2970.0,65.0,54.0,83.1,11.0,16.9,1701.0,9838.0,5479.0,74.0,64.0,7.0,37.0,31.0,2052.0,23.0,1,18.0,2,11.1,0.52,0.06,0.06,0.5,27.0,0.0,0,0,0.7,0.7,0.04,0.3,0.3,68.0,1.96,61.0,1.0,4.0,1.0,1.0,0.0,5.0,0.14,5.0,0.0,0.0,0.0,0.0,0.0,"3,118",87,91.2,34.6,35,,33.0,1,,0.0,2.14,64.0,26.0,38.0,1.1,0.5,51.9,37.1,14.8,0.43,0.35,6,0,0.0,33.0,22.0,2.0,18.0,64.0,42.0,0.0,0.0,0.0,317.0,56.0,27.0,67.5,"€ 98,654(£ 84,873, $107,874)","€ 5,130,000(£ 4,413,392, $5,609,453)",,https://fbref.com/es/jugadores/eb7822d7/Nemanja-Matic
