Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2010-2011,17,Lens,frFRA,1.Ligue 1,3,115,0,0,,,,,,,,,3,115,0,0,1,115,1.3,0,0,0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,115,38,3.4,1.3,1,,1.0,2,,,,,,,,,,,,,,0,0,,0.0,,,,,,,,,,,,,"€ 25,385(£ 22,050, $27,821)","€ 1,320,000(£ 1,146,584, $1,446,691)",Estimación no verificada,https://fbref.com/es/jugadores/cce181df/Geoffrey-Kondogbia
2011-2012,18,Lens,frFRA,2.Ligue 2,32,"2,460",1,2,,,,,,,,,32,"2,460",1,2,29,"2,460",27.3,1,2,3,1,0,0,7,0,,,,,,,,0.04,0.07,0.11,0.04,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,9,,,0.33,,0.11,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,460",77,71.9,27.3,29,,,3,,,,,,,,,,,,,,7,0,,,,,,,,,,,,,,,"€ 25,962(£ 22,551, $28,453)","€ 1,350,000(£ 1,172,643, $1,479,571)",Estimación no verificada,https://fbref.com/es/jugadores/cce181df/Geoffrey-Kondogbia
2012-2013,19,Sevilla,esESP,1.La Liga,31,"1,904",1,1,,,,,,,,,31,"1,904",1,1,23,"1,904",21.2,1,1,2,1,0,0,4,0,,,,,,,,0.05,0.05,0.09,0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6,,,0.28,,0.17,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,904",61,55.7,21.2,23,,9.0,8,,,,,,,,,,,,,,4,0,,50.0,,,,,,,,,,,,,"€ 93,654(£ 81,350, $102,643)","€ 4,870,000(£ 4,230,202, $5,337,414)",Estimación no verificada,https://fbref.com/es/jugadores/cce181df/Geoffrey-Kondogbia
2013-2014,20,Sevilla,esESP,1.La Liga,2,91,0,0,,,,,,,,,2,91,0,0,0,91,1.0,0,0,0,0,0,0,2,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,91,46,2.7,1.0,0,,,2,,,,,,,,,,,,,,2,0,,3.0,,,,,,,,,,,,,"€ 119,231(£ 103,567, $130,674)","€ 6,200,000(£ 5,385,473, $6,795,065)",Estimación no verificada,https://fbref.com/es/jugadores/cce181df/Geoffrey-Kondogbia
2013-2014,20,Monaco,frFRA,1.Ligue 1,26,"1,572",1,2,,,,,,,,,26,"1,572",1,2,16,"1,572",17.5,1,2,3,1,0,0,4,0,,,,,,,,0.06,0.11,0.17,0.06,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,4,,,0.23,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,572",60,46.0,17.5,16,,11.0,10,,,,,,,,,,,,,,4,0,,39.0,,,,,,,,,,,,,"€ 123,462(£ 107,242, $135,311)","€ 6,420,000(£ 5,576,570, $7,036,180)",Estimación no verificada,https://fbref.com/es/jugadores/cce181df/Geoffrey-Kondogbia
2014-2015,21,Monaco,frFRA,1.Ligue 1,23,"1,908",1,1,2.0,111.0,0.0,0.0,8.0,716,1.0,0.0,33,"2,735",2,1,22,"1,908",21.2,1,1,2,1,0,0,3,0,,,,,,,,0.05,0.05,0.09,0.05,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,7,,,0.33,,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,908",83,55.8,21.2,22,,15.0,1,,3.0,1.74,31.0,19.0,12.0,0.57,-0.21,,,,,,3,0,,30.0,,,,,,,,,,,,,"€ 124,615(£ 108,244, $136,576)","€ 6,480,000(£ 5,628,687, $7,101,939)",Estimación no verificada,https://fbref.com/es/jugadores/cce181df/Geoffrey-Kondogbia
2015-2016,22,Inter,itITA,1.Serie A,26,"1,988",1,0,4.0,315.0,0.0,0.0,,,,,30,"2,303",1,0,23,"1,988",22.1,1,0,1,1,0,0,6,1,,,,,,,,0.05,0.0,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,10,,,0.45,,0.1,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,988",76,58.1,22.1,23,,13.0,3,,7.0,2.0,31.0,20.0,11.0,0.5,0.44,,,,,,6,1,,44.0,,,,,,,,,,,,,"€ 124,615(£ 108,244, $136,576)","€ 6,480,000(£ 5,628,687, $7,101,939)",Estimación no verificada,https://fbref.com/es/jugadores/cce181df/Geoffrey-Kondogbia
2016-2017,23,Inter,itITA,1.Serie A,24,"1,711",1,2,2.0,210.0,0.0,0.0,,,,,26,"1,921",1,2,20,"1,711",19.0,1,2,3,1,0,0,5,1,,,,,,,,0.05,0.11,0.16,0.05,0.16,,,,,,,48.0,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,33.0,7,21.2,1.74,0.37,0.03,0.14,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,711",71,50.0,19.0,20,,11.0,4,,9.0,1.46,42.0,33.0,9.0,0.47,-0.26,,,,,,5,1,0.0,43.0,31.0,1.0,4.0,38.0,48.0,0.0,0.0,0.0,,,,,"€ 132,692(£ 115,260, $145,428)","€ 6,900,000(£ 5,993,510, $7,562,250)",,https://fbref.com/es/jugadores/cce181df/Geoffrey-Kondogbia
2017-2018,24,Valencia,esESP,1.La Liga,31,"2,614",4,4,5.0,435.0,0.0,0.0,,,,,36,"3,049",4,4,30,"2,614",29.0,4,4,8,4,0,0,12,1,2.0,2.0,2.7,4.7,47.0,182.0,33.0,0.14,0.14,0.28,0.14,0.28,0.07,0.09,0.16,0.07,0.16,88.0,57.0,38.0,43.0,7.0,23.0,68.0,33.8,45.0,46.0,14.0,32.0,62.0,150.0,66.0,0.0,1355.0,1559.0,86.9,24809.0,6908.0,589.0,653.0,90.2,567.0,630.0,90.0,173.0,222.0,77.9,4,2.7,1.5,1.3,22.0,158.0,15.0,0.0,182.0,1559.0,1513.0,39.0,37.0,4.0,36.0,3.0,1.0,0.0,0.0,0.0,0.0,1355.0,7.0,15.0,103.0,461.0,1243.0,226.0,23.0,1903.0,64.0,55.0,85.9,9.0,14.1,1262.0,6540.0,3215.0,47.0,29.0,8.0,37.0,62.0,1313.0,33.0,4,28.0,7,25.0,0.96,0.24,0.14,0.57,21.4,0.0,0,0,2.0,2.0,0.07,2.0,2.0,65.0,2.24,54.0,0.0,6.0,1.0,2.0,2.0,8.0,0.28,7.0,0.0,1.0,0.0,0.0,0.0,"2,614",84,76.4,29.0,30,86.0,25.0,1,29.0,0.0,1.77,49.0,30.0,19.0,0.65,-0.24,41.9,39.3,2.6,0.09,-0.48,12,1,1.0,57.0,53.0,1.0,3.0,62.0,57.0,0.0,1.0,0.0,231.0,41.0,35.0,53.9,"€ 132,692(£ 115,260, $145,428)","€ 6,900,000(£ 5,993,510, $7,562,250)",,https://fbref.com/es/jugadores/cce181df/Geoffrey-Kondogbia
2018-2019,25,Valencia,esESP,1.La Liga,19,"1,245",1,1,3.0,149.0,0.0,0.0,7.0,586,0.0,0.0,29,"1,980",1,1,14,"1,245",13.8,1,1,2,1,0,0,1,0,2.2,2.2,0.9,3.1,14.0,87.0,10.0,0.07,0.07,0.14,0.07,0.14,0.16,0.07,0.22,0.16,0.22,47.0,33.0,18.0,23.0,6.0,12.0,27.0,44.4,15.0,20.0,7.0,13.0,27.0,74.0,22.0,2.0,628.0,746.0,84.2,12446.0,3392.0,248.0,284.0,87.3,264.0,293.0,90.1,101.0,132.0,76.5,1,0.9,0.7,0.1,6.0,81.0,6.0,0.0,87.0,746.0,731.0,13.0,13.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,2.0,7.0,49.0,221.0,595.0,105.0,12.0,914.0,24.0,22.0,91.7,2.0,8.3,525.0,3155.0,1324.0,14.0,16.0,0.0,15.0,20.0,643.0,10.0,1,22.0,4,18.2,1.59,0.29,0.05,0.25,21.2,0.0,0,0,2.2,2.2,0.1,-1.2,-1.2,24.0,1.73,19.0,0.0,2.0,1.0,0.0,2.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,"1,245",66,36.4,13.8,14,81.0,10.0,5,23.0,4.0,1.42,12.0,13.0,-1.0,-0.07,-0.78,17.8,14.0,3.8,0.27,-0.31,1,0,0.0,21.0,19.0,0.0,0.0,27.0,33.0,0.0,0.0,0.0,100.0,24.0,28.0,46.2,"€ 132,692(£ 115,260, $145,428)","€ 6,900,000(£ 5,993,510, $7,562,250)",,https://fbref.com/es/jugadores/cce181df/Geoffrey-Kondogbia
