Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2018-2019,19.0,Boca Juniors,arARG,1.Liga Argentina,5.0,450,0.0,0.0,,,,,,,,,5.0,450,0.0,0.0,5.0,450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,7.0,7.0,4.0,3.0,0.0,3.0,4.0,75.0,1.0,6.0,4.0,2.0,7.0,14.0,34.0,0.0,181.0,220.0,82.3,3127.0,1166.0,70.0,80.0,87.5,88.0,93.0,94.6,11.0,30.0,36.7,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,220.0,211.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0,0.0,3.0,35.0,172.0,109.0,3.0,2.0,281.0,3.0,3.0,100.0,0.0,0.0,158.0,748.0,448.0,0.0,0.0,0.0,5.0,0.0,155.0,0.0,0.0,2.0,0.0,0.0,0.4,0.0,0.0,,11.4,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450,90.0,20.0,5.0,5.0,90.0,5.0,0.0,,2.0,1.6,6.0,3.0,3.0,0.6,-0.45,5.3,5.6,-0.4,-0.07,-0.68,2.0,0.0,0.0,4.0,5.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,27.0,19.0,4.0,82.6,"€ 2,115(£ 1,837, $2,318)","€ 110,000(£ 95,549, $120,558)",Estimación no verificada,https://fbref.com/es/jugadores/7c3ed041/Leonardo-Balerdi
2018-2019,19.0,Dortmund,deGER,1.Bundesliga,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,4.0,6.0,3.0,0.0,115.0,132.0,87.1,2093.0,655.0,53.0,60.0,88.3,45.0,47.0,95.7,15.0,17.0,88.2,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,132.0,130.0,2.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,4.0,10.0,56.0,86.0,2.0,0.0,143.0,1.0,0.0,0.0,1.0,100.0,78.0,369.0,144.0,1.0,1.0,0.0,0.0,1.0,114.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,"€ 2,115(£ 1,837, $2,318)","€ 110,000(£ 95,549, $120,558)",Estimación no verificada,https://fbref.com/es/jugadores/7c3ed041/Leonardo-Balerdi
2019-2020,20.0,Dortmund,deGER,1.Bundesliga,7.0,133,0.0,0.0,,,,,1.0,8,0.0,0.0,8.0,141,0.0,0.0,1.0,133,1.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,18.0,19.0,7.0,3.0,14.0,31.0,45.2,17.0,17.0,9.0,8.0,28.0,57.0,65.0,3.0,921.0,1064.0,86.6,17058.0,5887.0,343.0,378.0,90.7,477.0,525.0,90.9,87.0,129.0,67.4,0.0,0.0,0.1,0.0,1.0,41.0,0.0,0.0,48.0,1064.0,1006.0,58.0,40.0,0.0,13.0,1.0,18.0,0.0,0.0,0.0,0.0,921.0,0.0,10.0,122.0,627.0,580.0,50.0,16.0,1248.0,13.0,10.0,76.9,3.0,23.1,771.0,3755.0,1897.0,11.0,11.0,2.0,11.0,10.0,820.0,1.0,2.0,13.0,4.0,30.8,0.72,0.22,0.15,0.5,9.1,0.0,0.0,0.0,2.0,2.0,0.15,0.0,0.0,9.0,0.5,6.0,1.0,1.0,0.0,0.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,133,19.0,4.3,1.5,1.0,64.0,0.0,6.0,12.0,17.0,2.57,3.0,4.0,-1.0,-0.68,-2.03,3.0,4.4,-1.4,-0.94,-1.6,6.0,1.0,0.0,31.0,27.0,2.0,1.0,28.0,18.0,0.0,0.0,0.0,129.0,35.0,42.0,45.5,"€ 19,038(£ 16,537, $20,866)","€ 990,000(£ 859,938, $1,085,018)",Estimación no verificada,https://fbref.com/es/jugadores/7c3ed041/Leonardo-Balerdi
2020-2021,21.0,Marseille,frFRA,1.Ligue 1,21.0,"1,634",2.0,0.0,1.0,90.0,0.0,0.0,3.0,249,0.0,0.0,25.0,"1,973",2.0,0.0,19.0,"1,634",18.2,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,2.0,2.0,0.0,2.0,11.0,48.0,1.0,0.11,0.0,0.11,0.11,0.11,0.11,0.0,0.11,0.11,0.11,9.0,6.0,9.0,0.0,0.0,5.0,14.0,35.7,9.0,11.0,4.0,7.0,19.0,28.0,30.0,0.0,753.0,819.0,91.9,14191.0,4930.0,269.0,283.0,95.1,396.0,418.0,94.7,80.0,107.0,74.8,0.0,0.0,0.1,0.0,1.0,32.0,0.0,0.0,41.0,819.0,794.0,25.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,753.0,0.0,3.0,79.0,404.0,506.0,11.0,4.0,919.0,13.0,11.0,84.6,2.0,15.4,621.0,3062.0,1682.0,6.0,1.0,0.0,8.0,6.0,678.0,2.0,0.0,2.0,0.0,0.0,0.19,0.0,0.0,,10.8,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1,6.0,0.57,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.19,1.0,1.0,0.0,0.0,0.0,0.0,"1,634",78.0,47.8,18.2,19.0,86.0,17.0,2.0,3.0,15.0,1.62,24.0,24.0,0.0,0.0,-0.35,19.1,22.3,-3.2,-0.17,-0.31,4.0,1.0,0.0,10.0,5.0,0.0,0.0,19.0,6.0,0.0,0.0,0.0,78.0,17.0,13.0,56.7,"€ 19,038(£ 16,537, $20,866)","€ 990,000(£ 859,938, $1,085,018)",Estimación no verificada,https://fbref.com/es/jugadores/7c3ed041/Leonardo-Balerdi
2021-2022,22.0,Marseille,frFRA,1.Ligue 1,17.0,950,0.0,0.0,3.0,141.0,0.0,0.0,4.0,187,0.0,0.0,24.0,"1,278",0.0,0.0,10.0,950,10.6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.1,0.1,0.0,0.1,6.0,41.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,57.0,37.0,43.0,12.0,2.0,32.0,45.0,71.1,13.0,48.0,29.0,19.0,63.0,120.0,91.0,1.0,1389.0,1656.0,83.9,27891.0,8035.0,393.0,449.0,87.5,771.0,872.0,88.4,189.0,262.0,72.1,1.0,0.2,0.4,0.8,5.0,105.0,3.0,1.0,97.0,1656.0,1607.0,48.0,36.0,2.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,1389.0,1.0,16.0,223.0,869.0,1027.0,113.0,16.0,1997.0,14.0,9.0,64.3,4.0,28.6,1413.0,8306.0,4291.0,15.0,19.0,0.0,23.0,3.0,1232.0,19.0,0.0,11.0,0.0,0.0,0.38,0.0,0.0,,10.2,0.0,0.0,0.0,1.3,1.3,0.12,-1.3,-1.3,13.0,0.44,9.0,0.0,1.0,3.0,0.0,0.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0,950,56.0,27.8,10.6,10.0,88.0,7.0,7.0,11.0,8.0,2.29,21.0,11.0,10.0,0.95,0.4,15.6,10.7,4.9,0.46,-0.06,9.0,1.0,0.0,53.0,21.0,0.0,6.0,63.0,37.0,0.0,1.0,1.0,204.0,70.0,41.0,63.1,"€ 19,038(£ 16,379, $20,818)","€ 990,000(£ 851,707, $1,082,526)",Estimación no verificada,https://fbref.com/es/jugadores/7c3ed041/Leonardo-Balerdi
2022-2023,23.0,Marseille,frFRA,1.Ligue 1,35.0,"2,639",0.0,1.0,3.0,271.0,0.0,0.0,6.0,491,1.0,0.0,44.0,"3,401",1.0,1.0,30.0,"2,639",29.3,0.0,1.0,1.0,0.0,0.0,0.0,9.0,1.0,1.3,1.3,0.2,1.4,15.0,97.0,19.0,0.0,0.03,0.03,0.0,0.03,0.04,0.01,0.05,0.04,0.05,79.0,50.0,55.0,23.0,1.0,49.0,67.0,73.1,18.0,38.0,15.0,23.0,51.0,130.0,91.0,0.0,1402.0,1628.0,86.1,26569.0,9543.0,520.0,562.0,92.5,678.0,753.0,90.0,169.0,260.0,65.0,0.0,0.2,0.5,-0.2,5.0,115.0,3.0,0.0,122.0,1628.0,1560.0,64.0,51.0,0.0,14.0,2.0,4.0,1.0,0.0,0.0,0.0,1402.0,4.0,12.0,188.0,845.0,1036.0,73.0,18.0,1936.0,18.0,9.0,50.0,6.0,33.3,1412.0,7846.0,4056.0,19.0,23.0,0.0,17.0,10.0,1271.0,6.0,2.0,14.0,4.0,28.6,0.55,0.16,0.14,0.5,17.4,0.0,0.0,0.0,0.9,0.9,0.06,1.1,1.1,27.0,1.07,24.0,1.0,1.0,0.0,1.0,0.0,3.0,0.12,2.0,0.0,0.0,0.0,1.0,0.0,"2,639",75.0,77.2,29.3,30.0,82.0,24.0,5.0,36.0,1.0,1.89,51.0,31.0,20.0,0.68,-0.12,48.4,33.6,14.8,0.51,-0.42,6.0,1.0,1.0,25.0,23.0,1.0,2.0,51.0,50.0,1.0,0.0,0.0,167.0,57.0,36.0,61.3,"€ 19,038(£ 16,084, $20,460)","€ 990,000(£ 836,381, $1,063,898)",Estimación no verificada,https://fbref.com/es/jugadores/7c3ed041/Leonardo-Balerdi
2023-2024,24.0,Marseille,frFRA,1.Ligue 1,27.0,"2,271",2.0,0.0,2.0,180.0,0.0,0.0,12.0,"1,029",0.0,0.0,41.0,"3,480",2.0,0.0,26.0,"2,271",25.2,2.0,0.0,2.0,2.0,0.0,0.0,6.0,1.0,0.9,0.9,0.2,1.0,19.0,122.0,6.0,0.08,0.0,0.08,0.08,0.08,0.03,0.01,0.04,0.03,0.04,49.0,35.0,27.0,17.0,5.0,24.0,43.0,55.8,19.0,24.0,14.0,10.0,30.0,79.0,64.0,4.0,2166.0,2305.0,94.0,36167.0,13820.0,945.0,973.0,97.1,1061.0,1097.0,96.7,111.0,164.0,67.7,0.0,0.7,0.8,-0.7,8.0,142.0,6.0,0.0,95.0,2305.0,2251.0,51.0,40.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,2166.0,3.0,12.0,179.0,960.0,1511.0,70.0,16.0,2523.0,25.0,18.0,72.0,7.0,28.0,1577.0,7144.0,4574.0,12.0,15.0,2.0,18.0,13.0,1997.0,4.0,0.0,11.0,1.0,9.1,0.49,0.04,0.0,0.0,19.8,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6,24.0,1.08,21.0,0.0,2.0,1.0,0.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,"2,271",84.0,74.2,25.2,26.0,87.0,21.0,1.0,21.0,3.0,1.44,39.0,30.0,9.0,0.36,0.13,39.4,25.8,13.6,0.54,-0.14,8.0,1.0,1.0,23.0,19.0,0.0,1.0,30.0,35.0,0.0,0.0,1.0,147.0,36.0,18.0,66.7,"€ 80,769(£ 69,428, $91,731)","€ 4,200,000(£ 3,610,253, $4,769,990)",Estimación no verificada,https://fbref.com/es/jugadores/7c3ed041/Leonardo-Balerdi
2024-2025,25.0,Marseille,frFRA,1.Ligue 1,24.0,"2,003",0.0,0.0,2.0,180.0,0.0,0.0,,,,,26.0,"2,183",0.0,0.0,24.0,"2,003",22.3,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.6,0.6,0.7,1.4,12.0,95.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,003",83.0,71.8,22.3,24.0,83.0,21.0,0.0,,1.0,1.92,49.0,28.0,21.0,0.94,0.71,45.9,28.3,17.6,0.79,1.27,,,,,,,,,,,,,,,,,"€ 80,769(£ 69,428, $91,731)","€ 4,200,000(£ 3,610,253, $4,769,990)",Estimación no verificada,https://fbref.com/es/jugadores/7c3ed041/Leonardo-Balerdi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€ 80,769(£ 69,428, $91,731)","€ 4,200,000(£ 3,610,253, $4,769,990)",Estimación no verificada,https://fbref.com/es/jugadores/7c3ed041/Leonardo-Balerdi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"€ 80,769(£ 69,428, $91,731)","€ 4,200,000(£ 3,610,253, $4,769,990)",Estimación no verificada,https://fbref.com/es/jugadores/7c3ed041/Leonardo-Balerdi
