Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2016-2017,19,Lens,frFRA,2.Ligue 2,37,"3,300",0,0,1.0,36.0,0.0,0.0,,,,,38,"3,336",0,0,36,"3,300",36.7,0,0,0,0,0,0,4,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,3.0,,0.0,0.08,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,300",89,96.5,36.7,36,,35,1,,0,1.75,57,39,18,0.49,-0.26,,,,,,4,0,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,"€ 6,923(£ 6,014, $7,588)","€ 360,000(£ 312,705, $394,552)",Estimación no verificada,https://fbref.com/es/jugadores/0cbc8baa/Jean-Kevin-Duverne
2017-2018,20,Lens,frFRA,2.Ligue 2,36,"3,153",0,0,7.0,720.0,0.0,0.0,,,,,43,"3,873",0,0,35,"3,153",35.0,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,2.0,,0.0,0.06,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,153",88,92.2,35.0,35,,35,1,,2,1.14,45,47,-2,-0.06,-0.39,,,,,,3,0,0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,"€ 4,231(£ 3,675, $4,637)","€ 220,000(£ 191,097, $241,115)",Estimación no verificada,https://fbref.com/es/jugadores/0cbc8baa/Jean-Kevin-Duverne
2018-2019,21,Lens,frFRA,2.Ligue 2,14,"1,148",0,0,,,,,,,,,14,"1,148",0,0,13,"1,148",12.8,0,0,0,0,0,0,2,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,148",82,33.6,12.8,13,85.0,12,1,45.0,0,1.75,9,7,2,0.16,-0.6,,,,,,2,1,0,,,,,,,,,0,,,,,"€ 4,231(£ 3,675, $4,637)","€ 220,000(£ 191,097, $241,115)",Estimación no verificada,https://fbref.com/es/jugadores/0cbc8baa/Jean-Kevin-Duverne
2019-2020,22,Brest,frFRA,1.Ligue 1,14,"1,178",0,0,2.0,240.0,0.0,0.0,,,,,16,"1,418",0,0,13,"1,178",13.1,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,15.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,12.0,8.0,5.0,6.0,1.0,2.0,6.0,33.3,4.0,23.0,8.0,15.0,20.0,32.0,50.0,0.0,725.0,863.0,84.0,15147.0,4880.0,223.0,256.0,87.1,380.0,414.0,91.8,118.0,179.0,65.9,0,0.1,0.2,-0.1,2.0,53.0,1.0,0.0,70.0,863.0,839.0,22.0,19.0,2.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,725.0,2.0,7.0,117.0,513.0,465.0,25.0,5.0,999.0,11.0,7.0,63.6,4.0,36.4,581.0,3471.0,2011.0,15.0,7.0,2.0,5.0,3.0,682.0,4.0,0,2.0,1.0,50.0,0.15,0.08,0.0,0.0,16.1,0.0,0,0,0.2,0.2,0.08,-0.2,-0.2,11.0,0.84,9.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,178",84,46.7,13.1,13,90.0,13,1,7.0,6,1.36,18,18,0,0.0,0.2,17.2,17.9,-0.7,-0.05,0.89,0,0,0,10.0,9.0,0.0,0.0,20.0,8.0,0.0,1.0,0,73.0,21.0,28.0,42.9,"€ 4,231(£ 3,640, $4,626)","€ 220,000(£ 189,268, $240,561)",Estimación no verificada,https://fbref.com/es/jugadores/0cbc8baa/Jean-Kevin-Duverne
2020-2021,23,Brest,frFRA,1.Ligue 1,27,"2,029",1,0,2.0,180.0,0.0,0.0,,,,,29,"2,209",1,0,22,"2,029",22.5,1,0,1,1,0,0,4,0,0.6,0.6,0.6,1.2,39.0,106.0,10.0,0.04,0.0,0.04,0.04,0.04,0.03,0.03,0.05,0.03,0.05,38.0,21.0,24.0,14.0,0.0,15.0,32.0,46.9,17.0,24.0,16.0,8.0,30.0,68.0,70.0,0.0,1135.0,1361.0,83.4,24366.0,9866.0,320.0,352.0,90.9,610.0,676.0,90.2,200.0,308.0,64.9,0,0.6,0.4,-0.6,4.0,104.0,4.0,1.0,106.0,1361.0,1297.0,61.0,42.0,0.0,14.0,10.0,19.0,0.0,0.0,0.0,0.0,1135.0,3.0,10.0,196.0,780.0,718.0,70.0,16.0,1557.0,19.0,18.0,94.7,1.0,5.3,967.0,5694.0,3639.0,39.0,19.0,3.0,12.0,10.0,1069.0,10.0,1,10.0,1.0,10.0,0.44,0.04,0.1,1.0,13.2,0.0,0,0,0.6,0.6,0.06,0.4,0.4,14.0,0.62,12.0,0.0,2.0,0.0,0.0,0.0,3.0,0.13,3.0,0.0,0.0,0.0,0.0,0.0,"2,029",75,59.3,22.5,22,89.0,21,5,15.0,11,1.11,32,43,-11,-0.49,-0.16,31.3,37.4,-6.1,-0.27,-0.14,4,0,0,21.0,15.0,0.0,10.0,30.0,21.0,0.0,2.0,0,112.0,38.0,50.0,43.2,"€ 11,923(£ 10,073, $12,813)","€ 620,000(£ 523,794, $666,280)",Estimación no verificada,https://fbref.com/es/jugadores/0cbc8baa/Jean-Kevin-Duverne
2021-2022,24,Brest,frFRA,1.Ligue 1,37,"3,007",1,3,3.0,264.0,0.0,0.0,,,,,40,"3,271",1,3,33,"3,007",33.4,1,3,4,1,0,0,1,0,1.0,1.0,2.2,3.2,76.0,169.0,107.0,0.03,0.09,0.12,0.03,0.12,0.03,0.07,0.1,0.03,0.1,71.0,44.0,43.0,21.0,7.0,42.0,90.0,46.7,48.0,40.0,5.0,35.0,53.0,124.0,92.0,0.0,1326.0,1782.0,74.4,24090.0,10768.0,624.0,743.0,84.0,504.0,661.0,76.2,171.0,306.0,55.9,3,2.2,1.9,0.8,25.0,151.0,27.0,17.0,169.0,1782.0,1472.0,307.0,28.0,0.0,13.0,74.0,279.0,0.0,0.0,0.0,0.0,1326.0,3.0,26.0,126.0,698.0,1036.0,429.0,31.0,2151.0,42.0,19.0,45.2,23.0,54.8,1174.0,6682.0,3680.0,76.0,49.0,6.0,46.0,21.0,1205.0,107.0,1,12.0,3.0,25.0,0.36,0.09,0.08,0.33,17.1,0.0,0,0,1.0,1.0,0.08,0.0,0.0,58.0,1.74,45.0,4.0,5.0,0.0,2.0,2.0,6.0,0.18,5.0,0.0,1.0,0.0,0.0,0.0,"3,007",81,87.9,33.4,33,89.0,31,4,18.0,1,1.22,44,50,-6,-0.18,0.26,38.5,50.8,-12.3,-0.37,-0.25,1,0,0,35.0,31.0,3.0,74.0,53.0,44.0,0.0,0.0,1,205.0,38.0,35.0,52.1,"€ 11,923(£ 10,249, $13,541)","€ 620,000(£ 532,942, $704,141)",Estimación no verificada,https://fbref.com/es/jugadores/0cbc8baa/Jean-Kevin-Duverne
2022-2023,25,Brest,frFRA,1.Ligue 1,34,"2,515",0,0,2.0,180.0,0.0,0.0,,,,,36,"2,695",0,0,27,"2,515",27.9,0,0,0,0,0,0,2,0,0.4,0.4,0.8,1.2,80.0,149.0,134.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,72.0,38.0,44.0,24.0,4.0,42.0,73.0,57.5,31.0,33.0,5.0,28.0,28.0,100.0,65.0,1.0,1059.0,1480.0,71.6,18165.0,7953.0,521.0,601.0,86.7,385.0,531.0,72.5,117.0,248.0,47.2,0,0.8,1.0,-0.8,10.0,113.0,14.0,8.0,149.0,1480.0,1188.0,285.0,16.0,0.0,9.0,85.0,269.0,0.0,0.0,0.0,0.0,1059.0,7.0,39.0,96.0,486.0,887.0,434.0,18.0,1775.0,65.0,26.0,40.0,30.0,46.2,1099.0,7192.0,3960.0,80.0,71.0,10.0,39.0,20.0,979.0,134.0,0,5.0,1.0,20.0,0.18,0.04,0.0,0.0,17.2,0.0,0,0,0.4,0.4,0.08,-0.4,-0.4,48.0,1.72,32.0,4.0,5.0,0.0,7.0,0.0,4.0,0.14,0.0,0.0,0.0,0.0,4.0,0.0,"2,515",74,73.5,27.9,27,88.0,22,7,20.0,4,1.24,34,39,-5,-0.18,0.32,33.9,38.5,-4.6,-0.16,0.64,2,0,0,39.0,20.0,4.0,85.0,28.0,38.0,2.0,0.0,0,159.0,33.0,22.0,60.0,"€ 11,923(£ 10,017, $12,502)","€ 620,000(£ 520,874, $650,113)",Estimación no verificada,https://fbref.com/es/jugadores/0cbc8baa/Jean-Kevin-Duverne
2023-2024,26,Nantes,frFRA,1.Ligue 1,19,"1,348",0,0,1.0,45.0,0.0,0.0,,,,,20,"1,393",0,0,15,"1,348",15.0,0,0,0,0,0,0,5,0,0.3,0.3,0.2,0.5,18.0,64.0,23.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,37.0,19.0,16.0,17.0,4.0,18.0,44.0,40.9,26.0,17.0,5.0,12.0,18.0,55.0,34.0,0.0,597.0,743.0,80.3,10059.0,4272.0,273.0,302.0,90.4,263.0,315.0,83.5,47.0,94.0,50.0,0,0.2,0.3,-0.2,3.0,45.0,8.0,3.0,64.0,743.0,653.0,86.0,15.0,0.0,2.0,13.0,71.0,0.0,0.0,0.0,0.0,597.0,4.0,11.0,53.0,324.0,444.0,133.0,6.0,894.0,15.0,9.0,60.0,6.0,40.0,621.0,3240.0,1644.0,18.0,28.0,1.0,21.0,8.0,556.0,23.0,0,4.0,1.0,25.0,0.27,0.07,0.0,0.0,20.0,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,12.0,0.8,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,348",71,44.1,15.0,15,86.0,9,4,15.0,8,1.42,14,17,-3,-0.2,0.96,15.7,20.1,-4.4,-0.29,0.29,5,0,0,29.0,16.0,0.0,13.0,18.0,19.0,0.0,1.0,0,80.0,15.0,15.0,50.0,"€ 11,923(£ 10,017, $12,502)","€ 620,000(£ 520,874, $650,113)",Estimación no verificada,https://fbref.com/es/jugadores/0cbc8baa/Jean-Kevin-Duverne
2024-2025,27,Nantes,frFRA,1.Ligue 1,9,537,0,0,1.0,90.0,0.0,0.0,,,,,10,627,0,0,7,537,6.0,0,0,0,0,0,0,2,0,0.3,0.3,0.1,0.4,6.0,22.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.06,0.05,0.06,21.0,12.0,13.0,4.0,4.0,15.0,27.0,55.6,12.0,10.0,3.0,7.0,8.0,29.0,23.0,0.0,238.0,304.0,78.3,3826.0,1571.0,123.0,141.0,87.2,96.0,112.0,85.7,17.0,37.0,45.9,0,0.1,0.1,-0.1,1.0,22.0,2.0,2.0,22.0,304.0,250.0,53.0,6.0,0.0,0.0,9.0,47.0,0.0,0.0,0.0,0.0,238.0,1.0,5.0,28.0,132.0,185.0,61.0,3.0,378.0,5.0,2.0,40.0,1.0,20.0,161.0,670.0,327.0,6.0,8.0,1.0,6.0,3.0,198.0,8.0,0,4.0,0.0,0.0,0.67,0.0,0.0,,17.0,0.0,0,0,0.3,0.3,0.07,-0.3,-0.3,5.0,0.84,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537,60,19.2,6.0,7,72.0,3,2,17.0,6,1.0,9,9,0,0.0,0.6,7.0,8.1,-1.1,-0.19,0.48,2,0,0,14.0,6.0,0.0,9.0,8.0,12.0,0.0,0.0,0,20.0,9.0,3.0,75.0,,,,
2024-2025,27,Kortrijk,beBEL,1.Pro League A,7,630,3,0,,,,,,,,,7,630,3,0,7,630,7.0,3,0,3,3,0,0,1,0,0.8,0.8,0.9,1.7,13.0,32.0,27.0,0.43,0.0,0.43,0.43,0.43,0.12,0.13,0.24,0.12,0.24,19.0,11.0,10.0,7.0,2.0,12.0,27.0,44.4,15.0,6.0,1.0,5.0,7.0,26.0,28.0,0.0,225.0,358.0,62.8,4035.0,2307.0,94.0,128.0,73.4,88.0,123.0,71.5,32.0,81.0,39.5,0,0.9,1.0,-0.9,7.0,37.0,6.0,5.0,32.0,358.0,303.0,52.0,2.0,0.0,1.0,20.0,50.0,0.0,0.0,0.0,0.0,225.0,3.0,8.0,33.0,143.0,193.0,111.0,10.0,440.0,14.0,8.0,57.1,6.0,42.9,235.0,1620.0,713.0,13.0,11.0,0.0,3.0,4.0,218.0,27.0,3,6.0,5.0,83.3,0.86,0.71,0.5,0.6,12.8,0.0,0,0,0.8,0.8,0.14,2.2,2.2,11.0,1.57,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630,90,23.3,7.0,7,90.0,7,0,,0,1.27,10,12,-2,-0.29,0.8,10.0,9.0,1.0,0.14,0.71,1,0,0,6.0,3.0,0.0,20.0,7.0,11.0,0.0,0.0,0,33.0,10.0,6.0,62.5,,,,
