Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2010-2011,22,Valenciennes,frFRA,1.Ligue 1,11,431,0,0,,,,,,,,,11,431,0,0,4,431,4.8,0,0,0,0,0,0,1,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,431,39,12.6,4.8,4,,4.0,7,,,,,,,,,,,,,,1,0,,10.0,,,,,,,,,,,,,"€ 8,077(£ 7,016, $8,852)","€ 420,000(£ 364,822, $460,311)",Estimación no verificada,https://fbref.com/es/jugadores/779847d6/Nicolas-Pallois
2011-2012,23,Laval,frFRA,2.Ligue 2,21,"1,734",3,1,,,,,,,,,21,"1,734",3,1,19,"1,734",19.3,3,1,4,3,0,0,3,0,,,,,,,,0.16,0.05,0.21,0.16,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,9,,,0.47,,0.33,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,734",83,50.7,19.3,19,,,2,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,"€ 7,308(£ 6,348, $8,009)","€ 380,000(£ 330,077, $416,472)",Estimación no verificada,https://fbref.com/es/jugadores/779847d6/Nicolas-Pallois
2012-2013,24,Niort,frFRA,2.Ligue 2,35,"3,140",1,1,,,,,,,,,35,"3,140",1,1,35,"3,140",34.9,1,1,2,1,0,0,10,0,,,,,,,,0.03,0.03,0.06,0.03,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,0.14,,0.2,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,140",90,91.8,34.9,35,,,0,,,,,,,,,,,,,,10,0,,,,,,,,,,,,,,,"€ 23,846(£ 20,713, $26,135)","€ 1,240,000(£ 1,077,095, $1,359,013)",Estimación no verificada,https://fbref.com/es/jugadores/779847d6/Nicolas-Pallois
2013-2014,25,Niort,frFRA,2.Ligue 2,36,"3,223",3,1,,,,,,,,,36,"3,223",3,1,36,"3,223",35.8,3,1,4,3,0,0,11,0,,,,,,,,0.08,0.03,0.11,0.08,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,7,,,0.2,,0.43,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,223",90,94.2,35.8,36,,,0,,,,,,,,,,,,,,11,0,,,,,,,,,,,,,,,"€ 22,692(£ 19,711, $24,870)","€ 1,180,000(£ 1,024,977, $1,293,254)",Estimación no verificada,https://fbref.com/es/jugadores/779847d6/Nicolas-Pallois
2014-2015,26,Bordeaux,frFRA,1.Ligue 1,33,"2,926",0,0,1.0,90.0,0.0,0.0,,,,,34,"3,016",0,0,33,"2,926",32.5,0,0,0,0,0,0,2,1,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,3,,,0.09,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,926",89,85.6,32.5,33,,31.0,0,,0.0,1.59,38.0,34.0,4.0,0.12,0.31,,,,,,2,1,,37.0,,,,,,,,,,,,,"€ 23,077(£ 20,045, $25,292)","€ 1,200,000(£ 1,042,350, $1,315,174)",Estimación no verificada,https://fbref.com/es/jugadores/779847d6/Nicolas-Pallois
2015-2016,27,Bordeaux,frFRA,1.Ligue 1,17,"1,530",1,1,,,,,4.0,360.0,0.0,0.0,21,"1,890",1,1,17,"1,530",17.0,1,1,2,1,0,0,3,1,,,,,,,,0.06,0.06,0.12,0.06,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,0.06,,1.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,530",90,44.7,17.0,17,,16.0,0,,1.0,1.29,26.0,25.0,1.0,0.06,0.44,,,,,,3,1,,14.0,,,,,,,,,,,,,"€ 25,385(£ 22,050, $27,821)","€ 1,320,000(£ 1,146,584, $1,446,691)",Estimación no verificada,https://fbref.com/es/jugadores/779847d6/Nicolas-Pallois
2016-2017,28,Bordeaux,frFRA,1.Ligue 1,31,"2,790",2,1,5.0,426.0,0.0,0.0,,,,,36,"3,216",2,1,31,"2,790",31.0,2,1,3,2,0,0,10,2,,,,,,,,0.06,0.03,0.1,0.06,0.1,,,,,,,55.0,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13.0,3,23.1,0.42,0.1,0.15,0.67,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,790",90,81.6,31.0,31,,29.0,0,,0.0,1.58,46.0,38.0,8.0,0.26,-0.03,,,,,,10,2,1.0,24.0,22.0,3.0,3.0,44.0,55.0,1.0,1.0,0.0,,,,,"€ 25,385(£ 22,050, $27,821)","€ 1,320,000(£ 1,146,584, $1,446,691)",,https://fbref.com/es/jugadores/779847d6/Nicolas-Pallois
2017-2018,29,Nantes,frFRA,1.Ligue 1,28,"2,431",0,3,3.0,270.0,0.0,0.0,,,,,31,"2,701",0,3,28,"2,431",27.0,0,3,3,0,0,0,8,2,1.0,1.0,0.5,1.4,13.0,60.0,4.0,0.0,0.11,0.11,0.0,0.11,0.04,0.02,0.05,0.04,0.05,39.0,28.0,25.0,9.0,5.0,18.0,36.0,50.0,18.0,34.0,19.0,15.0,35.0,74.0,182.0,3.0,585.0,811.0,72.1,12990.0,5790.0,179.0,212.0,84.4,267.0,333.0,80.2,129.0,235.0,54.9,3,0.5,0.2,2.5,9.0,53.0,1.0,0.0,60.0,811.0,771.0,38.0,32.0,0.0,13.0,3.0,6.0,0.0,0.0,0.0,0.0,585.0,2.0,10.0,220.0,648.0,465.0,40.0,9.0,1132.0,22.0,19.0,86.4,3.0,13.6,483.0,2660.0,1488.0,13.0,7.0,0.0,16.0,5.0,457.0,4.0,0,9.0,2,22.2,0.33,0.07,0.0,0.0,20.8,0.0,0,0,1.0,1.0,0.11,-1.0,-1.0,13.0,0.48,9.0,1.0,2.0,1.0,0.0,0.0,3.0,0.11,2.0,0.0,0.0,1.0,0.0,0.0,"2,431",87,71.1,27.0,28,87.0,24.0,0,,3.0,1.18,24.0,33.0,-9.0,-0.33,-0.7,27.3,29.4,-2.1,-0.08,-0.6,8,2,2.0,13.0,5.0,0.0,3.0,35.0,28.0,0.0,1.0,1.0,176.0,35.0,30.0,53.8,"€ 25,385(£ 22,050, $27,821)","€ 1,320,000(£ 1,146,584, $1,446,691)",,https://fbref.com/es/jugadores/779847d6/Nicolas-Pallois
2018-2019,30,Nantes,frFRA,1.Ligue 1,24,"2,160",2,0,7.0,630.0,0.0,0.0,,,,,31,"2,790",2,0,24,"2,160",24.0,2,0,2,2,0,0,8,0,1.3,1.3,0.1,1.4,22.0,90.0,7.0,0.08,0.0,0.08,0.08,0.08,0.05,0.01,0.06,0.05,0.06,77.0,48.0,60.0,17.0,0.0,40.0,69.0,58.0,29.0,30.0,14.0,16.0,34.0,111.0,114.0,0.0,807.0,1056.0,76.4,16424.0,6539.0,270.0,307.0,87.9,409.0,468.0,87.4,119.0,240.0,49.6,0,0.1,0.2,-0.1,5.0,68.0,3.0,1.0,90.0,1056.0,1021.0,29.0,28.0,1.0,14.0,5.0,1.0,0.0,0.0,0.0,0.0,807.0,6.0,18.0,149.0,665.0,665.0,60.0,21.0,1372.0,29.0,22.0,75.9,7.0,24.1,712.0,3882.0,2336.0,22.0,16.0,0.0,15.0,10.0,678.0,7.0,2,19.0,7,36.8,0.79,0.29,0.11,0.29,15.6,0.0,0,0,1.3,1.3,0.07,0.7,0.7,21.0,0.87,18.0,0.0,0.0,1.0,1.0,1.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0,"2,160",90,63.2,24.0,24,90.0,24.0,0,,6.0,1.33,31.0,28.0,3.0,0.12,0.34,31.7,27.1,4.5,0.19,0.36,8,0,0.0,24.0,12.0,2.0,5.0,34.0,48.0,0.0,2.0,0.0,189.0,47.0,42.0,52.8,"€ 25,385(£ 21,839, $27,757)","€ 1,320,000(£ 1,135,610, $1,443,368)",,https://fbref.com/es/jugadores/779847d6/Nicolas-Pallois
2019-2020,31,Nantes,frFRA,1.Ligue 1,21,"1,890",0,0,1.0,90.0,0.0,0.0,,,,,22,"1,980",0,0,21,"1,890",21.0,0,0,0,0,0,0,10,0,1.3,1.3,0.1,1.4,15.0,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.07,0.06,0.07,47.0,36.0,28.0,17.0,2.0,31.0,55.0,56.4,24.0,18.0,13.0,5.0,40.0,87.0,77.0,1.0,896.0,1080.0,83.0,18377.0,6756.0,274.0,306.0,89.5,491.0,548.0,89.6,122.0,198.0,61.6,0,0.1,0.2,-0.1,2.0,44.0,1.0,0.0,68.0,1080.0,1017.0,60.0,55.0,0.0,16.0,2.0,5.0,0.0,0.0,0.0,0.0,896.0,3.0,6.0,115.0,598.0,685.0,45.0,18.0,1306.0,28.0,21.0,75.0,7.0,25.0,715.0,4206.0,2479.0,15.0,14.0,1.0,8.0,7.0,709.0,1.0,0,14.0,3,21.4,0.67,0.14,0.0,0.0,14.0,1.0,0,0,1.3,1.3,0.09,-1.3,-1.3,21.0,1.0,15.0,0.0,1.0,2.0,2.0,1.0,1.0,0.05,1.0,0.0,0.0,0.0,0.0,0.0,"1,890",90,75.0,21.0,21,90.0,21.0,0,,0.0,1.52,19.0,20.0,-1.0,-0.05,0.24,22.4,21.4,1.0,0.05,0.37,10,0,0.0,20.0,19.0,2.0,2.0,40.0,36.0,0.0,0.0,0.0,175.0,44.0,30.0,59.5,"€ 25,385(£ 21,446, $27,279)","€ 1,320,000(£ 1,115,174, $1,418,531)",,https://fbref.com/es/jugadores/779847d6/Nicolas-Pallois
