Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2017-2018,17,Middlesbrough,engENG,Jr.PL2 — Div. 2,2.0,116,0.0,0.0,,,,,,,,,2.0,116,0,0,2.0,116,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,116,58.0,6.1,1.3,2.0,58.0,0.0,0.0,,0.0,0.5,1.0,3.0,-2.0,-1.55,-1.91,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2018-2019,18,Middlesbrough,engENG,Jr.PL2 — Div. 2,19.0,"1,248",1.0,1.0,,,,,,,,,19.0,"1,248",1,1,12.0,"1,248",13.9,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,,,,,,,,0.07,0.07,0.14,0.07,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,248",66.0,63.0,13.9,12.0,90.0,10.0,7.0,25.0,1.0,1.16,21.0,24.0,-3.0,-0.22,-0.09,,,,,,5.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,
2018-2019,18,Middlesbrough,engENG,2.Championship,,,,,1.0,45.0,0.0,0.0,,,,,1.0,45,0,0,3.0,338,3.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.9,1.4,19.0,5.0,32.0,0.0,0.27,0.27,0.0,0.27,0.13,0.24,0.37,0.13,0.37,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,66.0,95.0,69.5,953.0,255.0,39.0,47.0,83.0,19.0,28.0,67.9,5.0,9.0,55.6,1.0,0.9,0.8,0.1,7.0,2.0,5.0,2.0,5.0,95.0,83.0,10.0,0.0,1.0,1.0,11.0,10.0,0.0,0.0,0.0,0.0,66.0,2.0,6.0,0.0,16.0,51.0,73.0,13.0,139.0,20.0,11.0,55.0,9.0,45.0,115.0,965.0,456.0,19.0,10.0,10.0,16.0,12.0,114.0,32.0,0.0,6.0,2.0,33.3,1.6,0.53,0.0,0.0,17.7,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5,14.0,3.73,8.0,0.0,4.0,0.0,2.0,0.0,3.0,0.8,1.0,0.0,1.0,0.0,1.0,0.0,338,38.0,9.9,3.8,3.0,78.0,1.0,6.0,17.0,1.0,1.11,4.0,5.0,-1.0,-0.27,0.03,4.7,5.2,-0.4,-0.12,-0.03,0.0,0.0,0.0,2.0,9.0,1.0,11.0,1.0,1.0,1.0,0.0,0.0,13.0,2.0,5.0,28.6,,,,
2021-2022,21,Angers,frFRA,1.Ligue 1,9.0,338,0.0,1.0,,,,,,,,,9.0,338,0,1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,0.0,126.0,181.0,69.6,2142.0,465.0,60.0,73.0,82.2,42.0,63.0,66.7,15.0,29.0,51.7,0.0,0.9,0.7,-0.9,10.0,6.0,8.0,7.0,9.0,181.0,151.0,29.0,7.0,0.0,0.0,45.0,8.0,14.0,6.0,7.0,0.0,126.0,1.0,3.0,1.0,20.0,82.0,120.0,15.0,216.0,10.0,3.0,30.0,7.0,70.0,164.0,1417.0,628.0,25.0,18.0,4.0,11.0,10.0,155.0,39.0,0.0,4.0,0.0,0.0,0.95,0.0,0.0,,14.5,0.0,0.0,0.0,0.6,0.6,0.16,-0.6,-0.6,18.0,4.29,13.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,,,,,,,1.0,0.0,0.0,4.0,10.0,2.0,45.0,2.0,1.0,0.0,0.0,0.0,24.0,2.0,1.0,66.7,,,,
2021-2022,21,Reims,frFRA,1.Ligue 1,,,,,,,,,,,,,,,0,0,2.0,378,4.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.9,1.6,25.0,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.15,0.22,0.37,0.15,0.37,8.0,5.0,2.0,5.0,1.0,1.0,7.0,14.3,6.0,4.0,0.0,4.0,4.0,12.0,0.0,0.0,280.0,389.0,72.0,4139.0,916.0,145.0,169.0,85.8,95.0,127.0,74.8,17.0,46.0,37.0,2.0,1.7,1.5,0.3,17.0,11.0,15.0,12.0,16.0,389.0,355.0,34.0,6.0,1.0,3.0,76.0,15.0,10.0,5.0,2.0,0.0,280.0,0.0,17.0,1.0,45.0,198.0,250.0,27.0,487.0,34.0,18.0,52.9,13.0,38.2,385.0,2906.0,1354.0,41.0,23.0,9.0,27.0,12.0,383.0,100.0,3.0,20.0,6.0,30.0,2.25,0.68,0.15,0.5,24.3,0.0,0.0,0.0,1.0,1.0,0.05,2.0,2.0,32.0,3.6,25.0,2.0,3.0,0.0,2.0,0.0,2.0,0.23,2.0,0.0,0.0,0.0,0.0,0.0,378,34.0,11.1,4.2,2.0,75.0,0.0,9.0,25.0,4.0,1.45,9.0,6.0,3.0,0.71,0.33,7.5,7.1,0.5,0.11,-0.27,0.0,0.0,0.0,3.0,8.0,6.0,76.0,4.0,5.0,0.0,0.0,0.0,31.0,2.0,4.0,33.3,,,,
2021-2022,21,Nice,frFRA,1.Ligue 1,11.0,378,0.0,0.0,4.0,114.0,0.0,0.0,,,,,15.0,492,0,0,5.0,800,8.9,3.0,2.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.7,2.8,41.0,16.0,100.0,0.34,0.23,0.56,0.34,0.56,0.12,0.19,0.31,0.12,0.31,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,72.0,122.0,59.0,1213.0,394.0,39.0,55.0,70.9,23.0,43.0,53.5,7.0,16.0,43.8,0.0,0.3,0.8,-0.3,6.0,4.0,4.0,3.0,9.0,122.0,114.0,8.0,1.0,1.0,1.0,32.0,3.0,4.0,3.0,1.0,0.0,72.0,0.0,8.0,1.0,16.0,45.0,100.0,13.0,158.0,16.0,9.0,56.3,6.0,37.5,121.0,1097.0,441.0,15.0,10.0,5.0,5.0,7.0,116.0,39.0,0.0,4.0,2.0,50.0,1.63,0.81,0.0,0.0,24.4,0.0,0.0,0.0,0.1,0.1,0.03,-0.1,-0.1,13.0,5.29,11.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800,31.0,23.4,8.9,5.0,67.0,1.0,21.0,22.0,10.0,1.31,11.0,8.0,3.0,0.34,0.06,14.5,11.5,3.0,0.33,0.0,1.0,1.0,0.0,3.0,4.0,2.0,32.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,50.0,,,,
2022-2023,22,Nice,frFRA,1.Ligue 1,26.0,800,3.0,2.0,1.0,87.0,0.0,0.0,8.0,325.0,2.0,0.0,35.0,"1,212",5,2,1.0,221,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.3,0.4,15.0,9.0,39.0,0.0,0.0,0.0,0.0,0.0,0.04,0.1,0.15,0.04,0.15,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,76.9,120.0,50.0,8.0,8.0,100.0,2.0,5.0,40.0,0.0,0.0,,0.0,0.1,0.0,-0.1,1.0,0.0,0.0,0.0,0.0,13.0,11.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,11.0,1.0,15.0,1.0,0.0,0.0,1.0,100.0,10.0,56.0,23.0,1.0,0.0,1.0,1.0,1.0,9.0,6.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,8.18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221,12.0,7.2,2.5,1.0,59.0,0.0,17.0,10.0,8.0,1.56,2.0,0.0,2.0,0.81,0.28,2.8,1.4,1.4,0.55,0.31,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,
2023-2024,23,Brest,frFRA,1.Ligue 1,18.0,221,0.0,0.0,2.0,82.0,0.0,0.0,,,,,20.0,303,0,0,0.0,11,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.58,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,35.0,40.0,87.5,614.0,163.0,15.0,16.0,93.8,18.0,19.0,94.7,2.0,4.0,50.0,0.0,0.0,0.2,0.0,1.0,1.0,1.0,1.0,4.0,40.0,35.0,5.0,0.0,0.0,0.0,5.0,3.0,2.0,1.0,1.0,0.0,35.0,0.0,1.0,2.0,7.0,23.0,19.0,0.0,49.0,2.0,0.0,0.0,2.0,100.0,29.0,202.0,112.0,3.0,3.0,0.0,0.0,3.0,35.0,10.0,0.0,1.0,1.0,100.0,1.18,1.18,0.0,0.0,23.0,1.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,1.0,1.18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,6.0,0.4,0.1,0.0,,0.0,2.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.32,0.5,0.1,0.4,3.64,3.22,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
2023-2024,23,Nice,frFRA,1.Ligue 1,2.0,11,0.0,0.0,,,,,,,,,2.0,11,0,0,1.0,76,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.07,0.05,0.07,9.0,6.0,4.0,3.0,2.0,5.0,19.0,26.3,14.0,7.0,0.0,7.0,9.0,18.0,11.0,1.0,630.0,868.0,72.6,12258.0,3987.0,251.0,290.0,86.6,241.0,311.0,77.5,107.0,207.0,51.7,3.0,5.9,6.7,-2.9,55.0,61.0,51.0,29.0,93.0,868.0,747.0,119.0,21.0,7.0,12.0,184.0,19.0,66.0,30.0,26.0,0.0,630.0,2.0,25.0,7.0,127.0,461.0,504.0,34.0,1056.0,62.0,30.0,48.4,30.0,48.4,807.0,6429.0,3082.0,82.0,64.0,16.0,38.0,30.0,761.0,138.0,1.0,54.0,18.0,33.3,3.27,1.09,0.02,0.06,24.1,4.0,0.0,0.0,2.5,2.5,0.05,-1.5,-1.5,91.0,5.5,61.0,22.0,2.0,3.0,3.0,0.0,6.0,0.36,5.0,1.0,0.0,0.0,0.0,0.0,76,38.0,2.7,0.8,1.0,63.0,0.0,1.0,13.0,1.0,0.5,1.0,1.0,0.0,0.0,-0.66,0.7,1.9,-1.2,-1.42,-2.05,6.0,1.0,1.0,8.0,16.0,4.0,184.0,9.0,6.0,0.0,0.0,0.0,89.0,2.0,7.0,22.2,,,,
2024-2025,24,Nice,frFRA,1.Ligue 1,2.0,76,0.0,0.0,,,,,,,,,2.0,76,0,0,16.0,"1,487",16.5,1.0,3.0,4.0,1.0,0.0,0.0,6.0,1.0,2.5,2.5,5.9,8.3,82.0,93.0,138.0,0.06,0.18,0.24,0.06,0.24,0.15,0.35,0.5,0.15,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,487",71.0,55.1,16.5,16.0,82.0,5.0,5.0,36.0,0.0,1.24,24.0,25.0,-1.0,-0.06,0.98,24.1,26.1,-1.9,-0.12,0.35,,,,,,,,,,,,,,,,,,,,
