Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2013-2014,17,Mallorca,esESP,2.La Liga 2,20,"1,203",1,2,,,,,,,,,20,"1,203",1,2,12,"1,203",13.4,1,2,3,1,0,0,3,0,,,,,,,,0.07,0.15,0.22,0.07,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,8,,,0.6,,0.13,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,203",60,31.8,13.4,12,,,8,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,"€ 13,654(£ 11,860, $14,964)","€ 710,000(£ 616,723, $778,145)",Estimación no verificada,https://fbref.com/es/jugadores/45af8a54/Marco-Asensio
2014-2015,18,Mallorca,esESP,2.La Liga 2,36,"2,908",6,7,,,,,,,,,36,"2,908",6,7,33,"2,908",32.3,6,7,13,6,0,0,5,1,,,,,,,,0.19,0.22,0.4,0.19,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,26,,,0.8,,0.23,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,908",81,76.9,32.3,33,,22.0,3,,0.0,1.19,36.0,49.0,-13.0,-0.4,-0.4,,,,,,5,1,,,,,,,,,,,,,,,"€ 16,538(£ 14,366, $18,126)","€ 860,000(£ 747,017, $942,541)",Estimación no verificada,https://fbref.com/es/jugadores/45af8a54/Marco-Asensio
2015-2016,19,Espanyol,esESP,1.La Liga,34,"2,825",4,8,3.0,225.0,0.0,2.0,,,,,37,"3,050",4,10,33,"2,825",31.4,4,8,12,4,0,0,3,0,,,,,,,,0.13,0.25,0.38,0.13,0.38,,,,,,,44.0,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,60.0,22,36.7,1.91,0.7,0.07,0.18,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,825",83,82.6,31.4,33,85.0,24.0,1,22.0,2.0,1.18,34.0,57.0,-23.0,-0.73,0.93,,,,,,3,0,0.0,39.0,57.0,5.0,179.0,16.0,44.0,1.0,0.0,0.0,,,,,"€ 158,654(£ 137,811, $173,881)","€ 8,250,000(£ 7,166,153, $9,041,820)",Estimación no verificada,https://fbref.com/es/jugadores/45af8a54/Marco-Asensio
2016-2017,20,Real Madrid,esESP,1.La Liga,23,"1,082",3,2,6.0,463.0,3.0,1.0,9.0,373.0,4.0,1.0,38,"1,918",10,4,11,"1,082",12.0,3,2,5,3,0,0,0,0,,,,,,,,0.25,0.17,0.42,0.25,0.42,,,,,,,22.0,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,26.0,11,42.3,2.16,0.91,0.12,0.27,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,082",47,31.6,12.0,11,77.0,5.0,12,20.0,10.0,2.61,37.0,15.0,22.0,1.83,0.17,,,,,,0,0,0.0,15.0,15.0,5.0,28.0,11.0,22.0,0.0,0.0,0.0,,,,,"€ 160,192(£ 139,147, $175,567)","€ 8,330,000(£ 7,235,643, $9,129,498)",Estimación no verificada,https://fbref.com/es/jugadores/45af8a54/Marco-Asensio
2017-2018,21,Real Madrid,esESP,1.La Liga,32,"1,844",6,6,7.0,513.0,4.0,0.0,13.0,489.0,1.0,1.0,52,"2,846",11,7,19,"1,844",20.5,6,6,12,6,0,0,2,0,4.5,4.5,6.4,10.9,135.0,157.0,209.0,0.29,0.29,0.59,0.29,0.59,0.22,0.31,0.53,0.22,0.53,26.0,17.0,7.0,13.0,6.0,11.0,26.0,42.3,15.0,15.0,0.0,15.0,9.0,35.0,2.0,0.0,1062.0,1264.0,84.0,15960.0,3700.0,627.0,676.0,92.8,322.0,378.0,85.2,77.0,130.0,59.2,6,6.4,3.6,-0.4,52.0,113.0,43.0,7.0,157.0,1264.0,1172.0,87.0,16.0,9.0,21.0,106.0,19.0,50.0,12.0,17.0,2.0,1062.0,5.0,31.0,4.0,78.0,662.0,714.0,80.0,1430.0,45.0,31.0,68.9,14.0,31.1,1080.0,7322.0,4179.0,135.0,98.0,22.0,32.0,25.0,1184.0,209.0,6,56.0,22,39.3,2.73,1.07,0.11,0.27,19.2,3.0,0,0,4.5,4.5,0.08,1.5,1.5,107.0,5.22,87.0,10.0,4.0,3.0,2.0,1.0,11.0,0.54,11.0,0.0,0.0,0.0,0.0,0.0,"1,844",58,53.9,20.5,19,83.0,12.0,13,21.0,3.0,1.94,51.0,24.0,27.0,1.32,0.0,47.9,22.0,25.9,1.26,0.33,2,0,0.0,9.0,27.0,3.0,106.0,9.0,17.0,0.0,0.0,0.0,77.0,3.0,3.0,50.0,"€ 176,154(£ 153,012, $193,061)","€ 9,160,000(£ 7,956,601, $10,039,160)",Estimación no verificada,https://fbref.com/es/jugadores/45af8a54/Marco-Asensio
2018-2019,22,Real Madrid,esESP,1.La Liga,30,"1,779",1,4,5.0,222.0,3.0,1.0,8.0,362.0,2.0,0.0,43,"2,363",6,5,19,"1,779",19.8,1,4,5,1,0,0,3,0,4.1,4.1,5.0,9.1,116.0,95.0,228.0,0.05,0.2,0.25,0.05,0.25,0.21,0.25,0.46,0.21,0.46,12.0,8.0,3.0,5.0,4.0,2.0,24.0,8.3,22.0,16.0,1.0,15.0,14.0,26.0,7.0,0.0,839.0,1024.0,81.9,12382.0,2878.0,513.0,566.0,90.6,249.0,306.0,81.4,52.0,81.0,64.2,4,5.0,5.1,-1.0,30.0,49.0,45.0,15.0,95.0,1024.0,957.0,58.0,6.0,7.0,8.0,78.0,25.0,25.0,3.0,6.0,0.0,839.0,9.0,30.0,6.0,86.0,501.0,647.0,86.0,1214.0,60.0,41.0,68.3,19.0,31.7,865.0,6386.0,3271.0,116.0,60.0,30.0,46.0,15.0,970.0,228.0,1,45.0,17,37.8,2.28,0.86,0.02,0.06,18.1,1.0,0,0,4.1,4.1,0.09,-3.1,-3.1,67.0,3.39,48.0,5.0,7.0,2.0,5.0,0.0,10.0,0.51,7.0,0.0,0.0,0.0,3.0,0.0,"1,779",59,52.0,19.8,19,81.0,9.0,11,22.0,2.0,1.73,31.0,26.0,5.0,0.25,-0.41,33.1,25.7,7.5,0.38,-0.29,3,0,0.0,18.0,21.0,8.0,78.0,14.0,8.0,3.0,0.0,0.0,76.0,4.0,14.0,22.2,"€ 189,038(£ 164,203, $207,182)","€ 9,830,000(£ 8,538,580, $10,773,466)",,https://fbref.com/es/jugadores/45af8a54/Marco-Asensio
2019-2020,23,Real Madrid,esESP,1.La Liga,9,336,3,1,,,,,1.0,30.0,0.0,0.0,10,366,3,1,3,336,3.7,3,1,4,3,0,0,0,0,1.1,1.1,1.4,2.6,8.0,13.0,31.0,0.8,0.27,1.07,0.8,1.07,0.31,0.38,0.68,0.31,0.68,4.0,3.0,3.0,1.0,0.0,1.0,4.0,25.0,3.0,2.0,0.0,2.0,1.0,5.0,4.0,0.0,131.0,158.0,82.9,1962.0,404.0,79.0,88.0,89.8,31.0,40.0,77.5,12.0,17.0,70.6,1,1.4,1.2,-0.4,8.0,4.0,8.0,2.0,13.0,158.0,153.0,4.0,2.0,0.0,4.0,11.0,1.0,1.0,0.0,1.0,0.0,131.0,1.0,2.0,2.0,25.0,76.0,93.0,13.0,192.0,9.0,5.0,55.6,4.0,44.4,139.0,782.0,307.0,8.0,8.0,4.0,4.0,5.0,155.0,31.0,3,8.0,5,62.5,2.14,1.34,0.38,0.6,15.7,1.0,0,0,1.1,1.1,0.14,1.9,1.9,11.0,2.95,8.0,0.0,2.0,1.0,0.0,0.0,1.0,0.27,1.0,0.0,0.0,0.0,0.0,0.0,336,37,9.8,3.7,3,67.0,0.0,6,22.0,2.0,2.78,9.0,3.0,6.0,1.61,0.47,7.2,3.4,3.8,1.02,0.12,0,0,0.0,2.0,4.0,1.0,11.0,1.0,3.0,0.0,0.0,0.0,16.0,2.0,4.0,33.3,"€ 189,038(£ 164,203, $207,182)","€ 9,830,000(£ 8,538,580, $10,773,466)",,https://fbref.com/es/jugadores/45af8a54/Marco-Asensio
2020-2021,24,Real Madrid,esESP,1.La Liga,35,"1,869",5,2,2.0,120.0,0.0,0.0,11.0,619.0,2.0,0.0,48,"2,608",7,2,21,"1,869",20.8,5,2,7,5,0,0,1,0,3.8,3.8,3.3,7.0,92.0,82.0,166.0,0.24,0.1,0.34,0.24,0.34,0.18,0.16,0.34,0.18,0.34,12.0,6.0,7.0,4.0,1.0,3.0,24.0,12.5,21.0,15.0,0.0,15.0,11.0,23.0,10.0,0.0,798.0,1012.0,78.9,11651.0,2592.0,456.0,513.0,88.9,244.0,304.0,80.3,48.0,90.0,53.3,2,3.3,3.8,-1.3,33.0,40.0,31.0,9.0,82.0,1012.0,948.0,60.0,11.0,1.0,12.0,97.0,20.0,29.0,9.0,5.0,0.0,798.0,4.0,32.0,17.0,126.0,444.0,617.0,71.0,1179.0,39.0,29.0,74.4,10.0,25.6,761.0,5310.0,2520.0,92.0,62.0,16.0,32.0,23.0,935.0,166.0,5,39.0,11,28.2,1.88,0.53,0.13,0.45,19.7,3.0,0,0,3.8,3.8,0.1,1.2,1.2,67.0,3.23,48.0,9.0,4.0,3.0,3.0,0.0,8.0,0.39,5.0,1.0,1.0,1.0,0.0,0.0,"1,869",53,54.6,20.8,21,71.0,1.0,14,28.0,1.0,2.2,37.0,17.0,20.0,0.96,-0.14,30.6,23.7,6.8,0.33,-0.66,1,0,0.0,6.0,28.0,6.0,97.0,11.0,6.0,0.0,0.0,0.0,84.0,10.0,7.0,58.8,"€ 189,038(£ 162,632, $206,706)","€ 9,830,000(£ 8,456,851, $10,748,718)",,https://fbref.com/es/jugadores/45af8a54/Marco-Asensio
2021-2022,25,Real Madrid,esESP,1.La Liga,31,"1,731",10,0,3.0,200.0,1.0,0.0,8.0,209.0,1.0,2.0,42,"2,140",12,2,19,"1,731",19.2,10,0,10,10,0,0,2,0,7.5,7.5,2.4,9.9,56.0,80.0,143.0,0.52,0.0,0.52,0.52,0.52,0.39,0.13,0.52,0.39,0.52,12.0,8.0,6.0,4.0,2.0,4.0,18.0,22.2,14.0,8.0,1.0,7.0,12.0,24.0,6.0,1.0,731.0,894.0,81.8,10841.0,2086.0,415.0,452.0,91.8,221.0,261.0,84.7,55.0,102.0,53.9,0,2.4,3.0,-2.4,31.0,59.0,19.0,2.0,80.0,894.0,809.0,80.0,14.0,0.0,14.0,71.0,16.0,45.0,26.0,3.0,0.0,731.0,5.0,24.0,11.0,91.0,413.0,572.0,79.0,1068.0,40.0,27.0,67.5,13.0,32.5,701.0,4422.0,2112.0,56.0,45.0,16.0,19.0,25.0,830.0,143.0,10,64.0,32,50.0,3.33,1.66,0.16,0.31,18.9,2.0,0,0,7.5,7.5,0.12,2.5,2.5,70.0,3.64,42.0,12.0,5.0,9.0,2.0,0.0,6.0,0.31,3.0,0.0,1.0,2.0,0.0,0.0,"1,731",56,50.6,19.2,19,79.0,7.0,12,20.0,2.0,2.39,42.0,13.0,29.0,1.51,0.44,40.1,22.6,17.6,0.91,0.37,2,0,0.0,8.0,20.0,2.0,71.0,12.0,8.0,0.0,0.0,0.0,83.0,0.0,9.0,0.0,"€ 279,808(£ 236,390, $300,694)","€ 14,550,000(£ 12,292,263, $15,636,080)",,https://fbref.com/es/jugadores/45af8a54/Marco-Asensio
2022-2023,26,Real Madrid,esESP,1.La Liga,31,"1,442",9,6,7.0,238.0,0.0,1.0,12.0,324.0,3.0,1.0,50,"2,004",12,8,15,"1,442",16.0,9,6,15,9,0,1,1,0,6.3,5.5,4.9,10.4,56.0,70.0,108.0,0.56,0.37,0.94,0.56,0.94,0.39,0.3,0.7,0.35,0.65,16.0,10.0,8.0,6.0,2.0,8.0,19.0,42.1,11.0,8.0,3.0,5.0,5.0,21.0,4.0,0.0,650.0,802.0,81.0,9900.0,2248.0,378.0,415.0,91.1,187.0,222.0,84.2,56.0,102.0,54.9,6,4.9,4.2,1.1,41.0,60.0,26.0,6.0,70.0,802.0,722.0,76.0,18.0,5.0,7.0,82.0,8.0,48.0,25.0,7.0,0.0,650.0,4.0,28.0,11.0,66.0,375.0,517.0,71.0,950.0,33.0,23.0,69.7,7.0,21.2,609.0,3688.0,1856.0,56.0,39.0,11.0,19.0,13.0,725.0,108.0,9,58.0,24,41.4,3.62,1.5,0.16,0.38,21.5,5.0,0,1,6.3,5.5,0.1,2.7,3.5,76.0,4.74,47.0,16.0,6.0,4.0,3.0,0.0,12.0,0.75,7.0,2.0,2.0,0.0,1.0,0.0,"1,442",47,42.2,16.0,15,80.0,7.0,16,16.0,6.0,1.9,34.0,16.0,18.0,1.12,0.17,38.7,16.0,22.7,1.42,0.79,1,0,0.0,10.0,16.0,4.0,82.0,5.0,10.0,1.0,1.0,0.0,45.0,3.0,2.0,60.0,"€ 279,808(£ 240,518, $317,781)","€ 14,550,000(£ 12,506,947, $16,524,607)",,https://fbref.com/es/jugadores/45af8a54/Marco-Asensio
