Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,20,Lille,frFRA,1.Ligue 1,,,,,,,,,,,,,,,0,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,0.0,6.0,,0.0,0.3,,0.5,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,3.0,,,,,,,,,,,,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 11,346(£ 9,856, $12,435)","€ 590,000(£ 512,489, $646,627)",Estimación no verificada,https://fbref.com/es/jugadores/48b28bfd/Jean-Eudes-Aholou
2015-2016,21,Orléans,frFRA,Coupe de France,,,,,1.0,90.0,0.0,0.0,,,,,1.0,90,0,0,20.0,"1,788",19.9,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,,,,,,,,0.15,0.05,0.2,0.15,0.2,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,3.0,,0.0,0.22,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,788",89.0,52.3,19.9,20.0,,19.0,0.0,,0.0,0.75,15.0,27.0,-12.0,-0.6,-0.55,,,,,,3.0,2.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 30,769(£ 26,727, $33,722)","€ 1,600,000(£ 1,389,799, $1,753,565)",Estimación no verificada,https://fbref.com/es/jugadores/48b28bfd/Jean-Eudes-Aholou
2016-2017,22,Orléans,frFRA,2.Ligue 2,20.0,"1,788",3.0,1.0,2.0,152.0,0.0,0.0,,,,,22.0,"1,940",3,1,14.0,"1,251",13.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,70.0,34.0,32.0,37.0,1.0,17.0,55.0,30.9,38.0,29.0,7.0,22.0,75.0,145.0,58.0,1.0,1162.0,1359.0,85.5,20915.0,5421.0,495.0,555.0,89.2,473.0,526.0,89.9,146.0,196.0,74.5,0.0,1.0,0.8,-1.0,13.0,101.0,5.0,0.0,131.0,1359.0,1332.0,22.0,19.0,4.0,18.0,5.0,3.0,0.0,0.0,0.0,0.0,1162.0,5.0,14.0,70.0,472.0,1062.0,191.0,26.0,1694.0,50.0,39.0,78.0,11.0,22.0,860.0,4336.0,2037.0,32.0,29.0,2.0,38.0,27.0,991.0,22.0,5.0,39.0,7.0,17.9,1.17,0.21,0.13,0.71,23.8,0.0,0.0,0.0,2.2,2.2,0.06,2.8,2.8,42.0,1.26,31.0,0.0,1.0,6.0,3.0,1.0,6.0,0.18,3.0,0.0,0.0,1.0,2.0,0.0,"1,251",83.0,36.6,13.9,14.0,,12.0,1.0,,1.0,2.07,28.0,17.0,11.0,0.79,0.58,,,,,,4.0,0.0,0.0,46.0,49.0,1.0,5.0,75.0,34.0,0.0,0.0,0.0,261.0,48.0,47.0,50.5,"€ 18,462(£ 16,036, $20,233)","€ 960,000(£ 833,880, $1,052,139)",Estimación no verificada,https://fbref.com/es/jugadores/48b28bfd/Jean-Eudes-Aholou
2016-2017,22,Strasbourg,frFRA,2.Ligue 2,15.0,"1,251",0.0,0.0,,,,,,,,,15.0,"1,251",0,0,35.0,"3,006",33.4,5.0,0.0,5.0,5.0,0.0,0.0,4.0,0.0,2.2,2.2,1.0,3.3,32.0,131.0,22.0,0.15,0.0,0.15,0.15,0.15,0.07,0.03,0.1,0.07,0.1,20.0,11.0,6.0,11.0,3.0,8.0,16.0,50.0,8.0,7.0,0.0,7.0,17.0,37.0,12.0,0.0,463.0,549.0,84.3,7732.0,2051.0,217.0,245.0,88.6,193.0,218.0,88.5,40.0,56.0,71.4,1.0,0.6,0.5,0.4,8.0,50.0,4.0,1.0,64.0,549.0,537.0,12.0,9.0,4.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,463.0,0.0,8.0,10.0,110.0,439.0,124.0,17.0,661.0,17.0,10.0,58.8,7.0,41.2,395.0,2337.0,1422.0,36.0,24.0,4.0,14.0,9.0,441.0,27.0,0.0,13.0,3.0,23.1,1.09,0.25,0.0,0.0,18.8,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8,28.0,2.34,20.0,0.0,3.0,3.0,1.0,1.0,3.0,0.25,2.0,0.0,0.0,1.0,0.0,0.0,"3,006",86.0,87.9,33.4,35.0,86.0,30.0,0.0,,0.0,1.09,41.0,58.0,-17.0,-0.51,0.8,41.1,52.3,-11.3,-0.34,0.01,2.0,0.0,0.0,26.0,17.0,0.0,5.0,17.0,11.0,0.0,0.0,0.0,79.0,22.0,25.0,46.8,"€ 17,885(£ 15,535, $19,601)","€ 930,000(£ 807,821, $1,019,260)",Estimación no verificada,https://fbref.com/es/jugadores/48b28bfd/Jean-Eudes-Aholou
2017-2018,23,Strasbourg,frFRA,1.Ligue 1,35.0,"3,006",5.0,0.0,5.0,267.0,0.0,0.0,,,,,40.0,"3,273",5,0,12.0,"1,075",11.9,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.6,1.5,36.0,64.0,27.0,0.0,0.08,0.08,0.0,0.08,0.07,0.05,0.12,0.07,0.12,16.0,12.0,2.0,11.0,3.0,3.0,9.0,33.3,6.0,6.0,1.0,5.0,15.0,31.0,10.0,0.0,260.0,310.0,83.9,4185.0,848.0,122.0,142.0,85.9,114.0,122.0,93.4,14.0,29.0,48.3,1.0,0.5,0.1,0.5,5.0,17.0,0.0,0.0,34.0,310.0,304.0,4.0,4.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,260.0,2.0,2.0,14.0,78.0,257.0,71.0,13.0,404.0,16.0,12.0,75.0,4.0,25.0,225.0,1210.0,572.0,14.0,9.0,1.0,19.0,7.0,267.0,15.0,1.0,10.0,4.0,40.0,1.43,0.57,0.1,0.25,17.7,0.0,0.0,0.0,0.7,0.7,0.07,0.3,0.3,13.0,1.86,7.0,0.0,0.0,0.0,2.0,4.0,1.0,0.14,0.0,0.0,0.0,0.0,0.0,1.0,"1,075",63.0,31.4,11.9,12.0,77.0,7.0,5.0,31.0,5.0,1.0,10.0,13.0,-3.0,-0.25,0.36,15.6,13.9,1.7,0.14,0.32,3.0,1.0,0.0,11.0,14.0,1.0,3.0,15.0,12.0,0.0,0.0,0.0,57.0,10.0,11.0,47.6,"€ 17,885(£ 15,535, $19,601)","€ 930,000(£ 807,821, $1,019,260)",Estimación no verificada,https://fbref.com/es/jugadores/48b28bfd/Jean-Eudes-Aholou
2018-2019,24,Monaco,frFRA,1.Ligue 1,17.0,"1,075",0.0,1.0,1.0,90.0,0.0,0.0,3.0,176.0,0.0,0.0,21.0,"1,341",0,1,8.0,630,7.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.7,0.7,0.5,1.2,14.0,34.0,15.0,0.14,0.14,0.29,0.14,0.29,0.1,0.08,0.17,0.1,0.17,1.0,0.0,0.0,1.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,7.0,10.0,70.0,100.0,26.0,4.0,4.0,100.0,3.0,4.0,75.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,6.0,6.0,3.0,2.0,15.0,0.0,0.0,,0.0,,6.0,38.0,19.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,2.0,1.0,50.0,5.0,2.5,0.0,0.0,16.8,0.0,0.0,0.0,0.1,0.1,0.05,-0.1,-0.1,1.0,2.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630,57.0,25.0,7.0,8.0,61.0,2.0,3.0,47.0,3.0,1.0,8.0,10.0,-2.0,-0.29,0.38,9.6,8.0,1.6,0.23,0.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0,"€ 17,885(£ 15,386, $19,556)","€ 930,000(£ 800,089, $1,016,918)",Estimación no verificada,https://fbref.com/es/jugadores/48b28bfd/Jean-Eudes-Aholou
2019-2020,25,Saint-Étienne,frFRA,1.Ligue 1,11.0,630,1.0,1.0,2.0,132.0,0.0,0.0,4.0,243.0,0.0,0.0,17.0,"1,005",1,1,0.0,36,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.23,0.23,0.23,46.0,25.0,18.0,25.0,3.0,19.0,48.0,39.6,29.0,17.0,5.0,12.0,53.0,99.0,32.0,0.0,701.0,851.0,82.4,11805.0,2947.0,324.0,367.0,88.3,283.0,341.0,83.0,68.0,93.0,73.1,2.0,1.3,0.8,0.7,7.0,59.0,9.0,1.0,92.0,851.0,835.0,15.0,13.0,1.0,6.0,8.0,1.0,1.0,0.0,1.0,0.0,701.0,1.0,10.0,45.0,239.0,692.0,200.0,22.0,1105.0,33.0,26.0,78.8,7.0,21.2,569.0,2891.0,1414.0,26.0,20.0,2.0,41.0,20.0,664.0,25.0,2.0,31.0,6.0,19.4,1.3,0.25,0.06,0.33,21.3,0.0,0.0,0.0,2.3,2.1,0.07,-0.3,-0.1,33.0,1.38,25.0,0.0,1.0,2.0,3.0,2.0,4.0,0.17,2.0,0.0,0.0,1.0,0.0,1.0,36,18.0,1.1,0.4,0.0,,0.0,2.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,-0.9,0.2,0.5,-0.4,-0.93,-1.85,9.0,0.0,0.0,50.0,32.0,0.0,8.0,53.0,25.0,0.0,0.0,0.0,165.0,40.0,30.0,57.1,"€ 17,885(£ 15,109, $19,220)","€ 930,000(£ 785,691, $999,420)",Estimación no verificada,https://fbref.com/es/jugadores/48b28bfd/Jean-Eudes-Aholou
2020-2021,26,Monaco,frFRA,1.Ligue 1,2.0,36,0.0,0.0,,,,,,,,,2.0,36,0,0,26.0,"2,146",23.8,2.0,2.0,4.0,2.0,0.0,0.0,9.0,0.0,2.3,2.1,1.3,3.4,26.0,92.0,25.0,0.08,0.08,0.17,0.08,0.17,0.1,0.05,0.15,0.09,0.14,16.0,9.0,4.0,9.0,3.0,5.0,19.0,26.3,14.0,8.0,1.0,7.0,19.0,35.0,7.0,0.0,339.0,412.0,82.3,5149.0,1077.0,164.0,191.0,85.9,131.0,147.0,89.1,21.0,37.0,56.8,1.0,0.8,1.0,0.2,6.0,23.0,9.0,1.0,38.0,412.0,404.0,8.0,8.0,1.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,11.0,12.0,84.0,319.0,146.0,17.0,541.0,23.0,11.0,47.8,12.0,52.2,322.0,1663.0,769.0,16.0,11.0,2.0,21.0,10.0,341.0,39.0,1.0,17.0,2.0,11.8,1.52,0.18,0.06,0.5,21.2,0.0,0.0,0.0,1.9,1.9,0.11,-0.9,-0.9,23.0,2.06,19.0,0.0,1.0,1.0,1.0,1.0,3.0,0.27,3.0,0.0,0.0,0.0,0.0,0.0,"2,146",79.0,62.7,23.8,26.0,82.0,14.0,1.0,17.0,0.0,1.19,34.0,38.0,-4.0,-0.17,0.19,34.0,35.3,-1.2,-0.05,-0.29,2.0,0.0,0.0,21.0,20.0,0.0,6.0,19.0,9.0,0.0,0.0,0.0,77.0,14.0,5.0,73.7,"€ 17,308(£ 14,877, $19,657)","€ 900,000(£ 773,626, $1,022,141)",Estimación no verificada,https://fbref.com/es/jugadores/48b28bfd/Jean-Eudes-Aholou
2020-2021,26,Strasbourg,frFRA,1.Ligue 1,27.0,"2,146",2.0,2.0,1.0,67.0,0.0,0.0,,,,,28.0,"2,213",2,2,11.0,"1,004",11.2,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.9,1.9,0.8,2.7,16.0,38.0,39.0,0.09,0.09,0.18,0.09,0.18,0.17,0.08,0.24,0.17,0.24,34.0,20.0,10.0,20.0,4.0,12.0,31.0,38.7,19.0,25.0,0.0,25.0,24.0,58.0,15.0,0.0,447.0,592.0,75.5,7451.0,2109.0,207.0,255.0,81.2,179.0,230.0,77.8,38.0,68.0,55.9,1.0,1.1,1.3,-0.1,9.0,53.0,11.0,1.0,50.0,592.0,576.0,16.0,13.0,3.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,447.0,0.0,11.0,26.0,131.0,483.0,194.0,27.0,799.0,34.0,14.0,41.2,14.0,41.2,538.0,2906.0,1220.0,25.0,18.0,9.0,34.0,15.0,477.0,37.0,3.0,21.0,8.0,38.1,1.45,0.55,0.14,0.38,25.0,0.0,0.0,0.0,1.2,1.2,0.06,1.8,1.8,28.0,1.94,21.0,1.0,0.0,1.0,2.0,3.0,2.0,0.14,2.0,0.0,0.0,0.0,0.0,0.0,"1,004",40.0,29.4,11.2,11.0,64.0,0.0,14.0,22.0,6.0,1.76,17.0,12.0,5.0,0.45,0.0,16.5,12.7,3.7,0.33,0.02,4.0,1.0,0.0,39.0,23.0,1.0,5.0,24.0,20.0,0.0,0.0,0.0,91.0,26.0,18.0,59.1,,,,
2021-2022,27,Strasbourg,frFRA,1.Ligue 1,25.0,"1,004",1.0,1.0,1.0,71.0,0.0,0.0,,,,,26.0,"1,075",1,1,16.0,"1,300",14.4,3.0,1.0,4.0,3.0,0.0,0.0,4.0,1.0,1.2,1.2,1.1,2.3,25.0,50.0,37.0,0.21,0.07,0.28,0.21,0.28,0.08,0.08,0.16,0.08,0.16,56.0,36.0,26.0,20.0,10.0,22.0,48.0,45.8,26.0,34.0,14.0,20.0,33.0,89.0,32.0,0.0,644.0,764.0,84.3,10183.0,2687.0,320.0,361.0,88.6,287.0,322.0,89.1,21.0,47.0,44.7,0.0,1.0,0.7,-1.0,10.0,46.0,7.0,0.0,68.0,764.0,753.0,9.0,9.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,644.0,2.0,9.0,45.0,259.0,615.0,167.0,34.0,1032.0,28.0,12.0,42.9,12.0,42.9,495.0,2116.0,987.0,15.0,8.0,2.0,32.0,15.0,615.0,16.0,2.0,27.0,7.0,25.9,1.24,0.32,0.07,0.29,18.2,0.0,0.0,0.0,1.8,1.8,0.07,0.2,0.2,33.0,1.52,21.0,0.0,2.0,4.0,3.0,3.0,1.0,0.05,0.0,0.0,0.0,0.0,1.0,0.0,"1,300",43.0,38.0,14.4,16.0,67.0,1.0,14.0,16.0,5.0,1.03,17.0,22.0,-5.0,-0.35,-0.22,19.9,19.4,0.5,0.03,0.34,7.0,0.0,0.0,50.0,25.0,1.0,2.0,33.0,36.0,0.0,0.0,0.0,100.0,38.0,23.0,62.3,,,,
