Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2012-2013,19,Nantes,frFRA,2.Ligue 2,1,3,0,0.0,,,,,,,,,1,3,0,0,0,3,0.0,0,0.0,0.0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.0,,,0.0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,3,3,0.1,0.0,0,,,1,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,"€ 5,962(£ 5,178, $6,534)","€ 310,000(£ 269,274, $339,753)",Estimación no verificada,https://fbref.com/es/jugadores/4be0b467/Lois-Diony
2013-2014,20,Dijon,frFRA,2.Ligue 2,10,464,3,1.0,,,,,,,,,10,464,3,1,5,464,5.2,3,1.0,4.0,3,0,0,3,0,,,,,,,,0.58,0.19,0.78,0.58,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,8.0,,,1.55,,0.38,,,0,0,,,,,,,,,,,,,,,,,,,,,,464,46,13.6,5.2,5,,,5,,,,,,,,,,,,,,3,0,,,,,,,,,,,,,,,"€ 20,769(£ 18,041, $22,763)","€ 1,080,000(£ 938,115, $1,183,656)",Estimación no verificada,https://fbref.com/es/jugadores/4be0b467/Lois-Diony
2014-2015,21,Dijon,frFRA,2.Ligue 2,33,"1,729",3,4.0,,,,,,,,,33,"1,729",3,4,16,"1,729",19.2,3,4.0,7.0,3,0,0,5,0,,,,,,,,0.16,0.21,0.36,0.16,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,14.0,,,0.73,,0.21,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,729",52,50.6,19.2,16,,7.0,17,,0.0,1.52,27.0,20.0,7.0,0.36,0.2,,,,,,5,0,,,,,,,,,,,,,,,"€ 20,769(£ 18,041, $22,763)","€ 1,080,000(£ 938,115, $1,183,656)",Estimación no verificada,https://fbref.com/es/jugadores/4be0b467/Lois-Diony
2015-2016,22,Dijon,frFRA,2.Ligue 2,29,"2,222",11,4.0,3.0,127.0,3.0,0.0,,,,,32,"2,349",14,4,24,"2,222",24.7,11,4.0,15.0,11,0,0,4,1,,,,,,,,0.45,0.16,0.61,0.45,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,30.0,,,1.22,,0.37,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,222",77,65.0,24.7,24,,15.0,5,,0.0,1.83,42.0,25.0,17.0,0.69,0.01,,,,,,4,1,,39.0,,,,,,,,,,,,,"€ 28,654(£ 24,889, $31,404)","€ 1,490,000(£ 1,294,251, $1,633,008)",Estimación no verificada,https://fbref.com/es/jugadores/4be0b467/Lois-Diony
2016-2017,23,Dijon,frFRA,1.Ligue 1,35,"2,807",11,7.0,1.0,38.0,0.0,0.0,,,,,36,"2,845",11,7,31,"2,807",31.2,11,7.0,18.0,11,0,0,2,1,,,,,,,,0.35,0.22,0.58,0.35,0.58,,,,,,,14.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,59.0,27.0,45.8,1.89,0.87,0.19,0.41,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,807",80,82.1,31.2,31,,20.0,4,,0.0,1.03,42.0,48.0,-6.0,-0.19,0.69,,,,,,2,1,0.0,47.0,54.0,22.0,77.0,4.0,14.0,0.0,0.0,0.0,,,,,"€ 21,923(£ 19,043, $24,027)","€ 1,140,000(£ 990,232, $1,249,415)",Estimación no verificada,https://fbref.com/es/jugadores/4be0b467/Lois-Diony
2017-2018,24,Bristol City,engENG,2.Championship,7,203,0,0.0,,,,,,,,,7,203,0,0,1,203,2.3,0,0.0,0.0,0,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,1.0,100.0,0.44,0.44,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,203,29,4.9,2.3,1,,0.0,6,,5.0,1.29,0.0,4.0,-4.0,-1.77,-2.07,,,,,,0,0,0.0,6.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 20,769(£ 17,868, $22,710)","€ 1,080,000(£ 929,135, $1,180,937)",Estimación no verificada,https://fbref.com/es/jugadores/4be0b467/Lois-Diony
2017-2018,24,Saint-Étienne,frFRA,1.Ligue 1,16,931,0,0.0,1.0,76.0,0.0,0.0,,,,,17,"1,007",0,0,11,931,10.3,0,0.0,0.0,0,0,0,0,0,1.6,1.6,0.3,1.8,11.0,13.0,81.0,0.0,0.0,0.0,0.0,0.0,0.15,0.03,0.18,0.15,0.18,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,3.0,5.0,1.0,4.0,1.0,4.0,8.0,0.0,112.0,172.0,65.1,1342.0,231.0,71.0,95.0,74.7,25.0,41.0,61.0,3.0,10.0,30.0,0.0,0.3,0.3,-0.3,5.0,1.0,4.0,0.0,13.0,172.0,151.0,21.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,112.0,0.0,6.0,9.0,22.0,87.0,142.0,37.0,249.0,13.0,8.0,61.5,5.0,38.5,153.0,782.0,243.0,11.0,7.0,7.0,25.0,25.0,196.0,81.0,0,16.0,5.0,31.3,1.55,0.48,0.0,0.0,15.6,0.0,0,0,1.6,1.6,0.1,-1.6,-1.6,22.0,2.13,13.0,0.0,2.0,2.0,5.0,0.0,3.0,0.29,0.0,0.0,0.0,0.0,3.0,0.0,931,58,27.2,10.3,11,73.0,3.0,5,26.0,2.0,1.19,10.0,18.0,-8.0,-0.77,-0.95,11.8,16.9,-5.1,-0.5,-0.57,0,0,0.0,11.0,17.0,6.0,7.0,1.0,0.0,3.0,0.0,0.0,25.0,12.0,31.0,27.9,"€ 26,154(£ 22,481, $29,703)","€ 1,360,000(£ 1,169,034, $1,544,568)",Estimación no verificada,https://fbref.com/es/jugadores/4be0b467/Lois-Diony
2018-2019,25,Saint-Étienne,frFRA,1.Ligue 1,30,"1,591",5,1.0,2.0,156.0,2.0,1.0,,,,,32,"1,747",7,2,19,"1,591",17.7,5,1.0,6.0,5,0,0,3,0,8.1,8.1,1.8,10.0,34.0,18.0,157.0,0.28,0.06,0.34,0.28,0.34,0.46,0.1,0.56,0.46,0.56,17.0,12.0,3.0,9.0,5.0,4.0,10.0,40.0,6.0,14.0,0.0,14.0,1.0,18.0,9.0,0.0,195.0,318.0,61.3,2625.0,488.0,112.0,158.0,70.9,64.0,96.0,66.7,5.0,18.0,27.8,1.0,1.8,1.5,-0.8,19.0,7.0,5.0,3.0,18.0,318.0,309.0,8.0,1.0,1.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,195.0,1.0,20.0,7.0,44.0,169.0,288.0,90.0,491.0,31.0,15.0,48.4,16.0,51.6,287.0,1947.0,824.0,34.0,16.0,20.0,36.0,35.0,359.0,157.0,5,39.0,18.0,46.2,2.21,1.02,0.13,0.28,11.4,0.0,0,0,8.1,8.1,0.21,-3.1,-3.1,39.0,2.21,28.0,0.0,1.0,2.0,8.0,0.0,4.0,0.23,3.0,0.0,1.0,0.0,0.0,0.0,"1,591",53,46.5,17.7,19,73.0,2.0,11,19.0,1.0,1.67,25.0,17.0,8.0,0.45,-0.04,28.3,21.4,6.9,0.39,0.42,3,0,0.0,29.0,28.0,6.0,28.0,1.0,12.0,0.0,0.0,0.0,52.0,27.0,55.0,32.9,,,,
2019-2020,26,Saint-Étienne,frFRA,1.Ligue 1,12,666,2,0.0,3.0,213.0,0.0,1.0,1.0,72.0,0.0,0.0,16,951,2,1,8,666,7.4,2,0.0,2.0,2,0,0,1,0,1.2,1.2,0.3,1.5,15.0,9.0,45.0,0.27,0.0,0.27,0.27,0.27,0.16,0.04,0.2,0.16,0.2,15.0,5.0,0.0,11.0,4.0,5.0,9.0,55.6,4.0,3.0,0.0,3.0,1.0,16.0,0.0,0.0,65.0,107.0,60.7,850.0,178.0,34.0,48.0,70.8,21.0,38.0,55.3,2.0,4.0,50.0,0.0,0.3,0.3,-0.3,5.0,5.0,5.0,0.0,9.0,107.0,98.0,8.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,65.0,1.0,3.0,1.0,5.0,70.0,104.0,26.0,177.0,6.0,1.0,16.7,5.0,83.3,110.0,550.0,190.0,15.0,5.0,6.0,19.0,14.0,138.0,45.0,2,15.0,7.0,46.7,2.03,0.95,0.13,0.29,17.2,2.0,0,0,1.2,1.2,0.08,0.8,0.8,12.0,1.62,10.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666,56,26.4,7.4,8,70.0,1.0,4,26.0,4.0,0.67,5.0,8.0,-3.0,-0.41,0.23,7.3,7.6,-0.3,-0.04,0.31,1,0,0.0,11.0,8.0,4.0,7.0,1.0,5.0,0.0,0.0,0.0,15.0,10.0,25.0,28.6,,,,
2020-2021,27,Angers,frFRA,1.Ligue 1,36,"1,749",5,1.0,2.0,45.0,0.0,0.0,,,,,38,"1,794",5,1,20,"1,749",19.4,5,1.0,6.0,4,1,1,2,0,4.0,3.3,1.9,5.1,45.0,20.0,159.0,0.26,0.05,0.31,0.21,0.26,0.21,0.1,0.3,0.17,0.26,15.0,10.0,3.0,9.0,3.0,4.0,18.0,22.2,14.0,6.0,3.0,3.0,5.0,20.0,16.0,0.0,235.0,390.0,60.3,3273.0,505.0,146.0,206.0,70.9,61.0,100.0,61.0,12.0,24.0,50.0,1.0,1.9,1.1,-0.9,17.0,10.0,8.0,3.0,20.0,390.0,356.0,34.0,0.0,2.0,1.0,38.0,1.0,0.0,0.0,0.0,0.0,235.0,0.0,22.0,19.0,35.0,235.0,327.0,62.0,591.0,48.0,13.0,27.1,35.0,72.9,337.0,2092.0,724.0,45.0,18.0,19.0,51.0,31.0,452.0,159.0,5,28.0,13.0,46.4,1.44,0.67,0.14,0.31,15.3,0.0,1,1,4.0,3.3,0.12,1.0,0.7,34.0,1.75,23.0,0.0,2.0,5.0,4.0,0.0,2.0,0.1,1.0,0.0,0.0,0.0,1.0,0.0,"1,749",49,51.1,19.4,20,71.0,1.0,16,21.0,0.0,1.14,22.0,29.0,-7.0,-0.36,0.23,21.1,26.9,-5.9,-0.3,-0.04,2,0,0.0,22.0,35.0,5.0,38.0,5.0,10.0,1.0,0.0,0.0,34.0,46.0,77.0,37.4,,,,
