Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2014-2015,20,Vendée Poiré,frFRA,Coupe de France,,,,,1.0,38.0,0.0,0.0,,,,,1,38,0,0,20.0,"1,811",20.1,5.0,4.0,9.0,5.0,0.0,0.0,2.0,0.0,,,,,,,,0.25,0.2,0.45,0.25,0.45,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,0.0,17.0,,0.0,0.84,,0.29,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"1,811",65.0,53.0,20.1,20.0,,8.0,8.0,,0.0,1.18,23.0,26.0,-3.0,-0.15,-0.21,,,,,,2.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 11,731(£ 10,190, $12,857)","€ 610,000(£ 529,861, $668,547)",Estimación no verificada,https://fbref.com/es/jugadores/462475ed/Ludovic-Ajorque
2016-2017,22,Clermont Foot,frFRA,2.Ligue 2,28.0,"1,811",5.0,4.0,2.0,96.0,1.0,0.0,,,,,30,"1,907",6,4,36.0,"3,121",34.7,14.0,3.0,17.0,14.0,0.0,1.0,8.0,0.0,,,,,,,,0.4,0.09,0.49,0.4,0.49,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,0.0,36.0,,0.0,1.04,,0.39,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,"3,121",84.0,91.3,34.7,36.0,,24.0,1.0,,0.0,1.68,50.0,30.0,20.0,0.58,1.18,,,,,,8.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,"€ 14,808(£ 12,862, $16,229)","€ 770,000(£ 668,841, $843,903)",Estimación no verificada,https://fbref.com/es/jugadores/462475ed/Ludovic-Ajorque
2017-2018,23,Clermont Foot,frFRA,2.Ligue 2,37.0,"3,121",14.0,3.0,3.0,123.0,0.0,0.0,,,,,40,"3,244",14,3,18.0,"1,531",17.0,9.0,1.0,10.0,9.0,0.0,0.0,5.0,0.0,5.7,5.7,1.0,6.7,11.0,25.0,126.0,0.53,0.06,0.59,0.53,0.59,0.34,0.06,0.4,0.34,0.4,17.0,13.0,1.0,10.0,6.0,4.0,9.0,44.4,5.0,5.0,0.0,5.0,5.0,22.0,9.0,0.0,339.0,459.0,73.9,4886.0,562.0,199.0,254.0,78.3,88.0,114.0,77.2,28.0,36.0,77.8,1.0,1.0,1.1,0.0,13.0,20.0,7.0,1.0,25.0,459.0,431.0,26.0,1.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,339.0,2.0,11.0,11.0,32.0,338.0,255.0,69.0,620.0,18.0,10.0,55.6,8.0,44.4,318.0,1204.0,334.0,11.0,13.0,4.0,41.0,23.0,482.0,126.0,9.0,46.0,17.0,37.0,2.7,1.0,0.2,0.53,15.5,2.0,0.0,0.0,5.7,5.7,0.12,3.3,3.3,35.0,2.06,22.0,1.0,1.0,3.0,6.0,2.0,4.0,0.24,3.0,0.0,0.0,1.0,0.0,0.0,"1,531",61.0,44.8,17.0,18.0,78.0,6.0,7.0,17.0,3.0,1.2,22.0,25.0,-3.0,-0.18,-0.8,17.6,23.3,-5.7,-0.33,-0.13,5.0,0.0,0.0,45.0,16.0,2.0,5.0,5.0,13.0,1.0,0.0,0.0,32.0,104.0,60.0,63.4,"€ 9,423(£ 8,185, $10,327)","€ 490,000(£ 425,626, $537,029)",Estimación no verificada,https://fbref.com/es/jugadores/462475ed/Ludovic-Ajorque
2018-2019,24,Strasbourg,frFRA,1.Ligue 1,25.0,"1,531",9.0,1.0,4.0,328.0,2.0,1.0,,,,,29,"1,859",11,2,24.0,"2,058",22.9,8.0,4.0,12.0,7.0,1.0,1.0,3.0,0.0,7.2,6.4,2.8,9.2,21.0,30.0,137.0,0.35,0.17,0.52,0.31,0.48,0.31,0.12,0.43,0.28,0.4,15.0,10.0,2.0,10.0,3.0,2.0,13.0,15.4,11.0,11.0,0.0,11.0,2.0,17.0,20.0,0.0,354.0,516.0,68.6,4923.0,707.0,186.0,263.0,70.7,109.0,151.0,72.2,24.0,38.0,63.2,4.0,2.8,2.2,1.2,16.0,15.0,13.0,3.0,30.0,516.0,493.0,18.0,0.0,4.0,5.0,13.0,3.0,0.0,0.0,0.0,0.0,354.0,5.0,5.0,21.0,40.0,386.0,291.0,95.0,711.0,19.0,7.0,36.8,12.0,63.2,376.0,1503.0,584.0,21.0,15.0,8.0,53.0,15.0,553.0,137.0,8.0,49.0,21.0,42.9,2.14,0.92,0.14,0.33,13.4,0.0,1.0,1.0,7.2,6.4,0.13,0.8,0.6,42.0,1.84,32.0,0.0,2.0,5.0,3.0,0.0,12.0,0.52,7.0,0.0,1.0,2.0,2.0,0.0,"2,058",79.0,84.7,22.9,24.0,84.0,12.0,2.0,20.0,1.0,1.46,31.0,21.0,10.0,0.44,2.86,28.6,25.4,3.2,0.14,0.43,3.0,0.0,0.0,38.0,21.0,4.0,13.0,2.0,10.0,1.0,1.0,0.0,43.0,114.0,78.0,59.4,"€ 9,423(£ 8,185, $10,327)","€ 490,000(£ 425,626, $537,029)",Estimación no verificada,https://fbref.com/es/jugadores/462475ed/Ludovic-Ajorque
2019-2020,25,Strasbourg,frFRA,1.Ligue 1,26.0,"2,058",8.0,4.0,3.0,240.0,1.0,2.0,,,,,29,"2,298",9,6,34.0,"2,967",33.0,16.0,4.0,20.0,12.0,4.0,5.0,5.0,0.0,15.7,11.8,3.9,15.7,33.0,61.0,224.0,0.49,0.12,0.61,0.36,0.49,0.48,0.12,0.6,0.36,0.48,30.0,18.0,6.0,18.0,6.0,7.0,31.0,22.6,24.0,14.0,5.0,9.0,11.0,41.0,54.0,0.0,620.0,927.0,66.9,9736.0,1641.0,350.0,484.0,72.3,192.0,262.0,73.3,51.0,78.0,65.4,4.0,3.9,3.8,0.1,36.0,43.0,19.0,3.0,61.0,927.0,875.0,52.0,0.0,0.0,25.0,27.0,4.0,0.0,0.0,0.0,0.0,620.0,0.0,30.0,62.0,122.0,597.0,539.0,159.0,1246.0,23.0,10.0,43.5,13.0,56.5,611.0,2404.0,953.0,33.0,25.0,15.0,74.0,31.0,940.0,224.0,16.0,66.0,30.0,45.5,2.0,0.91,0.18,0.4,15.0,0.0,4.0,5.0,15.7,11.8,0.18,0.3,0.2,77.0,2.34,55.0,0.0,1.0,12.0,9.0,0.0,8.0,0.24,4.0,0.0,1.0,1.0,2.0,0.0,"2,967",85.0,86.8,33.0,34.0,87.0,28.0,1.0,25.0,1.0,1.2,46.0,49.0,-3.0,-0.09,1.1,48.7,45.0,3.7,0.11,0.43,5.0,0.0,0.0,38.0,46.0,12.0,27.0,11.0,18.0,2.0,0.0,0.0,67.0,166.0,133.0,55.5,"€ 9,423(£ 8,107, $10,304)","€ 490,000(£ 421,552, $535,796)",Estimación no verificada,https://fbref.com/es/jugadores/462475ed/Ludovic-Ajorque
2020-2021,26,Strasbourg,frFRA,1.Ligue 1,35.0,"2,967",16.0,4.0,1.0,90.0,0.0,0.0,,,,,36,"3,057",16,4,31.0,"2,738",30.4,12.0,8.0,20.0,9.0,3.0,3.0,5.0,1.0,10.6,8.3,7.0,15.3,21.0,69.0,217.0,0.39,0.26,0.66,0.3,0.56,0.35,0.23,0.58,0.27,0.5,36.0,25.0,5.0,19.0,12.0,7.0,40.0,17.5,33.0,28.0,3.0,25.0,8.0,44.0,31.0,1.0,653.0,906.0,72.1,9171.0,1389.0,386.0,506.0,76.3,172.0,239.0,72.0,43.0,61.0,70.5,8.0,7.0,4.0,1.0,46.0,30.0,23.0,4.0,69.0,906.0,880.0,24.0,1.0,5.0,10.0,17.0,2.0,0.0,0.0,0.0,0.0,653.0,2.0,16.0,37.0,103.0,649.0,494.0,138.0,1229.0,27.0,14.0,51.9,13.0,48.1,651.0,2517.0,751.0,21.0,22.0,9.0,70.0,36.0,944.0,217.0,12.0,56.0,24.0,42.9,1.84,0.79,0.16,0.38,13.5,0.0,3.0,3.0,10.6,8.3,0.15,1.4,0.7,84.0,2.76,63.0,0.0,2.0,9.0,9.0,1.0,10.0,0.33,6.0,0.0,0.0,2.0,2.0,0.0,"2,738",76.0,80.1,30.4,31.0,84.0,20.0,5.0,26.0,0.0,1.64,46.0,36.0,10.0,0.33,-0.6,44.6,34.1,10.5,0.35,0.13,5.0,1.0,0.0,40.0,36.0,14.0,17.0,8.0,25.0,2.0,0.0,1.0,86.0,127.0,102.0,55.5,"€ 32,692(£ 28,126, $35,748)","€ 1,700,000(£ 1,462,528, $1,858,883)",Estimación no verificada,https://fbref.com/es/jugadores/462475ed/Ludovic-Ajorque
2021-2022,27,Strasbourg,frFRA,1.Ligue 1,36.0,"2,738",12.0,8.0,2.0,110.0,0.0,0.0,,,,,38,"2,848",12,8,9.0,771,8.6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.3,2.5,0.8,3.3,2.0,13.0,55.0,0.12,0.0,0.12,0.0,0.0,0.38,0.1,0.48,0.29,0.39,5.0,4.0,1.0,4.0,0.0,3.0,9.0,33.3,6.0,3.0,1.0,2.0,2.0,7.0,7.0,0.0,178.0,255.0,69.8,2614.0,397.0,103.0,137.0,75.2,55.0,79.0,69.6,11.0,16.0,68.8,0.0,0.8,0.8,-0.8,10.0,10.0,6.0,0.0,13.0,255.0,242.0,10.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,3.0,1.0,8.0,32.0,172.0,136.0,50.0,335.0,5.0,3.0,60.0,2.0,40.0,225.0,901.0,202.0,2.0,7.0,1.0,19.0,10.0,262.0,55.0,1.0,22.0,7.0,31.8,2.57,0.82,0.0,0.0,15.1,1.0,1.0,1.0,3.3,2.5,0.11,-2.3,-2.5,22.0,2.57,20.0,0.0,0.0,2.0,0.0,0.0,2.0,0.23,1.0,0.0,0.0,1.0,0.0,0.0,771,59.0,22.5,8.6,9.0,77.0,4.0,4.0,20.0,1.0,0.62,12.0,18.0,-6.0,-0.7,-0.63,10.8,13.5,-2.7,-0.31,-0.18,1.0,0.0,0.0,14.0,8.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,21.0,50.0,33.0,60.2,"€ 41,538(£ 35,093, $44,639)","€ 2,160,000(£ 1,824,831, $2,321,233)",Estimación no verificada,https://fbref.com/es/jugadores/462475ed/Ludovic-Ajorque
2022-2023,28,Strasbourg,frFRA,1.Ligue 1,13.0,771,1.0,0.0,,,,,,,,,13,771,1,0,15.0,"1,211",13.5,6.0,1.0,7.0,6.0,0.0,0.0,5.0,0.0,4.6,4.6,1.7,6.4,5.0,31.0,85.0,0.45,0.07,0.52,0.45,0.52,0.34,0.13,0.47,0.34,0.47,6.0,5.0,1.0,4.0,1.0,1.0,9.0,11.1,8.0,8.0,2.0,6.0,1.0,7.0,8.0,0.0,243.0,415.0,58.6,3550.0,613.0,153.0,231.0,66.2,55.0,104.0,52.9,22.0,28.0,78.6,1.0,1.7,1.6,-0.7,13.0,17.0,8.0,0.0,31.0,415.0,398.0,14.0,1.0,1.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,243.0,3.0,11.0,8.0,34.0,291.0,236.0,76.0,555.0,12.0,7.0,58.3,4.0,33.3,253.0,989.0,267.0,5.0,11.0,1.0,46.0,13.0,415.0,85.0,6.0,32.0,14.0,43.8,2.38,1.04,0.19,0.43,14.8,0.0,0.0,0.0,4.6,4.6,0.14,1.4,1.4,34.0,2.53,26.0,0.0,0.0,5.0,3.0,0.0,3.0,0.22,2.0,0.0,0.0,1.0,0.0,0.0,"1,211",71.0,39.6,13.5,15.0,79.0,3.0,2.0,15.0,0.0,1.47,23.0,22.0,1.0,0.07,0.17,18.8,20.7,-1.9,-0.14,0.08,5.0,0.0,0.0,23.0,19.0,5.0,4.0,1.0,5.0,0.0,0.0,0.0,50.0,91.0,85.0,51.7,"€ 41,538(£ 35,706, $47,176)","€ 2,160,000(£ 1,856,701, $2,453,137)",Estimación no verificada,https://fbref.com/es/jugadores/462475ed/Ludovic-Ajorque
2022-2023,28,Mainz 05,deGER,1.Bundesliga,17.0,"1,211",6.0,1.0,1.0,66.0,0.0,0.0,,,,,18,"1,277",6,1,15.0,"1,360",15.1,2.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,5.3,3.7,1.0,4.7,5.0,21.0,88.0,0.13,0.0,0.13,0.13,0.13,0.35,0.06,0.41,0.25,0.31,3.0,2.0,1.0,2.0,0.0,2.0,11.0,18.2,9.0,6.0,2.0,4.0,4.0,7.0,11.0,0.0,318.0,453.0,70.2,4546.0,479.0,172.0,241.0,71.4,105.0,145.0,72.4,15.0,19.0,78.9,0.0,1.0,1.6,-1.0,16.0,21.0,3.0,0.0,21.0,453.0,423.0,28.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,318.0,2.0,6.0,12.0,53.0,314.0,238.0,85.0,601.0,11.0,2.0,18.2,8.0,72.7,260.0,904.0,291.0,5.0,6.0,1.0,42.0,10.0,450.0,88.0,2.0,27.0,6.0,22.2,1.79,0.4,0.07,0.33,13.1,0.0,0.0,2.0,5.3,3.7,0.14,-3.3,-1.7,37.0,2.45,29.0,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"1,360",52.0,44.4,15.1,15.0,80.0,9.0,11.0,14.0,6.0,1.04,13.0,26.0,-13.0,-0.86,-0.91,20.6,20.9,-0.2,-0.01,-0.03,4.0,0.0,0.0,28.0,15.0,5.0,3.0,4.0,2.0,0.0,0.0,0.0,49.0,78.0,91.0,46.2,,,,
2023-2024,29,Mainz 05,deGER,1.Bundesliga,26.0,"1,360",2.0,0.0,2.0,122.0,1.0,0.0,,,,,28,"1,482",3,0,26.0,"2,246",25.0,12.0,2.0,14.0,12.0,0.0,1.0,5.0,0.0,9.4,8.6,2.9,11.5,9.0,40.0,114.0,0.48,0.08,0.56,0.48,0.56,0.38,0.12,0.49,0.34,0.46,23.0,16.0,3.0,10.0,10.0,7.0,29.0,24.1,22.0,19.0,5.0,14.0,6.0,29.0,21.0,0.0,404.0,590.0,68.5,6071.0,852.0,221.0,310.0,71.3,131.0,178.0,73.6,29.0,39.0,74.4,2.0,2.9,1.6,-0.9,32.0,29.0,10.0,0.0,40.0,590.0,579.0,8.0,0.0,1.0,11.0,5.0,1.0,0.0,0.0,0.0,0.0,404.0,3.0,12.0,27.0,70.0,394.0,348.0,108.0,806.0,15.0,6.0,40.0,9.0,60.0,356.0,1163.0,411.0,9.0,11.0,4.0,54.0,9.0,580.0,114.0,12.0,44.0,22.0,50.0,1.76,0.88,0.27,0.55,12.0,0.0,0.0,1.0,9.4,8.6,0.19,2.6,3.4,54.0,2.17,44.0,0.0,2.0,5.0,2.0,1.0,8.0,0.32,3.0,0.0,1.0,3.0,1.0,0.0,"2,246",80.0,80.5,25.0,26.0,84.0,16.0,2.0,28.0,0.0,1.43,41.0,42.0,-1.0,-0.04,0.46,35.8,38.9,-3.0,-0.12,0.68,5.0,0.0,0.0,55.0,23.0,11.0,5.0,6.0,16.0,2.0,0.0,0.0,52.0,117.0,113.0,50.9,,,,
