Temporada,Edad,Equipo,País,Comp,PJ_Dom,Mín_Dom,Gls_Dom,Ass_Dom,PJ_Nac,Mín_Nac,Gls_Nac,Ass_Nac,PJ_Int,Mín_Int,Gls_Int,Ass_Int,PJ_Tot,Mín_Tot,Gls_Tot,Ass_Tot,titular,Min,90s,Gls,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-TP/90,G+A-TP/90,xG/90,xAG/90,xG+xAG/90,npxG/90,npxG+xAG/90,Tkl (Derribos),TklG,3.º def.,3.º cent.,3.º ataq.,Tkl (Desafios),Att,Tkl%,Pérdida,Bloqueos,Dis,Pases,Int,Tkl+Int,Desp.,Err,Cmp,Int.,% Cmp,Dist. tot.,Dist. prg.,Cmp (cortos),Int. (cortos),% Cmp (cortos),Cmp (medios),Int. (medios),% Cmp (medios),Cmp (largos),Int. (largos),% Cmp (largos),Ass,xAG,xA,A-xAG,PC,1/3,PPA,CrAP,PrgP,Int.,Balón vivo,Balón muerto,FK,PL,Camb.,Pcz,Lanz.,SE,Dentro,Fuera,Rect.,Cmp,PA,Bloqueos,Def. pen.,3.º def.,3.º cent.,3.º ataq.,Ataq. pen.,Balón vivo,Att,Succ,Exitosa%,Tkld,Tkld%,Transportes,Dist. tot.,Dist. prg.,PrgC,1/3,TAP,Errores de control,Des,Rec,PrgR,Gls.,Dis,DaP,% de TT,T/90,TalArc/90,G/T,G/TalArc,Dist,FK,TP,TPint,xG,npxG,npxG/Sh,G-xG,np:G-xG,ACT,SCA90,PassLive_SCA,PassDead_SCA,HASTA_SCA,Dis_SCA,FR_SCA,Def_SCA,ACG,GCA90,PassLive_GCA,PassDead_GCA,HASTA_GCA,Dis_GCA,FR_GCA,Def_GCA,Mín,Mn/PJ,% min,90 s,Titular,Mn/arranque,Compl,Sup,Mn/Sust,Partidos como sustituto,PPP,onG,onGA,+/-,+/-90,Dentro-Fuera,onxG,onxGA,xG+/-,xG+/-90,Dentro-Fuera_expected,TA,TR,2a amarilla,Fls,FR,PA,Pcz,Int,TklG,Penal ejecutado,Penal concedido,GC,Recup.,Ganados,Perdidos,% de ganados,Salario semanal,Salario anual,Notas,link
2009-2010,18,Ajaccio,frFRA,2.Ligue 2,33,"2,600",2,1,,,,,,,,,33,"2,600",2,1,32,"2,600",28.9,2,1,3,2,0,0,6,0,,,,,,,,0.07,0.03,0.1,0.07,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,8,,,0.28,,0.25,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,600",79,76.0,28.9,32,,,1,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,"€ 10,385(£ 9,020, $11,381)","€ 540,000(£ 469,057, $591,828)",Estimación no verificada,https://fbref.com/es/jugadores/ef9c1c95/Benjamin-Andre
2010-2011,19,Ajaccio,frFRA,2.Ligue 2,32,"2,285",1,1,,,,,,,,,32,"2,285",1,1,27,"2,285",25.4,1,1,2,1,0,0,6,0,,,,,,,,0.04,0.04,0.08,0.04,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,14,,,0.55,,0.07,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,285",71,66.8,25.4,27,,,5,,,,,,,,,,,,,,6,0,,,,,,,,,,,,,,,"€ 12,692(£ 11,025, $13,911)","€ 660,000(£ 573,292, $723,346)",Estimación no verificada,https://fbref.com/es/jugadores/ef9c1c95/Benjamin-Andre
2011-2012,20,Ajaccio,frFRA,1.Ligue 1,33,"2,646",4,2,,,,,,,,,33,"2,646",4,2,30,"2,646",29.4,4,2,6,4,0,0,11,0,,,,,,,,0.14,0.07,0.2,0.14,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,11,,,0.37,,0.36,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,646",80,77.4,29.4,30,,22.0,3,,,,,,,,,,,,,,11,0,,65.0,,,,,,,,,,,,,"€ 13,077(£ 11,359, $14,332)","€ 680,000(£ 590,665, $745,265)",Estimación no verificada,https://fbref.com/es/jugadores/ef9c1c95/Benjamin-Andre
2012-2013,21,Ajaccio,frFRA,1.Ligue 1,27,"1,698",0,2,,,,,,,,,27,"1,698",0,2,19,"1,698",18.9,0,2,2,0,0,0,5,1,,,,,,,,0.0,0.11,0.11,0.0,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,5,,,0.27,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,698",63,49.6,18.9,19,,8.0,8,,,,,,,,,,,,,,5,1,,23.0,,,,,,,,,,,,,"€ 16,346(£ 14,199, $17,915)","€ 850,000(£ 738,331, $931,581)",Estimación no verificada,https://fbref.com/es/jugadores/ef9c1c95/Benjamin-Andre
2013-2014,22,Ajaccio,frFRA,1.Ligue 1,36,"3,064",4,5,,,,,,,,,36,"3,064",4,5,35,"3,064",34.0,4,5,9,4,0,0,2,1,,,,,,,,0.12,0.15,0.26,0.12,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,13,,,0.38,,0.31,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,064",85,89.6,34.0,35,,29.0,1,,,,,,,,,,,,,,2,1,,58.0,,,,,,,,,,,,,"€ 18,269(£ 15,869, $20,023)","€ 950,000(£ 825,193, $1,041,179)",Estimación no verificada,https://fbref.com/es/jugadores/ef9c1c95/Benjamin-Andre
2014-2015,23,Rennes,frFRA,1.Ligue 1,22,"1,362",1,0,1.0,14.0,0.0,0.0,,,,,23,"1,376",1,0,16,"1,362",15.1,1,0,1,1,0,0,4,0,,,,,,,,0.07,0.0,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,0.13,,0.5,,,0,0,,,,,,,,,,,,,,,,,,,,,,"1,362",62,39.8,15.1,16,,7.0,6,,4.0,1.05,8.0,15.0,-7.0,-0.46,-0.46,,,,,,4,0,,28.0,,,,,,,,,,,,,"€ 18,462(£ 16,036, $20,233)","€ 960,000(£ 833,880, $1,052,139)",Estimación no verificada,https://fbref.com/es/jugadores/ef9c1c95/Benjamin-Andre
2015-2016,24,Rennes,frFRA,1.Ligue 1,32,"2,632",0,0,1.0,81.0,0.0,0.0,,,,,33,"2,713",0,0,30,"2,632",29.2,0,0,0,0,0,0,3,0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,7,,,0.24,,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"2,632",82,77.0,29.2,30,,23.0,2,,5.0,1.59,44.0,38.0,6.0,0.21,1.12,,,,,,3,0,,50.0,,,,,,,,,,,,,"€ 30,000(£ 26,059, $32,879)","€ 1,560,000(£ 1,355,054, $1,709,726)",Estimación no verificada,https://fbref.com/es/jugadores/ef9c1c95/Benjamin-Andre
2016-2017,25,Rennes,frFRA,1.Ligue 1,36,"3,215",0,3,,,,,,,,,36,"3,215",0,3,36,"3,215",35.7,0,3,3,0,0,0,6,0,,,,,,,,0.0,0.08,0.08,0.0,0.08,,,,,,,85.0,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25.0,5,20.0,0.7,0.14,0.0,0.0,,,0,0,,,,,,,,,,,,,,,,,,,,,,"3,215",89,94.0,35.7,36,,32.0,0,,0.0,1.36,34.0,37.0,-3.0,-0.08,1.23,,,,,,6,0,0.0,58.0,63.0,2.0,18.0,72.0,85.0,0.0,2.0,0.0,,,,,"€ 30,000(£ 26,059, $32,879)","€ 1,560,000(£ 1,355,054, $1,709,726)",,https://fbref.com/es/jugadores/ef9c1c95/Benjamin-Andre
2017-2018,26,Rennes,frFRA,1.Ligue 1,34,"3,011",3,3,5.0,480.0,1.0,0.0,,,,,39,"3,491",4,3,34,"3,011",33.5,3,3,6,3,0,0,11,1,4.3,4.3,1.9,6.2,48.0,234.0,117.0,0.09,0.09,0.18,0.09,0.18,0.13,0.06,0.19,0.13,0.19,93.0,54.0,36.0,50.0,7.0,43.0,113.0,38.1,70.0,56.0,4.0,52.0,57.0,150.0,96.0,1.0,1482.0,1900.0,78.0,22361.0,5876.0,801.0,955.0,83.9,465.0,585.0,79.5,113.0,177.0,63.8,3,1.9,1.6,1.1,34.0,162.0,23.0,5.0,234.0,1900.0,1841.0,47.0,32.0,10.0,25.0,21.0,11.0,0.0,0.0,0.0,0.0,1482.0,12.0,39.0,81.0,372.0,1415.0,569.0,50.0,2343.0,44.0,35.0,79.5,9.0,20.5,1057.0,5078.0,2287.0,48.0,54.0,2.0,66.0,56.0,1495.0,117.0,3,32.0,8,25.0,0.96,0.24,0.09,0.38,13.9,0.0,0,0,4.3,4.3,0.13,-1.3,-1.3,77.0,2.3,66.0,0.0,3.0,3.0,3.0,2.0,7.0,0.21,6.0,0.0,0.0,1.0,0.0,0.0,"3,011",89,88.0,33.5,34,89.0,29.0,0,,0.0,1.59,45.0,36.0,9.0,0.27,0.93,43.8,40.6,3.2,0.1,0.7,11,1,1.0,72.0,48.0,1.0,21.0,57.0,54.0,0.0,0.0,0.0,259.0,187.0,151.0,55.3,"€ 30,000(£ 26,059, $32,879)","€ 1,560,000(£ 1,355,054, $1,709,726)",,https://fbref.com/es/jugadores/ef9c1c95/Benjamin-Andre
2018-2019,27,Rennes,frFRA,1.Ligue 1,30,"2,495",3,1,8.0,750.0,1.0,0.0,8.0,707.0,0.0,1.0,46,"3,952",4,2,28,"2,495",27.7,3,1,4,3,0,0,8,1,3.0,3.0,0.8,3.9,52.0,185.0,86.0,0.11,0.04,0.14,0.11,0.14,0.11,0.03,0.14,0.11,0.14,101.0,60.0,39.0,50.0,12.0,33.0,85.0,38.8,52.0,40.0,6.0,34.0,54.0,155.0,58.0,0.0,1174.0,1505.0,78.0,18044.0,5013.0,600.0,699.0,85.8,427.0,529.0,80.7,78.0,130.0,60.0,1,0.8,1.3,0.2,20.0,108.0,20.0,1.0,185.0,1505.0,1458.0,36.0,27.0,5.0,11.0,13.0,0.0,0.0,0.0,0.0,0.0,1174.0,11.0,26.0,61.0,342.0,1165.0,397.0,46.0,1884.0,32.0,21.0,65.6,11.0,34.4,946.0,4992.0,2430.0,52.0,33.0,3.0,55.0,39.0,1181.0,86.0,3,28.0,9,32.1,1.01,0.32,0.11,0.33,14.4,0.0,0,0,3.0,3.0,0.11,0.0,0.0,67.0,2.42,50.0,1.0,4.0,1.0,7.0,4.0,6.0,0.22,4.0,0.0,1.0,0.0,1.0,0.0,"2,495",83,73.0,27.7,28,87.0,24.0,2,35.0,0.0,1.2,37.0,40.0,-3.0,-0.11,-0.69,38.5,34.2,4.3,0.16,-0.2,8,1,1.0,59.0,48.0,5.0,13.0,54.0,60.0,1.0,0.0,0.0,218.0,141.0,98.0,59.0,"€ 30,000(£ 25,809, $32,804)","€ 1,560,000(£ 1,342,084, $1,705,799)",,https://fbref.com/es/jugadores/ef9c1c95/Benjamin-Andre
